#        q              total               1              \delta U         \delta U^2    

     0.001185        5.371692e+03      5.373400e+03     -1.788283e+00      8.000175e-02   
     0.006239        5.371702e+03      5.373400e+03     -1.777945e+00      7.998932e-02   
     0.015318        5.371699e+03      5.373400e+03     -1.780469e+00      7.994363e-02   
     0.028399        3.601902e+03      3.603600e+03     -1.778317e+00      7.991348e-02   
     0.045447        2.316455e+03      2.318152e+03     -1.776858e+00      7.989910e-02   
     0.066417        1.549089e+03      1.550780e+03     -1.770870e+00      7.985164e-02   
     0.091251        1.079788e+03      1.081470e+03     -1.761851e+00      7.978826e-02   
     0.119882        7.590938e+02      7.607600e+02     -1.745833e+00      7.965917e-02   
     0.152235        5.432733e+02      5.449180e+02     -1.724159e+00      7.950214e-02   
     0.188220        4.006045e+02      4.022200e+02     -1.694886e+00      7.934591e-02   
     0.227742        2.968735e+02      2.984520e+02     -1.657636e+00      7.912143e-02   
     0.270694        2.222579e+02      2.237900e+02     -1.611008e+00      7.887873e-02   
     0.316959        1.692095e+02      1.706880e+02     -1.557165e+00      7.866991e-02   
     0.366414        1.253198e+02      1.267300e+02     -1.488715e+00      7.852841e-02   
     0.418925        9.512249e+01      9.646000e+01     -1.416022e+00      7.851005e-02   
     0.474351        7.478291e+01      7.604800e+01     -1.343791e+00      7.869823e-02   
     0.532541        5.756037e+01      5.874000e+01     -1.258825e+00      7.919303e-02   
     0.593339        4.654163e+01      4.764200e+01     -1.180467e+00      8.009591e-02   
     0.656582        3.702809e+01      3.803800e+01     -1.091414e+00      8.150632e-02   
     0.722098        3.147636e+01      3.241200e+01     -1.019149e+00      8.351158e-02   
     0.789711        2.423324e+01      2.505800e+01     -9.109260e-01      8.616932e-02   
     0.859239        2.009525e+01      2.083200e+01     -8.262360e-01      8.949028e-02   
     0.930495        1.646555e+01      1.711000e+01     -7.378764e-01      9.342435e-02   
     1.003286        1.331057e+01      1.386000e+01     -6.472816e-01      9.785101e-02   
     1.077416        1.059638e+01      1.105000e+01     -5.561962e-01      1.025767e-01   
     1.152685        8.288678e+00      8.648000e+00     -4.666645e-01      1.073422e-01   
     1.228890        6.352990e+00      6.622000e+00     -3.808498e-01      1.118400e-01   
     1.305826        4.754855e+00      4.940000e+00     -3.008873e-01      1.157419e-01   
     1.383286        3.460006e+00      3.570000e+00     -2.287263e-01      1.187321e-01   
     1.461060        2.434601e+00      2.480000e+00     -1.659395e-01      1.205409e-01   
     1.538940        1.327858e+00      1.300000e+00     -9.311696e-02      1.209746e-01   
     1.616714        8.334610e-01      7.700000e-01     -5.647350e-02      1.199345e-01   
     1.694174        2.853270e-01      1.820000e-01     -1.409720e-02      1.174241e-01   
     1.771110        1.135430e-01      0.000000e+00      0.000000e+00      1.135430e-01   
     1.847315        1.084694e-01      0.000000e+00      0.000000e+00      1.084694e-01   
     1.922584        1.024369e-01      0.000000e+00      0.000000e+00      1.024369e-01   
     1.996714        9.570806e-02      0.000000e+00      0.000000e+00      9.570806e-02   
     2.069505        8.855027e-02      0.000000e+00      0.000000e+00      8.855027e-02   
     2.140761        8.121500e-02      0.000000e+00      0.000000e+00      8.121500e-02   
     2.210289        7.392351e-02      0.000000e+00      0.000000e+00      7.392351e-02   
     2.277902        6.685804e-02      0.000000e+00      0.000000e+00      6.685804e-02   
     2.343418        6.015821e-02      0.000000e+00      0.000000e+00      6.015821e-02   
     2.406661        5.392192e-02      0.000000e+00      0.000000e+00      5.392192e-02   
     2.467459        4.820919e-02      0.000000e+00      0.000000e+00      4.820919e-02   
     2.525649        4.304788e-02      0.000000e+00      0.000000e+00      4.304788e-02   
     2.581075        3.844034e-02      0.000000e+00      0.000000e+00      3.844034e-02   
     2.633586        3.436984e-02      0.000000e+00      0.000000e+00      3.436984e-02   
     2.683041        3.080664e-02      0.000000e+00      0.000000e+00      3.080664e-02   
     2.729306        2.771300e-02      0.000000e+00      0.000000e+00      2.771300e-02   
     2.772258        2.504735e-02      0.000000e+00      0.000000e+00      2.504735e-02   
     2.811780        2.276733e-02      0.000000e+00      0.000000e+00      2.276733e-02   
     2.847765        2.083206e-02      0.000000e+00      0.000000e+00      2.083206e-02   
     2.880118        1.920359e-02      0.000000e+00      0.000000e+00      1.920359e-02   
     2.908749        1.784781e-02      0.000000e+00      0.000000e+00      1.784781e-02   
     2.933583        1.673491e-02      0.000000e+00      0.000000e+00      1.673491e-02   
     2.954553        1.583951e-02      0.000000e+00      0.000000e+00      1.583951e-02   
     2.971601        1.514070e-02      0.000000e+00      0.000000e+00      1.514070e-02   
     2.984682        1.462183e-02      0.000000e+00      0.000000e+00      1.462183e-02   
     2.993761        1.427040e-02      0.000000e+00      0.000000e+00      1.427040e-02   
     2.998815        1.407780e-02      0.000000e+00      0.000000e+00      1.407780e-02   
     3.004739        1.385481e-02      0.000000e+00      0.000000e+00      1.385481e-02   
     3.024957        1.311578e-02      0.000000e+00      0.000000e+00      1.311578e-02   
     3.061273        1.187112e-02      0.000000e+00      0.000000e+00      1.187112e-02   
     3.113597        1.025439e-02      0.000000e+00      0.000000e+00      1.025439e-02   
     3.181789        8.433411e-03      0.000000e+00      0.000000e+00      8.433411e-03   
     3.265666        6.584439e-03      0.000000e+00      0.000000e+00      6.584439e-03   
     3.365002        4.864752e-03      0.000000e+00      0.000000e+00      4.864752e-03   
     3.479529        3.389999e-03      0.000000e+00      0.000000e+00      3.389999e-03   
     3.608938        2.222277e-03      0.000000e+00      0.000000e+00      2.222277e-03   
     3.752880        1.371081e-03      0.000000e+00      0.000000e+00      1.371081e-03   
     3.910968        8.043443e-04      0.000000e+00      0.000000e+00      8.043443e-04   
     4.082775        4.643124e-04      0.000000e+00      0.000000e+00      4.643124e-04   
     4.267838        2.837068e-04      0.000000e+00      0.000000e+00      2.837068e-04   
     4.465657        1.993391e-04      0.000000e+00      0.000000e+00      1.993391e-04   
     4.675701        1.614889e-04      0.000000e+00      0.000000e+00      1.614889e-04   
     4.897402        1.381081e-04      0.000000e+00      0.000000e+00      1.381081e-04   
     5.130163        1.139741e-04      0.000000e+00      0.000000e+00      1.139741e-04   
     5.373356        8.616752e-05      0.000000e+00      0.000000e+00      8.616752e-05   
     5.626327        5.809859e-05      0.000000e+00      0.000000e+00      5.809859e-05   
     5.888392        3.430768e-05      0.000000e+00      0.000000e+00      3.430768e-05   
     6.158845        1.742653e-05      0.000000e+00      0.000000e+00      1.742653e-05   
     6.436958        7.477372e-06      0.000000e+00      0.000000e+00      7.477372e-06   
     6.721980        2.725529e-06      0.000000e+00      0.000000e+00      2.725529e-06   
     7.013143        9.795839e-07      0.000000e+00      0.000000e+00      9.795839e-07   
     7.309662        5.224814e-07      0.000000e+00      0.000000e+00      5.224814e-07   
     7.610739        4.097455e-07      0.000000e+00      0.000000e+00      4.097455e-07   
     7.915560        3.077543e-07      0.000000e+00      0.000000e+00      3.077543e-07   
     8.223305        1.868310e-07      0.000000e+00      0.000000e+00      1.868310e-07   
     8.533144        9.007509e-08      0.000000e+00      0.000000e+00      9.007509e-08   
     8.844241        3.695094e-08      0.000000e+00      0.000000e+00      3.695094e-08   
     9.155759        1.721931e-08      0.000000e+00      0.000000e+00      1.721931e-08   
     9.466856        1.253851e-08      0.000000e+00      0.000000e+00      1.253851e-08   
     9.776695        1.089474e-08      0.000000e+00      0.000000e+00      1.089474e-08   
    10.084440        8.398617e-09      0.000000e+00      0.000000e+00      8.398617e-09   
    10.389261        5.375287e-09      0.000000e+00      0.000000e+00      5.375287e-09   
    10.690338        2.864678e-09      0.000000e+00      0.000000e+00      2.864678e-09   
    10.986857        1.287119e-09      0.000000e+00      0.000000e+00      1.287119e-09   
    11.278020        4.997727e-10      0.000000e+00      0.000000e+00      4.997727e-10   
    11.563042        1.856611e-10      0.000000e+00      0.000000e+00      1.856611e-10   
    11.841155        9.014439e-11      0.000000e+00      0.000000e+00      9.014439e-11   
    12.111608        7.181497e-11      0.000000e+00      0.000000e+00      7.181497e-11   
    12.373673        7.068218e-11      0.000000e+00      0.000000e+00      7.068218e-11   
    12.626644        6.792397e-11      0.000000e+00      0.000000e+00      6.792397e-11   
    12.869837        6.079056e-11      0.000000e+00      0.000000e+00      6.079056e-11   
    13.102598        5.111033e-11      0.000000e+00      0.000000e+00      5.111033e-11   
    13.324299        4.107157e-11      0.000000e+00      0.000000e+00      4.107157e-11   
    13.534343        3.207622e-11      0.000000e+00      0.000000e+00      3.207622e-11   
    13.732162        2.470398e-11      0.000000e+00      0.000000e+00      2.470398e-11   
    13.917225        1.898877e-11      0.000000e+00      0.000000e+00      1.898877e-11   
    14.089032        1.470271e-11      0.000000e+00      0.000000e+00      1.470271e-11   
    14.247120        1.154755e-11      0.000000e+00      0.000000e+00      1.154755e-11   
    14.391062        9.248862e-12      0.000000e+00      0.000000e+00      9.248862e-12   
    14.520471        7.585010e-12      0.000000e+00      0.000000e+00      7.585010e-12   
    14.634998        6.389303e-12      0.000000e+00      0.000000e+00      6.389303e-12   
    14.734334        5.539556e-12      0.000000e+00      0.000000e+00      5.539556e-12   
    14.818211        4.942804e-12      0.000000e+00      0.000000e+00      4.942804e-12   
    14.886403        4.528261e-12      0.000000e+00      0.000000e+00      4.528261e-12   
    14.938727        4.246248e-12      0.000000e+00      0.000000e+00      4.246248e-12   
    14.975043        4.070084e-12      0.000000e+00      0.000000e+00      4.070084e-12   
    14.995261        3.983956e-12      0.000000e+00      0.000000e+00      3.983956e-12   
