#        q              total               1              \delta U         \delta U^2    

     0.001185        1.392114e+04      1.394010e+04     -1.918676e+01      2.291574e-01   
     0.006239        7.050743e+03      7.069714e+03     -1.920104e+01      2.291510e-01   
     0.015318        4.685003e+03      4.703970e+03     -1.919588e+01      2.291191e-01   
     0.028399        3.307328e+03      3.326293e+03     -1.919433e+01      2.290260e-01   
     0.045447        2.557396e+03      2.576357e+03     -1.919004e+01      2.288449e-01   
     0.066417        2.026231e+03      2.045177e+03     -1.917398e+01      2.285466e-01   
     0.091251        1.658160e+03      1.677083e+03     -1.915089e+01      2.280130e-01   
     0.119882        1.337156e+03      1.356037e+03     -1.910860e+01      2.272829e-01   
     0.152235        1.125374e+03      1.144193e+03     -1.904504e+01      2.263354e-01   
     0.188220        9.369279e+02      9.556474e+02     -1.894451e+01      2.250550e-01   
     0.227742        8.236173e+02      8.422233e+02     -1.882947e+01      2.235232e-01   
     0.270694        7.197019e+02      7.381486e+02     -1.866859e+01      2.218350e-01   
     0.316959        6.247948e+02      6.430212e+02     -1.844645e+01      2.200947e-01   
     0.366414        5.385131e+02      5.564389e+02     -1.814433e+01      2.185100e-01   
     0.418925        4.604816e+02      4.779996e+02     -1.773539e+01      2.174247e-01   
     0.474351        4.245115e+02      4.417079e+02     -1.741370e+01      2.172768e-01   
     0.532541        3.581724e+02      3.747292e+02     -1.677541e+01      2.186041e-01   
     0.593339        3.278620e+02      3.439416e+02     -1.630167e+01      2.220648e-01   
     0.656582        2.723808e+02      2.875186e+02     -1.536612e+01      2.284021e-01   
     0.722098        2.473042e+02      2.617826e+02     -1.471682e+01      2.383933e-01   
     0.789711        2.018053e+02      2.150106e+02     -1.345813e+01      2.527984e-01   
     0.859239        1.815000e+02      1.938740e+02     -1.264628e+01      2.722930e-01   
     0.930495        1.450219e+02      1.558481e+02     -1.112358e+01      2.973872e-01   
     1.003286        1.139814e+02      1.231504e+02     -9.497366e+00      3.283453e-01   
     1.077416        8.789951e+01      9.537875e+01     -7.844355e+00      3.651157e-01   
     1.152685        6.629368e+01      7.213097e+01     -6.244569e+00      4.072772e-01   
     1.228890        4.116329e+01      4.486194e+01     -4.152665e+00      4.540127e-01   
     1.305826        2.354810e+01      2.550973e+01     -2.465751e+00      5.041162e-01   
     1.383286        5.157850e+00      5.127079e+00     -5.252681e-01      5.560392e-01   
     1.461060        6.079762e-01      0.000000e+00      0.000000e+00      6.079762e-01   
