#        q              total               1              \delta U         \delta U^2    

     0.001185        2.784657e+04      2.799222e+04     -1.566363e+02      1.098726e+01   
     0.006239        1.415019e+04      1.429601e+04     -1.568080e+02      1.098717e+01   
     0.015318        9.414178e+03      9.559992e+03     -1.568007e+02      1.098670e+01   
     0.028399        6.701833e+03      6.847642e+03     -1.567940e+02      1.098533e+01   
     0.045447        5.276101e+03      5.421911e+03     -1.567928e+02      1.098239e+01   
     0.066417        4.224403e+03      4.370081e+03     -1.566548e+02      1.097705e+01   
     0.091251        3.459754e+03      3.605292e+03     -1.565055e+02      1.096821e+01   
     0.119882        2.916788e+03      3.062073e+03     -1.562397e+02      1.095516e+01   
     0.152235        2.547700e+03      2.692571e+03     -1.558080e+02      1.093726e+01   
     0.188220        2.209748e+03      2.354058e+03     -1.552243e+02      1.091406e+01   
     0.227742        1.901717e+03      2.045177e+03     -1.543463e+02      1.088625e+01   
     0.270694        1.712646e+03      1.855048e+03     -1.532574e+02      1.085553e+01   
     0.316959        1.451879e+03      1.592536e+03     -1.514824e+02      1.082489e+01   
     0.366414        1.293402e+03      1.432064e+03     -1.494602e+02      1.079901e+01   
     0.418925        1.219284e+03      1.356037e+03     -1.475371e+02      1.078451e+01   
     0.474351        1.078559e+03      1.212152e+03     -1.443829e+02      1.078967e+01   
     0.532541        9.492965e+02      1.078823e+03     -1.403505e+02      1.082404e+01   
     0.593339        8.899742e+02      1.015991e+03     -1.369146e+02      1.089776e+01   
     0.656582        7.776112e+02      8.977415e+02     -1.311506e+02      1.102029e+01   
     0.722098        6.760909e+02      7.890424e+02     -1.241504e+02      1.119882e+01   
     0.789711        6.307191e+02      7.381486e+02     -1.188661e+02      1.143654e+01   
     0.859239        5.447840e+02      6.430212e+02     -1.099680e+02      1.173085e+01   
     0.930495        4.684674e+02      5.564389e+02     -1.000434e+02      1.207191e+01   
     1.003286        4.010664e+02      4.779996e+02     -8.937516e+01      1.244193e+01   
     1.077416        3.417929e+02      4.073012e+02     -7.832368e+01      1.281537e+01   
     1.152685        2.650943e+02      3.148881e+02     -6.295426e+01      1.316046e+01   
     1.228890        1.840193e+02      2.150106e+02     -4.443316e+01      1.344186e+01   
     1.305826        7.901597e+01      8.321451e+01     -1.782278e+01      1.362425e+01   
     1.383286        1.394597e+01      3.518584e-01     -8.241732e-02      1.367653e+01   
     1.461060        1.357575e+01      0.000000e+00      0.000000e+00      1.357575e+01   
     1.538940        1.331020e+01      0.000000e+00      0.000000e+00      1.331020e+01   
     1.616714        1.288084e+01      0.000000e+00      0.000000e+00      1.288084e+01   
     1.694174        1.230111e+01      0.000000e+00      0.000000e+00      1.230111e+01   
     1.771110        1.159501e+01      0.000000e+00      0.000000e+00      1.159501e+01   
     1.847315        1.079401e+01      0.000000e+00      0.000000e+00      1.079401e+01   
     1.922584        9.933303e+00      0.000000e+00      0.000000e+00      9.933303e+00   
     1.996714        9.048033e+00      0.000000e+00      0.000000e+00      9.048033e+00   
     2.069505        8.170172e+00      0.000000e+00      0.000000e+00      8.170172e+00   
     2.140761        7.326238e+00      0.000000e+00      0.000000e+00      7.326238e+00   
     2.210289        6.536044e+00      0.000000e+00      0.000000e+00      6.536044e+00   
     2.277902        5.812445e+00      0.000000e+00      0.000000e+00      5.812445e+00   
     2.343418        5.161930e+00      0.000000e+00      0.000000e+00      5.161930e+00   
     2.406661        4.585768e+00      0.000000e+00      0.000000e+00      4.585768e+00   
     2.467459        4.081392e+00      0.000000e+00      0.000000e+00      4.081392e+00   
     2.525649        3.643756e+00      0.000000e+00      0.000000e+00      3.643756e+00   
     2.581075        3.266485e+00      0.000000e+00      0.000000e+00      3.266485e+00   
     2.633586        2.942748e+00      0.000000e+00      0.000000e+00      2.942748e+00   
     2.683041        2.665862e+00      0.000000e+00      0.000000e+00      2.665862e+00   
     2.729306        2.429643e+00      0.000000e+00      0.000000e+00      2.429643e+00   
     2.772258        2.228591e+00      0.000000e+00      0.000000e+00      2.228591e+00   
     2.811780        2.057943e+00      0.000000e+00      0.000000e+00      2.057943e+00   
     2.847765        1.913652e+00      0.000000e+00      0.000000e+00      1.913652e+00   
     2.880118        1.792329e+00      0.000000e+00      0.000000e+00      1.792329e+00   
     2.908749        1.691173e+00      0.000000e+00      0.000000e+00      1.691173e+00   
     2.933583        1.607891e+00      0.000000e+00      0.000000e+00      1.607891e+00   
     2.954553        1.540633e+00      0.000000e+00      0.000000e+00      1.540633e+00   
     2.971601        1.487932e+00      0.000000e+00      0.000000e+00      1.487932e+00   
     2.984682        1.448657e+00      0.000000e+00      0.000000e+00      1.448657e+00   
     2.993761        1.421976e+00      0.000000e+00      0.000000e+00      1.421976e+00   
     2.998815        1.407323e+00      0.000000e+00      0.000000e+00      1.407323e+00   
     3.004739        1.390330e+00      0.000000e+00      0.000000e+00      1.390330e+00   
     3.024957        1.333774e+00      0.000000e+00      0.000000e+00      1.333774e+00   
     3.061273        1.237542e+00      0.000000e+00      0.000000e+00      1.237542e+00   
     3.113597        1.110141e+00      0.000000e+00      0.000000e+00      1.110141e+00   
     3.181789        9.620848e-01      0.000000e+00      0.000000e+00      9.620848e-01   
     3.265666        8.044601e-01      0.000000e+00      0.000000e+00      8.044601e-01   
     3.365002        6.476960e-01      0.000000e+00      0.000000e+00      6.476960e-01   
     3.479529        5.006769e-01      0.000000e+00      0.000000e+00      5.006769e-01   
     3.608938        3.701909e-01      0.000000e+00      0.000000e+00      3.701909e-01   
     3.752880        2.606367e-01      0.000000e+00      0.000000e+00      2.606367e-01   
     3.910968        1.739432e-01      0.000000e+00      0.000000e+00      1.739432e-01   
     4.082775        1.097107e-01      0.000000e+00      0.000000e+00      1.097107e-01   
     4.267838        6.559062e-02      0.000000e+00      0.000000e+00      6.559062e-02   
     4.465657        3.788405e-02      0.000000e+00      0.000000e+00      3.788405e-02   
     4.675701        2.227130e-02      0.000000e+00      0.000000e+00      2.227130e-02   
     4.897402        1.453724e-02      0.000000e+00      0.000000e+00      1.453724e-02   
     5.130163        1.114859e-02      0.000000e+00      0.000000e+00      1.114859e-02   
     5.373356        9.581316e-03      0.000000e+00      0.000000e+00      9.581316e-03   
     5.626327        8.370109e-03      0.000000e+00      0.000000e+00      8.370109e-03   
     5.888392        6.929202e-03      0.000000e+00      0.000000e+00      6.929202e-03   
