#        q              total               1              \delta U         \delta U^2    

     0.001185        1.904842e+04      1.904976e+04     -1.350634e+00      2.943707e-03   
     0.006239        1.069902e+04      1.070037e+04     -1.347159e+00      2.548339e-03   
     0.015318        7.295192e+03      7.296537e+03     -1.346382e+00      9.097610e-04   
     0.028399        5.610794e+03      5.612141e+03     -1.346430e+00     -2.196620e-04   
     0.045447        4.533631e+03      4.534977e+03     -1.346582e+00      4.208741e-04   
     0.066417        3.749113e+03      3.750458e+03     -1.345512e+00      3.630054e-04   
     0.091251        3.191018e+03      3.192361e+03     -1.343553e+00      8.522093e-04   
     0.119882        2.810887e+03      2.812228e+03     -1.341116e+00     -1.494267e-04   
     0.152235        2.462198e+03      2.463536e+03     -1.337643e+00     -7.663894e-04   
     0.188220        2.143598e+03      2.144929e+03     -1.331627e+00      1.358825e-03   
     0.227742        1.947242e+03      1.948567e+03     -1.325331e+00      7.574926e-04   
     0.270694        1.763253e+03      1.764570e+03     -1.316345e+00     -1.754866e-04   
     0.316959        1.591233e+03      1.592536e+03     -1.303444e+00     -3.767643e-05   
     0.366414        1.430778e+03      1.432064e+03     -1.286568e+00      5.313701e-04   
     0.418925        1.354764e+03      1.356037e+03     -1.273450e+00      5.906570e-04   
     0.474351        1.210905e+03      1.212152e+03     -1.246985e+00      2.210224e-04   
     0.532541        1.142966e+03      1.144193e+03     -1.227247e+00      1.981044e-04   
     0.593339        1.014804e+03      1.015991e+03     -1.187413e+00      3.894760e-04   
     0.656582        8.966045e+02      8.977415e+02     -1.137456e+00      4.481370e-04   
     0.722098        8.411199e+02      8.422233e+02     -1.103841e+00      4.248643e-04   
     0.789711        7.371120e+02      7.381486e+02     -1.037068e+00      4.456543e-04   
     0.859239        6.884974e+02      6.894916e+02     -9.947242e-01      5.217994e-04   
     0.930495        5.977747e+02      5.986870e+02     -9.129442e-01      6.041059e-04   
     1.003286        5.154035e+02      5.162265e+02     -8.237320e-01      6.905140e-04   
     1.077416        4.066153e+02      4.073012e+02     -6.866837e-01      7.992305e-04   
     1.152685        3.143402e+02      3.148881e+02     -5.488027e-01      9.350427e-04   
     1.228890        1.935295e+02      1.938740e+02     -3.456065e-01      1.097891e-03   
     1.305826        2.054830e+01      2.058372e+01     -3.670755e-02      1.291412e-03   
