#        q              total               1              \delta U         \delta U^2    

     0.001185        3.272950e+04      3.273075e+04     -1.245816e+00      3.994171e-03   
     0.006239        1.695710e+04      1.695834e+04     -1.242772e+00      3.391619e-03   
     0.015318        1.130183e+04      1.130307e+04     -1.243138e+00      1.145344e-03   
     0.028399        8.251091e+03      8.252336e+03     -1.244379e+00     -2.138739e-04   
     0.045447        6.416300e+03      6.417545e+03     -1.245638e+00      4.585736e-04   
     0.066417        5.234785e+03      5.236030e+03     -1.245414e+00      4.834272e-04   
     0.091251        4.368837e+03      4.370081e+03     -1.244909e+00      8.736172e-04   
     0.119882        3.749215e+03      3.750458e+03     -1.243725e+00      1.626480e-04   
     0.152235        3.325050e+03      3.326293e+03     -1.242273e+00     -5.084100e-04   
     0.188220        2.934140e+03      2.935379e+03     -1.239624e+00      1.317403e-03   
     0.227742        2.575122e+03      2.576357e+03     -1.235805e+00      8.562015e-04   
     0.270694        2.246642e+03      2.247872e+03     -1.229667e+00     -2.338057e-04   
     0.316959        2.043954e+03      2.045177e+03     -1.222679e+00      4.365195e-05   
     0.366414        1.853835e+03      1.855048e+03     -1.213431e+00      6.045111e-04   
     0.418925        1.675883e+03      1.677083e+03     -1.200362e+00      6.373180e-04   
     0.474351        1.591348e+03      1.592536e+03     -1.188866e+00      2.922813e-04   
     0.532541        1.430895e+03      1.432064e+03     -1.168703e+00      2.801812e-04   
     0.593339        1.281608e+03      1.282750e+03     -1.142323e+00      4.729258e-04   
     0.656582        1.211031e+03      1.212152e+03     -1.121594e+00      5.404522e-04   
     0.722098        1.077741e+03      1.078823e+03     -1.082530e+00      5.117234e-04   
     0.789711        1.014937e+03      1.015991e+03     -1.054102e+00      5.316492e-04   
     0.859239        8.967416e+02      8.977415e+02     -1.000520e+00      6.242201e-04   
     0.930495        7.881059e+02      7.890424e+02     -9.372519e-01      7.307157e-04   
     1.003286        6.886273e+02      6.894916e+02     -8.651348e-01      8.309233e-04   
     1.077416        5.979021e+02      5.986870e+02     -7.858844e-01      9.517515e-04   
     1.152685        5.155257e+02      5.162265e+02     -7.019232e-01      1.109877e-03   
     1.228890        4.067247e+02      4.073012e+02     -5.777868e-01      1.304521e-03   
     1.305826        2.613984e+02      2.617826e+02     -3.858038e-01      1.533143e-03   
     1.383286        6.163709e+01      6.172601e+01     -9.072162e-02      1.795572e-03   
     1.461060        2.098171e-03      0.000000e+00      0.000000e+00      2.098171e-03   
     1.538940        2.443370e-03      0.000000e+00      0.000000e+00      2.443370e-03   
     1.616714        2.828912e-03      0.000000e+00      0.000000e+00      2.828912e-03   
     1.694174        3.254466e-03      0.000000e+00      0.000000e+00      3.254466e-03   
     1.771110        3.717284e-03      0.000000e+00      0.000000e+00      3.717284e-03   
     1.847315        4.213453e-03      0.000000e+00      0.000000e+00      4.213453e-03   
     1.922584        4.737747e-03      0.000000e+00      0.000000e+00      4.737747e-03   
     1.996714        5.283982e-03      0.000000e+00      0.000000e+00      5.283982e-03   
