#        q              total               1              \delta U         \delta U^2    

     0.001185        1.655894e+04      1.655933e+04     -3.998122e-01      2.011796e-03   
     0.006239        8.251939e+03      8.252336e+03     -3.983445e-01      1.685663e-03   
     0.015318        5.421514e+03      5.421911e+03     -3.983224e-01      4.978081e-04   
     0.028399        3.899072e+03      3.899470e+03     -3.982563e-01     -2.003263e-04   
     0.045447        3.061674e+03      3.062073e+03     -3.985093e-01      1.326900e-04   
     0.066417        2.463138e+03      2.463536e+03     -3.981538e-01      1.567492e-04   
     0.091251        1.948169e+03      1.948567e+03     -3.976670e-01      3.296260e-04   
     0.119882        1.676686e+03      1.677083e+03     -3.969328e-01     -3.950214e-05   
     0.152235        1.431667e+03      1.432064e+03     -3.960109e-01     -3.669409e-04   
     0.188220        1.211758e+03      1.212152e+03     -3.942866e-01      5.450098e-04   
     0.227742        1.015600e+03      1.015991e+03     -3.916716e-01      3.332996e-04   
     0.270694        8.973526e+02      8.977415e+02     -3.886498e-01     -2.382769e-04   
     0.316959        7.886578e+02      7.890424e+02     -3.845326e-01     -9.347537e-05   
     0.366414        6.891128e+02      6.894916e+02     -3.789903e-01      2.143039e-04   
     0.418925        6.426469e+02      6.430212e+02     -3.745457e-01      2.189475e-04   
     0.474351        5.560734e+02      5.564389e+02     -3.655712e-01      3.988604e-05   
     0.532541        4.776459e+02      4.779996e+02     -3.537759e-01      3.027902e-05   
     0.593339        4.413627e+02      4.417079e+02     -3.453638e-01      1.164897e-04   
     0.656582        3.744013e+02      3.747292e+02     -3.280239e-01      1.374073e-04   
     0.722098        3.436253e+02      3.439416e+02     -3.163829e-01      1.148072e-04   
     0.789711        2.872258e+02      2.875186e+02     -2.928226e-01      1.127371e-04   
     0.859239        2.615047e+02      2.617826e+02     -2.780529e-01      1.382756e-04   
     0.930495        2.147618e+02      2.150106e+02     -2.489665e-01      1.661175e-04   
     1.003286        1.739528e+02      1.741699e+02     -2.173106e-01      1.882335e-04   
     1.077416        1.386742e+02      1.388584e+02     -1.844001e-01      2.148001e-04   
     1.152685        1.085225e+02      1.086740e+02     -1.516923e-01      2.516929e-04   
     1.228890        6.198449e+01      6.207787e+01     -9.367750e-02      2.982550e-04   
     1.305826        2.546994e+01      2.550973e+01     -4.014348e-02      3.527056e-04   
     1.383286        4.153675e-04      0.000000e+00      0.000000e+00      4.153675e-04   
     1.461060        4.881622e-04      0.000000e+00      0.000000e+00      4.881622e-04   
     1.538940        5.713252e-04      0.000000e+00      0.000000e+00      5.713252e-04   
     1.616714        6.647056e-04      0.000000e+00      0.000000e+00      6.647056e-04   
     1.694174        7.682168e-04      0.000000e+00      0.000000e+00      7.682168e-04   
     1.771110        8.812877e-04      0.000000e+00      0.000000e+00      8.812877e-04   
     1.847315        1.003007e-03      0.000000e+00      0.000000e+00      1.003007e-03   
     1.922584        1.132114e-03      0.000000e+00      0.000000e+00      1.132114e-03   
     1.996714        1.267065e-03      0.000000e+00      0.000000e+00      1.267065e-03   
     2.069505        1.406073e-03      0.000000e+00      0.000000e+00      1.406073e-03   
     2.140761        1.547177e-03      0.000000e+00      0.000000e+00      1.547177e-03   
     2.210289        1.688375e-03      0.000000e+00      0.000000e+00      1.688375e-03   
     2.277902        1.827646e-03      0.000000e+00      0.000000e+00      1.827646e-03   
     2.343418        1.963036e-03      0.000000e+00      0.000000e+00      1.963036e-03   
     2.406661        2.092747e-03      0.000000e+00      0.000000e+00      2.092747e-03   
     2.467459        2.215269e-03      0.000000e+00      0.000000e+00      2.215269e-03   
     2.525649        2.329346e-03      0.000000e+00      0.000000e+00      2.329346e-03   
     2.581075        2.434063e-03      0.000000e+00      0.000000e+00      2.434063e-03   
     2.633586        2.528817e-03      0.000000e+00      0.000000e+00      2.528817e-03   
     2.683041        2.613250e-03      0.000000e+00      0.000000e+00      2.613250e-03   
     2.729306        2.687321e-03      0.000000e+00      0.000000e+00      2.687321e-03   
     2.772258        2.751132e-03      0.000000e+00      0.000000e+00      2.751132e-03   
     2.811780        2.805182e-03      0.000000e+00      0.000000e+00      2.805182e-03   
     2.847765        2.850267e-03      0.000000e+00      0.000000e+00      2.850267e-03   
     2.880118        2.887287e-03      0.000000e+00      0.000000e+00      2.887287e-03   
     2.908749        2.917308e-03      0.000000e+00      0.000000e+00      2.917308e-03   
     2.933583        2.941305e-03      0.000000e+00      0.000000e+00      2.941305e-03   
     2.954553        2.960165e-03      0.000000e+00      0.000000e+00      2.960165e-03   
     2.971601        2.974598e-03      0.000000e+00      0.000000e+00      2.974598e-03   
     2.984682        2.985148e-03      0.000000e+00      0.000000e+00      2.985148e-03   
     2.993761        2.992174e-03      0.000000e+00      0.000000e+00      2.992174e-03   
     2.998815        2.995969e-03      0.000000e+00      0.000000e+00      2.995969e-03   
     3.004739        3.000179e-03      0.000000e+00      0.000000e+00      3.000179e-03   
     3.024957        3.012641e-03      0.000000e+00      0.000000e+00      3.012641e-03   
     3.061273        3.029351e-03      0.000000e+00      0.000000e+00      3.029351e-03   
     3.113597        3.042001e-03      0.000000e+00      0.000000e+00      3.042001e-03   
     3.181789        3.046470e-03      0.000000e+00      0.000000e+00      3.046470e-03   
