#        q              total               1              \delta U         \delta U^2    

     0.001185        2.117096e+04      2.130643e+04     -1.461423e+02      1.067180e+01   
     0.006239        1.147713e+04      1.161273e+04     -1.462718e+02      1.067178e+01   
     0.015318        7.870445e+03      8.006010e+03     -1.462362e+02      1.067169e+01   
     0.028399        5.870290e+03      6.005846e+03     -1.462271e+02      1.067140e+01   
     0.045447        4.741577e+03      4.877109e+03     -1.462032e+02      1.067081e+01   
     0.066417        3.764108e+03      3.899470e+03     -1.460326e+02      1.066977e+01   
     0.091251        3.191108e+03      3.326293e+03     -1.458537e+02      1.066817e+01   
     0.119882        2.677395e+03      2.812228e+03     -1.454988e+02      1.066613e+01   
     0.152235        2.329221e+03      2.463536e+03     -1.449799e+02      1.066406e+01   
     0.188220        2.011351e+03      2.144929e+03     -1.442407e+02      1.066273e+01   
     0.227742        1.815903e+03      1.948567e+03     -1.433277e+02      1.066385e+01   
     0.270694        1.633159e+03      1.764570e+03     -1.420813e+02      1.067006e+01   
     0.316959        1.462768e+03      1.592536e+03     -1.404533e+02      1.068525e+01   
     0.366414        1.304451e+03      1.432064e+03     -1.383269e+02      1.071475e+01   
     0.418925        1.157958e+03      1.282750e+03     -1.355574e+02      1.076541e+01   
     0.474351        1.023041e+03      1.144193e+03     -1.319971e+02      1.084535e+01   
     0.532541        9.608575e+02      1.078823e+03     -1.289289e+02      1.096345e+01   
     0.593339        8.429809e+02      9.556474e+02     -1.237950e+02      1.112856e+01   
     0.656582        7.894472e+02      8.977415e+02     -1.196425e+02      1.134817e+01   
     0.722098        6.879661e+02      7.890424e+02     -1.127032e+02      1.162685e+01   
     0.789711        5.968345e+02      6.894916e+02     -1.046216e+02      1.196454e+01   
     0.859239        5.565508e+02      6.430212e+02     -9.882526e+01      1.235483e+01   
     0.930495        4.799031e+02      5.564389e+02     -8.931951e+01      1.278374e+01   
     1.003286        4.119948e+02      4.779996e+02     -7.923392e+01      1.322911e+01   
     1.077416        3.520413e+02      4.073012e+02     -6.892112e+01      1.366119e+01   
     1.152685        2.740410e+02      3.148881e+02     -5.489152e+01      1.404438e+01   
     1.228890        2.101394e+02      2.376301e+02     -4.183094e+01      1.434025e+01   
     1.305826        1.155799e+02      1.231504e+02     -2.208201e+01      1.451147e+01   
     1.383286        1.867678e+01      5.127079e+00     -9.765185e-01      1.452622e+01   
     1.461060        1.436235e+01      0.000000e+00      0.000000e+00      1.436235e+01   
     1.538940        1.401042e+01      0.000000e+00      0.000000e+00      1.401042e+01   
     1.616714        1.347509e+01      0.000000e+00      0.000000e+00      1.347509e+01   
     1.694174        1.277463e+01      0.000000e+00      0.000000e+00      1.277463e+01   
     1.771110        1.193858e+01      0.000000e+00      0.000000e+00      1.193858e+01   
     1.847315        1.100414e+01      0.000000e+00      0.000000e+00      1.100414e+01   
     1.922584        1.001189e+01      0.000000e+00      0.000000e+00      1.001189e+01   
     1.996714        9.001691e+00      0.000000e+00      0.000000e+00      9.001691e+00   
     2.069505        8.009207e+00      0.000000e+00      0.000000e+00      8.009207e+00   
     2.140761        7.063553e+00      0.000000e+00      0.000000e+00      7.063553e+00   
     2.210289        6.186033e+00      0.000000e+00      0.000000e+00      6.186033e+00   
     2.277902        5.389987e+00      0.000000e+00      0.000000e+00      5.389987e+00   
     2.343418        4.681548e+00      0.000000e+00      0.000000e+00      4.681548e+00   
     2.406661        4.060991e+00      0.000000e+00      0.000000e+00      4.060991e+00   
     2.467459        3.524329e+00      0.000000e+00      0.000000e+00      3.524329e+00   
     2.525649        3.064865e+00      0.000000e+00      0.000000e+00      3.064865e+00   
     2.581075        2.674496e+00      0.000000e+00      0.000000e+00      2.674496e+00   
     2.633586        2.344715e+00      0.000000e+00      0.000000e+00      2.344715e+00   
     2.683041        2.067278e+00      0.000000e+00      0.000000e+00      2.067278e+00   
     2.729306        1.834617e+00      0.000000e+00      0.000000e+00      1.834617e+00   
     2.772258        1.640024e+00      0.000000e+00      0.000000e+00      1.640024e+00   
     2.811780        1.477717e+00      0.000000e+00      0.000000e+00      1.477717e+00   
     2.847765        1.342805e+00      0.000000e+00      0.000000e+00      1.342805e+00   
