#        q              total               1              \delta U         \delta U^2    

     0.001185        1.655921e+04      1.655933e+04     -1.262993e-01      4.902117e-04   
     0.006239        8.252210e+03      8.252336e+03     -1.258181e-01      4.102440e-04   
     0.015318        5.421786e+03      5.421911e+03     -1.257974e-01      1.189010e-04   
     0.028399        3.899345e+03      3.899470e+03     -1.257739e-01     -5.242707e-05   
     0.045447        3.061947e+03      3.062073e+03     -1.258490e-01      2.944500e-05   
     0.066417        2.463411e+03      2.463536e+03     -1.257320e-01      3.550640e-05   
     0.091251        1.948441e+03      1.948567e+03     -1.255671e-01      7.809168e-05   
     0.119882        1.676957e+03      1.677083e+03     -1.253189e-01     -1.203098e-05   
     0.152235        1.431938e+03      1.432064e+03     -1.250042e-01     -9.194627e-05   
     0.188220        1.212028e+03      1.212152e+03     -1.244265e-01      1.322735e-04   
     0.227742        1.015868e+03      1.015991e+03     -1.235555e-01      8.105563e-05   
     0.270694        8.976189e+02      8.977415e+02     -1.225467e-01     -5.824720e-05   
     0.316959        7.889212e+02      7.890424e+02     -1.211794e-01     -2.156001e-05   
     0.366414        6.893723e+02      6.894916e+02     -1.193479e-01      5.539795e-05   
     0.418925        6.429034e+02      6.430212e+02     -1.178582e-01      5.841030e-05   
     0.474351        5.563240e+02      5.564389e+02     -1.149171e-01      1.689116e-05   
     0.532541        4.778885e+02      4.779996e+02     -1.110753e-01      1.761111e-05   
     0.593339        4.415997e+02      4.417079e+02     -1.083024e-01      4.267568e-05   
     0.656582        3.746265e+02      3.747292e+02     -1.027028e-01      5.277933e-05   
     0.722098        3.438427e+02      3.439416e+02     -9.890460e-02      5.350797e-05   
     0.789711        2.874273e+02      2.875186e+02     -9.136119e-02      6.085226e-05   
     0.859239        2.616961e+02      2.617826e+02     -8.658967e-02      7.685894e-05   
     0.930495        2.149333e+02      2.150106e+02     -7.735391e-02      9.564946e-05   
     1.003286        1.741027e+02      1.741699e+02     -6.735298e-02      1.155888e-04   
     1.077416        1.388015e+02      1.388584e+02     -5.700504e-02      1.394961e-04   
     1.152685        1.086274e+02      1.086740e+02     -4.676733e-02      1.690968e-04   
     1.228890        6.204928e+01      6.207787e+01     -2.879104e-02      2.044456e-04   
     1.305826        2.549768e+01      2.550973e+01     -1.230029e-02      2.452247e-04   
     1.383286        2.914963e-04      0.000000e+00      0.000000e+00      2.914963e-04   
     1.461060        3.435448e-04      0.000000e+00      0.000000e+00      3.435448e-04   
     1.538940        4.010524e-04      0.000000e+00      0.000000e+00      4.010524e-04   
     1.616714        4.634008e-04      0.000000e+00      0.000000e+00      4.634008e-04   
     1.694174        5.297860e-04      0.000000e+00      0.000000e+00      5.297860e-04   
     1.771110        5.991098e-04      0.000000e+00      0.000000e+00      5.991098e-04   
     1.847315        6.700586e-04      0.000000e+00      0.000000e+00      6.700586e-04   
     1.922584        7.411519e-04      0.000000e+00      0.000000e+00      7.411519e-04   
     1.996714        8.108314e-04      0.000000e+00      0.000000e+00      8.108314e-04   
     2.069505        8.775325e-04      0.000000e+00      0.000000e+00      8.775325e-04   
     2.140761        9.397838e-04      0.000000e+00      0.000000e+00      9.397838e-04   
     2.210289        9.962900e-04      0.000000e+00      0.000000e+00      9.962900e-04   
     2.277902        1.045990e-03      0.000000e+00      0.000000e+00      1.045990e-03   
     2.343418        1.088119e-03      0.000000e+00      0.000000e+00      1.088119e-03   
     2.406661        1.122223e-03      0.000000e+00      0.000000e+00      1.122223e-03   
     2.467459        1.148191e-03      0.000000e+00      0.000000e+00      1.148191e-03   
     2.525649        1.166225e-03      0.000000e+00      0.000000e+00      1.166225e-03   
