#        q              total               1              \delta U         \delta U^2    

     0.001185        1.904964e+04      1.904976e+04     -1.274922e-01      4.907532e-04   
     0.006239        9.288030e+03      9.288156e+03     -1.270321e-01      4.107856e-04   
     0.015318        6.005719e+03      6.005846e+03     -1.269655e-01      1.194429e-04   
     0.028399        4.209104e+03      4.209232e+03     -1.269833e-01     -5.188429e-05   
     0.045447        3.192234e+03      3.192361e+03     -1.270526e-01      2.998971e-05   
     0.066417        2.576230e+03      2.576357e+03     -1.269590e-01      3.605472e-05   
     0.091251        2.045050e+03      2.045177e+03     -1.268341e-01      7.864603e-05   
     0.119882        1.764443e+03      1.764570e+03     -1.266192e-01     -1.146728e-05   
     0.152235        1.431937e+03      1.432064e+03     -1.263005e-01     -9.136891e-05   
     0.188220        1.212026e+03      1.212152e+03     -1.257532e-01      1.328700e-04   
     0.227742        1.078698e+03      1.078823e+03     -1.251901e-01      8.167796e-05   
     0.270694        9.555230e+02      9.556474e+02     -1.243334e-01     -5.759079e-05   
     0.316959        8.421001e+02      8.422233e+02     -1.231756e-01     -2.085961e-05   
     0.366414        7.380270e+02      7.381486e+02     -1.216317e-01      5.615425e-05   
     0.418925        6.429017e+02      6.430212e+02     -1.195039e-01      5.923681e-05   
     0.474351        5.563223e+02      5.564389e+02     -1.166548e-01      1.780516e-05   
     0.532541        5.161120e+02      5.162265e+02     -1.144971e-01      1.863352e-05   
     0.593339        4.415978e+02      4.417079e+02     -1.101743e-01      4.383190e-05   
     0.656582        4.071942e+02      4.073012e+02     -1.070865e-01      5.410017e-05   
     0.722098        3.438407e+02      3.439416e+02     -1.008901e-01      5.503065e-05   
     0.789711        2.874252e+02      2.875186e+02     -9.337893e-02      6.262125e-05   
     0.859239        2.616941e+02      2.617826e+02     -8.861154e-02      7.892647e-05   
     0.930495        2.149314e+02      2.150106e+02     -7.933730e-02      9.807571e-05   
     1.003286        1.741008e+02      1.741699e+02     -6.924244e-02      1.184415e-04   
     1.077416        1.387998e+02      1.388584e+02     -5.874601e-02      1.428493e-04   
     1.152685        1.086258e+02      1.086740e+02     -4.831139e-02      1.730291e-04   
     1.228890        6.204822e+01      6.207787e+01     -2.985929e-02      2.090383e-04   
     1.305826        2.022191e+01      2.023186e+01     -1.020195e-02      2.505584e-04   
     1.383286        2.976490e-04      0.000000e+00      0.000000e+00      2.976490e-04   
     1.461060        3.505888e-04      0.000000e+00      0.000000e+00      3.505888e-04   
     1.538940        4.090520e-04      0.000000e+00      0.000000e+00      4.090520e-04   
     1.616714        4.724095e-04      0.000000e+00      0.000000e+00      4.724095e-04   
     1.694174        5.398456e-04      0.000000e+00      0.000000e+00      5.398456e-04   
     1.771110        6.102474e-04      0.000000e+00      0.000000e+00      6.102474e-04   
     1.847315        6.822856e-04      0.000000e+00      0.000000e+00      6.822856e-04   
     1.922584        7.544626e-04      0.000000e+00      0.000000e+00      7.544626e-04   
     1.996714        8.252020e-04      0.000000e+00      0.000000e+00      8.252020e-04   
     2.069505        8.929216e-04      0.000000e+00      0.000000e+00      8.929216e-04   
     2.140761        9.561324e-04      0.000000e+00      0.000000e+00      9.561324e-04   
     2.210289        1.013524e-03      0.000000e+00      0.000000e+00      1.013524e-03   
     2.277902        1.064021e-03      0.000000e+00      0.000000e+00      1.064021e-03   
     2.343418        1.106850e-03      0.000000e+00      0.000000e+00      1.106850e-03   
     2.406661        1.141549e-03      0.000000e+00      0.000000e+00      1.141549e-03   
     2.467459        1.168006e-03      0.000000e+00      0.000000e+00      1.168006e-03   
     2.525649        1.186425e-03      0.000000e+00      0.000000e+00      1.186425e-03   
     2.581075        1.197291e-03      0.000000e+00      0.000000e+00      1.197291e-03   
     2.633586        1.201317e-03      0.000000e+00      0.000000e+00      1.201317e-03   
     2.683041        1.199375e-03      0.000000e+00      0.000000e+00      1.199375e-03   
     2.729306        1.192463e-03      0.000000e+00      0.000000e+00      1.192463e-03   
     2.772258        1.181611e-03      0.000000e+00      0.000000e+00      1.181611e-03   
     2.811780        1.167892e-03      0.000000e+00      0.000000e+00      1.167892e-03   
     2.847765        1.152374e-03      0.000000e+00      0.000000e+00      1.152374e-03   
