#        q              total               1              \delta U         \delta U^2    

     0.001185        1.901268e+04      1.904976e+04     -3.873983e+01      1.655889e+00   
     0.006239        9.251204e+03      9.288156e+03     -3.860781e+01      1.655872e+00   
     0.015318        5.968915e+03      6.005846e+03     -3.858659e+01      1.655813e+00   
     0.028399        4.172294e+03      4.209232e+03     -3.859315e+01      1.655739e+00   
     0.045447        3.155403e+03      3.192361e+03     -3.861346e+01      1.655595e+00   
     0.066417        2.539428e+03      2.576357e+03     -3.858466e+01      1.655346e+00   
     0.091251        2.008287e+03      2.045177e+03     -3.854506e+01      1.655002e+00   
     0.119882        1.727747e+03      1.764570e+03     -3.847763e+01      1.654567e+00   
     0.152235        1.395341e+03      1.432064e+03     -3.837731e+01      1.654240e+00   
     0.188220        1.175600e+03      1.212152e+03     -3.820637e+01      1.654364e+00   
     0.227742        1.042449e+03      1.078823e+03     -3.802955e+01      1.655435e+00   
     0.270694        9.195439e+02      9.556474e+02     -3.776182e+01      1.658377e+00   
     0.316959        8.064869e+02      8.422233e+02     -3.740088e+01      1.664535e+00   
     0.366414        7.029038e+02      7.381486e+02     -3.692056e+01      1.675706e+00   
     0.418925        6.084546e+02      6.430212e+02     -3.626075e+01      1.694178e+00   
     0.474351        5.227815e+02      5.564389e+02     -3.538005e+01      1.722711e+00   
     0.532541        4.832816e+02      5.162265e+02     -3.470928e+01      1.764386e+00   
     0.593339        4.101521e+02      4.417079e+02     -3.337817e+01      1.822339e+00   
     0.656582        3.767780e+02      4.073012e+02     -3.242263e+01      1.899414e+00   
     0.722098        3.154169e+02      3.439416e+02     -3.052242e+01      1.997722e+00   
     0.789711        2.614115e+02      2.875186e+02     -2.822519e+01      2.118140e+00   
     0.859239        2.372810e+02      2.617826e+02     -2.676146e+01      2.259820e+00   
     0.930495        1.934947e+02      2.150106e+02     -2.393571e+01      2.419802e+00   
     1.003286        1.558957e+02      1.741699e+02     -2.086700e+01      2.592812e+00   
     1.077416        1.239466e+02      1.388584e+02     -1.768309e+01      2.771320e+00   
     1.152685        9.709544e+01      1.086740e+02     -1.452444e+01      2.945909e+00   
     1.228890        5.621954e+01      6.207787e+01     -8.964284e+00      3.105958e+00   
     1.305826        2.041391e+01      2.023186e+01     -3.058534e+00      3.240583e+00   
     1.383286        3.339729e+00      0.000000e+00      0.000000e+00      3.339729e+00   
     1.461060        3.395260e+00      0.000000e+00      0.000000e+00      3.395260e+00   
     1.538940        3.401865e+00      0.000000e+00      0.000000e+00      3.401865e+00   
     1.616714        3.357619e+00      0.000000e+00      0.000000e+00      3.357619e+00   
     1.694174        3.264131e+00      0.000000e+00      0.000000e+00      3.264131e+00   
     1.771110        3.126262e+00      0.000000e+00      0.000000e+00      3.126262e+00   
     1.847315        2.951460e+00      0.000000e+00      0.000000e+00      2.951460e+00   
     1.922584        2.748858e+00      0.000000e+00      0.000000e+00      2.748858e+00   
     1.996714        2.528288e+00      0.000000e+00      0.000000e+00      2.528288e+00   
     2.069505        2.299344e+00      0.000000e+00      0.000000e+00      2.299344e+00   
     2.140761        2.070632e+00      0.000000e+00      0.000000e+00      2.070632e+00   
     2.210289        1.849263e+00      0.000000e+00      0.000000e+00      1.849263e+00   
     2.277902        1.640612e+00      0.000000e+00      0.000000e+00      1.640612e+00   
     2.343418        1.448300e+00      0.000000e+00      0.000000e+00      1.448300e+00   
     2.406661        1.274356e+00      0.000000e+00      0.000000e+00      1.274356e+00   
     2.467459        1.119491e+00      0.000000e+00      0.000000e+00      1.119491e+00   
     2.525649        9.834077e-01      0.000000e+00      0.000000e+00      9.834077e-01   
     2.581075        8.651099e-01      0.000000e+00      0.000000e+00      8.651099e-01   
     2.633586        7.631759e-01      0.000000e+00      0.000000e+00      7.631759e-01   
     2.683041        6.759739e-01      0.000000e+00      0.000000e+00      6.759739e-01   
     2.729306        6.018234e-01      0.000000e+00      0.000000e+00      6.018234e-01   
     2.772258        5.391037e-01      0.000000e+00      0.000000e+00      5.391037e-01   
     2.811780        4.863208e-01      0.000000e+00      0.000000e+00      4.863208e-01   
     2.847765        4.421410e-01      0.000000e+00      0.000000e+00      4.421410e-01   
     2.880118        4.054040e-01      0.000000e+00      0.000000e+00      4.054040e-01   
     2.908749        3.751211e-01      0.000000e+00      0.000000e+00      3.751211e-01   
     2.933583        3.504654e-01      0.000000e+00      0.000000e+00      3.504654e-01   
     2.954553        3.307590e-01      0.000000e+00      0.000000e+00      3.307590e-01   
     2.971601        3.154585e-01      0.000000e+00      0.000000e+00      3.154585e-01   
     2.984682        3.041425e-01      0.000000e+00      0.000000e+00      3.041425e-01   
     2.993761        2.964994e-01      0.000000e+00      0.000000e+00      2.964994e-01   
     2.998815        2.923179e-01      0.000000e+00      0.000000e+00      2.923179e-01   
     3.004739        2.874829e-01      0.000000e+00      0.000000e+00      2.874829e-01   
     3.024957        2.715073e-01      0.000000e+00      0.000000e+00      2.715073e-01   
     3.061273        2.447652e-01      0.000000e+00      0.000000e+00      2.447652e-01   
     3.113597        2.103229e-01      0.000000e+00      0.000000e+00      2.103229e-01   
     3.181789        1.719000e-01      0.000000e+00      0.000000e+00      1.719000e-01   
     3.265666        1.332492e-01      0.000000e+00      0.000000e+00      1.332492e-01   
     3.365002        9.759544e-02      0.000000e+00      0.000000e+00      9.759544e-02   
     3.479529        6.724378e-02      0.000000e+00      0.000000e+00      6.724378e-02   
     3.608938        4.341156e-02      0.000000e+00      0.000000e+00      4.341156e-02   
     3.752880        2.626727e-02      0.000000e+00      0.000000e+00      2.626727e-02   
     3.910968        1.512323e-02      0.000000e+00      0.000000e+00      1.512323e-02   
     4.082775        8.725997e-03      0.000000e+00      0.000000e+00      8.725997e-03   
     4.267838        5.589158e-03      0.000000e+00      0.000000e+00      5.589158e-03   
     4.465657        4.307445e-03      0.000000e+00      0.000000e+00      4.307445e-03   
     4.675701        3.790737e-03      0.000000e+00      0.000000e+00      3.790737e-03   
     4.897402        3.373638e-03      0.000000e+00      0.000000e+00      3.373638e-03   
     5.130163        2.792839e-03      0.000000e+00      0.000000e+00      2.792839e-03   
     5.373356        2.066464e-03      0.000000e+00      0.000000e+00      2.066464e-03   
     5.626327        1.337403e-03      0.000000e+00      0.000000e+00      1.337403e-03   
     5.888392        7.427728e-04      0.000000e+00      0.000000e+00      7.427728e-04   
     6.158845        3.461059e-04      0.000000e+00      0.000000e+00      3.461059e-04   
     6.436958        1.332257e-04      0.000000e+00      0.000000e+00      1.332257e-04   
     6.721980        4.608480e-05      0.000000e+00      0.000000e+00      4.608480e-05   
     7.013143        2.225804e-05      0.000000e+00      0.000000e+00      2.225804e-05   
     7.309662        1.881307e-05      0.000000e+00      0.000000e+00      1.881307e-05   
     7.610739        1.642332e-05      0.000000e+00      0.000000e+00      1.642332e-05   
     7.915560        1.146317e-05      0.000000e+00      0.000000e+00      1.146317e-05   
     8.223305        6.144710e-06      0.000000e+00      0.000000e+00      6.144710e-06   
     8.533144        2.507079e-06      0.000000e+00      0.000000e+00      2.507079e-06   
     8.844241        8.309544e-07      0.000000e+00      0.000000e+00      8.309544e-07   
     9.155759        3.662090e-07      0.000000e+00      0.000000e+00      3.662090e-07   
     9.466856        3.261503e-07      0.000000e+00      0.000000e+00      3.261503e-07   
     9.776695        3.076760e-07      0.000000e+00      0.000000e+00      3.076760e-07   
    10.084440        2.291192e-07      0.000000e+00      0.000000e+00      2.291192e-07   
    10.389261        1.333278e-07      0.000000e+00      0.000000e+00      1.333278e-07   
    10.690338        6.168201e-08      0.000000e+00      0.000000e+00      6.168201e-08   
    10.986857        2.308275e-08      0.000000e+00      0.000000e+00      2.308275e-08   
    11.278020        7.588200e-09      0.000000e+00      0.000000e+00      7.588200e-09   
    11.563042        3.145865e-09      0.000000e+00      0.000000e+00      3.145865e-09   
    11.841155        2.373935e-09      0.000000e+00      0.000000e+00      2.373935e-09   
    12.111608        2.280103e-09      0.000000e+00      0.000000e+00      2.280103e-09   
    12.373673        2.112262e-09      0.000000e+00      0.000000e+00      2.112262e-09   
    12.626644        1.838679e-09      0.000000e+00      0.000000e+00      1.838679e-09   
    12.869837        1.533574e-09      0.000000e+00      0.000000e+00      1.533574e-09   
    13.102598        1.241402e-09      0.000000e+00      0.000000e+00      1.241402e-09   
    13.324299        9.810884e-10      0.000000e+00      0.000000e+00      9.810884e-10   
    13.534343        7.607594e-10      0.000000e+00      0.000000e+00      7.607594e-10   
    13.732162        5.826259e-10      0.000000e+00      0.000000e+00      5.826259e-10   
    13.917225        4.441563e-10      0.000000e+00      0.000000e+00      4.441563e-10   
    14.089032        3.397148e-10      0.000000e+00      0.000000e+00      3.397148e-10   
    14.247120        2.626028e-10      0.000000e+00      0.000000e+00      2.626028e-10   
    14.391062        2.065239e-10      0.000000e+00      0.000000e+00      2.065239e-10   
    14.520471        1.662371e-10      0.000000e+00      0.000000e+00      1.662371e-10   
    14.634998        1.375880e-10      0.000000e+00      0.000000e+00      1.375880e-10   
    14.734334        1.174855e-10      0.000000e+00      0.000000e+00      1.174855e-10   
    14.818211        1.036225e-10      0.000000e+00      0.000000e+00      1.036225e-10   
    14.886403        9.418451e-11      0.000000e+00      0.000000e+00      9.418451e-11   
    14.938727        8.785875e-11      0.000000e+00      0.000000e+00      8.785875e-11   
    14.975043        8.391610e-11      0.000000e+00      0.000000e+00      8.391610e-11   
    14.995261        8.200063e-11      0.000000e+00      0.000000e+00      8.200063e-11   
