#        q              total               1              \delta U         \delta U^2    

     0.001185        6.021751e+04      6.069580e+04     -5.431046e+02      6.482137e+01   
     0.006239        3.681424e+04      3.729171e+04     -5.422922e+02      6.482145e+01   
     0.015318        2.586244e+04      2.634065e+04     -5.430283e+02      6.482183e+01   
     0.028399        1.990367e+04      2.038353e+04     -5.446862e+02      6.482385e+01   
     0.045447        1.607714e+04      1.655933e+04     -5.470233e+02      6.482961e+01   
     0.066417        1.345547e+04      1.394010e+04     -5.494666e+02      6.483990e+01   
     0.091251        1.144058e+04      1.192800e+04     -5.522797e+02      6.485819e+01   
     0.119882        9.918048e+03      1.040722e+04     -5.540547e+02      6.488615e+01   
     0.152235        8.797987e+03      9.288156e+03     -5.551003e+02      6.493047e+01   
     0.188220        7.762056e+03      8.252336e+03     -5.552776e+02      6.499821e+01   
     0.227742        7.038295e+03      7.528161e+03     -5.549620e+02      6.509659e+01   
     0.270694        6.359005e+03      6.847642e+03     -5.538759e+02      6.523923e+01   
     0.316959        5.930659e+03      6.417545e+03     -5.523304e+02      6.544397e+01   
     0.366414        5.521466e+03      6.005846e+03     -5.501120e+02      6.573240e+01   
     0.418925        4.941435e+03      5.421911e+03     -5.466069e+02      6.613056e+01   
     0.474351        4.578568e+03      5.054446e+03     -5.425472e+02      6.666966e+01   
     0.532541        4.406159e+03      4.877109e+03     -5.383334e+02      6.738373e+01   
     0.593339        4.071384e+03      4.534977e+03     -5.318988e+02      6.830592e+01   
     0.656582        3.754930e+03      4.209232e+03     -5.237664e+02      6.946450e+01   
     0.722098        3.456872e+03      3.899470e+03     -5.134754e+02      7.087697e+01   
     0.789711        3.318197e+03      3.750458e+03     -5.048047e+02      7.254292e+01   
     0.859239        3.048093e+03      3.463920e+03     -4.902637e+02      7.443630e+01   
     0.930495        2.796167e+03      3.192361e+03     -4.726927e+02      7.649873e+01   
     1.003286        2.561988e+03      2.935379e+03     -4.520259e+02      7.863502e+01   
     1.077416        2.344895e+03      2.692571e+03     -4.283889e+02      8.071252e+01   
     1.152685        2.143946e+03      2.463536e+03     -4.021565e+02      8.256598e+01   
     1.228890        1.779446e+03      2.045177e+03     -3.497389e+02      8.400807e+01   
     1.305826        1.468549e+03      1.677083e+03     -2.933798e+02      8.484589e+01   
     1.383286        7.736229e+02      8.370962e+02     -1.483757e+02      8.490231e+01   
     1.461060        8.403819e+01      0.000000e+00      0.000000e+00      8.403819e+01   
     1.538940        8.217216e+01      0.000000e+00      0.000000e+00      8.217216e+01   
     1.616714        7.929428e+01      0.000000e+00      0.000000e+00      7.929428e+01   
     1.694174        7.547033e+01      0.000000e+00      0.000000e+00      7.547033e+01   
     1.771110        7.083531e+01      0.000000e+00      0.000000e+00      7.083531e+01   
     1.847315        6.557773e+01      0.000000e+00      0.000000e+00      6.557773e+01   
     1.922584        5.991799e+01      0.000000e+00      0.000000e+00      5.991799e+01   
     1.996714        5.408417e+01      0.000000e+00      0.000000e+00      5.408417e+01   
     2.069505        4.828952e+01      0.000000e+00      0.000000e+00      4.828952e+01   
     2.140761        4.271509e+01      0.000000e+00      0.000000e+00      4.271509e+01   
     2.210289        3.749926e+01      0.000000e+00      0.000000e+00      3.749926e+01   
     2.277902        3.273437e+01      0.000000e+00      0.000000e+00      3.273437e+01   
     2.343418        2.846930e+01      0.000000e+00      0.000000e+00      2.846930e+01   
     2.406661        2.471621e+01      0.000000e+00      0.000000e+00      2.471621e+01   
     2.467459        2.145943e+01      0.000000e+00      0.000000e+00      2.145943e+01   
     2.525649        1.866451e+01      0.000000e+00      0.000000e+00      1.866451e+01   
     2.581075        1.628637e+01      0.000000e+00      0.000000e+00      1.628637e+01   
     2.633586        1.427579e+01      0.000000e+00      0.000000e+00      1.427579e+01   
     2.683041        1.258393e+01      0.000000e+00      0.000000e+00      1.258393e+01   
     2.729306        1.116528e+01      0.000000e+00      0.000000e+00      1.116528e+01   
     2.772258        9.979176e+00      0.000000e+00      0.000000e+00      9.979176e+00   
     2.811780        8.990325e+00      0.000000e+00      0.000000e+00      8.990325e+00   
     2.847765        8.168795e+00      0.000000e+00      0.000000e+00      8.168795e+00   
     2.880118        7.489605e+00      0.000000e+00      0.000000e+00      7.489605e+00   
     2.908749        6.932190e+00      0.000000e+00      0.000000e+00      6.932190e+00   
     2.933583        6.479835e+00      0.000000e+00      0.000000e+00      6.479835e+00   
     2.954553        6.119140e+00      0.000000e+00      0.000000e+00      6.119140e+00   
     2.971601        5.839561e+00      0.000000e+00      0.000000e+00      5.839561e+00   
     2.984682        5.633025e+00      0.000000e+00      0.000000e+00      5.633025e+00   
     2.993761        5.493631e+00      0.000000e+00      0.000000e+00      5.493631e+00   
     2.998815        5.417402e+00      0.000000e+00      0.000000e+00      5.417402e+00   
     3.004739        5.329287e+00      0.000000e+00      0.000000e+00      5.329287e+00   
     3.024957        5.038334e+00      0.000000e+00      0.000000e+00      5.038334e+00   
     3.061273        4.551811e+00      0.000000e+00      0.000000e+00      4.551811e+00   
     3.113597        3.925655e+00      0.000000e+00      0.000000e+00      3.925655e+00   
     3.181789        3.226711e+00      0.000000e+00      0.000000e+00      3.226711e+00   
     3.265666        2.521560e+00      0.000000e+00      0.000000e+00      2.521560e+00   
     3.365002        1.867131e+00      0.000000e+00      0.000000e+00      1.867131e+00   
     3.479529        1.304552e+00      0.000000e+00      0.000000e+00      1.304552e+00   
     3.608938        8.565479e-01      0.000000e+00      0.000000e+00      8.565479e-01   
     3.752880        5.279094e-01      0.000000e+00      0.000000e+00      5.279094e-01   
     3.910968        3.083661e-01      0.000000e+00      0.000000e+00      3.083661e-01   
     4.082775        1.772095e-01      0.000000e+00      0.000000e+00      1.772095e-01   
     4.267838        1.088533e-01      0.000000e+00      0.000000e+00      1.088533e-01   
     4.465657        7.830446e-02      0.000000e+00      0.000000e+00      7.830446e-02   
     4.675701        6.543382e-02      0.000000e+00      0.000000e+00      6.543382e-02   
     4.897402        5.720141e-02      0.000000e+00      0.000000e+00      5.720141e-02   
     5.130163        4.760863e-02      0.000000e+00      0.000000e+00      4.760863e-02   
     5.373356        3.587708e-02      0.000000e+00      0.000000e+00      3.587708e-02   
     5.626327        2.385932e-02      0.000000e+00      0.000000e+00      2.385932e-02   
     5.888392        1.374244e-02      0.000000e+00      0.000000e+00      1.374244e-02   
     6.158845        6.723589e-03      0.000000e+00      0.000000e+00      6.723589e-03   
     6.436958        2.755861e-03      0.000000e+00      0.000000e+00      2.755861e-03   
     6.721980        9.966436e-04      0.000000e+00      0.000000e+00      9.966436e-04   
     7.013143        4.352922e-04      0.000000e+00      0.000000e+00      4.352922e-04   
     7.309662        3.203446e-04      0.000000e+00      0.000000e+00      3.203446e-04   
     7.610739        2.752766e-04      0.000000e+00      0.000000e+00      2.752766e-04   
     7.915560        1.996360e-04      0.000000e+00      0.000000e+00      1.996360e-04   
     8.223305        1.134634e-04      0.000000e+00      0.000000e+00      1.134634e-04   
     8.533144        4.978891e-05      0.000000e+00      0.000000e+00      4.978891e-05   
     8.844241        1.746547e-05      0.000000e+00      0.000000e+00      1.746547e-05   
     9.155759        6.877761e-06      0.000000e+00      0.000000e+00      6.877761e-06   
     9.466856        5.274406e-06      0.000000e+00      0.000000e+00      5.274406e-06   
     9.776695        5.046983e-06      0.000000e+00      0.000000e+00      5.046983e-06   
    10.084440        3.995644e-06      0.000000e+00      0.000000e+00      3.995644e-06   
    10.389261        2.494922e-06      0.000000e+00      0.000000e+00      2.494922e-06   
    10.690338        1.247578e-06      0.000000e+00      0.000000e+00      1.247578e-06   
    10.986857        5.090158e-07      0.000000e+00      0.000000e+00      5.090158e-07   
    11.278020        1.796068e-07      0.000000e+00      0.000000e+00      1.796068e-07   
    11.563042        6.998158e-08      0.000000e+00      0.000000e+00      6.998158e-08   
    11.841155        4.430045e-08      0.000000e+00      0.000000e+00      4.430045e-08   
    12.111608        3.928037e-08      0.000000e+00      0.000000e+00      3.928037e-08   
    12.373673        3.553422e-08      0.000000e+00      0.000000e+00      3.553422e-08   
    12.626644        3.052037e-08      0.000000e+00      0.000000e+00      3.052037e-08   
    12.869837        2.526821e-08      0.000000e+00      0.000000e+00      2.526821e-08   
    13.102598        2.052227e-08      0.000000e+00      0.000000e+00      2.052227e-08   
    13.324299        1.646737e-08      0.000000e+00      0.000000e+00      1.646737e-08   
    13.534343        1.307659e-08      0.000000e+00      0.000000e+00      1.307659e-08   
    13.732162        1.029327e-08      0.000000e+00      0.000000e+00      1.029327e-08   
    13.917225        8.060270e-09      0.000000e+00      0.000000e+00      8.060270e-09   
    14.089032        6.312278e-09      0.000000e+00      0.000000e+00      6.312278e-09   
    14.247120        4.975244e-09      0.000000e+00      0.000000e+00      4.975244e-09   
    14.391062        3.973662e-09      0.000000e+00      0.000000e+00      3.973662e-09   
    14.520471        3.237015e-09      0.000000e+00      0.000000e+00      3.237015e-09   
    14.634998        2.703704e-09      0.000000e+00      0.000000e+00      2.703704e-09   
    14.734334        2.324435e-09      0.000000e+00      0.000000e+00      2.324435e-09   
    14.818211        2.059585e-09      0.000000e+00      0.000000e+00      2.059585e-09   
    14.886403        1.876994e-09      0.000000e+00      0.000000e+00      1.876994e-09   
    14.938727        1.753169e-09      0.000000e+00      0.000000e+00      1.753169e-09   
    14.975043        1.676652e-09      0.000000e+00      0.000000e+00      1.676652e-09   
    14.995261        1.639151e-09      0.000000e+00      0.000000e+00      1.639151e-09   
