#        q              total               1              \delta U         \delta U^2    

     0.001185        6.064625e+04      6.069580e+04     -4.972507e+01      1.811261e-01   
     0.006239        3.724229e+04      3.729171e+04     -4.960520e+01      1.811177e-01   
     0.015318        2.629123e+04      2.634065e+04     -4.959833e+01      1.810729e-01   
     0.028399        2.033407e+04      2.038353e+04     -4.964066e+01      1.810593e-01   
     0.045447        1.650981e+04      1.655933e+04     -4.970674e+01      1.811485e-01   
     0.066417        1.389054e+04      1.394010e+04     -4.973797e+01      1.812717e-01   
     0.091251        1.187840e+04      1.192800e+04     -4.977675e+01      1.815606e-01   
     0.119882        1.035763e+04      1.040722e+04     -4.976902e+01      1.818240e-01   
     0.152235        9.238606e+03      9.288156e+03     -4.973291e+01      1.824042e-01   
     0.188220        8.202881e+03      8.252336e+03     -4.963780e+01      1.834252e-01   
     0.227742        7.478842e+03      7.528161e+03     -4.950312e+01      1.847615e-01   
     0.270694        6.798534e+03      6.847642e+03     -4.929443e+01      1.867098e-01   
     0.316959        6.368702e+03      6.417545e+03     -4.903278e+01      1.896549e-01   
     0.366414        5.957345e+03      6.005846e+03     -4.869415e+01      1.939320e-01   
     0.418925        5.373889e+03      5.421911e+03     -4.822205e+01      1.999309e-01   
     0.474351        5.006980e+03      5.054446e+03     -4.767437e+01      2.082814e-01   
     0.532541        4.830250e+03      4.877109e+03     -4.707885e+01      2.197990e-01   
     0.593339        4.488955e+03      4.534977e+03     -4.625740e+01      2.353923e-01   
     0.656582        4.164235e+03      4.209232e+03     -4.525305e+01      2.561180e-01   
     0.722098        3.855729e+03      3.899470e+03     -4.402424e+01      2.831961e-01   
     0.789711        3.707876e+03      3.750458e+03     -4.290065e+01      3.179618e-01   
     0.859239        3.423044e+03      3.463920e+03     -4.123758e+01      3.617973e-01   
     0.930495        3.153485e+03      3.192361e+03     -3.929151e+01      4.160597e-01   
     1.003286        2.898789e+03      2.935379e+03     -3.707178e+01      4.819947e-01   
     1.077416        2.658525e+03      2.692571e+03     -3.460702e+01      5.606247e-01   
     1.152685        2.432242e+03      2.463536e+03     -3.194742e+01      6.526280e-01   
     1.228890        2.018685e+03      2.045177e+03     -2.724972e+01      7.582121e-01   
     1.305826        1.655574e+03      1.677083e+03     -2.238555e+01      8.769864e-01   
     1.383286        8.270554e+02      8.370962e+02     -1.104873e+01      1.007883e+00   
     1.461060        1.149119e+00      0.000000e+00      0.000000e+00      1.149119e+00   
     1.538940        1.298207e+00      0.000000e+00      0.000000e+00      1.298207e+00   
     1.616714        1.452033e+00      0.000000e+00      0.000000e+00      1.452033e+00   
     1.694174        1.606968e+00      0.000000e+00      0.000000e+00      1.606968e+00   
     1.771110        1.759048e+00      0.000000e+00      0.000000e+00      1.759048e+00   
     1.847315        1.904195e+00      0.000000e+00      0.000000e+00      1.904195e+00   
     1.922584        2.038463e+00      0.000000e+00      0.000000e+00      2.038463e+00   
     1.996714        2.158285e+00      0.000000e+00      0.000000e+00      2.158285e+00   
     2.069505        2.260692e+00      0.000000e+00      0.000000e+00      2.260692e+00   
     2.140761        2.343477e+00      0.000000e+00      0.000000e+00      2.343477e+00   
     2.210289        2.405316e+00      0.000000e+00      0.000000e+00      2.405316e+00   
     2.277902        2.445798e+00      0.000000e+00      0.000000e+00      2.445798e+00   
     2.343418        2.465353e+00      0.000000e+00      0.000000e+00      2.465353e+00   
     2.406661        2.465257e+00      0.000000e+00      0.000000e+00      2.465257e+00   
     2.467459        2.447432e+00      0.000000e+00      0.000000e+00      2.447432e+00   
     2.525649        2.414270e+00      0.000000e+00      0.000000e+00      2.414270e+00   
     2.581075        2.368502e+00      0.000000e+00      0.000000e+00      2.368502e+00   
     2.633586        2.312968e+00      0.000000e+00      0.000000e+00      2.312968e+00   
     2.683041        2.250490e+00      0.000000e+00      0.000000e+00      2.250490e+00   
     2.729306        2.183767e+00      0.000000e+00      0.000000e+00      2.183767e+00   
     2.772258        2.115250e+00      0.000000e+00      0.000000e+00      2.115250e+00   
     2.811780        2.047180e+00      0.000000e+00      0.000000e+00      2.047180e+00   
     2.847765        1.981506e+00      0.000000e+00      0.000000e+00      1.981506e+00   
     2.880118        1.919822e+00      0.000000e+00      0.000000e+00      1.919822e+00   
     2.908749        1.863449e+00      0.000000e+00      0.000000e+00      1.863449e+00   
     2.933583        1.813387e+00      0.000000e+00      0.000000e+00      1.813387e+00   
     2.954553        1.770400e+00      0.000000e+00      0.000000e+00      1.770400e+00   
     2.971601        1.735037e+00      0.000000e+00      0.000000e+00      1.735037e+00   
     2.984682        1.707681e+00      0.000000e+00      0.000000e+00      1.707681e+00   
     2.993761        1.688584e+00      0.000000e+00      0.000000e+00      1.688584e+00   
     2.998815        1.677913e+00      0.000000e+00      0.000000e+00      1.677913e+00   
     3.004739        1.665349e+00      0.000000e+00      0.000000e+00      1.665349e+00   
     3.024957        1.622065e+00      0.000000e+00      0.000000e+00      1.622065e+00   
     3.061273        1.543303e+00      0.000000e+00      0.000000e+00      1.543303e+00   
     3.113597        1.428744e+00      0.000000e+00      0.000000e+00      1.428744e+00   
     3.181789        1.281481e+00      0.000000e+00      0.000000e+00      1.281481e+00   
     3.265666        1.104555e+00      0.000000e+00      0.000000e+00      1.104555e+00   
     3.365002        9.060542e-01      0.000000e+00      0.000000e+00      9.060542e-01   
     3.479529        7.006748e-01      0.000000e+00      0.000000e+00      7.006748e-01   
     3.608938        5.056348e-01      0.000000e+00      0.000000e+00      5.056348e-01   
     3.752880        3.381931e-01      0.000000e+00      0.000000e+00      3.381931e-01   
     3.910968        2.122800e-01      0.000000e+00      0.000000e+00      2.122800e-01   
     4.082775        1.328103e-01      0.000000e+00      0.000000e+00      1.328103e-01   
     4.267838        9.428031e-02      0.000000e+00      0.000000e+00      9.428031e-02   
     4.465657        8.279418e-02      0.000000e+00      0.000000e+00      8.279418e-02   
     4.675701        8.179098e-02      0.000000e+00      0.000000e+00      8.179098e-02   
     4.897402        7.855246e-02      0.000000e+00      0.000000e+00      7.855246e-02   
     5.130163        6.783593e-02      0.000000e+00      0.000000e+00      6.783593e-02   
     5.373356        5.115827e-02      0.000000e+00      0.000000e+00      5.115827e-02   
     5.626327        3.323784e-02      0.000000e+00      0.000000e+00      3.323784e-02   
     5.888392        1.834689e-02      0.000000e+00      0.000000e+00      1.834689e-02   
     6.158845        8.433648e-03      0.000000e+00      0.000000e+00      8.433648e-03   
     6.436958        3.175973e-03      0.000000e+00      0.000000e+00      3.175973e-03   
     6.721980        1.060746e-03      0.000000e+00      0.000000e+00      1.060746e-03   
     7.013143        4.952945e-04      0.000000e+00      0.000000e+00      4.952945e-04   
     7.309662        4.157508e-04      0.000000e+00      0.000000e+00      4.157508e-04   
     7.610739        3.595772e-04      0.000000e+00      0.000000e+00      3.595772e-04   
     7.915560        2.462223e-04      0.000000e+00      0.000000e+00      2.462223e-04   
     8.223305        1.286691e-04      0.000000e+00      0.000000e+00      1.286691e-04   
     8.533144        5.133287e-05      0.000000e+00      0.000000e+00      5.133287e-05   
     8.844241        1.736981e-05      0.000000e+00      0.000000e+00      1.736981e-05   
     9.155759        8.405079e-06      0.000000e+00      0.000000e+00      8.405079e-06   
     9.466856        7.303887e-06      0.000000e+00      0.000000e+00      7.303887e-06   
     9.776695        6.254066e-06      0.000000e+00      0.000000e+00      6.254066e-06   
    10.084440        4.200321e-06      0.000000e+00      0.000000e+00      4.200321e-06   
    10.389261        2.191486e-06      0.000000e+00      0.000000e+00      2.191486e-06   
    10.690338        9.032350e-07      0.000000e+00      0.000000e+00      9.032350e-07   
    10.986857        3.058821e-07      0.000000e+00      0.000000e+00      3.058821e-07   
    11.278020        1.002235e-07      0.000000e+00      0.000000e+00      1.002235e-07   
    11.563042        4.709575e-08      0.000000e+00      0.000000e+00      4.709575e-08   
    11.841155        3.626924e-08      0.000000e+00      0.000000e+00      3.626924e-08   
    12.111608        3.513018e-08      0.000000e+00      0.000000e+00      3.513018e-08   
    12.373673        3.658283e-08      0.000000e+00      0.000000e+00      3.658283e-08   
    12.626644        3.755585e-08      0.000000e+00      0.000000e+00      3.755585e-08   
    12.869837        3.591628e-08      0.000000e+00      0.000000e+00      3.591628e-08   
    13.102598        3.135394e-08      0.000000e+00      0.000000e+00      3.135394e-08   
    13.324299        2.507204e-08      0.000000e+00      0.000000e+00      2.507204e-08   
    13.534343        1.863679e-08      0.000000e+00      0.000000e+00      1.863679e-08   
    13.732162        1.313737e-08      0.000000e+00      0.000000e+00      1.313737e-08   
    13.917225        8.986107e-09      0.000000e+00      0.000000e+00      8.986107e-09   
    14.089032        6.112210e-09      0.000000e+00      0.000000e+00      6.112210e-09   
    14.247120        4.233753e-09      0.000000e+00      0.000000e+00      4.233753e-09   
    14.391062        3.045677e-09      0.000000e+00      0.000000e+00      3.045677e-09   
    14.520471        2.303850e-09      0.000000e+00      0.000000e+00      2.303850e-09   
    14.634998        1.838082e-09      0.000000e+00      0.000000e+00      1.838082e-09   
    14.734334        1.542729e-09      0.000000e+00      0.000000e+00      1.542729e-09   
    14.818211        1.353984e-09      0.000000e+00      0.000000e+00      1.353984e-09   
    14.886403        1.231193e-09      0.000000e+00      0.000000e+00      1.231193e-09   
    14.938727        1.151096e-09      0.000000e+00      0.000000e+00      1.151096e-09   
    14.975043        1.099727e-09      0.000000e+00      0.000000e+00      1.099727e-09   
    14.995261        1.075799e-09      0.000000e+00      0.000000e+00      1.075799e-09   
