#        q              total               1              \delta U         \delta U^2    

     0.001185        1.539879e+04      1.539996e+04     -1.176998e+00      3.606951e-03   
     0.006239        7.763462e+03      7.764635e+03     -1.175901e+00      3.047080e-03   
     0.015318        5.053272e+03      5.054446e+03     -1.174414e+00      1.057033e-03   
     0.028399        3.604117e+03      3.605292e+03     -1.175204e+00     -8.073994e-06   
     0.045447        2.691396e+03      2.692571e+03     -1.176175e+00      5.996024e-04   
     0.066417        2.143753e+03      2.144929e+03     -1.176243e+00      5.569751e-04   
     0.091251        1.675909e+03      1.677083e+03     -1.175108e+00      9.734320e-04   
     0.119882        1.430890e+03      1.432064e+03     -1.174074e+00      8.625058e-05   
     0.152235        1.210979e+03      1.212152e+03     -1.172965e+00     -5.544212e-04   
     0.188220        1.014822e+03      1.015991e+03     -1.170186e+00      1.395978e-03   
     0.227742        8.410584e+02      8.422233e+02     -1.165771e+00      9.018327e-04   
     0.270694        7.369880e+02      7.381486e+02     -1.160550e+00     -9.263434e-05   
     0.316959        6.418684e+02      6.430212e+02     -1.152844e+00      1.089027e-04   
     0.366414        5.552978e+02      5.564389e+02     -1.141697e+00      5.857951e-04   
     0.418925        5.150927e+02      5.162265e+02     -1.134369e+00      5.920719e-04   
     0.474351        4.405935e+02      4.417079e+02     -1.114714e+00      3.111498e-04   
     0.532541        3.736426e+02      3.747292e+02     -1.086904e+00      2.902547e-04   
     0.593339        3.428727e+02      3.439416e+02     -1.069289e+00      4.080637e-04   
     0.656582        2.864944e+02      2.875186e+02     -1.024580e+00      4.317804e-04   
     0.722098        2.607857e+02      2.617826e+02     -9.973004e-01      3.859411e-04   
     0.789711        2.140796e+02      2.150106e+02     -9.314003e-01      3.705849e-04   
     0.859239        1.929813e+02      1.938740e+02     -8.931069e-01      3.952386e-04   
     0.930495        1.550427e+02      1.558481e+02     -8.058957e-01      4.210568e-04   
     1.003286        1.224435e+02      1.231504e+02     -7.073890e-01      4.349042e-04   
     1.077416        9.477744e+01      9.537875e+01     -6.017640e-01      4.521086e-04   
     1.152685        7.163731e+01      7.213097e+01     -4.941431e-01      4.813788e-04   
     1.228890        4.452205e+01      4.486194e+01     -3.404086e-01      5.202521e-04   
     1.305826        2.041165e+01      2.058372e+01     -1.726258e-01      5.656081e-04   
     1.383286        3.487025e+00      3.518584e+00     -3.217712e-02      6.182475e-04   
     1.461060        6.801263e-04      0.000000e+00      0.000000e+00      6.801263e-04   
     1.538940        7.517999e-04      0.000000e+00      0.000000e+00      7.517999e-04   
     1.616714        8.331341e-04      0.000000e+00      0.000000e+00      8.331341e-04   
     1.694174        9.244536e-04      0.000000e+00      0.000000e+00      9.244536e-04   
     1.771110        1.025742e-03      0.000000e+00      0.000000e+00      1.025742e-03   
     1.847315        1.136811e-03      0.000000e+00      0.000000e+00      1.136811e-03   
     1.922584        1.257264e-03      0.000000e+00      0.000000e+00      1.257264e-03   
     1.996714        1.386504e-03      0.000000e+00      0.000000e+00      1.386504e-03   
     2.069505        1.523746e-03      0.000000e+00      0.000000e+00      1.523746e-03   
     2.140761        1.668038e-03      0.000000e+00      0.000000e+00      1.668038e-03   
     2.210289        1.818301e-03      0.000000e+00      0.000000e+00      1.818301e-03   
     2.277902        1.973312e-03      0.000000e+00      0.000000e+00      1.973312e-03   
     2.343418        2.131746e-03      0.000000e+00      0.000000e+00      2.131746e-03   
     2.406661        2.292195e-03      0.000000e+00      0.000000e+00      2.292195e-03   
     2.467459        2.453219e-03      0.000000e+00      0.000000e+00      2.453219e-03   
     2.525649        2.613405e-03      0.000000e+00      0.000000e+00      2.613405e-03   
     2.581075        2.771310e-03      0.000000e+00      0.000000e+00      2.771310e-03   
     2.633586        2.925524e-03      0.000000e+00      0.000000e+00      2.925524e-03   
     2.683041        3.074649e-03      0.000000e+00      0.000000e+00      3.074649e-03   
     2.729306        3.217316e-03      0.000000e+00      0.000000e+00      3.217316e-03   
     2.772258        3.352240e-03      0.000000e+00      0.000000e+00      3.352240e-03   
     2.811780        3.478299e-03      0.000000e+00      0.000000e+00      3.478299e-03   
     2.847765        3.594545e-03      0.000000e+00      0.000000e+00      3.594545e-03   
     2.880118        3.700201e-03      0.000000e+00      0.000000e+00      3.700201e-03   
     2.908749        3.794635e-03      0.000000e+00      0.000000e+00      3.794635e-03   
     2.933583        3.877317e-03      0.000000e+00      0.000000e+00      3.877317e-03   
     2.954553        3.947772e-03      0.000000e+00      0.000000e+00      3.947772e-03   
     2.971601        4.005541e-03      0.000000e+00      0.000000e+00      4.005541e-03   
     2.984682        4.050202e-03      0.000000e+00      0.000000e+00      4.050202e-03   
     2.993761        4.081355e-03      0.000000e+00      0.000000e+00      4.081355e-03   
     2.998815        4.098746e-03      0.000000e+00      0.000000e+00      4.098746e-03   
     3.004739        4.119058e-03      0.000000e+00      0.000000e+00      4.119058e-03   
     3.024957        4.187774e-03      0.000000e+00      0.000000e+00      4.187774e-03   
     3.061273        4.310337e-03      0.000000e+00      0.000000e+00      4.310337e-03   
     3.113597        4.485963e-03      0.000000e+00      0.000000e+00      4.485963e-03   
     3.181789        4.719386e-03      0.000000e+00      0.000000e+00      4.719386e-03   
     3.265666        5.004378e-03      0.000000e+00      0.000000e+00      5.004378e-03   
     3.365002        5.332080e-03      0.000000e+00      0.000000e+00      5.332080e-03   
     3.479529        5.694371e-03      0.000000e+00      0.000000e+00      5.694371e-03   
     3.608938        6.074415e-03      0.000000e+00      0.000000e+00      6.074415e-03   
     3.752880        6.447178e-03      0.000000e+00      0.000000e+00      6.447178e-03   
     3.910968        6.782621e-03      0.000000e+00      0.000000e+00      6.782621e-03   
     4.082775        7.044737e-03      0.000000e+00      0.000000e+00      7.044737e-03   
     4.267838        7.195324e-03      0.000000e+00      0.000000e+00      7.195324e-03   
     4.465657        7.198387e-03      0.000000e+00      0.000000e+00      7.198387e-03   
     4.675701        7.025776e-03      0.000000e+00      0.000000e+00      7.025776e-03   
     4.897402        6.663572e-03      0.000000e+00      0.000000e+00      6.663572e-03   
