#        q              total               1              \delta U         \delta U^2    

     0.001185        3.148120e+04      3.149962e+04     -2.126384e+01      2.845474e+00   
     0.006239        1.614803e+04      1.616664e+04     -2.144920e+01      2.845566e+00   
     0.015318        1.068139e+04      1.070037e+04     -2.182551e+01      2.845923e+00   
     0.028399        7.986467e+03      8.006010e+03     -2.238836e+01      2.845697e+00   
     0.045447        6.189145e+03      6.209421e+03     -2.311940e+01      2.843840e+00   
     0.066417        5.033352e+03      5.054446e+03     -2.393506e+01      2.840980e+00   
     0.091251        4.187520e+03      4.209232e+03     -2.454744e+01      2.836037e+00   
     0.119882        3.583201e+03      3.605292e+03     -2.491934e+01      2.828996e+00   
     0.152235        3.039761e+03      3.062073e+03     -2.512983e+01      2.818655e+00   
     0.188220        2.670127e+03      2.692571e+03     -2.524767e+01      2.803339e+00   
     0.227742        2.331569e+03      2.354058e+03     -2.527353e+01      2.784369e+00   
     0.270694        2.122454e+03      2.144929e+03     -2.523513e+01      2.760254e+00   
     0.316959        1.926171e+03      1.948567e+03     -2.512561e+01      2.730000e+00   
     0.366414        1.742322e+03      1.764570e+03     -2.494165e+01      2.693532e+00   
     0.418925        1.570519e+03      1.592536e+03     -2.466871e+01      2.651092e+00   
     0.474351        1.410381e+03      1.432064e+03     -2.428559e+01      2.602801e+00   
     0.532541        1.261524e+03      1.282750e+03     -2.377518e+01      2.548791e+00   
     0.593339        1.191297e+03      1.212152e+03     -2.334473e+01      2.489715e+00   
     0.656582        1.058669e+03      1.078823e+03     -2.258042e+01      2.426382e+00   
     0.722098        9.963731e+02      1.015991e+03     -2.197740e+01      2.359415e+00   
     0.789711        8.791138e+02      8.977415e+02     -2.091687e+01      2.289170e+00   
     0.859239        8.242945e+02      8.422233e+02     -2.014444e+01      2.215620e+00   
     0.930495        7.214961e+02      7.381486e+02     -1.879074e+01      2.138189e+00   
     1.003286        6.278091e+02      6.430212e+02     -1.726775e+01      2.055691e+00   
     1.077416        5.427905e+02      5.564389e+02     -1.561487e+01      1.966457e+00   
     1.152685        4.659869e+02      4.779996e+02     -1.388129e+01      1.868629e+00   
     1.228890        3.651201e+02      3.747292e+02     -1.136962e+01      1.760572e+00   
     1.305826        2.802260e+02      2.875186e+02     -8.933922e+00      1.641377e+00   
     1.383286        4.910595e+00      3.518584e+00     -1.193173e-01      1.511328e+00   
     1.461060        1.372184e+00      0.000000e+00      0.000000e+00      1.372184e+00   
     1.538940        1.227208e+00      0.000000e+00      0.000000e+00      1.227208e+00   
     1.616714        1.080918e+00      0.000000e+00      0.000000e+00      1.080918e+00   
     1.694174        9.385440e-01      0.000000e+00      0.000000e+00      9.385440e-01   
     1.771110        8.053201e-01      0.000000e+00      0.000000e+00      8.053201e-01   
     1.847315        6.858011e-01      0.000000e+00      0.000000e+00      6.858011e-01   
     1.922584        5.833204e-01      0.000000e+00      0.000000e+00      5.833204e-01   
     1.996714        4.996675e-01      0.000000e+00      0.000000e+00      4.996675e-01   
     2.069505        4.350423e-01      0.000000e+00      0.000000e+00      4.350423e-01   
     2.140761        3.882533e-01      0.000000e+00      0.000000e+00      3.882533e-01   
     2.210289        3.570753e-01      0.000000e+00      0.000000e+00      3.570753e-01   
     2.277902        3.386769e-01      0.000000e+00      0.000000e+00      3.386769e-01   
     2.343418        3.300343e-01      0.000000e+00      0.000000e+00      3.300343e-01   
     2.406661        3.282682e-01      0.000000e+00      0.000000e+00      3.282682e-01   
     2.467459        3.308737e-01      0.000000e+00      0.000000e+00      3.308737e-01   
     2.525649        3.358403e-01      0.000000e+00      0.000000e+00      3.358403e-01   
     2.581075        3.416786e-01      0.000000e+00      0.000000e+00      3.416786e-01   
     2.633586        3.473795e-01      0.000000e+00      0.000000e+00      3.473795e-01   
     2.683041        3.523351e-01      0.000000e+00      0.000000e+00      3.523351e-01   
     2.729306        3.562463e-01      0.000000e+00      0.000000e+00      3.562463e-01   
     2.772258        3.590336e-01      0.000000e+00      0.000000e+00      3.590336e-01   
     2.811780        3.607611e-01      0.000000e+00      0.000000e+00      3.607611e-01   
     2.847765        3.615767e-01      0.000000e+00      0.000000e+00      3.615767e-01   
     2.880118        3.616691e-01      0.000000e+00      0.000000e+00      3.616691e-01   
     2.908749        3.612378e-01      0.000000e+00      0.000000e+00      3.612378e-01   
     2.933583        3.604745e-01      0.000000e+00      0.000000e+00      3.604745e-01   
     2.954553        3.595515e-01      0.000000e+00      0.000000e+00      3.595515e-01   
     2.971601        3.586161e-01      0.000000e+00      0.000000e+00      3.586161e-01   
     2.984682        3.577877e-01      0.000000e+00      0.000000e+00      3.577877e-01   
     2.993761        3.571571e-01      0.000000e+00      0.000000e+00      3.571571e-01   
     2.998815        3.567865e-01      0.000000e+00      0.000000e+00      3.567865e-01   
     3.004739        3.563345e-01      0.000000e+00      0.000000e+00      3.563345e-01   
     3.024957        3.546505e-01      0.000000e+00      0.000000e+00      3.546505e-01   
     3.061273        3.510948e-01      0.000000e+00      0.000000e+00      3.510948e-01   
     3.113597        3.448494e-01      0.000000e+00      0.000000e+00      3.448494e-01   
     3.181789        3.349373e-01      0.000000e+00      0.000000e+00      3.349373e-01   
     3.265666        3.204573e-01      0.000000e+00      0.000000e+00      3.204573e-01   
     3.365002        3.008506e-01      0.000000e+00      0.000000e+00      3.008506e-01   
     3.479529        2.761257e-01      0.000000e+00      0.000000e+00      2.761257e-01   
     3.608938        2.469602e-01      0.000000e+00      0.000000e+00      2.469602e-01   
     3.752880        2.146440e-01      0.000000e+00      0.000000e+00      2.146440e-01   
     3.910968        1.808793e-01      0.000000e+00      0.000000e+00      1.808793e-01   
     4.082775        1.474994e-01      0.000000e+00      0.000000e+00      1.474994e-01   
     4.267838        1.161851e-01      0.000000e+00      0.000000e+00      1.161851e-01   
     4.465657        8.824557e-02      0.000000e+00      0.000000e+00      8.824557e-02   
     4.675701        6.449932e-02      0.000000e+00      0.000000e+00      6.449932e-02   
     4.897402        4.525837e-02      0.000000e+00      0.000000e+00      4.525837e-02   
     5.130163        3.039530e-02      0.000000e+00      0.000000e+00      3.039530e-02   
     5.373356        1.945999e-02      0.000000e+00      0.000000e+00      1.945999e-02   
     5.626327        1.181288e-02      0.000000e+00      0.000000e+00      1.181288e-02   
     5.888392        6.747821e-03      0.000000e+00      0.000000e+00      6.747821e-03   
     6.158845        3.587840e-03      0.000000e+00      0.000000e+00      3.587840e-03   
     6.436958        1.747082e-03      0.000000e+00      0.000000e+00      1.747082e-03   
     6.721980        7.601831e-04      0.000000e+00      0.000000e+00      7.601831e-04   
     7.013143        2.855943e-04      0.000000e+00      0.000000e+00      2.855943e-04   
     7.309662        9.162178e-05      0.000000e+00      0.000000e+00      9.162178e-05   
     7.610739        3.378368e-05      0.000000e+00      0.000000e+00      3.378368e-05   
     7.915560        3.037759e-05      0.000000e+00      0.000000e+00      3.037759e-05   
     8.223305        4.074100e-05      0.000000e+00      0.000000e+00      4.074100e-05   
     8.533144        4.835712e-05      0.000000e+00      0.000000e+00      4.835712e-05   
     8.844241        4.917078e-05      0.000000e+00      0.000000e+00      4.917078e-05   
     9.155759        4.439428e-05      0.000000e+00      0.000000e+00      4.439428e-05   
     9.466856        3.663570e-05      0.000000e+00      0.000000e+00      3.663570e-05   
     9.776695        2.817800e-05      0.000000e+00      0.000000e+00      2.817800e-05   
    10.084440        2.046782e-05      0.000000e+00      0.000000e+00      2.046782e-05   
    10.389261        1.417043e-05      0.000000e+00      0.000000e+00      1.417043e-05   
    10.690338        9.412573e-06      0.000000e+00      0.000000e+00      9.412573e-06   
    10.986857        6.027421e-06      0.000000e+00      0.000000e+00      6.027421e-06   
    11.278020        3.733831e-06      0.000000e+00      0.000000e+00      3.733831e-06   
    11.563042        2.242880e-06      0.000000e+00      0.000000e+00      2.242880e-06   
    11.841155        1.308231e-06      0.000000e+00      0.000000e+00      1.308231e-06   
    12.111608        7.412385e-07      0.000000e+00      0.000000e+00      7.412385e-07   
    12.373673        4.076825e-07      0.000000e+00      0.000000e+00      4.076825e-07   
    12.626644        2.172349e-07      0.000000e+00      0.000000e+00      2.172349e-07   
    12.869837        1.117699e-07      0.000000e+00      0.000000e+00      1.117699e-07   
    13.102598        5.527335e-08      0.000000e+00      0.000000e+00      5.527335e-08   
    13.324299        2.616164e-08      0.000000e+00      0.000000e+00      2.616164e-08   
    13.534343        1.188893e-08      0.000000e+00      0.000000e+00      1.188893e-08   
    13.732162        5.374328e-09      0.000000e+00      0.000000e+00      5.374328e-09   
    13.917225        2.739708e-09      0.000000e+00      0.000000e+00      2.739708e-09   
    14.089032        1.930181e-09      0.000000e+00      0.000000e+00      1.930181e-09   
    14.247120        1.899830e-09      0.000000e+00      0.000000e+00      1.899830e-09   
    14.391062        2.144330e-09      0.000000e+00      0.000000e+00      2.144330e-09   
    14.520471        2.439713e-09      0.000000e+00      0.000000e+00      2.439713e-09   
    14.634998        2.699650e-09      0.000000e+00      0.000000e+00      2.699650e-09   
    14.734334        2.901301e-09      0.000000e+00      0.000000e+00      2.901301e-09   
    14.818211        3.047621e-09      0.000000e+00      0.000000e+00      3.047621e-09   
    14.886403        3.148852e-09      0.000000e+00      0.000000e+00      3.148852e-09   
    14.938727        3.215378e-09      0.000000e+00      0.000000e+00      3.215378e-09   
    14.975043        3.255911e-09      0.000000e+00      0.000000e+00      3.255911e-09   
    14.995261        3.276769e-09      0.000000e+00      0.000000e+00      3.276769e-09   
