#        q              total               1              \delta U         \delta U^2    

     0.001185        3.269299e+04      3.273075e+04     -3.790674e+01      1.489968e-01   
     0.006239        1.692054e+04      1.695834e+04     -3.794704e+01      1.486327e-01   
     0.015318        1.126506e+04      1.130307e+04     -3.816516e+01      1.472927e-01   
     0.028399        8.214004e+03      8.252336e+03     -3.847808e+01      1.464783e-01   
     0.045447        6.378982e+03      6.417545e+03     -3.870933e+01      1.467291e-01   
     0.066417        5.197364e+03      5.236030e+03     -3.881226e+01      1.465314e-01   
     0.091251        4.331350e+03      4.370081e+03     -3.887748e+01      1.464314e-01   
     0.119882        3.711693e+03      3.750458e+03     -3.891056e+01      1.454635e-01   
     0.152235        3.287508e+03      3.326293e+03     -3.892905e+01      1.443465e-01   
     0.188220        2.896600e+03      2.935379e+03     -3.892345e+01      1.444453e-01   
     0.227742        2.537608e+03      2.576357e+03     -3.889239e+01      1.429076e-01   
     0.270694        2.209202e+03      2.247872e+03     -3.881139e+01      1.406991e-01   
     0.316959        2.006590e+03      2.045177e+03     -3.872563e+01      1.389912e-01   
     0.366414        1.816592e+03      1.855048e+03     -3.859261e+01      1.371823e-01   
     0.418925        1.638843e+03      1.677083e+03     -3.837476e+01      1.348413e-01   
     0.474351        1.554440e+03      1.592536e+03     -3.822874e+01      1.321527e-01   
     0.532541        1.394348e+03      1.432064e+03     -3.784514e+01      1.296812e-01   
     0.593339        1.245583e+03      1.282750e+03     -3.729410e+01      1.275458e-01   
     0.656582        1.175338e+03      1.212152e+03     -3.694033e+01      1.257940e-01   
     0.722098        1.042917e+03      1.078823e+03     -3.603025e+01      1.247413e-01   
     0.789711        9.806458e+02      1.015991e+03     -3.547009e+01      1.248204e-01   
     0.859239        8.637673e+02      8.977415e+02     -3.410063e+01      1.264318e-01   
     0.930495        7.567798e+02      7.890424e+02     -3.239254e+01      1.299537e-01   
     1.003286        6.592751e+02      6.894916e+02     -3.035232e+01      1.358003e-01   
     1.077416        5.708141e+02      5.986870e+02     -2.801731e+01      1.444061e-01   
     1.152685        4.909305e+02      5.162265e+02     -2.545222e+01      1.561723e-01   
     1.228890        3.861227e+02      4.073012e+02     -2.134997e+01      1.714397e-01   
     1.305826        2.473956e+02      2.617826e+02     -1.457751e+01      1.904739e-01   
     1.383286        5.840439e+01      6.172601e+01     -3.535063e+00      2.134422e-01   
     1.461060        2.403995e-01      0.000000e+00      0.000000e+00      2.403995e-01   
