#        q              total               1              \delta U         \delta U^2    

     0.001185        2.458419e+04      2.475535e+04     -1.789321e+02      7.771660e+00   
     0.006239        1.307489e+04      1.324611e+04     -1.789938e+02      7.771569e+00   
     0.015318        8.850307e+03      9.021523e+03     -1.789873e+02      7.771099e+00   
     0.028399        6.676481e+03      6.847642e+03     -1.789300e+02      7.769727e+00   
     0.045447        5.250732e+03      5.421911e+03     -1.789465e+02      7.766753e+00   
     0.066417        4.363933e+03      4.534977e+03     -1.788056e+02      7.761317e+00   
     0.091251        3.728573e+03      3.899470e+03     -1.786493e+02      7.752298e+00   
     0.119882        3.155619e+03      3.326293e+03     -1.784128e+02      7.738854e+00   
     0.152235        2.765114e+03      2.935379e+03     -1.779843e+02      7.720165e+00   
     0.188220        2.406686e+03      2.576357e+03     -1.773672e+02      7.695528e+00   
     0.227742        2.185048e+03      2.354058e+03     -1.766755e+02      7.665166e+00   
     0.270694        1.976845e+03      2.144929e+03     -1.757140e+02      7.630136e+00   
     0.316959        1.781792e+03      1.948567e+03     -1.743670e+02      7.592553e+00   
     0.366414        1.599533e+03      1.764570e+03     -1.725924e+02      7.556024e+00   
     0.418925        1.429816e+03      1.592536e+03     -1.702456e+02      7.525887e+00   
     0.474351        1.272429e+03      1.432064e+03     -1.671438e+02      7.509111e+00   
     0.532541        1.198896e+03      1.356037e+03     -1.646548e+02      7.514118e+00   
     0.593339        1.059737e+03      1.212152e+03     -1.599656e+02      7.550393e+00   
     0.656582        9.953860e+02      1.144193e+03     -1.564349e+02      7.627697e+00   
     0.722098        8.739348e+02      1.015991e+03     -1.498112e+02      7.754944e+00   
     0.789711        7.638518e+02      8.977415e+02     -1.418286e+02      7.938934e+00   
     0.859239        7.139239e+02      8.422233e+02     -1.364823e+02      8.182960e+00   
     0.930495        6.200612e+02      7.381486e+02     -1.265729e+02      8.485482e+00   
     1.003286        5.362101e+02      6.430212e+02     -1.156502e+02      8.839126e+00   
     1.077416        4.616343e+02      5.564389e+02     -1.040348e+02      9.230226e+00   
     1.152685        3.645504e+02      4.417079e+02     -8.679662e+01      9.639126e+00   
     1.228890        2.841778e+02      3.439416e+02     -6.980508e+01      1.004129e+01   
     1.305826        5.751279e+01      5.981592e+01     -1.271232e+01      1.040919e+01   
     1.383286        1.071487e+01      0.000000e+00      0.000000e+00      1.071487e+01   
     1.461060        1.093283e+01      0.000000e+00      0.000000e+00      1.093283e+01   
     1.538940        1.104275e+01      0.000000e+00      0.000000e+00      1.104275e+01   
     1.616714        1.103164e+01      0.000000e+00      0.000000e+00      1.103164e+01   
     1.694174        1.089509e+01      0.000000e+00      0.000000e+00      1.089509e+01   
