#        q              total               1              \delta U         \delta U^2    

     0.001185        2.454554e+04      2.475535e+04     -2.261531e+02      1.634074e+01   
     0.006239        1.303701e+04      1.324611e+04     -2.254370e+02      1.634072e+01   
     0.015318        8.812386e+03      9.021523e+03     -2.254774e+02      1.634040e+01   
     0.028399        6.638521e+03      6.847642e+03     -2.254578e+02      1.633771e+01   
     0.045447        5.212794e+03      5.421911e+03     -2.254480e+02      1.633020e+01   
     0.066417        4.326025e+03      4.534977e+03     -2.252692e+02      1.631685e+01   
     0.091251        3.690747e+03      3.899470e+03     -2.250185e+02      1.629472e+01   
     0.119882        3.117999e+03      3.326293e+03     -2.245552e+02      1.626143e+01   
     0.152235        2.727620e+03      2.935379e+03     -2.239723e+02      1.621410e+01   
     0.188220        2.369491e+03      2.576357e+03     -2.230155e+02      1.614940e+01   
     0.227742        2.148239e+03      2.354058e+03     -2.218871e+02      1.606748e+01   
     0.270694        1.940538e+03      2.144929e+03     -2.203582e+02      1.596740e+01   
     0.316959        1.746178e+03      1.948567e+03     -2.182385e+02      1.584978e+01   
     0.366414        1.564793e+03      1.764570e+03     -2.154951e+02      1.571853e+01   
     0.418925        1.396205e+03      1.592536e+03     -2.119110e+02      1.557983e+01   
     0.474351        1.240243e+03      1.432064e+03     -2.072629e+02      1.544211e+01   
     0.532541        1.168020e+03      1.356037e+03     -2.033332e+02      1.531588e+01   
     0.593339        1.030879e+03      1.212152e+03     -1.964869e+02      1.521360e+01   
     0.656582        9.682743e+02      1.144193e+03     -1.910671e+02      1.514823e+01   
     0.722098        8.494518e+02      1.015991e+03     -1.816707e+02      1.513144e+01   
     0.789711        7.423243e+02      8.977415e+02     -1.705888e+02      1.517161e+01   
     0.859239        6.947092e+02      8.422233e+02     -1.627859e+02      1.527180e+01   
     0.930495        6.041320e+02      7.381486e+02     -1.494444e+02      1.542774e+01   
     1.003286        5.236057e+02      6.430212e+02     -1.350420e+02      1.562649e+01   
     1.077416        4.522506e+02      5.564389e+02     -1.200343e+02      1.584608e+01   
     1.152685        3.589598e+02      4.417079e+02     -9.880485e+01      1.605668e+01   
     1.228890        2.817962e+02      3.439416e+02     -7.836831e+01      1.622298e+01   
     1.305826        6.207029e+01      5.981592e+01     -1.405354e+01      1.630791e+01   
     1.383286        1.627710e+01      0.000000e+00      0.000000e+00      1.627710e+01   
     1.461060        1.610329e+01      0.000000e+00      0.000000e+00      1.610329e+01   
     1.538940        1.577013e+01      0.000000e+00      0.000000e+00      1.577013e+01   
     1.616714        1.527440e+01      0.000000e+00      0.000000e+00      1.527440e+01   
