#        q              total               1              \delta U         \delta U^2    

     0.001185        2.870695e+03      2.884070e+03     -1.529160e+01      1.916572e+00   
     0.006239        2.870691e+03      2.884070e+03     -1.529517e+01      1.916550e+00   
     0.015318        1.888048e+03      1.901424e+03     -1.529248e+01      1.916432e+00   
     0.028399        1.233743e+03      1.247118e+03     -1.529075e+01      1.916080e+00   
     0.045447        9.721410e+02      9.855113e+02     -1.528562e+01      1.915316e+00   
     0.066417        7.023956e+02      7.157553e+02     -1.527363e+01      1.913906e+00   
     0.091251        5.639610e+02      5.773053e+02     -1.525592e+01      1.911557e+00   
     0.119882        4.109652e+02      4.242721e+02     -1.521483e+01      1.907984e+00   
     0.152235        3.458503e+02      3.591155e+02     -1.516800e+01      1.902868e+00   
     0.188220        2.877943e+02      3.009960e+02     -1.509754e+01      1.895877e+00   
     0.227742        2.364054e+02      2.495116e+02     -1.499288e+01      1.886749e+00   
     0.270694        1.912917e+02      2.042601e+02     -1.484365e+01      1.875280e+00   
     0.316959        1.709974e+02      1.838460e+02     -1.470990e+01      1.861351e+00   
     0.366414        1.345986e+02      1.471899e+02     -1.443626e+01      1.844976e+00   
     0.418925        1.184565e+02      1.308473e+02     -1.421716e+01      1.826325e+00   
     0.474351        8.994980e+01      1.018818e+02     -1.373778e+01      1.805725e+00   
     0.532541        7.756296e+01      8.915840e+01     -1.337910e+01      1.783658e+00   
     0.593339        6.634359e+01      7.754079e+01     -1.295792e+01      1.760727e+00   
     0.656582        5.625519e+01      6.697876e+01     -1.246117e+01      1.737607e+00   
     0.722098        4.724709e+01      5.742203e+01     -1.188990e+01      1.714959e+00   
     0.789711        3.927607e+01      4.882035e+01     -1.123762e+01      1.693339e+00   
     0.859239        3.229121e+01      4.112345e+01     -1.050533e+01      1.673095e+00   
     0.930495        2.624793e+01      3.428106e+01     -9.687418e+00      1.654286e+00   
     1.003286        2.637275e+01      3.428106e+01     -9.544930e+00      1.636625e+00   
     1.077416        2.119755e+01      2.824292e+01     -8.664839e+00      1.619468e+00   
     1.152685        1.684108e+01      2.295876e+01     -7.719544e+00      1.601862e+00   
     1.228890        1.323636e+01      1.837832e+01     -6.724591e+00      1.582635e+00   
     1.305826        1.031013e+01      1.445133e+01     -5.701721e+00      1.560526e+00   
     1.383286        1.037589e+01      1.445133e+01     -5.609769e+00      1.534330e+00   
     1.461060        8.017201e+00      1.112752e+01     -4.613350e+00      1.503030e+00   
     1.538940        6.174390e+00      8.356636e+00     -3.648137e+00      1.465891e+00   
     1.616714        4.751731e+00      6.088407e+00     -2.759193e+00      1.422517e+00   
     1.694174        2.879748e+00      2.858849e+00     -1.351966e+00      1.372865e+00   
     1.771110        1.317230e+00      0.000000e+00      0.000000e+00      1.317230e+00   
     1.847315        1.256226e+00      0.000000e+00      0.000000e+00      1.256226e+00   
     1.922584        1.190761e+00      0.000000e+00      0.000000e+00      1.190761e+00   
     1.996714        1.121999e+00      0.000000e+00      0.000000e+00      1.121999e+00   
     2.069505        1.051301e+00      0.000000e+00      0.000000e+00      1.051301e+00   
     2.140761        9.801264e-01      0.000000e+00      0.000000e+00      9.801264e-01   
     2.210289        9.099183e-01      0.000000e+00      0.000000e+00      9.099183e-01   
     2.277902        8.419840e-01      0.000000e+00      0.000000e+00      8.419840e-01   
     2.343418        7.774029e-01      0.000000e+00      0.000000e+00      7.774029e-01   
     2.406661        7.169784e-01      0.000000e+00      0.000000e+00      7.169784e-01   
     2.467459        6.612307e-01      0.000000e+00      0.000000e+00      6.612307e-01   
     2.525649        6.104232e-01      0.000000e+00      0.000000e+00      6.104232e-01   
     2.581075        5.646057e-01      0.000000e+00      0.000000e+00      5.646057e-01   
     2.633586        5.236647e-01      0.000000e+00      0.000000e+00      5.236647e-01   
     2.683041        4.873728e-01      0.000000e+00      0.000000e+00      4.873728e-01   
     2.729306        4.554322e-01      0.000000e+00      0.000000e+00      4.554322e-01   
     2.772258        4.275096e-01      0.000000e+00      0.000000e+00      4.275096e-01   
     2.811780        4.032637e-01      0.000000e+00      0.000000e+00      4.032637e-01   
     2.847765        3.823642e-01      0.000000e+00      0.000000e+00      3.823642e-01   
     2.880118        3.645051e-01      0.000000e+00      0.000000e+00      3.645051e-01   
     2.908749        3.494117e-01      0.000000e+00      0.000000e+00      3.494117e-01   
     2.933583        3.368450e-01      0.000000e+00      0.000000e+00      3.368450e-01   
     2.954553        3.266023e-01      0.000000e+00      0.000000e+00      3.266023e-01   
     2.971601        3.185168e-01      0.000000e+00      0.000000e+00      3.185168e-01   
     2.984682        3.124566e-01      0.000000e+00      0.000000e+00      3.124566e-01   
     2.993761        3.083225e-01      0.000000e+00      0.000000e+00      3.083225e-01   
     2.998815        3.060462e-01      0.000000e+00      0.000000e+00      3.060462e-01   
     3.004739        3.034011e-01      0.000000e+00      0.000000e+00      3.034011e-01   
     3.024957        2.945558e-01      0.000000e+00      0.000000e+00      2.945558e-01   
     3.061273        2.793529e-01      0.000000e+00      0.000000e+00      2.793529e-01   
     3.113597        2.589092e-01      0.000000e+00      0.000000e+00      2.589092e-01   
     3.181789        2.346350e-01      0.000000e+00      0.000000e+00      2.346350e-01   
     3.265666        2.080373e-01      0.000000e+00      0.000000e+00      2.080373e-01   
     3.365002        1.805324e-01      0.000000e+00      0.000000e+00      1.805324e-01   
     3.479529        1.533204e-01      0.000000e+00      0.000000e+00      1.533204e-01   
     3.608938        1.273462e-01      0.000000e+00      0.000000e+00      1.273462e-01   
     3.752880        1.033218e-01      0.000000e+00      0.000000e+00      1.033218e-01   
     3.910968        8.176113e-02      0.000000e+00      0.000000e+00      8.176113e-02   
     4.082775        6.299510e-02      0.000000e+00      0.000000e+00      6.299510e-02   
     4.267838        4.717285e-02      0.000000e+00      0.000000e+00      4.717285e-02   
     4.465657        3.426786e-02      0.000000e+00      0.000000e+00      3.426786e-02   
     4.675701        2.409954e-02      0.000000e+00      0.000000e+00      2.409954e-02   
     4.897402        1.637028e-02      0.000000e+00      0.000000e+00      1.637028e-02   
     5.130163        1.071115e-02      0.000000e+00      0.000000e+00      1.071115e-02   
     5.373356        6.727728e-03      0.000000e+00      0.000000e+00      6.727728e-03   
     5.626327        4.038789e-03      0.000000e+00      0.000000e+00      4.038789e-03   
     5.888392        2.303948e-03      0.000000e+00      0.000000e+00      2.303948e-03   
     6.158845        1.239173e-03      0.000000e+00      0.000000e+00      1.239173e-03   
     6.436958        6.216543e-04      0.000000e+00      0.000000e+00      6.216543e-04   
     6.721980        2.866514e-04      0.000000e+00      0.000000e+00      2.866514e-04   
     7.013143        1.193762e-04      0.000000e+00      0.000000e+00      1.193762e-04   
     7.309662        4.465983e-05      0.000000e+00      0.000000e+00      4.465983e-05   
     7.610739        1.651092e-05      0.000000e+00      0.000000e+00      1.651092e-05   
     7.915560        8.920850e-06      0.000000e+00      0.000000e+00      8.920850e-06   
     8.223305        8.566135e-06      0.000000e+00      0.000000e+00      8.566135e-06   
     8.533144        9.521011e-06      0.000000e+00      0.000000e+00      9.521011e-06   
     8.844241        9.749091e-06      0.000000e+00      0.000000e+00      9.749091e-06   
     9.155759        8.982009e-06      0.000000e+00      0.000000e+00      8.982009e-06   
     9.466856        7.568503e-06      0.000000e+00      0.000000e+00      7.568503e-06   
     9.776695        5.934927e-06      0.000000e+00      0.000000e+00      5.934927e-06   
    10.084440        4.389240e-06      0.000000e+00      0.000000e+00      4.389240e-06   
    10.389261        3.091712e-06      0.000000e+00      0.000000e+00      3.091712e-06   
    10.690338        2.089319e-06      0.000000e+00      0.000000e+00      2.089319e-06   
    10.986857        1.362027e-06      0.000000e+00      0.000000e+00      1.362027e-06   
    11.278020        8.601196e-07      0.000000e+00      0.000000e+00      8.601196e-07   
    11.563042        5.278686e-07      0.000000e+00      0.000000e+00      5.278686e-07   
    11.841155        3.156300e-07      0.000000e+00      0.000000e+00      3.156300e-07   
    12.111608        1.842454e-07      0.000000e+00      0.000000e+00      1.842454e-07   
    12.373673        1.051910e-07      0.000000e+00      0.000000e+00      1.051910e-07   
    12.626644        5.886636e-08      0.000000e+00      0.000000e+00      5.886636e-08   
    12.869837        3.240459e-08      0.000000e+00      0.000000e+00      3.240459e-08   
    13.102598        1.767074e-08      0.000000e+00      0.000000e+00      1.767074e-08   
    13.324299        9.684246e-09      0.000000e+00      0.000000e+00      9.684246e-09   
    13.534343        5.481508e-09      0.000000e+00      0.000000e+00      5.481508e-09   
    13.732162        3.344823e-09      0.000000e+00      0.000000e+00      3.344823e-09   
    13.917225        2.303777e-09      0.000000e+00      0.000000e+00      2.303777e-09   
    14.089032        1.824557e-09      0.000000e+00      0.000000e+00      1.824557e-09   
    14.247120        1.621808e-09      0.000000e+00      0.000000e+00      1.621808e-09   
    14.391062        1.547790e-09      0.000000e+00      0.000000e+00      1.547790e-09   
    14.520471        1.529462e-09      0.000000e+00      0.000000e+00      1.529462e-09   
    14.634998        1.532685e-09      0.000000e+00      0.000000e+00      1.532685e-09   
    14.734334        1.542198e-09      0.000000e+00      0.000000e+00      1.542198e-09   
    14.818211        1.551568e-09      0.000000e+00      0.000000e+00      1.551568e-09   
    14.886403        1.558533e-09      0.000000e+00      0.000000e+00      1.558533e-09   
    14.938727        1.562882e-09      0.000000e+00      0.000000e+00      1.562882e-09   
    14.975043        1.565737e-09      0.000000e+00      0.000000e+00      1.565737e-09   
    14.995261        1.567756e-09      0.000000e+00      0.000000e+00      1.567756e-09   
