#        q              total               1              \delta U         \delta U^2    

     0.001185        2.871178e+03      2.884070e+03     -1.473452e+01      1.842503e+00   
     0.006239        2.871175e+03      2.884070e+03     -1.473754e+01      1.842477e+00   
     0.015318        1.888531e+03      1.901424e+03     -1.473508e+01      1.842342e+00   
     0.028399        1.234227e+03      1.247118e+03     -1.473294e+01      1.841943e+00   
     0.045447        9.726251e+02      9.855113e+02     -1.472727e+01      1.841073e+00   
     0.066417        7.028807e+02      7.157553e+02     -1.471411e+01      1.839466e+00   
     0.091251        5.644476e+02      5.773053e+02     -1.469451e+01      1.836788e+00   
     0.119882        4.114544e+02      4.242721e+02     -1.465038e+01      1.832709e+00   
     0.152235        3.463430e+02      3.591155e+02     -1.459933e+01      1.826859e+00   
     0.188220        2.882920e+02      3.009960e+02     -1.452285e+01      1.818851e+00   
     0.227742        2.369094e+02      2.495116e+02     -1.441051e+01      1.808367e+00   
     0.270694        1.918040e+02      2.042601e+02     -1.425119e+01      1.795147e+00   
     0.316959        1.715201e+02      1.838460e+02     -1.410488e+01      1.779017e+00   
     0.366414        1.351333e+02      1.471899e+02     -1.381658e+01      1.759942e+00   
     0.418925        1.190060e+02      1.308473e+02     -1.357936e+01      1.738046e+00   
     0.474351        9.051365e+01      1.018818e+02     -1.308182e+01      1.713623e+00   
     0.532541        7.814467e+01      8.915840e+01     -1.270086e+01      1.687128e+00   
     0.593339        6.694436e+01      7.754079e+01     -1.225558e+01      1.659154e+00   
     0.656582        5.687514e+01      6.697876e+01     -1.173399e+01      1.630376e+00   
     0.722098        4.788531e+01      5.742203e+01     -1.113820e+01      1.601478e+00   
     0.789711        3.992980e+01      4.882035e+01     -1.046360e+01      1.573056e+00   
     0.859239        3.295570e+01      4.112345e+01     -9.713270e+00      1.545523e+00   
     0.930495        2.691529e+01      3.428106e+01     -8.884800e+00      1.519033e+00   
     1.003286        2.707852e+01      3.428106e+01     -8.695962e+00      1.493421e+00   
     1.077416        2.189606e+01      2.824292e+01     -7.815064e+00      1.468203e+00   
     1.152685        1.751724e+01      2.295876e+01     -6.884137e+00      1.442620e+00   
     1.228890        1.387214e+01      1.837832e+01     -5.921905e+00      1.415731e+00   
     1.305826        1.088538e+01      1.445133e+01     -4.952485e+00      1.386539e+00   
     1.383286        1.098763e+01      1.445133e+01     -4.817831e+00      1.354134e+00   
     1.461060        8.545745e+00      1.112752e+01     -3.899588e+00      1.317812e+00   
     1.538940        6.601271e+00      8.356636e+00     -3.032514e+00      1.277148e+00   
     1.616714        5.066355e+00      6.088407e+00     -2.254086e+00      1.232034e+00   
     1.694174        2.957843e+00      2.858849e+00     -1.083665e+00      1.182659e+00   
     1.771110        1.129458e+00      0.000000e+00      0.000000e+00      1.129458e+00   
     1.847315        1.073069e+00      0.000000e+00      0.000000e+00      1.073069e+00   
