#        q              total               1              \delta U         \delta U^2    

     0.001185        2.873168e+03      2.884070e+03     -1.185239e+01      9.501350e-01   
     0.006239        2.873165e+03      2.884070e+03     -1.185517e+01      9.501270e-01   
     0.015318        1.890517e+03      1.901424e+03     -1.185713e+01      9.500842e-01   
     0.028399        1.236211e+03      1.247118e+03     -1.185685e+01      9.499546e-01   
     0.045447        9.746091e+02      9.855113e+02     -1.185189e+01      9.496777e-01   
     0.066417        7.048623e+02      7.157553e+02     -1.184220e+01      9.491750e-01   
     0.091251        5.664227e+02      5.773053e+02     -1.183094e+01      9.483310e-01   
     0.119882        4.134166e+02      4.242721e+02     -1.180251e+01      9.470675e-01   
     0.152235        3.482909e+02      3.591155e+02     -1.176985e+01      9.452849e-01   
     0.188220        2.902205e+02      3.009960e+02     -1.171834e+01      9.428655e-01   
     0.227742        2.388074e+02      2.495116e+02     -1.164394e+01      9.397599e-01   
     0.270694        1.936593e+02      2.042601e+02     -1.153672e+01      9.359476e-01   
     0.316959        1.733343e+02      1.838460e+02     -1.144311e+01      9.314500e-01   
     0.366414        1.368708e+02      1.471899e+02     -1.124543e+01      9.263656e-01   
     0.418925        1.206800e+02      1.308473e+02     -1.108823e+01      9.208844e-01   
     0.474351        9.205873e+01      1.018818e+02     -1.073840e+01      9.152825e-01   
     0.532541        7.959081e+01      8.915840e+01     -1.047751e+01      9.099201e-01   
     0.593339        6.827479e+01      7.754079e+01     -1.017124e+01      9.052322e-01   
     0.656582        5.807355e+01      6.697876e+01     -9.806903e+00      9.016954e-01   
     0.722098        4.893675e+01      5.742203e+01     -9.385057e+00      8.997814e-01   
     0.789711        4.082234e+01      4.882035e+01     -8.897910e+00      8.999005e-01   
     0.859239        3.367807e+01      4.112345e+01     -8.347720e+00      9.023392e-01   
     0.930495        2.746155e+01      3.428106e+01     -7.726701e+00      9.071961e-01   
     1.003286        2.756074e+01      3.428106e+01     -7.634648e+00      9.143316e-01   
     1.077416        2.220782e+01      2.824292e+01     -6.958437e+00      9.233369e-01   
     1.152685        1.766799e+01      2.295876e+01     -6.224301e+00      9.335336e-01   
     1.228890        1.387792e+01      1.837832e+01     -5.444401e+00      9.440066e-01   
     1.305826        1.077012e+01      1.445133e+01     -4.634873e+00      9.536659e-01   
     1.383286        1.083824e+01      1.445133e+01     -4.574422e+00      9.613368e-01   
     1.461060        8.316952e+00      1.112752e+01     -3.776431e+00      9.658615e-01   
     1.538940        6.325463e+00      8.356636e+00     -2.997372e+00      9.661984e-01   
     1.616714        4.774935e+00      6.088407e+00     -2.274983e+00      9.615112e-01   
     1.694174        2.691532e+00      2.858849e+00     -1.118553e+00      9.512356e-01   
     1.771110        9.351156e-01      0.000000e+00      0.000000e+00      9.351156e-01   
     1.847315        9.132158e-01      0.000000e+00      0.000000e+00      9.132158e-01   
     1.922584        8.859056e-01      0.000000e+00      0.000000e+00      8.859056e-01   
     1.996714        8.538194e-01      0.000000e+00      0.000000e+00      8.538194e-01   
     2.069505        8.178014e-01      0.000000e+00      0.000000e+00      8.178014e-01   
     2.140761        7.788352e-01      0.000000e+00      0.000000e+00      7.788352e-01   
     2.210289        7.379705e-01      0.000000e+00      0.000000e+00      7.379705e-01   
     2.277902        6.962483e-01      0.000000e+00      0.000000e+00      6.962483e-01   
     2.343418        6.546356e-01      0.000000e+00      0.000000e+00      6.546356e-01   
     2.406661        6.139754e-01      0.000000e+00      0.000000e+00      6.139754e-01   
     2.467459        5.749559e-01      0.000000e+00      0.000000e+00      5.749559e-01   
     2.525649        5.380996e-01      0.000000e+00      0.000000e+00      5.380996e-01   
     2.581075        5.037685e-01      0.000000e+00      0.000000e+00      5.037685e-01   
     2.633586        4.721811e-01      0.000000e+00      0.000000e+00      4.721811e-01   
     2.683041        4.434365e-01      0.000000e+00      0.000000e+00      4.434365e-01   
     2.729306        4.175399e-01      0.000000e+00      0.000000e+00      4.175399e-01   
     2.772258        3.944287e-01      0.000000e+00      0.000000e+00      3.944287e-01   
     2.811780        3.739948e-01      0.000000e+00      0.000000e+00      3.739948e-01   
     2.847765        3.561038e-01      0.000000e+00      0.000000e+00      3.561038e-01   
     2.880118        3.406102e-01      0.000000e+00      0.000000e+00      3.406102e-01   
     2.908749        3.273680e-01      0.000000e+00      0.000000e+00      3.273680e-01   
     2.933583        3.162394e-01      0.000000e+00      0.000000e+00      3.162394e-01   
     2.954553        3.071000e-01      0.000000e+00      0.000000e+00      3.071000e-01   
     2.971601        2.998422e-01      0.000000e+00      0.000000e+00      2.998422e-01   
     2.984682        2.943776e-01      0.000000e+00      0.000000e+00      2.943776e-01   
     2.993761        2.906378e-01      0.000000e+00      0.000000e+00      2.906378e-01   
     2.998815        2.885745e-01      0.000000e+00      0.000000e+00      2.885745e-01   
     3.004739        2.861731e-01      0.000000e+00      0.000000e+00      2.861731e-01   
     3.024957        2.781147e-01      0.000000e+00      0.000000e+00      2.781147e-01   
     3.061273        2.641647e-01      0.000000e+00      0.000000e+00      2.641647e-01   
     3.113597        2.452183e-01      0.000000e+00      0.000000e+00      2.452183e-01   
