#        q              total               1              \delta U         \delta U^2    

     0.001185        1.650752e+04      1.655933e+04     -5.459051e+01      2.771189e+00   
     0.006239        8.200728e+03      8.252336e+03     -5.437920e+01      2.771140e+00   
     0.015318        5.370314e+03      5.421911e+03     -5.436808e+01      2.770891e+00   
     0.028399        3.847886e+03      3.899470e+03     -5.435485e+01      2.770171e+00   
     0.045447        3.010458e+03      3.062073e+03     -5.438290e+01      2.768584e+00   
     0.066417        2.411976e+03      2.463536e+03     -5.432641e+01      2.765655e+00   
     0.091251        1.897084e+03      1.948567e+03     -5.424376e+01      2.760848e+00   
     0.119882        1.625719e+03      1.677083e+03     -5.411708e+01      2.753606e+00   
     0.152235        1.380854e+03      1.432064e+03     -5.395328e+01      2.743456e+00   
     0.188220        1.161219e+03      1.212152e+03     -5.366307e+01      2.730090e+00   
     0.227742        9.654746e+02      1.015991e+03     -5.323000e+01      2.713495e+00   
     0.270694        8.477177e+02      8.977415e+02     -5.271793e+01      2.694091e+00   
     0.316959        7.396877e+02      7.890424e+02     -5.202754e+01      2.672878e+00   
     0.366414        6.410342e+02      6.894916e+02     -5.110898e+01      2.651555e+00   
     0.418925        5.953388e+02      6.430212e+02     -5.031497e+01      2.632568e+00   
     0.474351        5.102022e+02      5.564389e+02     -4.885583e+01      2.619088e+00   
     0.532541        4.336379e+02      4.779996e+02     -4.697658e+01      2.614865e+00   
     0.593339        3.987894e+02      4.417079e+02     -4.554245e+01      2.623937e+00   
     0.656582        3.345173e+02      3.747292e+02     -4.286208e+01      2.650195e+00   
     0.722098        3.056861e+02      3.439416e+02     -4.095230e+01      2.696798e+00   
     0.789711        2.528373e+02      2.875186e+02     -3.744684e+01      2.765541e+00   
     0.859239        2.295068e+02      2.617826e+02     -3.513210e+01      2.856222e+00   
     0.930495        1.869844e+02      2.150106e+02     -3.099239e+01      2.966141e+00   
     1.003286        1.506398e+02      1.741699e+02     -2.661996e+01      3.089849e+00   
     1.077416        1.198713e+02      1.388584e+02     -2.220641e+01      3.219264e+00   
     1.152685        9.407295e+01      1.086740e+02     -1.794523e+01      3.344209e+00   
     1.228890        5.467221e+01      6.207787e+01     -1.085899e+01      3.453329e+00   
     1.305826        2.448234e+01      2.550973e+01     -4.562718e+00      3.535328e+00   
     1.383286        3.580302e+00      0.000000e+00      0.000000e+00      3.580302e+00   
     1.461060        3.580983e+00      0.000000e+00      0.000000e+00      3.580983e+00   
     1.538940        3.533632e+00      0.000000e+00      0.000000e+00      3.533632e+00   
     1.616714        3.438434e+00      0.000000e+00      0.000000e+00      3.438434e+00   
     1.694174        3.299344e+00      0.000000e+00      0.000000e+00      3.299344e+00   
     1.771110        3.123436e+00      0.000000e+00      0.000000e+00      3.123436e+00   
     1.847315        2.919901e+00      0.000000e+00      0.000000e+00      2.919901e+00   
     1.922584        2.698898e+00      0.000000e+00      0.000000e+00      2.698898e+00   
     1.996714        2.470444e+00      0.000000e+00      0.000000e+00      2.470444e+00   
     2.069505        2.243495e+00      0.000000e+00      0.000000e+00      2.243495e+00   
     2.140761        2.025325e+00      0.000000e+00      0.000000e+00      2.025325e+00   
     2.210289        1.821248e+00      0.000000e+00      0.000000e+00      1.821248e+00   
     2.277902        1.634615e+00      0.000000e+00      0.000000e+00      1.634615e+00   
     2.343418        1.467040e+00      0.000000e+00      0.000000e+00      1.467040e+00   
     2.406661        1.318752e+00      0.000000e+00      0.000000e+00      1.318752e+00   
     2.467459        1.188989e+00      0.000000e+00      0.000000e+00      1.188989e+00   
     2.525649        1.076363e+00      0.000000e+00      0.000000e+00      1.076363e+00   
     2.581075        9.791675e-01      0.000000e+00      0.000000e+00      9.791675e-01   
     2.633586        8.956082e-01      0.000000e+00      0.000000e+00      8.956082e-01   
     2.683041        8.239508e-01      0.000000e+00      0.000000e+00      8.239508e-01   
     2.729306        7.626112e-01      0.000000e+00      0.000000e+00      7.626112e-01   
     2.772258        7.101951e-01      0.000000e+00      0.000000e+00      7.101951e-01   
     2.811780        6.655076e-01      0.000000e+00      0.000000e+00      6.655076e-01   
     2.847765        6.275430e-01      0.000000e+00      0.000000e+00      6.275430e-01   
     2.880118        5.954671e-01      0.000000e+00      0.000000e+00      5.954671e-01   
     2.908749        5.685950e-01      0.000000e+00      0.000000e+00      5.685950e-01   
     2.933583        5.463704e-01      0.000000e+00      0.000000e+00      5.463704e-01   
     2.954553        5.283470e-01      0.000000e+00      0.000000e+00      5.283470e-01   
     2.971601        5.141729e-01      0.000000e+00      0.000000e+00      5.141729e-01   
     2.984682        5.035779e-01      0.000000e+00      0.000000e+00      5.035779e-01   
     2.993761        4.963637e-01      0.000000e+00      0.000000e+00      4.963637e-01   
     2.998815        4.923960e-01      0.000000e+00      0.000000e+00      4.923960e-01   
     3.004739        4.877892e-01      0.000000e+00      0.000000e+00      4.877892e-01   
     3.024957        4.724132e-01      0.000000e+00      0.000000e+00      4.724132e-01   
     3.061273        4.460816e-01      0.000000e+00      0.000000e+00      4.460816e-01   
     3.113597        4.108401e-01      0.000000e+00      0.000000e+00      4.108401e-01   
     3.181789        3.692103e-01      0.000000e+00      0.000000e+00      3.692103e-01   
     3.265666        3.238479e-01      0.000000e+00      0.000000e+00      3.238479e-01   
     3.365002        2.772627e-01      0.000000e+00      0.000000e+00      2.772627e-01   
     3.479529        2.316354e-01      0.000000e+00      0.000000e+00      2.316354e-01   
     3.608938        1.887213e-01      0.000000e+00      0.000000e+00      1.887213e-01   
     3.752880        1.498144e-01      0.000000e+00      0.000000e+00      1.498144e-01   
     3.910968        1.157480e-01      0.000000e+00      0.000000e+00      1.157480e-01   
     4.082775        8.692092e-02      0.000000e+00      0.000000e+00      8.692092e-02   
     4.267838        6.334715e-02      0.000000e+00      0.000000e+00      6.334715e-02   
     4.465657        4.472697e-02      0.000000e+00      0.000000e+00      4.472697e-02   
     4.675701        3.053345e-02      0.000000e+00      0.000000e+00      3.053345e-02   
     4.897402        2.010467e-02      0.000000e+00      0.000000e+00      2.010467e-02   
