#        q              total               1              \delta U         \delta U^2    

     0.001185        3.512566e+04      3.528840e+04     -1.632809e+02      5.372830e-01   
     0.006239        2.114384e+04      2.130643e+04     -1.631297e+02      5.372671e-01   
     0.015318        1.600392e+04      1.616664e+04     -1.632529e+02      5.371987e-01   
     0.028399        1.274528e+04      1.290792e+04     -1.631827e+02      5.369929e-01   
     0.045447        1.083639e+04      1.099897e+04     -1.631135e+02      5.365914e-01   
     0.066417        9.397447e+03      9.559992e+03     -1.630812e+02      5.359273e-01   
     0.091251        8.341243e+03      8.503663e+03     -1.629544e+02      5.345469e-01   
     0.119882        7.602411e+03      7.764635e+03     -1.627567e+02      5.326686e-01   
     0.152235        6.907702e+03      7.069714e+03     -1.625430e+02      5.302505e-01   
     0.188220        6.255975e+03      6.417545e+03     -1.620965e+02      5.265671e-01   
     0.227742        5.844719e+03      6.005846e+03     -1.616485e+02      5.218298e-01   
     0.270694        5.451610e+03      5.612141e+03     -1.610476e+02      5.161576e-01   
     0.316959        5.076345e+03      5.236030e+03     -1.601937e+02      5.093214e-01   
     0.366414        4.718541e+03      4.877109e+03     -1.590690e+02      5.012782e-01   
     0.418925        4.377943e+03      4.534977e+03     -1.575259e+02      4.923830e-01   
     0.474351        4.214176e+03      4.370081e+03     -1.563881e+02      4.829961e-01   
     0.532541        3.898839e+03      4.052378e+03     -1.540128e+02      4.734929e-01   
     0.593339        3.599999e+03      3.750458e+03     -1.509236e+02      4.645491e-01   
     0.656582        3.456934e+03      3.605292e+03     -1.488149e+02      4.570691e-01   
     0.722098        3.182309e+03      3.326293e+03     -1.444361e+02      4.520778e-01   
     0.789711        2.923359e+03      3.062073e+03     -1.391643e+02      4.507485e-01   
     0.859239        2.800013e+03      2.935379e+03     -1.358201e+02      4.544196e-01   
     0.930495        2.450844e+03      2.576357e+03     -1.259783e+02      4.645242e-01   
     1.003286        2.236254e+03      2.354058e+03     -1.182870e+02      4.825117e-01   
     1.077416        1.939444e+03      2.045177e+03     -1.062428e+02      5.098083e-01   
     1.152685        1.587885e+03      1.677083e+03     -8.974583e+01      5.477389e-01   
     1.228890        3.169290e+02      3.348938e+02     -1.856220e+01      5.974445e-01   
     1.305826        1.970176e+00      1.382301e+00     -7.191045e-02      6.597858e-01   
     1.383286        7.352842e-01      0.000000e+00      0.000000e+00      7.352842e-01   
     1.461060        8.240760e-01      0.000000e+00      0.000000e+00      8.240760e-01   
     1.538940        9.258771e-01      0.000000e+00      0.000000e+00      9.258771e-01   
     1.616714        1.039962e+00      0.000000e+00      0.000000e+00      1.039962e+00   
     1.694174        1.165169e+00      0.000000e+00      0.000000e+00      1.165169e+00   
     1.771110        1.299901e+00      0.000000e+00      0.000000e+00      1.299901e+00   
     1.847315        1.442165e+00      0.000000e+00      0.000000e+00      1.442165e+00   
     1.922584        1.589667e+00      0.000000e+00      0.000000e+00      1.589667e+00   
     1.996714        1.739898e+00      0.000000e+00      0.000000e+00      1.739898e+00   
     2.069505        1.890240e+00      0.000000e+00      0.000000e+00      1.890240e+00   
     2.140761        2.038097e+00      0.000000e+00      0.000000e+00      2.038097e+00   
     2.210289        2.181000e+00      0.000000e+00      0.000000e+00      2.181000e+00   
     2.277902        2.316696e+00      0.000000e+00      0.000000e+00      2.316696e+00   
     2.343418        2.443280e+00      0.000000e+00      0.000000e+00      2.443280e+00   
     2.406661        2.559259e+00      0.000000e+00      0.000000e+00      2.559259e+00   
     2.467459        2.663551e+00      0.000000e+00      0.000000e+00      2.663551e+00   
     2.525649        2.755615e+00      0.000000e+00      0.000000e+00      2.755615e+00   
     2.581075        2.835206e+00      0.000000e+00      0.000000e+00      2.835206e+00   
     2.633586        2.902546e+00      0.000000e+00      0.000000e+00      2.902546e+00   
     2.683041        2.958201e+00      0.000000e+00      0.000000e+00      2.958201e+00   
     2.729306        3.002945e+00      0.000000e+00      0.000000e+00      3.002945e+00   
     2.772258        3.037831e+00      0.000000e+00      0.000000e+00      3.037831e+00   
     2.811780        3.064055e+00      0.000000e+00      0.000000e+00      3.064055e+00   
     2.847765        3.082946e+00      0.000000e+00      0.000000e+00      3.082946e+00   
     2.880118        3.095846e+00      0.000000e+00      0.000000e+00      3.095846e+00   
     2.908749        3.104063e+00      0.000000e+00      0.000000e+00      3.104063e+00   
     2.933583        3.108783e+00      0.000000e+00      0.000000e+00      3.108783e+00   
     2.954553        3.111061e+00      0.000000e+00      0.000000e+00      3.111061e+00   
     2.971601        3.111779e+00      0.000000e+00      0.000000e+00      3.111779e+00   
     2.984682        3.111648e+00      0.000000e+00      0.000000e+00      3.111648e+00   
     2.993761        3.111202e+00      0.000000e+00      0.000000e+00      3.111202e+00   
     2.998815        3.110824e+00      0.000000e+00      0.000000e+00      3.110824e+00   
