#        q                pp                pn                nn        

     0.001185        1.902159e+04      1.852924e+04      3.145175e+04   
     0.006239        1.068577e+04      1.041017e+04      1.614440e+04   
     0.015318        7.286812e+03      7.099902e+03      1.068607e+04   
     0.028399        5.604745e+03      5.461807e+03      7.995479e+03   
     0.045447        4.529080e+03      4.414332e+03      6.201403e+03   
     0.066417        3.745668e+03      3.651526e+03      5.048059e+03   
     0.091251        3.188368e+03      3.108983e+03      4.204050e+03   
     0.119882        2.808787e+03      2.739590e+03      3.600979e+03   
     0.152235        2.460603e+03      2.400806e+03      3.058543e+03   
     0.188220        2.142459e+03      2.091287e+03      2.689580e+03   
     0.227742        1.946393e+03      1.900766e+03      2.351559e+03   
     0.270694        1.762673e+03      1.722289e+03      2.142743e+03   
     0.316959        1.590897e+03      1.555442e+03      1.946673e+03   
     0.366414        1.430660e+03      1.399809e+03      1.762944e+03   
     0.418925        1.354763e+03      1.326546e+03      1.591154e+03   
     0.474351        1.211080e+03      1.186951e+03      1.430899e+03   
     0.532541        1.143236e+03      1.121498e+03      1.281779e+03   
     0.593339        1.015202e+03      9.969743e+02      1.211288e+03   
     0.656582        8.971010e+02      8.819982e+02      1.078118e+03   
     0.722098        8.416730e+02      8.284400e+02      1.015380e+03   
     0.789711        7.377224e+02      7.270293e+02      8.972631e+02   
     0.859239        6.891469e+02      6.800140e+02      8.418302e+02   
     0.930495        5.984475e+02      5.913371e+02      7.378698e+02   
     1.003286        5.160808e+02      5.107214e+02      6.428456e+02   
     1.077416        4.072546e+02      4.037576e+02      5.563549e+02   
     1.152685        3.149206e+02      3.129306e+02      4.779934e+02   
     1.228890        1.939846e+02      1.935545e+02      3.747987e+02   
     1.305826        2.077784e+01      2.203157e+01      2.876391e+02   
     1.383286        1.935840e-01      1.922921e+00      3.753063e+00   
     1.461060        1.712992e-01      2.208945e+00      2.108808e-01   
     1.538940        1.398408e-01      2.422995e+00      1.741838e-01   
     1.616714        1.043951e-01      2.546166e+00      1.316979e-01   
     1.694174        7.027378e-02      2.573055e+00      8.983092e-02   
     1.771110        4.160673e-02      2.511234e+00      5.389712e-02   
     1.847315        2.060865e-02      2.378082e+00      2.704872e-02   
     1.922584        7.557894e-03      2.196063e+00      1.005110e-02   
     1.996714        1.316687e-03      1.987956e+00      1.780293e-03   
     2.069505        5.944898e-05      1.773226e+00      7.584163e-05   
     2.140761        1.906697e-03      1.566137e+00      2.561543e-03   
     2.210289        5.309867e-03      1.375505e+00      7.196200e-03   
     2.277902        9.185096e-03      1.205545e+00      1.250679e-02   
     2.343418        1.287921e-02      1.057190e+00      1.758493e-02   
     2.406661        1.606301e-02      9.293861e-01      2.196488e-02   
     2.467459        1.861790e-02      8.200988e-01      2.547628e-02   
     2.525649        2.054628e-02      7.269785e-01      2.812093e-02   
     2.581075        2.191130e-02      6.477358e-01      2.998731e-02   
     2.633586        2.280076e-02      5.803134e-01      3.119857e-02   
     2.683041        2.330713e-02      5.229407e-01      3.188381e-02   
     2.729306        2.351738e-02      4.741273e-01      3.216384e-02   
     2.772258        2.350852e-02      4.326325e-01      3.214494e-02   
     2.811780        2.334601e-02      3.974284e-01      3.191711e-02   
     2.847765        2.308398e-02      3.676655e-01      3.155445e-02   
     2.880118        2.276615e-02      3.426425e-01      3.111664e-02   
     2.908749        2.242715e-02      3.217827e-01      3.065084e-02   
     2.933583        2.209390e-02      3.046144e-01      3.019367e-02   
     2.954553        2.178699e-02      2.907553e-01      2.977307e-02   
     2.971601        2.152180e-02      2.799011e-01      2.940989e-02   
     2.984682        2.130952e-02      2.718160e-01      2.911934e-02   
     2.993761        2.115799e-02      2.663255e-01      2.891200e-02   
     2.998815        2.107221e-02      2.633109e-01      2.879464e-02   
     3.004739        2.097041e-02      2.598177e-01      2.865540e-02   
     3.024957        2.061339e-02      2.481964e-01      2.816721e-02   
     3.061273        1.993895e-02      2.284525e-01      2.724553e-02   
     3.113597        1.890778e-02      2.023994e-01      2.583746e-02   
     3.181789        1.749410e-02      1.723067e-01      2.390850e-02   
     3.265666        1.570800e-02      1.405989e-01      2.147295e-02   
     3.365002        1.361049e-02      1.095726e-01      1.861399e-02   
     3.479529        1.131461e-02      8.116362e-02      1.548514e-02   
     3.608938        8.970875e-03      5.678352e-02      1.229054e-02   
     3.752880        6.740703e-03      3.723361e-02      9.249100e-03   
     3.910968        4.765894e-03      2.269881e-02      6.553240e-03   
     4.082775        3.143383e-03      1.281965e-02      4.334895e-03   
     4.267838        1.912399e-03      6.830658e-03      2.648077e-03   
     4.465657        1.056388e-03      3.741406e-03      1.471327e-03   
     4.675701        5.171660e-04      2.526687e-03      7.266449e-04   
     4.897402        2.153482e-04      2.289600e-03      3.069376e-04   
     5.130163        7.032478e-05      2.368464e-03      1.029863e-04   
     5.373356        1.469560e-05      2.373607e-03      2.304223e-05   
     5.626327        1.000769e-06      2.158879e-03      2.105240e-06   
     5.888392        1.496434e-06      1.748899e-03      1.821579e-06   
     6.158845        3.555851e-06      1.251309e-03      4.422455e-06   
     6.436958        3.681080e-06      7.813660e-04      4.703436e-06   
     6.721980        2.382379e-06      4.158787e-04      3.097218e-06   
     7.013143        9.625687e-07      1.796734e-04      1.270232e-06   
     7.309662        1.600612e-07      5.626162e-05      2.167386e-07   
     7.610739        9.305573e-09      9.078614e-06      1.132655e-08   
     7.915560        1.937785e-07      1.046272e-06      2.519900e-07   
     8.223305        3.981121e-07      5.807303e-06      5.247721e-07   
     8.533144        4.687708e-07      1.005737e-05      6.232030e-07   
     8.844241        4.045336e-07      1.022701e-05      5.419006e-07   
     9.155759        2.752103e-07      7.552835e-06      3.716933e-07   
     9.466856        1.493747e-07      4.271752e-06      2.038413e-07   
     9.776695        6.228950e-08      1.804740e-06      8.634942e-08   
    10.084440        1.741759e-08      4.951434e-07      2.492727e-08   
    10.389261        1.870996e-09      4.972475e-08      3.032346e-09   
    10.690338        5.214593e-10      2.907575e-08      6.400649e-10   
    10.986857        3.014687e-09      1.160657e-07      3.801379e-09   
    11.278020        4.689264e-09      1.681810e-07      6.086102e-09   
    11.563042        4.647682e-09      1.619225e-07      6.135267e-09   
    11.841155        3.548895e-09      1.219188e-07      4.748100e-09   
    12.111608        2.225018e-09      7.620888e-08      3.016639e-09   
    12.373673        1.164022e-09      4.032674e-08      1.603270e-09   
    12.626644        4.984246e-10      1.792132e-08      7.021973e-10   
    12.869837        1.620785e-10      6.404712e-09      2.378499e-10   
    13.102598        3.181906e-11      1.643098e-09      5.193980e-11   
    13.324299        2.790907e-12      2.686173e-10      5.912367e-12   
    13.534343        9.895237e-12      2.297023e-10      1.199740e-11   
    13.732162        2.192441e-11      5.285711e-10      2.706748e-11   
    13.917225        2.840647e-11      7.902513e-10      3.590893e-11   
    14.089032        2.859509e-11      9.316402e-10      3.674448e-11   
    14.247120        2.485054e-11      9.732132e-10      3.233148e-11   
    14.391062        1.961172e-11      9.549373e-10      2.578178e-11   
    14.520471        1.447363e-11      9.086147e-10      1.920853e-11   
    14.634998        1.019385e-11      8.537909e-10      1.365588e-11   
    14.734334        6.969593e-12      8.007538e-10      9.428492e-12   
    14.818211        4.707827e-12      7.542545e-10      6.436572e-12   
    14.886403        3.209374e-12      7.161841e-10      4.438317e-12   
    14.938727        2.269694e-12      6.871230e-10      3.175822e-12   
    14.975043        1.722948e-12      6.672084e-10      2.436401e-12   
    14.995261        1.462773e-12      6.591649e-10      2.082341e-12   
