#        q                pp                pn                nn        

     0.001185        3.064086e+08      4.050461e+08      5.356442e+08   
     0.006239        8.772736e+07      1.122712e+08      1.437896e+08   
     0.015318        4.069238e+07      5.095506e+07      6.387778e+07   
     0.028399        2.344394e+07      2.823154e+07      3.404912e+07   
     0.045447        1.469766e+07      1.737958e+07      2.059137e+07   
     0.066417        1.028226e+07      1.185759e+07      1.370714e+07   
     0.091251        7.602303e+06      8.507657e+06      9.548098e+06   
     0.119882        5.531584e+06      6.226716e+06      7.032375e+06   
     0.152235        4.307766e+06      4.872507e+06      5.531597e+06   
     0.188220        3.318418e+06      3.773118e+06      4.307780e+06   
     0.227742        2.770447e+06      3.025109e+06      3.318431e+06   
     0.270694        2.300053e+06      2.404221e+06      2.526149e+06   
     0.316959        1.898188e+06      1.986795e+06      2.091098e+06   
     0.366414        1.556622e+06      1.631606e+06      1.720362e+06   
     0.418925        1.267888e+06      1.330999e+06      1.406098e+06   
     0.474351        1.025235e+06      1.136515e+06      1.267901e+06   
     0.532541        9.192689e+05      9.675471e+05      1.025249e+06   
     0.593339        7.345327e+05      7.745626e+05      8.225956e+05   
     0.656582        6.544810e+05      6.909167e+05      7.345443e+05   
     0.722098        5.160317e+05      5.459347e+05      5.818388e+05   
     0.789711        4.029006e+05      4.543400e+05      5.160415e+05   
     0.859239        3.546120e+05      3.765867e+05      4.029093e+05   
     0.930495        2.723876e+05      2.900628e+05      3.112477e+05   
     1.003286        2.067059e+05      2.207915e+05      2.376655e+05   
     1.077416        1.547900e+05      1.659041e+05      1.791896e+05   
     1.152685        9.754127e+04      1.135805e+05      1.332301e+05   
     1.228890        5.914423e+04      6.979632e+04      8.294121e+04   
     1.305826        1.801902e+03      7.902902e+03      3.426841e+04   
     1.383286        1.552491e+01      1.531423e+02      1.918663e+03   
     1.461060        1.386579e+01      1.770748e+02      1.503341e+01   
     1.538940        1.143338e+01      1.957395e+02      1.244040e+01   
     1.616714        8.623963e+00      2.074074e+02      9.425265e+00   
     1.694174        5.865593e+00      2.114017e+02      6.442843e+00   
     1.771110        3.508236e+00      2.080953e+02      3.874140e+00   
     1.847315        1.754942e+00      1.986978e+02      1.948548e+00   
     1.922584        6.500522e-01      1.849077e+02      7.256346e-01   
     1.996714        1.147909e-01      1.685392e+02      1.288261e-01   
     2.069505        4.886753e-03      1.512157e+02      5.461301e-03   
     2.140761        1.644842e-01      1.341883e+02      1.855859e-01   
     2.210289        4.613114e-01      1.182824e+02      5.220680e-01   
     2.277902        8.008155e-01      1.039405e+02      9.080950e-01   
     2.343418        1.125131e+00      9.131559e+01      1.277480e+00   
     2.406661        1.404769e+00      8.037312e+01      1.596152e+00   
     2.467459        1.629013e+00      7.097648e+01      1.851597e+00   
     2.525649        1.798019e+00      6.294755e+01      2.043909e+00   
     2.581075        1.917411e+00      5.610308e+01      2.179541e+00   
     2.633586        1.995004e+00      5.027334e+01      2.267487e+00   
     2.683041        2.039000e+00      4.530947e+01      2.317170e+00   
     2.729306        2.057085e+00      4.108468e+01      2.337398e+00   
     2.772258        2.056036e+00      3.749265e+01      2.335912e+00   
     2.811780        2.041599e+00      3.444491e+01      2.319261e+00   
     2.847765        2.018509e+00      3.186811e+01      2.292831e+00   
     2.880118        1.990587e+00      2.970165e+01      2.260959e+00   
     2.908749        1.960853e+00      2.789563e+01      2.227069e+00   
     2.933583        1.931654e+00      2.640920e+01      2.193818e+00   
     2.954553        1.904779e+00      2.520929e+01      2.163234e+00   
     2.971601        1.881568e+00      2.426954e+01      2.136831e+00   
     2.984682        1.862995e+00      2.356953e+01      2.115710e+00   
     2.993761        1.849739e+00      2.309416e+01      2.100638e+00   
     2.998815        1.842236e+00      2.283316e+01      2.092108e+00   
     3.004739        1.833333e+00      2.253074e+01      2.081988e+00   
     3.024957        1.802115e+00      2.152461e+01      2.046508e+00   
     3.061273        1.743164e+00      1.981520e+01      1.979533e+00   
     3.113597        1.653077e+00      1.755946e+01      1.877232e+00   
     3.181789        1.529632e+00      1.495379e+01      1.737111e+00   
     3.265666        1.373728e+00      1.220795e+01      1.560218e+00   
     3.365002        1.190690e+00      9.520511e+00      1.352596e+00   
     3.479529        9.903562e-01      7.058839e+00      1.125385e+00   
     3.608938        7.858157e-01      4.944991e+00      8.933961e-01   
     3.752880        5.911058e-01      3.248343e+00      6.725086e-01   
     3.910968        4.185648e-01      1.985104e+00      4.766837e-01   
     4.082775        2.766458e-01      1.124528e+00      3.154982e-01   
     4.267838        1.687988e-01      6.008305e-01      1.928811e-01   
     4.465657        9.363085e-02      3.287670e-01      1.072892e-01   
     4.675701        4.612433e-02      2.199848e-01      5.307632e-02   
     4.897402        1.940197e-02      1.970553e-01      2.248120e-02   
     5.130163        6.458262e-03      2.026874e-01      7.581973e-03   
     5.373356        1.415927e-03      2.029330e-01      1.717967e-03   
     5.626327        1.182216e-04      1.847961e-01      1.648767e-04   
     5.888392        1.188369e-04      1.500377e-01      1.301334e-04   
     6.158845        2.900523e-04      1.076740e-01      3.156349e-04   
     6.436958        3.065782e-04      6.750464e-02      3.373102e-04   
     6.721980        2.009952e-04      3.613057e-02      2.228423e-04   
     7.013143        8.211384e-05      1.574716e-02      9.164964e-05   
     7.309662        1.391857e-05      5.014395e-03      1.571244e-05   
     7.610739        7.437698e-07      8.485085e-04      8.050676e-07   
     7.915560        1.633865e-05      8.992594e-05      1.813505e-05   
     8.223305        3.391050e-05      4.729448e-04      3.786316e-05   
     8.533144        4.018152e-05      8.391675e-04      4.503795e-05   
     8.844241        3.486848e-05      8.650938e-04      3.921906e-05   
     9.155759        2.386313e-05      6.458493e-04      2.694275e-05   
     9.466856        1.304933e-05      3.694664e-04      1.480502e-05   
     9.776695        5.503421e-06      1.585641e-04      6.290426e-06   
    10.084440        1.574282e-06      4.486282e-05      1.826903e-06   
    10.389261        1.846501e-07      5.068617e-06      2.272974e-07   
    10.690338        4.151353e-08      2.332331e-06      4.583022e-08   
    10.986857        2.484885e-07      9.503299e-06      2.719643e-07   
    11.278020        3.950149e-07      1.407476e-05      4.377830e-07   
    11.563042        3.964276e-07      1.374701e-05      4.427512e-07   
    11.841155        3.056823e-07      1.047564e-05      3.435287e-07   
    12.111608        1.935013e-07      6.626801e-06      2.188112e-07   
    12.373673        1.023877e-07      3.555087e-06      1.166434e-07   
    12.626644        4.455649e-08      1.608910e-06      5.130655e-08   
    12.869837        1.491548e-08      5.919055e-07      1.751160e-08   
    13.102598        3.156858e-09      1.612201e-07      3.897398e-09   
    13.324299        3.268208e-10      3.014629e-08      4.648680e-10   
    13.534343        7.846599e-10      2.060564e-08      8.552170e-10   
    13.732162        1.777305e-09      4.409081e-08      1.929446e-09   
    13.917225        2.346418e-09      6.621445e-08      2.570221e-09   
    14.089032        2.391571e-09      7.858855e-08      2.638012e-09   
    14.247120        2.097738e-09      8.242397e-08      2.326594e-09   
    14.391062        1.668271e-09      8.099809e-08      1.858899e-09   
    14.520471        1.239822e-09      7.705190e-08      1.387441e-09   
    14.634998        8.792208e-10      7.231473e-08      9.881151e-10   
    14.734334        6.054423e-10      6.771249e-08      6.834876e-10   
    14.818211        4.121308e-10      6.367658e-08      4.675220e-10   
    14.886403        2.832969e-10      6.037765e-08      3.230608e-10   
    14.938727        2.020603e-10      5.786514e-08      2.316623e-10   
    14.975043        1.545636e-10      5.614661e-08      1.780662e-10   
    14.995261        1.318314e-10      5.543651e-08      1.523674e-10   
