#        q                pp                pn                nn        

     0.001185        1.814427e+08      1.576691e+08      1.371023e+08   
     0.006239        4.313327e+07      3.829647e+07      3.404906e+07   
     0.015318        1.803403e+07      1.626320e+07      1.469761e+07   
     0.028399        8.858086e+06      8.193710e+06      7.602261e+06   
     0.045447        5.095037e+06      4.877309e+06      4.687620e+06   
     0.066417        3.318372e+06      3.165219e+06      3.034089e+06   
     0.091251        2.091032e+06      1.986097e+06      1.898130e+06   
     0.119882        1.556562e+06      1.474130e+06      1.406027e+06   
     0.152235        1.025171e+06      1.020729e+06      1.025171e+06   
     0.188220        7.344646e+05      7.307573e+05      7.344647e+05   
     0.227742        5.817631e+05      5.448296e+05      5.159630e+05   
     0.270694        4.564881e+05      4.261888e+05      4.028365e+05   
     0.316959        3.545489e+05      3.299017e+05      3.111812e+05   
     0.366414        2.723303e+05      2.524659e+05      2.376053e+05   
     0.418925        2.066544e+05      2.049323e+05      2.066545e+05   
     0.474351        1.547441e+05      1.533184e+05      1.547442e+05   
     0.532541        1.331857e+05      1.221604e+05      1.141875e+05   
     0.593339        9.750622e+04      9.649032e+04      9.750630e+04   
     0.656582        8.290752e+04      7.547152e+04      7.017486e+04   
     0.722098        5.911774e+04      5.842977e+04      5.911778e+04   
     0.789711        4.131114e+04      4.078269e+04      4.131116e+04   
     0.859239        3.424728e+04      3.380886e+04      3.424727e+04   
     0.930495        2.310265e+04      2.277998e+04      2.310262e+04   
     1.003286        1.516006e+04      1.493084e+04      1.516001e+04   
     1.077416        9.637027e+03      9.482604e+03      9.636952e+03   
     1.152685        5.904113e+03      5.809233e+03      5.904026e+03   
     1.228890        1.929248e+03      1.901722e+03      1.929157e+03   
     1.305826        2.095345e+02      2.871087e+02      3.298706e+02   
     1.383286        5.615545e+00      5.594662e+01      5.538070e+00   
     1.461060        4.918040e+00      6.358642e+01      4.855675e+00   
     1.538940        3.979882e+00      6.911018e+01      3.934152e+00   
     1.616714        2.949279e+00      7.205625e+01      2.919012e+00   
     1.694174        1.973082e+00      7.233916e+01      1.955279e+00   
     1.771110        1.162124e+00      7.022089e+01      1.153068e+00   
     1.847315        5.729822e-01      6.621355e+01      5.692141e-01   
     1.922584        2.091123e-01      6.094719e+01      2.080000e-01   
     1.996714        3.608117e-02      5.504259e+01      3.595329e-02   
     2.069505        1.760308e-03      4.901933e+01      1.739906e-03   
     2.140761        5.346835e-02      4.325130e+01      5.319523e-02   
     2.210289        1.481674e-01      3.796475e+01      1.475499e-01   
     2.277902        2.558544e-01      3.326378e+01      2.549081e-01   
     2.343418        3.584729e-01      2.916648e+01      3.572420e-01   
     2.406661        4.469192e-01      2.563947e+01      4.454488e-01   
     2.467459        5.179070e-01      2.262448e+01      5.162382e-01   
     2.525649        5.714966e-01      2.005579e+01      5.696682e-01   
     2.581075        6.094354e-01      1.786989e+01      6.074841e-01   
     2.633586        6.341568e-01      1.600996e+01      6.321172e-01   
     2.683041        6.482276e-01      1.442716e+01      6.461305e-01   
     2.729306        6.540645e-01      1.308041e+01      6.519362e-01   
     2.772258        6.538075e-01      1.193552e+01      6.516690e-01   
     2.811780        6.492775e-01      1.096416e+01      6.471448e-01   
     2.847765        6.419797e-01      1.014290e+01      6.398639e-01   
     2.880118        6.331303e-01      9.452407e+00      6.310385e-01   
     2.908749        6.236927e-01      8.876787e+00      6.216283e-01   
     2.933583        6.144161e-01      8.403023e+00      6.123800e-01   
     2.954553        6.058729e-01      8.020574e+00      6.038634e-01   
     2.971601        5.984912e-01      7.721044e+00      5.965052e-01   
     2.984682        5.925827e-01      7.497927e+00      5.906157e-01   
     2.993761        5.883649e-01      7.346411e+00      5.864116e-01   
     2.998815        5.859772e-01      7.263221e+00      5.840317e-01   
     3.004739        5.831438e-01      7.166820e+00      5.812076e-01   
     3.024957        5.732067e-01      6.846117e+00      5.713034e-01   
     3.061273        5.544350e-01      6.301255e+00      5.525946e-01   
     3.113597        5.257356e-01      5.582281e+00      5.239934e-01   
     3.181789        4.863913e-01      4.751832e+00      4.847860e-01   
     3.265666        4.366849e-01      3.876837e+00      4.352550e-01   
     3.365002        3.783163e-01      3.020698e+00      3.770944e-01   
     3.479529        3.144341e-01      2.236865e+00      3.134403e-01   
     3.608938        2.492302e-01      1.564315e+00      2.484680e-01   
     3.752880        1.871996e-01      1.025167e+00      1.866541e-01   
     3.910968        1.322886e-01      6.245105e-01      1.319298e-01   
     4.082775        8.719266e-02      3.523890e-01      8.698043e-02   
     4.267838        5.299842e-02      1.876273e-01      5.289000e-02   
     4.465657        2.923876e-02      1.028379e-01      2.919523e-02   
     4.675701        1.428827e-02      6.968122e-02      1.427901e-02   
     4.897402        5.933252e-03      6.337833e-02      5.937610e-03   
     5.130163        1.928619e-03      6.566689e-02      1.935155e-03   
     5.373356        3.995055e-04      6.581509e-02      4.036267e-04   
     5.626327        2.778332e-05      5.982706e-02      2.894421e-05   
     5.888392        4.470392e-05      4.842323e-02      4.403306e-05   
     6.158845        1.019189e-04      3.460754e-02      1.006991e-04   
     6.436958        1.042455e-04      2.157986e-02      1.032582e-04   
     6.721980        6.704527e-05      1.146418e-02      6.651751e-05   
     7.013143        2.694965e-05      4.939260e-03      2.677535e-05   
     7.309662        4.441486e-06      1.539478e-03      4.423847e-06   
     7.610739        2.737145e-07      2.463070e-04      2.697100e-07   
     7.915560        5.470369e-06      3.102414e-05      5.426624e-06   
     8.223305        1.118002e-05      1.648102e-04      1.110514e-05   
     8.533144        1.312642e-05      2.815698e-04      1.304915e-05   
     8.844241        1.130122e-05      2.845686e-04      1.124281e-05   
     9.155759        7.670428e-06      2.092479e-04      7.636734e-06   
     9.466856        4.151810e-06      1.178575e-04      4.137654e-06   
     9.776695        1.724689e-06      4.954253e-05      1.721401e-06   
    10.084440        4.790048e-07      1.348634e-05      4.795731e-07   
    10.389261        5.059154e-08      1.343985e-06      5.129575e-08   
    10.690338        1.575002e-08      8.668997e-07      1.551539e-08   
    10.986857        8.595814e-08      3.287109e-06      8.503357e-08   
    11.278020        1.321966e-07      4.702452e-06      1.311283e-07   
    11.563042        1.303006e-07      4.497765e-06      1.294531e-07   
    11.841155        9.910007e-08      3.370674e-06      9.858004e-08   
    12.111608        6.190650e-08      2.098491e-06      6.165918e-08   
    12.373673        3.225828e-08      1.106233e-06      3.217784e-08   
    12.626644        1.374225e-08      4.897660e-07      1.373790e-08   
    12.869837        4.433997e-09      1.744474e-07      4.450416e-09   
    13.102598        8.593022e-10      4.482431e-08      8.719503e-10   
    13.324299        8.347569e-11      7.760215e-09      8.645934e-11   
    13.534343        2.951064e-10      6.924369e-09      2.905984e-10   
    13.732162        6.317967e-10      1.511185e-08      6.237572e-10   
    13.917225        8.083108e-10      2.219672e-08      7.998407e-10   
    14.089032        8.081549e-10      2.598970e-08      8.009217e-10   
    14.247120        6.991498e-10      2.707941e-08      6.936983e-10   
    14.391062        5.498344e-10      2.655676e-08      5.460777e-10   
    14.520471        4.045509e-10      2.528105e-08      4.021466e-10   
    14.634998        2.841035e-10      2.377810e-08      2.826674e-10   
    14.734334        1.936778e-10      2.232435e-08      1.928806e-10   
    14.818211        1.304319e-10      2.104793e-08      1.300283e-10   
    14.886403        8.864159e-11      2.000079e-08      8.846570e-11   
    14.938727        6.249886e-11      1.919992e-08      6.244647e-11   
    14.975043        4.732086e-11      1.865124e-08      4.733038e-11   
    14.995261        4.022140e-11      1.846203e-08      4.024310e-11   
