#        q                pp                pn                nn        

     0.001185        6.226284e+08      1.070809e+09      1.841977e+09   
     0.006239        2.269785e+08      3.972051e+08      6.953294e+08   
     0.015318        1.306773e+08      2.128658e+08      3.469103e+08   
     0.028399        8.330513e+07      1.315117e+08      2.077409e+08   
     0.045447        6.048686e+07      9.103146e+07      1.371031e+08   
     0.066417        4.569520e+07      6.660226e+07      9.716101e+07   
     0.091251        3.615481e+07      5.068816e+07      7.113674e+07   
     0.119882        3.014358e+07      4.037908e+07      5.415352e+07   
     0.152235        2.498937e+07      3.280978e+07      4.313356e+07   
     0.188220        2.059150e+07      2.645972e+07      3.404935e+07   
     0.227742        1.803423e+07      2.258795e+07      2.833557e+07   
     0.270694        1.574728e+07      1.919801e+07      2.344420e+07   
     0.316959        1.370730e+07      1.678581e+07      2.059163e+07   
     0.366414        1.189247e+07      1.463166e+07      1.803436e+07   
     0.418925        1.028245e+07      1.228164e+07      1.469794e+07   
     0.474351        9.548296e+06      1.103263e+07      1.277317e+07   
     0.532541        8.210441e+06      9.871761e+06      1.189260e+07   
     0.593339        7.032587e+06      8.495217e+06      1.028258e+07   
     0.656582        6.498722e+06      7.579715e+06      8.858447e+06   
     0.722098        5.531824e+06      6.478494e+06      7.602622e+06   
     0.789711        4.687903e+06      5.736236e+06      7.032693e+06   
     0.859239        4.308015e+06      5.078832e+06      5.999141e+06   
     0.930495        3.318648e+06      4.108279e+06      5.095395e+06   
     1.003286        2.770668e+06      3.451737e+06      4.308071e+06   
     1.077416        2.091283e+06      2.750910e+06      3.624850e+06   
     1.152685        1.406247e+06      2.064077e+06      3.034414e+06   
     1.228890        5.610612e+04      3.424194e+05      2.091317e+06   
     1.305826        5.096790e+01      1.542608e+03      1.406273e+06   
     1.383286        4.863558e+01      4.718121e+02      3.503810e+05   
     1.461060        4.377878e+01      5.510290e+02      5.383022e+01   
     1.538940        3.629950e+01      6.138201e+02      4.534343e+01   
     1.616714        2.748210e+01      6.542038e+02      3.496348e+01   
     1.694174        1.873474e+01      6.696069e+02      2.430976e+01   
     1.771110        1.121894e+01      6.609668e+02      1.485552e+01   
     1.847315        5.615361e+00      6.320993e+02      7.586399e+00   
     1.922584        2.081495e+00      5.885603e+02      2.867406e+00   
     1.996714        3.690302e-01      5.363668e+02      5.187179e-01   
     2.069505        1.483831e-02      4.809294e+02      2.022481e-02   
     2.140761        5.186426e-01      4.264098e+02      7.387659e-01   
     2.210289        1.457527e+00      3.755328e+02      2.099117e+00   
     2.277902        2.530767e+00      3.297376e+02      3.670023e+00   
     2.343418        3.555353e+00      2.895015e+02      5.178077e+00   
     2.406661        4.438545e+00      2.546880e+02      6.480190e+00   
     2.467459        5.146857e+00      2.248356e+02      7.523034e+00   
     2.525649        5.680934e+00      1.993563e+02      8.306496e+00   
     2.581075        6.058520e+00      1.776528e+02      8.857392e+00   
     2.633586        6.304203e+00      1.591769e+02      9.213155e+00   
     2.683041        6.443794e+00      1.434507e+02      9.412862e+00   
     2.729306        6.501498e+00      1.300691e+02      9.492834e+00   
     2.772258        6.498681e+00      1.186934e+02      9.484830e+00   
     2.811780        6.453477e+00      1.090423e+02      9.415580e+00   
     2.847765        6.380853e+00      1.008830e+02      9.306991e+00   
     2.880118        6.292882e+00      9.402326e+01      9.176640e+00   
     2.908749        6.199120e+00      8.830497e+01      9.038378e+00   
     2.933583        6.106994e+00      8.359870e+01      8.902938e+00   
     2.954553        6.022174e+00      7.979963e+01      8.778489e+00   
     2.971601        5.948900e+00      7.682429e+01      8.671128e+00   
     2.984682        5.890257e+00      7.460801e+01      8.585287e+00   
     2.993761        5.848398e+00      7.310298e+01      8.524055e+00   
     2.998815        5.824703e+00      7.227664e+01      8.489406e+00   
     3.004739        5.796586e+00      7.131913e+01      8.448303e+00   
     3.024957        5.697985e+00      6.813367e+01      8.304252e+00   
     3.061273        5.511754e+00      6.272166e+01      8.032499e+00   
     3.113597        5.227089e+00      5.558011e+01      7.617727e+00   
     3.181789        4.836909e+00      4.733087e+01      7.050058e+00   
     3.265666        4.344025e+00      3.863805e+01      6.333871e+00   
     3.365002        3.765245e+00      3.013041e+01      5.493626e+00   
     3.479529        3.131683e+00      2.233783e+01      4.574245e+00   
     3.608938        2.484757e+00      1.564670e+01      3.635354e+00   
     3.752880        1.868898e+00      1.027661e+01      2.740864e+00   
     3.910968        1.323163e+00      6.278769e+00      1.947026e+00   
     4.082775        8.743145e-01      3.555708e+00      1.292545e+00   
     4.267838        5.332728e-01      1.899055e+00      7.934938e-01   
     4.465657        2.956265e-01      1.038847e+00      4.439747e-01   
     4.675701        1.454892e-01      6.953254e-01      2.215423e-01   
     4.897402        6.108939e-02      6.233514e-01      9.513159e-02   
     5.130163        2.025344e-02      6.415699e-01      3.288289e-02   
     5.373356        4.383269e-03      6.425479e-01      7.874623e-03   
     5.626327        3.301919e-04      5.851937e-01      8.883982e-04   
     5.888392        3.609648e-04      4.751349e-01      4.538527e-04   
     6.158845        9.155060e-04      3.409611e-01      1.143394e-03   
     6.436958        9.716983e-04      2.137298e-01      1.266968e-03   
     6.721980        6.376914e-04      1.143590e-01      8.552849e-04   
     7.013143        2.606476e-04      4.980598e-02      3.580806e-04   
     7.309662        4.421027e-05      1.582603e-02      6.320378e-05   
     7.610739        2.301862e-06      2.648613e-03      2.800850e-06   
     7.915560        5.168427e-05      2.623637e-04      6.955240e-05   
     8.223305        1.073752e-04      1.488047e-03      1.476268e-04   
     8.533144        1.272568e-04      2.655506e-03      1.773539e-04   
     8.844241        1.104240e-04      2.740750e-03      1.557724e-04   
     9.155759        7.555273e-05      2.046683e-03      1.079838e-04   
     9.466856        4.129337e-05      1.170523e-03      5.999985e-05   
     9.776695        1.739469e-05      5.017585e-04      2.591091e-05   
    10.084440        4.958888e-06      1.413019e-04      7.761409e-06   
    10.389261        5.685910e-07      1.533926e-05      1.066859e-06   
    10.690338        1.243154e-07      6.937329e-06      1.607832e-07   
    10.986857        7.853803e-07      2.990751e-05      1.003342e-06   
    11.278020        1.251818e-06      4.454684e-05      1.676165e-06   
    11.563042        1.256665e-06      4.356880e-05      1.729811e-06   
    11.841155        9.687903e-07      3.320562e-05      1.362833e-06   
    12.111608        6.129163e-07      2.099175e-05      8.807694e-07   
    12.373673        3.239759e-07      1.124251e-05      4.773720e-07   
    12.626644        1.406906e-07      5.069533e-06      2.147619e-07   
    12.869837        4.684822e-08      1.849151e-06      7.609949e-08   
    13.102598        9.710651e-09      4.908537e-07      1.838180e-08   
    13.324299        8.565244e-10      8.252185e-08      2.485807e-09   
    13.534343        2.391714e-09      5.792256e-08      2.960882e-09   
    13.732162        5.591519e-09      1.361013e-07      6.911077e-09   
    13.917225        7.425232e-09      2.083296e-07      9.518337e-09   
    14.089032        7.582206e-09      2.485179e-07      9.980091e-09   
    14.247120        6.655590e-09      2.609906e-07      8.938198e-09   
