#        q              proton           neutron      

     0.001185        1.536463e+04      1.390467e+04   
     0.006239        7.729095e+03      7.034123e+03   
     0.015318        5.018967e+03      4.668418e+03   
     0.028399        3.569821e+03      3.290756e+03   
     0.045447        2.657081e+03      2.540800e+03   
     0.066417        2.109480e+03      2.009668e+03   
     0.091251        1.641693e+03      1.641629e+03   
     0.119882        1.396745e+03      1.320679e+03   
     0.152235        1.176941e+03      1.108961e+03   
     0.188220        9.809649e+02      9.206328e+02   
     0.227742        8.074733e+02      8.074467e+02   
     0.270694        7.037357e+02      7.037235e+02   
     0.316959        6.090689e+02      6.090733e+02   
     0.366414        5.231112e+02      5.231352e+02   
     0.418925        4.834384e+02      4.455650e+02   
     0.474351        4.099246e+02      4.099851e+02   
     0.532541        3.442586e+02      3.443467e+02   
     0.593339        3.144921e+02      3.145936e+02   
     0.656582        2.599818e+02      2.601106e+02   
     0.722098        2.356344e+02      2.357749e+02   
     0.789711        1.914077e+02      1.915697e+02   
     0.859239        1.719881e+02      1.721567e+02   
     0.930495        1.370009e+02      1.371795e+02   
     1.003286        1.075165e+02      1.076957e+02   
     1.077416        8.298117e+01      8.315160e+01   
     1.152685        6.283865e+01      6.299209e+01   
     1.228890        3.952003e+01      3.963917e+01   
     1.305826        1.919288e+01      2.341377e+01   
     1.383286        5.194865e+00      6.534558e+00   
     1.461060        2.374128e+00      2.374128e+00   
     1.538940        2.391576e+00      2.391576e+00   
     1.616714        2.376697e+00      2.376697e+00   
     1.694174        2.329848e+00      2.329848e+00   
     1.771110        2.253515e+00      2.253515e+00   
     1.847315        2.151924e+00      2.151924e+00   
     1.922584        2.030502e+00      2.030502e+00   
     1.996714        1.895256e+00      1.895256e+00   
     2.069505        1.752191e+00      1.752191e+00   
     2.140761        1.606822e+00      1.606822e+00   
     2.210289        1.463834e+00      1.463834e+00   
     2.277902        1.326907e+00      1.326907e+00   
     2.343418        1.198661e+00      1.198661e+00   
     2.406661        1.080743e+00      1.080743e+00   
     2.467459        9.739597e-01      9.739597e-01   
     2.525649        8.784623e-01      8.784623e-01   
     2.581075        7.939278e-01      7.939278e-01   
     2.633586        7.197175e-01      7.197175e-01   
     2.683041        6.550189e-01      6.550189e-01   
     2.729306        5.989446e-01      5.989446e-01   
     2.772258        5.506085e-01      5.506085e-01   
     2.811780        5.091675e-01      5.091675e-01   
     2.847765        4.738527e-01      4.738527e-01   
     2.880118        4.439845e-01      4.439845e-01   
     2.908749        4.189697e-01      4.189697e-01   
     2.933583        3.983087e-01      3.983087e-01   
     2.954553        3.815845e-01      3.815845e-01   
     2.971601        3.684579e-01      3.684579e-01   
     2.984682        3.586643e-01      3.586643e-01   
     2.993761        3.520064e-01      3.520064e-01   
     2.998815        3.483481e-01      3.483481e-01   
     3.004739        3.441045e-01      3.441045e-01   
     3.024957        3.299724e-01      3.299724e-01   
     3.061273        3.058996e-01      3.058996e-01   
     3.113597        2.740005e-01      2.740005e-01   
     3.181789        2.369305e-01      2.369305e-01   
     3.265666        1.975239e-01      1.975239e-01   
     3.365002        1.584545e-01      1.584545e-01   
     3.479529        1.219760e-01      1.219760e-01   
     3.608938        8.976964e-02      8.976964e-02   
     3.752880        6.288369e-02      6.288369e-02   
     3.910968        4.173630e-02      4.173630e-02   
     4.082775        2.617031e-02      2.617031e-02   
     4.267838        1.555910e-02      1.555910e-02   
     4.465657        8.958267e-03      8.958267e-03   
     4.675701        5.285976e-03      5.285976e-03   
     4.897402        3.499150e-03      3.499150e-03   
     5.130163        2.732663e-03      2.732663e-03   
     5.373356        2.376133e-03      2.376133e-03   
     5.626327        2.082305e-03      2.082305e-03   
     5.888392        1.719622e-03      1.719622e-03   
     6.158845        1.294605e-03      1.294605e-03   
     6.436958        8.725686e-04      8.725686e-04   
     6.721980        5.182456e-04      5.182456e-04   
     7.013143        2.656436e-04      2.656436e-04   
     7.309662        1.141126e-04      1.141126e-04   
     7.610739        4.018252e-05      4.018252e-05   
     7.915560        1.345404e-05      1.345404e-05   
     8.223305        8.417497e-06      8.417497e-06   
     8.533144        9.331079e-06      9.331079e-06   
     8.844241        9.454073e-06      9.454073e-06   
     9.155759        7.648884e-06      7.648884e-06   
     9.466856        4.984694e-06      4.984694e-06   
     9.776695        2.632357e-06      2.632357e-06   
    10.084440        1.116327e-06      1.116327e-06   
    10.389261        3.879021e-07      3.879021e-07   
    10.690338        1.533398e-07      1.533398e-07   
    10.986857        1.304371e-07      1.304371e-07   
    11.278020        1.500669e-07      1.500669e-07   
    11.563042        1.486787e-07      1.486787e-07   
    11.841155        1.221898e-07      1.221898e-07   
    12.111608        8.570175e-08      8.570175e-08   
    12.373673        5.251027e-08      5.251027e-08   
    12.626644        2.849342e-08      2.849342e-08   
    12.869837        1.379815e-08      1.379815e-08   
    13.102598        6.031839e-09      6.031839e-09   
    13.324299        2.502044e-09      2.502044e-09   
    13.534343        1.177893e-09      1.177893e-09   
    13.732162        8.273802e-10      8.273802e-10   
    13.917225        8.203613e-10      8.203613e-10   
    14.089032        8.860475e-10      8.860475e-10   
    14.247120        9.336946e-10      9.336946e-10   
    14.391062        9.480730e-10      9.480730e-10   
    14.520471        9.381884e-10      9.381884e-10   
    14.634998        9.161419e-10      9.161419e-10   
    14.734334        8.912876e-10      8.912876e-10   
    14.818211        8.688499e-10      8.688499e-10   
    14.886403        8.504168e-10      8.504168e-10   
    14.938727        8.358963e-10      8.358963e-10   
    14.975043        8.263726e-10      8.263726e-10   
    14.995261        8.219362e-10      8.219362e-10   
