#        q              proton           neutron      

     0.001185        2.799168e+04      2.130575e+04   
     0.006239        1.429486e+04      1.161162e+04   
     0.015318        9.558925e+03      8.004950e+03   
     0.028399        6.846590e+03      6.004796e+03   
     0.045447        5.420861e+03      4.876057e+03   
     0.066417        4.369066e+03      3.898452e+03   
     0.091251        3.604272e+03      3.325268e+03   
     0.119882        3.061037e+03      2.811191e+03   
     0.152235        2.691544e+03      2.462509e+03   
     0.188220        2.353030e+03      2.143901e+03   
     0.227742        2.044152e+03      1.947543e+03   
     0.270694        1.854028e+03      1.763551e+03   
     0.316959        1.591523e+03      1.591524e+03   
     0.366414        1.431061e+03      1.431062e+03   
     0.418925        1.355042e+03      1.281762e+03   
     0.474351        1.211173e+03      1.143225e+03   
     0.532541        1.077864e+03      1.077868e+03   
     0.593339        1.015048e+03      9.547204e+02   
     0.656582        8.968295e+02      8.968358e+02   
     0.722098        7.881687e+02      7.881769e+02   
     0.789711        7.373019e+02      6.886748e+02   
     0.859239        6.422267e+02      6.422369e+02   
     0.930495        5.557058e+02      5.557171e+02   
     1.003286        4.773345e+02      4.773465e+02   
     1.077416        4.067089e+02      4.067211e+02   
     1.152685        3.144036e+02      3.144155e+02   
     1.228890        2.146622e+02      2.372611e+02   
     1.305826        8.307239e+01      1.229508e+02   
     1.383286        3.523652e-01      5.119154e+00   
     1.461060        1.382489e-03      1.382489e-03   
     1.538940        1.612449e-03      1.612449e-03   
     1.616714        1.869752e-03      1.869752e-03   
     1.694174        2.154139e-03      2.154139e-03   
     1.771110        2.463870e-03      2.463870e-03   
     1.847315        2.796348e-03      2.796348e-03   
     1.922584        3.148067e-03      3.148067e-03   
     1.996714        3.514839e-03      3.514839e-03   
     2.069505        3.891801e-03      3.891801e-03   
     2.140761        4.273711e-03      4.273711e-03   
     2.210289        4.655236e-03      4.655236e-03   
     2.277902        5.031009e-03      5.031009e-03   
     2.343418        5.395766e-03      5.395766e-03   
     2.406661        5.744666e-03      5.744666e-03   
     2.467459        6.073736e-03      6.073736e-03   
     2.525649        6.379715e-03      6.379715e-03   
     2.581075        6.660211e-03      6.660211e-03   
     2.633586        6.913578e-03      6.913578e-03   
     2.683041        7.138867e-03      7.138867e-03   
     2.729306        7.335953e-03      7.335953e-03   
     2.772258        7.505212e-03      7.505212e-03   
     2.811780        7.648143e-03      7.648143e-03   
     2.847765        7.767097e-03      7.767097e-03   
     2.880118        7.864617e-03      7.864617e-03   
     2.908749        7.943572e-03      7.943572e-03   
     2.933583        8.006573e-03      8.006573e-03   
     2.954553        8.055933e-03      8.055933e-03   
     2.971601        8.093543e-03      8.093543e-03   
     2.984682        8.120871e-03      8.120871e-03   
     2.993761        8.138962e-03      8.138962e-03   
     2.998815        8.148684e-03      8.148684e-03   
     3.004739        8.159448e-03      8.159448e-03   
     3.024957        8.191177e-03      8.191177e-03   
     3.061273        8.232842e-03      8.232842e-03   
     3.113597        8.261730e-03      8.261730e-03   
     3.181789        8.267489e-03      8.267489e-03   
     3.265666        8.199175e-03      8.199175e-03   
     3.365002        7.997660e-03      7.997660e-03   
     3.479529        7.624050e-03      7.624050e-03   
     3.608938        7.038500e-03      7.038500e-03   
     3.752880        6.219816e-03      6.219816e-03   
     3.910968        5.199724e-03      5.199724e-03   
     4.082775        4.067102e-03      4.067102e-03   
     4.267838        2.974517e-03      2.974517e-03   
     4.465657        2.115365e-03      2.115365e-03   
     4.675701        1.672899e-03      1.672899e-03   
     4.897402        1.751494e-03      1.751494e-03   
     5.130163        2.314106e-03      2.314106e-03   
     5.373356        3.159838e-03      3.159838e-03   
     5.626327        3.969686e-03      3.969686e-03   
     5.888392        4.418531e-03      4.418531e-03   
     6.158845        4.308974e-03      4.308974e-03   
     6.436958        3.656483e-03      3.656483e-03   
     6.721980        2.672963e-03      2.672963e-03   
     7.013143        1.655352e-03      1.655352e-03   
     7.309662        8.463845e-04      8.463845e-04   
     7.610739        3.479833e-04      3.479833e-04   
     7.915560        1.239655e-04      1.239655e-04   
     8.223305        6.675820e-05      6.675820e-05   
     8.533144        7.170916e-05      7.170916e-05   
     8.844241        7.740286e-05      7.740286e-05   
     9.155759        6.632079e-05      6.632079e-05   
     9.466856        4.495045e-05      4.495045e-05   
     9.776695        2.430920e-05      2.430920e-05   
    10.084440        1.043215e-05      1.043215e-05   
    10.389261        3.633069e-06      3.633069e-06   
    10.690338        1.416123e-06      1.416123e-06   
    10.986857        1.160553e-06      1.160553e-06   
    11.278020        1.281080e-06      1.281080e-06   
    11.563042        1.207942e-06      1.207942e-06   
    11.841155        9.313929e-07      9.313929e-07   
    12.111608        6.017694e-07      6.017694e-07   
    12.373673        3.324390e-07      3.324390e-07   
    12.626644        1.593229e-07      1.593229e-07   
    12.869837        6.796028e-08      6.796028e-08   
    13.102598        2.812302e-08      2.812302e-08   
    13.324299        1.392564e-08      1.392564e-08   
    13.534343        9.633292e-09      9.633292e-09   
    13.732162        7.979279e-09      7.979279e-09   
    13.917225        6.594941e-09      6.594941e-09   
    14.089032        5.180979e-09      5.180979e-09   
    14.247120        3.965029e-09      3.965029e-09   
    14.391062        3.115955e-09      3.115955e-09   
    14.520471        2.642101e-09      2.642101e-09   
    14.634998        2.461525e-09      2.461525e-09   
    14.734334        2.457736e-09      2.457736e-09   
    14.818211        2.535358e-09      2.535358e-09   
    14.886403        2.643927e-09      2.643927e-09   
    14.938727        2.756333e-09      2.756333e-09   
    14.975043        2.847261e-09      2.847261e-09   
    14.995261        2.886615e-09      2.886615e-09   
