#        q              proton           neutron      

     0.001185        2.454222e+04      3.254443e+04   
     0.006239        1.303314e+04      1.677172e+04   
     0.015318        8.808634e+03      1.111634e+04   
     0.028399        6.634787e+03      8.065263e+03   
     0.045447        5.209070e+03      6.230179e+03   
     0.066417        4.322358e+03      5.048722e+03   
     0.091251        3.687117e+03      4.182877e+03   
     0.119882        3.114428e+03      3.563517e+03   
     0.152235        2.724151e+03      3.139743e+03   
     0.188220        2.366152e+03      2.749468e+03   
     0.227742        2.145072e+03      2.391375e+03   
     0.270694        1.937598e+03      2.064309e+03   
     0.316959        1.743526e+03      1.863283e+03   
     0.366414        1.562504e+03      1.675349e+03   
     0.418925        1.394360e+03      1.500375e+03   
     0.474351        1.238934e+03      1.418714e+03   
     0.532541        1.167272e+03      1.262792e+03   
     0.593339        1.030838e+03      1.119260e+03   
     0.656582        9.689480e+02      1.053676e+03   
     0.722098        8.509756e+02      9.285797e+02   
     0.789711        7.447367e+02      8.723675e+02   
     0.859239        6.979717e+02      7.648810e+02   
     0.930495        6.082750e+02      6.684039e+02   
     1.003286        5.285533e+02      5.822502e+02   
     1.077416        4.578852e+02      5.056045e+02   
     1.152685        3.650003e+02      4.375636e+02   
     1.228890        2.879801e+02      3.481069e+02   
     1.305826        6.631028e+01      2.302551e+02   
     1.383286        2.001518e+01      6.989207e+01   
     1.461060        1.986307e+01      1.986307e+01   
     1.538940        1.948961e+01      1.948961e+01   
     1.616714        1.889160e+01      1.889160e+01   
     1.694174        1.808290e+01      1.808290e+01   
     1.771110        1.709261e+01      1.709261e+01   
     1.847315        1.596137e+01      1.596137e+01   
     1.922584        1.473655e+01      1.473655e+01   
     1.996714        1.346711e+01      1.346711e+01   
     2.069505        1.219878e+01      1.219878e+01   
     2.140761        1.097063e+01      1.097063e+01   
     2.210289        9.812724e+00      9.812724e+00   
     2.277902        8.745615e+00      8.745615e+00   
     2.343418        7.780747e+00      7.780747e+00   
     2.406661        6.921886e+00      6.921886e+00   
     2.467459        6.166884e+00      6.166884e+00   
     2.525649        5.509604e+00      5.509604e+00   
     2.581075        4.941552e+00      4.941552e+00   
     2.633586        4.453203e+00      4.453203e+00   
     2.683041        4.034992e+00      4.034992e+00   
     2.729306        3.677909e+00      3.677909e+00   
     2.772258        3.373844e+00      3.373844e+00   
     2.811780        3.115694e+00      3.115694e+00   
     2.847765        2.897390e+00      2.897390e+00   
     2.880118        2.713845e+00      2.713845e+00   
     2.908749        2.560810e+00      2.560810e+00   
     2.933583        2.434829e+00      2.434829e+00   
     2.954553        2.333100e+00      2.333100e+00   
     2.971601        2.253391e+00      2.253391e+00   
     2.984682        2.193993e+00      2.193993e+00   
     2.993761        2.153643e+00      2.153643e+00   
     2.998815        2.131483e+00      2.131483e+00   
     3.004739        2.105786e+00      2.105786e+00   
     3.024957        2.020270e+00      2.020270e+00   
     3.061273        1.874777e+00      1.874777e+00   
     3.113597        1.682193e+00      1.682193e+00   
     3.181789        1.458430e+00      1.458430e+00   
     3.265666        1.220240e+00      1.220240e+00   
     3.365002        9.833414e-01      9.833414e-01   
     3.479529        7.610945e-01      7.610945e-01   
     3.608938        5.636931e-01      5.636931e-01   
     3.752880        3.977489e-01      3.977489e-01   
     3.910968        2.661852e-01      2.661852e-01   
     4.082775        1.684460e-01      1.684460e-01   
     4.267838        1.010581e-01      1.010581e-01   
     4.465657        5.851318e-02      5.851318e-02   
     4.675701        3.435162e-02      3.435162e-02   
     4.897402        2.224349e-02      2.224349e-02   
     5.130163        1.685767e-02      1.685767e-02   
     5.373356        1.436036e-02      1.436036e-02   
     5.626327        1.250028e-02      1.250028e-02   
     5.888392        1.035019e-02      1.035019e-02   
     6.158845        7.855117e-03      7.855117e-03   
     6.436958        5.357606e-03      5.357606e-03   
     6.721980        3.232553e-03      3.232553e-03   
     7.013143        1.692097e-03      1.692097e-03   
     7.309662        7.480561e-04      7.480561e-04   
     7.610739        2.730388e-04      2.730388e-04   
     7.915560        9.147060e-05      9.147060e-05   
     8.223305        5.078343e-05      5.078343e-05   
     8.533144        5.337271e-05      5.337271e-05   
     8.844241        5.488293e-05      5.488293e-05   
     9.155759        4.561485e-05      4.561485e-05   
     9.466856        3.062897e-05      3.062897e-05   
     9.776695        1.673985e-05      1.673985e-05   
    10.084440        7.403089e-06      7.403089e-06   
    10.389261        2.683306e-06      2.683306e-06   
    10.690338        1.020370e-06      1.020370e-06   
    10.986857        7.649129e-07      7.649129e-07   
    11.278020        8.618256e-07      8.618256e-07   
    11.563042        8.739469e-07      8.739469e-07   
    11.841155        7.391807e-07      7.391807e-07   
    12.111608        5.334254e-07      5.334254e-07   
    12.373673        3.362456e-07      3.362456e-07   
    12.626644        1.878717e-07      1.878717e-07   
    12.869837        9.381868e-08      9.381868e-08   
    13.102598        4.228205e-08      4.228205e-08   
    13.324299        1.785480e-08      1.785480e-08   
    13.534343        8.133516e-09      8.133516e-09   
    13.732162        5.218303e-09      5.218303e-09   
    13.917225        4.877869e-09      4.877869e-09   
    14.089032        5.196308e-09      5.196308e-09   
    14.247120        5.478972e-09      5.478972e-09   
    14.391062        5.572936e-09      5.572936e-09   
    14.520471        5.514710e-09      5.514710e-09   
    14.634998        5.375099e-09      5.375099e-09   
    14.734334        5.214741e-09      5.214741e-09   
    14.818211        5.068188e-09      5.068188e-09   
    14.886403        4.945960e-09      4.945960e-09   
    14.938727        4.849507e-09      4.849507e-09   
    14.975043        4.783583e-09      4.783583e-09   
    14.995261        4.752814e-09      4.752814e-09   
