#        q              ratio       

     0.000790        7.361865e-01   
     0.004159        7.361734e-01   
     0.010212        7.361202e-01   
     0.018933        7.359704e-01   
     0.030298        7.356572e-01   
     0.044278        7.351021e-01   
     0.060834        7.342491e-01   
     0.079922        7.330780e-01   
     0.101490        7.316391e-01   
     0.125480        7.300431e-01   
     0.151828        7.284357e-01   
     0.180462        7.269502e-01   
     0.211306        7.256683e-01   
     0.244276        7.245996e-01   
     0.279283        7.236864e-01   
     0.316234        7.228158e-01   
     0.355027        7.218291e-01   
     0.395559        7.205195e-01   
     0.437721        7.186155e-01   
     0.481399        7.157541e-01   
     0.526474        7.114386e-01   
     0.572826        7.050046e-01   
     0.620330        6.956464e-01   
     0.668857        6.828104e-01   
     0.718277        6.681853e-01   
     0.768456        6.638199e-01   
     0.819260        7.114695e-01   
     0.870551        8.475697e-01   
     0.922191        9.697896e-01   
     0.974040        9.785689e-01   
     1.025960        9.786267e-01   
     1.077809        9.823366e-01   
     1.129449        9.843676e-01   
     1.180740        9.838715e-01   
     1.231544        9.811108e-01   
     1.281723        9.765576e-01   
     1.331143        9.706638e-01   
     1.379670        9.638138e-01   
     1.427174        9.563279e-01   
     1.473526        9.484744e-01   
     1.518601        9.404809e-01   
     1.562279        9.325421e-01   
     1.604441        9.248239e-01   
     1.644973        9.174648e-01   
     1.683766        9.105763e-01   
     1.720717        9.042418e-01   
     1.755724        8.985173e-01   
     1.788694        8.934318e-01   
     1.819538        8.889898e-01   
     1.848172        8.851745e-01   
     1.874520        8.819520e-01   
     1.898510        8.792760e-01   
     1.920078        8.770922e-01   
     1.939166        8.753430e-01   
     1.955722        8.739710e-01   
     1.969702        8.729223e-01   
     1.981067        8.721486e-01   
     1.989788        8.716095e-01   
     1.995841        8.712731e-01   
     1.999210        8.711179e-01   
     2.003160        8.707584e-01   
     2.016638        8.697951e-01   
     2.040848        8.684744e-01   
     2.075731        8.671934e-01   
     2.121193        8.664921e-01   
     2.177111        8.669877e-01   
     2.243335        8.692539e-01   
     2.319686        8.736577e-01   
     2.405959        8.802125e-01   
     2.501920        8.885417e-01   
     2.607312        8.980160e-01   
     2.721850        9.080201e-01   
     2.845225        9.182007e-01   
     2.977105        9.285738e-01   
     3.117134        9.395123e-01   
     3.264935        9.517201e-01   
     3.420109        9.662052e-01   
     3.582238        9.837517e-01   
     3.750884        9.981371e-01   
     3.925594        9.961318e-01   
     4.105897        9.509960e-01   
     4.291305        9.167776e-01   
     4.481320        9.088542e-01   
     4.675429        9.115345e-01   
     4.873108        9.172995e-01   
     5.073826        9.239802e-01   
     5.277040        9.311208e-01   
     5.482203        9.388306e-01   
     5.688763        9.475168e-01   
     5.896161        9.579714e-01   
     6.103839        9.718765e-01   
     6.311237        9.937624e-01   
     6.517797        9.586698e-01   
     6.722960        7.098996e-01   
     6.926174        8.001807e-01   
     7.126892        8.959465e-01   
     7.324571        9.282762e-01   
     7.518680        9.481870e-01   
     7.708695        9.642099e-01   
     7.894103        9.792192e-01   
     8.074406        9.947506e-01   
     8.249116        9.881465e-01   
     8.417762        9.680071e-01   
     8.579891        9.431488e-01   
     8.735065        9.334477e-01   
     8.882866        4.793660e-01   
     9.022895        6.841759e-01   
     9.154775        8.263123e-01   
     9.278150        8.870339e-01   
     9.392688        9.203850e-01   
     9.498080        9.419275e-01   
     9.594041        9.572650e-01   
     9.680314        9.688304e-01   
     9.756665        9.778288e-01   
     9.822889        9.849178e-01   
     9.878807        9.904845e-01   
     9.924269        9.947704e-01   
     9.959152        9.979299e-01   
     9.983362        9.996767e-01   
     9.996840        9.985629e-01   
