#        q                pp                pn                nn        

     0.001185        2.793754e+04      2.058194e+04      2.126516e+04   
     0.006239        1.426884e+04      1.122094e+04      1.159089e+04   
     0.015318        9.542189e+03      7.738071e+03      7.991289e+03   
     0.028399        6.835185e+03      5.806656e+03      5.995064e+03   
     0.045447        5.412264e+03      4.716841e+03      4.868552e+03   
     0.066417        4.362506e+03      3.772989e+03      3.892838e+03   
     0.091251        3.599223e+03      3.219815e+03      3.320790e+03   
     0.119882        3.057072e+03      2.723757e+03      2.807735e+03   
     0.152235        2.688295e+03      2.387485e+03      2.459725e+03   
     0.188220        2.350441e+03      2.080269e+03      2.141734e+03   
     0.227742        2.042151e+03      1.891248e+03      1.945746e+03   
     0.270694        1.852378e+03      1.714181e+03      1.762091e+03   
     0.316959        1.590346e+03      1.548643e+03      1.590367e+03   
     0.366414        1.430151e+03      1.394206e+03      1.430172e+03   
     0.418925        1.354239e+03      1.250442e+03      1.281103e+03   
     0.474351        1.210581e+03      1.116929e+03      1.142760e+03   
     0.532541        1.077452e+03      1.054493e+03      1.077470e+03   
     0.593339        1.014696e+03      9.355550e+02      9.544687e+02   
     0.656582        8.966147e+02      8.801694e+02      8.966292e+02   
     0.722098        7.880721e+02      7.749199e+02      7.880838e+02   
     0.789711        7.372529e+02      6.783742e+02      6.886808e+02   
     0.859239        6.422836e+02      6.338173e+02      6.422885e+02   
     0.930495        5.558616e+02      5.496791e+02      5.558628e+02   
     1.003286        4.775843e+02      4.734037e+02      4.775821e+02   
     1.077416        4.070449e+02      4.046313e+02      4.070400e+02   
     1.152685        3.148296e+02      3.142012e+02      3.148231e+02   
     1.228890        2.151581e+02      2.161263e+02      2.377308e+02   
     1.305826        8.361377e+01      8.606445e+01      1.234711e+02   
     1.383286        8.957284e-01      4.231776e+00      5.658638e+00   
     1.461060        5.098497e-01      4.135515e+00      5.092635e-01   
     1.538940        4.538764e-01      4.186078e+00      4.560718e-01   
     1.616714        3.860113e-01      4.045208e+00      3.904857e-01   
     1.694174        3.156979e-01      3.753142e+00      3.216505e-01   
     1.771110        2.503019e-01      3.364990e+00      2.568746e-01   
     1.847315        1.941983e-01      2.936023e+00      2.006691e-01   
     1.922584        1.489626e-01      2.510948e+00      1.548453e-01   
     1.996714        1.141750e-01      2.119203e+00      1.192265e-01   
     2.069505        8.833369e-02      1.775551e+00      9.250137e-02   
     2.140761        6.957299e-02      1.483706e+00      7.292374e-02   
     2.210289        5.610602e-02      1.240690e+00      5.876210e-02   
     2.277902        4.643305e-02      1.040419e+00      4.852857e-02   
     2.343418        3.939754e-02      8.760466e-01      4.105480e-02   
     2.406661        3.416047e-02      7.411791e-01      3.548078e-02   
     2.467459        3.014103e-02      6.303384e-01      3.120389e-02   
     2.525649        2.695170e-02      5.390271e-01      2.781769e-02   
     2.581075        2.434104e-02      4.636218e-01      2.505567e-02   
     2.633586        2.214893e-02      4.012219e-01      2.274632e-02   
     2.683041        2.027425e-02      3.495046e-01      2.078009e-02   
     2.729306        1.865280e-02      3.066042e-01      1.908657e-02   
     2.772258        1.724290e-02      2.710163e-01      1.761956e-02   
     2.811780        1.601643e-02      2.415241e-01      1.634758e-02   
     2.847765        1.495333e-02      2.171411e-01      1.524807e-02   
     2.880118        1.403840e-02      1.970673e-01      1.430401e-02   
     2.908749        1.325955e-02      1.806549e-01      1.350189e-02   
     2.933583        1.260679e-02      1.673821e-01      1.283067e-02   
     2.954553        1.207179e-02      1.568323e-01      1.228122e-02   
     2.971601        1.164761e-02      1.486779e-01      1.184599e-02   
     2.984682        1.132862e-02      1.426680e-01      1.151895e-02   
     2.993761        1.111052e-02      1.386193e-01      1.129545e-02   
     2.998815        1.099026e-02      1.364078e-01      1.117227e-02   
     3.004739        1.085038e-02      1.338540e-01      1.102900e-02   
     3.024957        1.038154e-02      1.254411e-01      1.054912e-02   
     3.061273        9.572465e-03      1.114497e-01      9.721915e-03   
     3.113597        8.480600e-03      9.361882e-02      8.607405e-03   
     3.181789        7.186294e-03      7.403360e-02      7.288748e-03   
     3.265666        5.788407e-03      5.477244e-02      5.867331e-03   
     3.365002        4.396246e-03      3.758857e-02      4.454318e-03   
     3.479529        3.116520e-03      2.367908e-02      3.157447e-03   
     3.608938        2.036714e-03      1.357389e-02      2.064470e-03   
     3.752880        1.209482e-03      7.154647e-03      1.227722e-03   
     3.910968        6.439954e-04      3.790917e-03      6.557156e-04   
     4.082775        3.084580e-04      2.558283e-03      3.158846e-04   
     4.267838        1.435450e-04      2.484473e-03      1.482044e-04   
     4.465657        8.187430e-05      2.762606e-03      8.475641e-05   
     4.675701        6.617149e-05      2.880827e-03      6.790927e-05   
     4.897402        5.993382e-05      2.645089e-03      6.094415e-05   
     5.130163        4.833918e-05      2.107870e-03      4.890707e-05   
     5.373356        3.163719e-05      1.445708e-03      3.195538e-05   
     5.626327        1.593318e-05      8.394323e-04      1.612142e-05   
     5.888392        6.049425e-06      3.986253e-04      6.171786e-06   
     6.158845        2.713609e-06      1.440338e-04      2.798878e-06   
     6.436958        3.480504e-06      3.379906e-05      3.540952e-06   
     6.721980        5.178678e-06      5.170145e-06      5.221612e-06   
     7.013143        5.802500e-06      6.799332e-06      5.833942e-06   
     7.309662        4.983833e-06      1.109808e-05      5.007996e-06   
     7.610739        3.381763e-06      1.031360e-05      3.400435e-06   
     7.915560        1.816091e-06      6.362195e-06      1.829489e-06   
     8.223305        7.463134e-07      2.636729e-06      7.545837e-07   
     8.533144        2.130053e-07      6.299427e-07      2.170662e-07   
     8.844241        3.398991e-08      6.763995e-08      3.535915e-08   
     9.155759        9.476323e-09      1.262445e-07      9.617540e-09   
     9.466856        1.895620e-08      2.393006e-07      1.880909e-08   
     9.776695        2.076323e-08      2.366999e-07      2.069917e-08   
    10.084440        1.388668e-08      1.598730e-07      1.393222e-08   
    10.389261        6.271489e-09      8.056766e-08      6.348863e-09   
    10.690338        1.952524e-09      3.089441e-08      2.007148e-09   
    10.986857        6.148841e-10      8.982525e-09      6.374034e-10   
    11.278020        5.787998e-10      2.320095e-09      5.823453e-10   
    11.563042        6.872604e-10      1.248558e-09      6.854793e-10   
    11.841155        5.957916e-10      1.352352e-09      5.950582e-10   
    12.111608        3.813909e-10      1.401541e-09      3.824365e-10   
    12.373673        1.824999e-10      1.297756e-09      1.841076e-10   
    12.626644        6.177547e-11      1.129801e-09      6.296740e-11   
    12.869837        1.304221e-11      9.488611e-10      1.357393e-11   
    13.102598        5.264124e-12      7.746370e-10      5.331078e-12   
    13.324299        1.175610e-11      6.174970e-10      1.163754e-11   
    13.534343        1.842299e-11      4.839062e-10      1.830742e-11   
    13.732162        2.096621e-11      3.760992e-10      2.092791e-11   
    13.917225        1.984942e-11      2.922135e-10      1.988965e-11   
    14.089032        1.680129e-11      2.281751e-10      1.689329e-11   
    14.247120        1.326875e-11      1.797300e-10      1.338381e-11   
    14.391062        1.006490e-11      1.433284e-10      1.018238e-11   
    14.520471        7.496594e-12      1.161790e-10      7.605309e-12   
    14.634998        5.581740e-12      9.610578e-11      5.677447e-12   
    14.734334        4.217153e-12      8.142476e-11      4.299699e-12   
    14.818211        3.273518e-12      7.084413e-11      3.344671e-12   
    14.886403        2.636898e-12      6.338318e-11      2.699043e-12   
    14.938727        2.220952e-12      5.831244e-11      2.276492e-12   
    14.975043        1.966286e-12      5.511186e-11      2.017442e-12   
    14.995261        2.120800e-12      5.367651e-11      2.145893e-12   
