#        q              proton           neutron      

     0.001185        1.904998e+04      1.655949e+04   
     0.006239        9.287938e+03      8.252128e+03   
     0.015318        6.005682e+03      5.421752e+03   
     0.028399        4.209078e+03      3.899319e+03   
     0.045447        3.192210e+03      3.061922e+03   
     0.066417        2.576227e+03      2.463406e+03   
     0.091251        2.045045e+03      1.948434e+03   
     0.119882        1.764426e+03      1.676940e+03   
     0.152235        1.431928e+03      1.431927e+03   
     0.188220        1.212012e+03      1.212011e+03   
     0.227742        1.078684e+03      1.015852e+03   
     0.270694        9.555099e+02      8.976044e+02   
     0.316959        8.420856e+02      7.889053e+02   
     0.366414        7.380130e+02      6.893573e+02   
     0.418925        6.428883e+02      6.428885e+02   
     0.474351        5.563105e+02      5.563108e+02   
     0.532541        5.161001e+02      4.778756e+02   
     0.593339        4.415864e+02      4.415869e+02   
     0.656582        4.071837e+02      3.746153e+02   
     0.722098        3.438313e+02      3.438319e+02   
     0.789711        2.874168e+02      2.874176e+02   
     0.859239        2.616865e+02      2.616873e+02   
     0.930495        2.149255e+02      2.149264e+02   
     1.003286        1.740964e+02      1.740974e+02   
     1.077416        1.387967e+02      1.387976e+02   
     1.152685        1.086238e+02      1.086246e+02   
     1.228890        6.204728e+01      6.204787e+01   
     1.305826        2.022166e+01      2.549715e+01   
     1.383286        2.978903e-04      2.979532e-04   
     1.461060        3.505891e-04      3.505891e-04   
     1.538940        4.090517e-04      4.090517e-04   
     1.616714        4.724095e-04      4.724095e-04   
     1.694174        5.398453e-04      5.398453e-04   
     1.771110        6.102474e-04      6.102474e-04   
     1.847315        6.822859e-04      6.822859e-04   
     1.922584        7.544630e-04      7.544630e-04   
     1.996714        8.252023e-04      8.252023e-04   
     2.069505        8.929217e-04      8.929217e-04   
     2.140761        9.561321e-04      9.561321e-04   
     2.210289        1.013524e-03      1.013524e-03   
     2.277902        1.064021e-03      1.064021e-03   
     2.343418        1.106850e-03      1.106850e-03   
     2.406661        1.141549e-03      1.141549e-03   
     2.467459        1.168006e-03      1.168006e-03   
     2.525649        1.186425e-03      1.186425e-03   
     2.581075        1.197291e-03      1.197291e-03   
     2.633586        1.201317e-03      1.201317e-03   
     2.683041        1.199375e-03      1.199375e-03   
     2.729306        1.192463e-03      1.192463e-03   
     2.772258        1.181611e-03      1.181611e-03   
     2.811780        1.167892e-03      1.167892e-03   
     2.847765        1.152374e-03      1.152374e-03   
     2.880118        1.136046e-03      1.136046e-03   
     2.908749        1.119820e-03      1.119820e-03   
     2.933583        1.104471e-03      1.104471e-03   
     2.954553        1.090649e-03      1.090649e-03   
     2.971601        1.078865e-03      1.078865e-03   
     2.984682        1.069508e-03      1.069508e-03   
     2.993761        1.062851e-03      1.062851e-03   
     2.998815        1.059086e-03      1.059086e-03   
     3.004739        1.054590e-03      1.054590e-03   
     3.024957        1.038604e-03      1.038604e-03   
     3.061273        1.007914e-03      1.007914e-03   
     3.113597        9.600426e-04      9.600426e-04   
     3.181789        8.942085e-04      8.942085e-04   
     3.265666        8.077530e-04      8.077530e-04   
     3.365002        7.014487e-04      7.014487e-04   
     3.479529        5.822537e-04      5.822537e-04   
     3.608938        4.624700e-04      4.624700e-04   
     3.752880        3.606859e-04      3.606859e-04   
     3.910968        3.001593e-04      3.001593e-04   
     4.082775        3.017322e-04      3.017322e-04   
     4.267838        3.748163e-04      3.748163e-04   
     4.465657        5.077958e-04      5.077958e-04   
     4.675701        6.640847e-04      6.640847e-04   
     4.897402        7.894308e-04      7.894308e-04   
     5.130163        8.313955e-04      8.313955e-04   
     5.373356        7.638479e-04      7.638479e-04   
     5.626327        6.025570e-04      6.025570e-04   
     5.888392        3.996934e-04      3.996934e-04   
     6.158845        2.175994e-04      2.175994e-04   
     6.436958        9.757210e-05      9.757210e-05   
     6.721980        4.414339e-05      4.414339e-05   
     7.013143        3.344985e-05      3.344985e-05   
     7.309662        3.566959e-05      3.566959e-05   
     7.610739        3.311987e-05      3.311987e-05   
     7.915560        2.359166e-05      2.359166e-05   
     8.223305        1.264461e-05      1.264461e-05   
     8.533144        5.072905e-06      5.072905e-06   
     8.844241        1.732642e-06      1.732642e-06   
     9.155759        9.652970e-07      9.652970e-07   
     9.466856        9.664735e-07      9.664735e-07   
     9.776695        8.736486e-07      8.736486e-07   
    10.084440        6.010215e-07      6.010215e-07   
    10.389261        3.160600e-07      3.160600e-07   
    10.690338        1.278962e-07      1.278962e-07   
    10.986857        4.014992e-08      4.014992e-08   
    11.278020        1.120230e-08      1.120230e-08   
    11.563042        4.685213e-09      4.685213e-09   
    11.841155        3.212393e-09      3.212393e-09   
    12.111608        2.180228e-09      2.180228e-09   
    12.373673        1.453890e-09      1.453890e-09   
    12.626644        1.256916e-09      1.256916e-09   
    12.869837        1.381949e-09      1.381949e-09   
    13.102598        1.511404e-09      1.511404e-09   
    13.324299        1.481827e-09      1.481827e-09   
    13.534343        1.297260e-09      1.297260e-09   
    13.732162        1.036145e-09      1.036145e-09   
    13.917225        7.739716e-10      7.739716e-10   
    14.089032        5.536401e-10      5.536401e-10   
    14.247120        3.878383e-10      3.878383e-10   
    14.391062        2.717570e-10      2.717570e-10   
    14.520471        1.942026e-10      1.942026e-10   
    14.634998        1.438089e-10      1.438089e-10   
    14.734334        1.115740e-10      1.115740e-10   
    14.818211        9.117793e-11      9.117793e-11   
    14.886403        7.833842e-11      7.833842e-11   
    14.938727        7.029129e-11      7.029129e-11   
    14.975043        6.545483e-11      6.545483e-11   
    14.995261        6.313106e-11      6.313106e-11   
