#        q              proton           neutron      

     0.001185        1.904479e+04      1.655441e+04   
     0.006239        9.283155e+03      8.247400e+03   
     0.015318        6.000861e+03      5.416942e+03   
     0.028399        4.204262e+03      3.894485e+03   
     0.045447        3.187367e+03      3.057094e+03   
     0.066417        2.571367e+03      2.458541e+03   
     0.091251        2.040215e+03      1.943595e+03   
     0.119882        1.759630e+03      1.672138e+03   
     0.152235        1.427077e+03      1.427106e+03   
     0.188220        1.207215e+03      1.207234e+03   
     0.227742        1.073927e+03      1.011111e+03   
     0.270694        9.507747e+02      8.928941e+02   
     0.316959        8.373690e+02      7.842365e+02   
     0.366414        7.333784e+02      6.847675e+02   
     0.418925        6.383554e+02      6.383864e+02   
     0.474351        5.519217e+02      5.519186e+02   
     0.532541        5.118422e+02      4.737072e+02   
     0.593339        4.374786e+02      4.375025e+02   
     0.656582        4.032483e+02      3.708165e+02   
     0.722098        3.401925e+02      3.402238e+02   
     0.789711        2.841315e+02      2.841633e+02   
     0.859239        2.586706e+02      2.586854e+02   
     0.930495        2.123930e+02      2.124176e+02   
     1.003286        1.720488e+02      1.720769e+02   
     1.077416        1.372596e+02      1.373031e+02   
     1.152685        1.076173e+02      1.076392e+02   
     1.228890        6.183578e+01      6.186236e+01   
     1.305826        2.082135e+01      2.600960e+01   
     1.383286        1.085346e+00      1.085977e+00   
     1.461060        1.222577e+00      1.223107e+00   
     1.538940        1.348858e+00      1.349279e+00   
     1.616714        1.456692e+00      1.457004e+00   
     1.694174        1.539435e+00      1.539649e+00   
     1.771110        1.592075e+00      1.592208e+00   
     1.847315        1.611832e+00      1.611907e+00   
     1.922584        1.598473e+00      1.598516e+00   
     1.996714        1.554259e+00      1.554294e+00   
     2.069505        1.483546e+00      1.483593e+00   
     2.140761        1.392131e+00      1.392204e+00   
     2.210289        1.286481e+00      1.286588e+00   
     2.277902        1.172989e+00      1.173132e+00   
     2.343418        1.057386e+00      1.057564e+00   
     2.406661        9.443613e-01      9.445689e-01   
     2.467459        8.374052e-01      8.376357e-01   
     2.525649        7.388281e-01      7.390747e-01   
     2.581075        6.499086e-01      6.501647e-01   
     2.633586        5.711022e-01      5.713621e-01   
     2.683041        5.022640e-01      5.025231e-01   
     2.729306        4.428528e-01      4.431079e-01   
     2.772258        3.921001e-01      3.923488e-01   
     2.811780        3.491382e-01      3.493792e-01   
     2.847765        3.130751e-01      3.133078e-01   
     2.880118        2.830980e-01      2.833224e-01   
     2.908749        2.584300e-01      2.586464e-01   
     2.933583        2.384007e-01      2.386099e-01   
     2.954553        2.224542e-01      2.226571e-01   
     2.971601        2.101239e-01      2.103216e-01   
     2.984682        2.010379e-01      2.012315e-01   
     2.993761        1.949187e-01      1.951094e-01   
     2.998815        1.915771e-01      1.917662e-01   
     3.004739        1.877162e-01      1.879035e-01   
     3.024957        1.749865e-01      1.751674e-01   
     3.061273        1.538344e-01      1.540036e-01   
     3.113597        1.269868e-01      1.271395e-01   
     3.181789        9.781283e-02      9.794440e-02   
     3.265666        6.968793e-02      6.979531e-02   
     3.365002        4.540302e-02      4.548498e-02   
     3.479529        2.670310e-02      2.676074e-02   
     3.608938        1.411634e-02      1.415289e-02   
     3.752880        7.072963e-03      7.093185e-03   
     3.910968        4.247611e-03      4.256830e-03   
     4.082775        3.999218e-03      4.002297e-03   
     4.267838        4.788500e-03      4.789077e-03   
     4.465657        5.482982e-03      5.483177e-03   
     4.675701        5.497891e-03      5.498485e-03   
     4.897402        4.762699e-03      4.763625e-03   
     5.130163        3.551089e-03      3.551984e-03   
     5.373356        2.253862e-03      2.254454e-03   
     5.626327        1.185825e-03      1.186074e-03   
     5.888392        4.888261e-04      4.888674e-04   
     6.158845        1.394708e-04      1.394761e-04   
     6.436958        2.244766e-05      2.252046e-05   
     6.721980        1.291642e-05      1.306650e-05   
     7.013143        2.698377e-05      2.716335e-05   
     7.309662        3.064522e-05      3.080078e-05   
     7.610739        2.240216e-05      2.250617e-05   
     7.915560        1.128739e-05      1.134131e-05   
     8.223305        3.702743e-06      3.723439e-06   
     8.533144        6.337771e-07      6.388419e-07   
     8.844241        1.962895e-07      1.967753e-07   
     9.155759        4.644842e-07      4.647589e-07   
     9.466856        5.627475e-07      5.634469e-07   
     9.776695        4.224679e-07      4.231583e-07   
    10.084440        2.246333e-07      2.250338e-07   
    10.389261        8.750727e-08      8.764780e-08   
    10.690338        2.463295e-08      2.465456e-08   
    10.986857        5.313434e-09      5.316494e-09   
    11.278020        2.029734e-09      2.045906e-09   
    11.563042        2.189333e-09      2.213180e-09   
    11.841155        2.553467e-09      2.573757e-09   
    12.111608        2.802266e-09      2.814332e-09   
    12.373673        2.881651e-09      2.886767e-09   
    12.626644        2.691241e-09      2.692606e-09   
    12.869837        2.253773e-09      2.253919e-09   
    13.102598        1.710287e-09      1.710447e-09   
    13.324299        1.205320e-09      1.205799e-09   
    13.534343        8.155658e-10      8.162592e-10   
    13.732162        5.498914e-10      5.506221e-10   
    13.917225        3.813950e-10      3.820426e-10   
    14.089032        2.765599e-10      2.770772e-10   
    14.247120        2.093756e-10      2.097638e-10   
    14.391062        1.637701e-10      1.640515e-10   
    14.520471        1.311060e-10      1.313076e-10   
    14.634998        1.070349e-10      1.071802e-10   
    14.734334        8.928121e-11      8.938826e-11   
    14.818211        7.638057e-11      7.646215e-11   
    14.886403        6.737922e-11      6.744413e-11   
    14.938727        6.117050e-11      6.122477e-11   
    14.975043        5.844635e-11      5.849508e-11   
    14.995261        5.806049e-11      5.810846e-11   
