#        q              proton           neutron      

     0.001185        3.515564e+04      6.061307e+04   
     0.006239        2.117336e+04      3.720913e+04   
     0.015318        1.603342e+04      2.625827e+04   
     0.028399        1.277502e+04      2.030122e+04   
     0.045447        1.086616e+04      1.647800e+04   
     0.066417        9.426538e+03      1.386033e+04   
     0.091251        8.369706e+03      1.184812e+04   
     0.119882        7.630896e+03      1.032726e+04   
     0.152235        6.936756e+03      9.207600e+03   
     0.188220        6.283959e+03      8.171379e+03   
     0.227742        5.872914e+03      7.446657e+03   
     0.270694        5.479986e+03      6.766058e+03   
     0.316959        5.104223e+03      6.336647e+03   
     0.366414        4.745200e+03      5.926421e+03   
     0.418925        4.404623e+03      5.343178e+03   
     0.474351        4.243544e+03      4.973886e+03   
     0.532541        3.930203e+03      4.798587e+03   
     0.593339        3.634379e+03      4.459343e+03   
     0.656582        3.494278e+03      4.138326e+03   
     0.722098        3.224273e+03      3.833145e+03   
     0.789711        2.973009e+03      3.692506e+03   
     0.859239        2.854795e+03      3.414455e+03   
     0.930495        2.514014e+03      3.154314e+03   
     1.003286        2.307227e+03      2.909361e+03   
     1.077416        2.019185e+03      2.681227e+03   
     1.152685        1.673041e+03      2.463683e+03   
     1.228890        3.956902e+02      2.062094e+03   
     1.305826        8.121112e+01      1.710280e+03   
     1.383286        8.234924e+01      8.983851e+02   
     1.461060        8.245962e+01      8.629059e+01   
     1.538940        8.021941e+01      8.362802e+01   
     1.616714        7.590334e+01      7.887793e+01   
     1.694174        6.999190e+01      7.254828e+01   
     1.771110        6.307197e+01      6.524600e+01   
     1.847315        5.573017e+01      5.756885e+01   
     1.922584        4.846682e+01      5.002038e+01   
     1.996714        4.164721e+01      4.296358e+01   
     2.069505        3.549194e+01      3.661360e+01   
     2.140761        3.009635e+01      3.105925e+01   
     2.210289        2.546436e+01      2.629793e+01   
     2.277902        2.154362e+01      2.227144e+01   
     2.343418        1.825429e+01      1.889504e+01   
     2.406661        1.550878e+01      1.607708e+01   
     2.467459        1.322305e+01      1.373042e+01   
     2.525649        1.132208e+01      1.177761e+01   
     2.581075        9.741436e+00      1.015247e+01   
     2.633586        8.427046e+00      8.799579e+00   
     2.683041        7.334021e+00      7.673108e+00   
     2.729306        6.425331e+00      6.735311e+00   
     2.772258        5.670512e+00      5.955182e+00   
     2.811780        5.044539e+00      5.307271e+00   
     2.847765        4.526887e+00      4.770707e+00   
     2.880118        4.100768e+00      4.328412e+00   
     2.908749        3.752492e+00      3.966452e+00   
     2.933583        3.470972e+00      3.673531e+00   
     2.954553        3.247331e+00      3.440594e+00   
     2.971601        3.074564e+00      3.260489e+00   
     2.984682        2.947296e+00      3.127724e+00   
     2.993761        2.861591e+00      3.038269e+00   
     2.998815        2.814791e+00      2.989405e+00   
     3.004739        2.760756e+00      2.932973e+00   
     3.024957        2.582841e+00      2.747047e+00   
     3.061273        2.287334e+00      2.437809e+00   
     3.113597        1.911627e+00      2.043766e+00   
     3.181789        1.500611e+00      1.611316e+00   
     3.265666        1.099004e+00      1.186954e+00   
     3.365002        7.443674e-01      8.100969e-01   
     3.479529        4.619496e-01      5.077003e-01   
     3.608938        2.621748e-01      2.914803e-01   
     3.752880        1.410631e-01      1.581247e-01   
     3.910968        8.337369e-02      9.235008e-02   
     4.082775        6.768906e-02      7.207968e-02   
     4.267838        7.216361e-02      7.443865e-02   
     4.465657        7.943857e-02      8.098754e-02   
     4.675701        7.946640e-02      8.081974e-02   
     4.897402        6.969690e-02      7.088688e-02   
     5.130163        5.301279e-02      5.391648e-02   
     5.373356        3.456317e-02      3.511716e-02   
     5.626327        1.887632e-02      1.913678e-02   
     5.888392        8.246285e-03      8.341759e-03   
     6.158845        2.623150e-03      2.676369e-03   
     6.436958        5.257736e-04      6.035669e-04   
     6.721980        1.920766e-04      3.016908e-04   
     7.013143        3.514692e-04      4.675335e-04   
     7.309662        4.262297e-04      5.214982e-04   
     7.610739        3.331195e-04      3.952238e-04   
     7.915560        1.805509e-04      2.125619e-04   
     8.223305        6.530838e-05      7.782394e-05   
     8.533144        1.271482e-05      1.603749e-05   
     8.844241        1.893757e-06      2.389380e-06   
     9.155759        5.260549e-06      5.494769e-06   
     9.466856        7.802352e-06      8.224449e-06   
     9.776695        6.667061e-06      7.082396e-06   
    10.084440        3.977385e-06      4.236348e-06   
    10.389261        1.749354e-06      1.859486e-06   
    10.690338        5.613423e-07      5.943454e-07   
    10.986857        1.291932e-07      1.412372e-07   
    11.278020        3.716320e-08      4.993645e-08   
    11.563042        3.817675e-08      5.251017e-08   
    11.841155        4.516536e-08      5.688533e-08   
    12.111608        4.450294e-08      5.163002e-08   
    12.373673        3.983505e-08      4.306543e-08   
    12.626644        3.399956e-08      3.501937e-08   
    12.869837        2.788487e-08      2.809182e-08   
    13.102598        2.196684e-08      2.209619e-08   
    13.324299        1.673117e-08      1.700615e-08   
    13.534343        1.248819e-08      1.288369e-08   
    13.732162        9.272839e-09      9.700809e-09   
    13.917225        6.929830e-09      7.321573e-09   
    14.089032        5.245936e-09      5.569278e-09   
    14.247120        4.032725e-09      4.282996e-09   
    14.391062        3.151842e-09      3.338533e-09   
    14.520471        2.509402e-09      2.646482e-09   
    14.634998        2.042069e-09      2.142875e-09   
    14.734334        1.705500e-09      1.780872e-09   
    14.818211        1.466704e-09      1.524647e-09   
    14.886403        1.301870e-09      1.348262e-09   
    14.938727        1.190942e-09      1.230473e-09   
    14.975043        1.132991e-09      1.169503e-09   
    14.995261        1.121905e-09      1.157913e-09   
