#        q                pp                pn                nn        

     0.000790        1.812639e+04      1.561982e+04      1.610726e+04   
     0.004159        9.256932e+03      8.218417e+03      8.475244e+03   
     0.010212        6.188988e+03      5.612797e+03      5.787671e+03   
     0.018933        4.520136e+03      4.069265e+03      4.195501e+03   
     0.030298        3.452631e+03      3.086763e+03      3.181990e+03   
     0.044278        2.683849e+03      2.491620e+03      2.568026e+03   
     0.060834        2.240633e+03      2.074846e+03      2.138036e+03   
     0.079922        1.849127e+03      1.707429e+03      1.758954e+03   
     0.101490        1.587497e+03      1.462422e+03      1.506117e+03   
     0.125480        1.351793e+03      1.312958e+03      1.351794e+03   
     0.151828        1.208389e+03      1.108375e+03      1.140660e+03   
     0.180462        1.012883e+03      9.846436e+02      1.012884e+03   
     0.211306        8.950250e+02      8.705168e+02      8.950263e+02   
     0.244276        7.866826e+02      7.655970e+02      7.866840e+02   
     0.279283        7.359501e+02      6.694865e+02      6.874565e+02   
     0.316234        6.411284e+02      6.247559e+02      6.411300e+02   
     0.355027        5.969285e+02      5.411083e+02      5.548219e+02   
     0.395559        5.147258e+02      5.023806e+02      5.147275e+02   
     0.437721        4.766080e+02      4.655521e+02      4.766098e+02   
     0.481399        4.404171e+02      4.305695e+02      4.404190e+02   
     0.526474        3.736390e+02      3.656771e+02      3.736408e+02   
     0.572826        3.429322e+02      3.359372e+02      3.429340e+02   
     0.620330        3.139541e+02      3.078457e+02      3.139557e+02   
     0.668857        2.866554e+02      2.813559e+02      2.866568e+02   
     0.718277        2.609868e+02      2.564226e+02      2.609880e+02   
     0.768456        2.368991e+02      2.330016e+02      2.368999e+02   
     0.819260        2.143427e+02      1.903380e+02      1.932806e+02   
     0.870551        1.736346e+02      1.711945e+02      1.736346e+02   
     0.922191        1.553705e+02      1.533870e+02      1.553700e+02   
     0.974040        1.384374e+02      1.368703e+02      1.384365e+02   
     1.025960        1.227846e+02      1.215974e+02      1.227833e+02   
     1.077809        9.512073e+01      9.443277e+01      9.511905e+01   
     1.129449        8.300380e+01      8.260611e+01      8.300186e+01   
