#        q                pp                pn                nn        

     0.000790        1.814322e+04      1.575512e+04      1.612217e+04   
     0.004159        9.265262e+03      8.289074e+03      8.482848e+03   
     0.010212        6.194476e+03      5.660687e+03      5.792792e+03   
     0.018933        4.524094e+03      4.103667e+03      4.199161e+03   
     0.030298        3.455613e+03      3.112575e+03      3.184724e+03   
     0.044278        2.686131e+03      2.512217e+03      2.570202e+03   
     0.060834        2.242514e+03      2.091781e+03      2.139823e+03   
     0.079922        1.850656e+03      1.721132e+03      1.760401e+03   
     0.101490        1.588796e+03      1.473958e+03      1.507340e+03   
     0.125480        1.352885e+03      1.323151e+03      1.352886e+03   
     0.151828        1.209362e+03      1.116760e+03      1.141569e+03   
     0.180462        1.013689e+03      9.919175e+02      1.013690e+03   
     0.211306        8.957372e+02      8.767699e+02      8.957380e+02   
     0.244276        7.873109e+02      7.709190e+02      7.873118e+02   
     0.279283        7.365523e+02      6.739666e+02      6.880093e+02   
     0.316234        6.416607e+02      6.288176e+02      6.416616e+02   
     0.355027        5.974434e+02      5.444642e+02      5.552912e+02   
     0.395559        5.151823e+02      5.053904e+02      5.151832e+02   
     0.437721        4.770537e+02      4.682410e+02      4.770547e+02   
     0.481399        4.408542e+02      4.329632e+02      4.408551e+02   
     0.526474        3.740279e+02      3.675934e+02      3.740288e+02   
     0.572826        3.433149e+02      3.376278e+02      3.433157e+02   
     0.620330        3.143305e+02      3.093320e+02      3.143312e+02   
     0.668857        2.870247e+02      2.826570e+02      2.870254e+02   
     0.718277        2.613477e+02      2.575545e+02      2.613483e+02   
     0.768456        2.372496e+02      2.339771e+02      2.372499e+02   
     0.819260        2.146802e+02      1.910665e+02      1.935794e+02   
     0.870551        1.739180e+02      1.717944e+02      1.739180e+02   
     0.922191        1.556356e+02      1.538622e+02      1.556354e+02   
     0.974040        1.386819e+02      1.372236e+02      1.386815e+02   
     1.025960        1.230065e+02      1.218322e+02      1.230060e+02   
     1.077809        9.528399e+01      9.449928e+01      9.528334e+01   
     1.129449        8.314348e+01      8.257078e+01      8.314273e+01   
     1.180740        6.204182e+01      6.174924e+01      6.204101e+01   
     1.231544        4.485294e+01      4.478616e+01      4.485210e+01   
     1.281723        3.117546e+01      3.128923e+01      3.117463e+01   
     1.331143        1.636667e+01      1.665431e+01      1.636589e+01   
     1.379670        3.563918e+00      3.994854e+00      7.202274e+00   
     1.427174        4.575854e-02      5.437807e-01      4.512513e-02   
     1.473526        4.036137e-02      5.747952e-01      3.981909e-02   
     1.518601        3.453307e-02      5.982445e-01      3.408292e-02   
     1.562279        2.864857e-02      6.142049e-01      2.828585e-02   
     1.604441        2.302627e-02      6.231673e-01      2.274239e-02   
     1.644973        1.790594e-02      6.259204e-01      1.769006e-02   
     1.683766        1.344138e-02      6.234330e-01      1.328191e-02   
     1.720717        9.705538e-03      6.167491e-01      9.591278e-03   
     1.755724        6.703796e-03      6.069040e-01      6.624642e-03   
     1.788694        4.391289e-03      5.948636e-01      4.338625e-03   
     1.819538        2.690616e-03      5.814866e-01      2.657418e-03   
     1.848172        1.507504e-03      5.675052e-01      1.488261e-03   
     1.874520        7.431281e-04      5.535221e-01      7.336518e-04   
     1.898510        3.027534e-04      5.400171e-01      2.999529e-04   
     1.920078        1.010359e-04      5.273607e-01      1.026875e-04   
     1.939166        6.463546e-05      5.158301e-01      6.917742e-05   
     1.955722        1.329030e-04      5.056265e-01      1.392648e-04   
     1.969702        2.573407e-04      4.968914e-01      2.648072e-04   
     1.981067        4.004027e-04      4.897207e-01      4.085106e-04   
     1.989788        5.340558e-04      4.841766e-01      5.425155e-04   
     1.995841        6.383815e-04      4.802974e-01      6.470192e-04   
     1.999210        7.004138e-04      4.781036e-01      7.091281e-04   
     2.003160        7.765885e-04      4.757778e-01      7.853788e-04   
     2.016638        1.063730e-03      4.675266e-01      1.072634e-03   
     2.040848        1.674876e-03      4.524025e-01      1.683509e-03   
     2.075731        2.732160e-03      4.305299e-01      2.739603e-03   
     2.121193        4.330488e-03      4.024174e-01      4.335483e-03   
     2.177111        6.473215e-03      3.691278e-01      6.474464e-03   
     2.243335        9.031653e-03      3.322975e-01      9.027964e-03   
     2.319686        1.175487e-02      2.939348e-01      1.174504e-02   
     2.405959        1.433149e-02      2.560361e-01      1.431423e-02   
     2.501920        1.647164e-02      2.201828e-01      1.644590e-02   
     2.607312        1.796677e-02      1.873164e-01      1.793235e-02   
     2.721850        1.871020e-02      1.577826e-01      1.866821e-02   
     2.845225        1.869172e-02      1.315545e-01      1.864436e-02   
     2.977105        1.798224e-02      1.084602e-01      1.793226e-02   
     3.117134        1.671203e-02      8.830813e-02      1.666213e-02   
     3.264935        1.504353e-02      7.091906e-02      1.499600e-02   
     3.420109        1.314471e-02      5.611617e-02      1.310128e-02   
     3.582238        1.116854e-02      4.371004e-02      1.113028e-02   
     3.750884        9.240190e-03      3.348978e-02      9.207608e-03   
     3.925594        7.451564e-03      2.522294e-02      7.424674e-03   
     4.105897        5.861311e-03      1.866233e-02      5.839772e-03   
