#        q                pp                pn                nn        

     0.000790        3.930875e+04      3.888257e+04      6.346801e+04   
     0.004159        2.420722e+04      2.394399e+04      4.293940e+04   
     0.010212        1.816811e+04      1.797109e+04      3.085188e+04   
     0.018933        1.500443e+04      1.484227e+04      2.420667e+04   
     0.030298        1.255739e+04      1.242217e+04      1.945956e+04   
     0.044278        1.098297e+04      1.086511e+04      1.653529e+04   
     0.060834        9.822712e+03      9.717664e+03      1.427520e+04   
     0.079922        9.008317e+03      8.912319e+03      1.255724e+04   
     0.101490        8.240236e+03      8.152806e+03      1.128661e+04   
     0.125480        7.517103e+03      7.437774e+03      1.010473e+04   
     0.151828        7.059291e+03      6.985226e+03      9.274591e+03   
     0.180462        6.620442e+03      6.551471e+03      8.491197e+03   
     0.211306        6.200153e+03      6.136109e+03      7.753192e+03   
     0.244276        5.798024e+03      5.738738e+03      7.285691e+03   
     0.279283        5.603582e+03      5.546911e+03      6.837349e+03   
     0.316234        5.227933e+03      5.175790e+03      6.407766e+03   
     0.355027        5.046489e+03      4.996904e+03      5.996543e+03   
     0.395559        4.696420e+03      4.651109e+03      5.603278e+03   
     0.437721        4.527526e+03      4.484691e+03      5.413141e+03   
     0.481399        4.362711e+03      4.322333e+03      5.046060e+03   
     0.526474        4.045350e+03      4.008857e+03      4.868773e+03   
     0.572826        3.892492e+03      3.858317e+03      4.526982e+03   
     0.620330        3.743518e+03      3.711612e+03      4.362103e+03   
     0.668857        3.598378e+03      3.568687e+03      4.201259e+03   
     0.718277        3.319676e+03      3.293254e+03      4.044401e+03   
     0.768456        3.185761e+03      3.161340e+03      3.742782e+03   
     0.819260        3.055487e+03      3.032989e+03      3.597604e+03   
     0.870551        2.805935e+03      2.786159e+03      3.456222e+03   
     0.922191        2.686298e+03      2.668208e+03      3.184969e+03   
     0.974040        2.457564e+03      2.441807e+03      3.054683e+03   
     1.025960        2.242204e+03      2.228556e+03      2.927999e+03   
     1.077809        2.039817e+03      2.028070e+03      2.685529e+03   
     1.129449        1.850001e+03      1.839959e+03      2.456841e+03   
     1.180740        1.506625e+03      1.498987e+03      2.347414e+03   
     1.231544        2.840174e+02      2.829692e+02      2.039201e+03   
     1.281723        3.606111e+00      4.030910e+00      1.849443e+03   
     1.331143        1.106912e-01      6.418095e-01      1.427495e+03   
     1.379670        1.225797e-01      7.584642e-01      8.914188e+02   
     1.427174        1.338271e-01      8.867964e-01      1.797723e-01   
     1.473526        1.443455e-01      1.023700e+00      1.985520e-01   
     1.518601        1.541733e-01      1.166004e+00      2.175441e-01   
     1.562279        1.634361e-01      1.310593e+00      2.366785e-01   
     1.604441        1.723067e-01      1.454529e+00      2.559490e-01   
     1.644973        1.809640e-01      1.595145e+00      2.753712e-01   
     1.683766        1.895611e-01      1.730132e+00      2.949462e-01   
     1.720717        1.982026e-01      1.857580e+00      3.146333e-01   
     1.755724        2.069344e-01      1.976022e+00      3.343382e-01   
     1.788694        2.157433e-01      2.084427e+00      3.539103e-01   
     1.819538        2.245626e-01      2.182186e+00      3.731496e-01   
     1.848172        2.332856e-01      2.269068e+00      3.918221e-01   
     1.874520        2.417795e-01      2.345168e+00      4.096781e-01   
     1.898510        2.498988e-01      2.410842e+00      4.264665e-01   
     1.920078        2.574982e-01      2.466637e+00      4.419510e-01   
     1.939166        2.644415e-01      2.513229e+00      4.559195e-01   
     1.955722        2.706079e-01      2.551352e+00      4.681917e-01   
     1.969702        2.758948e-01      2.581746e+00      4.786190e-01   
     1.981067        2.802198e-01      2.605107e+00      4.870866e-01   
     1.989788        2.835196e-01      2.622046e+00      4.935090e-01   
     1.995841        2.857483e-01      2.633058e+00      4.978265e-01   
     1.999210        2.868761e-01      2.638496e+00      5.000019e-01   
     2.003160        2.891283e-01      2.649058e+00      5.043665e-01   
     2.016638        2.958700e-01      2.679457e+00      5.173777e-01   
     2.040848        3.072958e-01      2.726069e+00      5.392506e-01   
     2.075731        3.235581e-01      2.781714e+00      5.700167e-01   
     2.121193        3.445978e-01      2.835648e+00      6.092347e-01   
     2.177111        3.698018e-01      2.873696e+00      6.554229e-01   
     2.243335        3.975682e-01      2.879238e+00      7.053531e-01   
     2.319686        4.249314e-01      2.835453e+00      7.534575e-01   
     2.405959        4.475428e-01      2.728946e+00      7.918404e-01   
     2.501920        4.603298e-01      2.554086e+00      8.114569e-01   
     2.607312        4.589017e-01      2.316427e+00      8.046135e-01   
     2.721850        4.412250e-01      2.033100e+00      7.679955e-01   
     2.845225        4.086124e-01      1.728979e+00      7.045142e-01   
     2.977105        3.652700e-01      1.429751e+00      6.224939e-01   
     3.117134        3.166052e-01      1.155225e+00      5.324430e-01   
     3.264935        2.674077e-01      9.161564e-01      4.434722e-01   
     3.420109        2.209187e-01      7.152528e-01      3.614219e-01   
     3.582238        1.788978e-01      5.503532e-01      2.890383e-01   
     3.750884        1.421128e-01      4.173322e-01      2.270821e-01   
     3.925594        1.107530e-01      3.116803e-01      1.752903e-01   
     4.105897        8.465622e-02      2.290754e-01      1.329010e-01   
     4.291305        6.343481e-02      1.655444e-01      9.890499e-02   
     4.481320        4.656459e-02      1.175206e-01      7.218717e-02   
     4.675429        3.345379e-02      8.187092e-02      5.161796e-02   
     4.873108        2.349571e-02      5.590461e-02      3.611504e-02   
     5.073826        1.610768e-02      3.736355e-02      2.468512e-02   
     5.277040        1.075792e-02      2.439804e-02      1.645005e-02   
     5.482203        6.981419e-03      1.552969e-02      1.065959e-02   
     5.688763        4.386719e-03      9.605738e-03      6.692949e-03   
     5.896161        2.655587e-03      5.749267e-03      4.051964e-03   
     6.103839        1.537719e-03      3.309619e-03      2.348644e-03   
     6.311237        8.424468e-04      1.816040e-03      1.289615e-03   
     6.517797        4.290817e-04      9.366208e-04      6.595815e-04   
     6.722960        1.971066e-04      4.435481e-04      3.053261e-04   
     6.926174        7.706822e-05      1.848283e-04      1.212610e-04   
     7.126892        2.265776e-05      6.211692e-05      3.709356e-05   
     7.324571        4.189451e-06      1.392071e-05      7.788971e-06   
     7.518680        3.481317e-06      3.288563e-06      5.751515e-06   
     7.708695        1.000834e-05      9.079689e-06      1.497983e-05   
     7.894103        1.812994e-05      1.996965e-05      2.686780e-05   
     8.074406        2.517239e-05      3.047221e-05      3.730532e-05   
     8.249116        3.015732e-05      3.839179e-05      4.475728e-05   
     8.417762        3.299622e-05      4.325519e-05      4.904594e-05   
     8.579891        3.400602e-05      4.538978e-05      5.061779e-05   
     8.735065        3.363628e-05      4.541264e-05      5.012948e-05   
     8.882866        3.232914e-05      4.396976e-05      4.823404e-05   
     9.022895        3.045807e-05      4.162025e-05      4.548647e-05   
     9.154775        2.831043e-05      3.879945e-05      4.231562e-05   
     9.278150        2.609181e-05      3.582127e-05      3.902952e-05   
     9.392688        2.393957e-05      3.289706e-05      3.583485e-05   
     9.498080        2.193864e-05      3.015885e-05      3.286000e-05   
     9.594041        2.013601e-05      2.768120e-05      3.017663e-05   
     9.680314        1.855281e-05      2.549933e-05      2.781755e-05   
     9.756665        1.719359e-05      2.362316e-05      2.579058e-05   
     9.822889        1.605316e-05      2.204757e-05      2.408876e-05   
     9.878807        1.512138e-05      2.075971e-05      2.269755e-05   
     9.924269        1.438635e-05      1.974378e-05      2.159966e-05   
     9.959152        1.383669e-05      1.898411e-05      2.077836e-05   
     9.983362        1.346272e-05      1.846718e-05      2.021944e-05   
     9.996840        1.325723e-05      1.818303e-05      1.991228e-05   
