#        q              proton           neutron      

     0.000790        3.211031e+04      2.475441e+04   
     0.004159        1.695741e+04      1.358921e+04   
     0.010212        1.130213e+04      9.559052e+03   
     0.018933        8.502720e+03      7.295595e+03   
     0.030298        6.629323e+03      5.805823e+03   
     0.044278        5.420968e+03      4.876165e+03   
     0.060834        4.534029e+03      4.208283e+03   
     0.079922        3.898526e+03      3.604347e+03   
     0.101490        3.462977e+03      3.191419e+03   
     0.125480        2.934432e+03      2.811283e+03   
     0.151828        2.691627e+03      2.462592e+03   
     0.180462        2.353113e+03      2.246927e+03   
     0.211306        2.143985e+03      2.044234e+03   
     0.244276        1.947624e+03      1.854103e+03   
     0.279283        1.763628e+03      1.676143e+03   
     0.316234        1.591600e+03      1.591598e+03   
     0.355027        1.509947e+03      1.431133e+03   
     0.395559        1.355110e+03      1.355110e+03   
     0.437721        1.281824e+03      1.211233e+03   
     0.481399        1.211230e+03      1.143279e+03   
     0.526474        1.077916e+03      1.077919e+03   
     0.572826        1.015088e+03      1.015088e+03   
     0.620330        9.547579e+02      8.968633e+02   
     0.668857        8.968600e+02      8.413573e+02   
     0.718277        7.881898e+02      7.881912e+02   
     0.768456        7.373088e+02      7.373122e+02   
     0.819260        6.886748e+02      6.886764e+02   
     0.870551        6.422284e+02      5.979224e+02   
     0.922191        5.556920e+02      5.556951e+02   
     0.974040        5.155072e+02      5.155103e+02   
     1.025960        4.410480e+02      4.410533e+02   
     1.077809        4.066755e+02      4.066790e+02   
     1.129449        3.433838e+02      3.433876e+02   
     1.180740        2.870311e+02      2.870347e+02   
     1.231544        2.146256e+02      2.372152e+02   
     1.281723        1.385977e+02      1.555615e+02   
     1.331143        2.545953e+01      6.195894e+01   
     1.379670        7.548383e-01      7.150112e+00   
     1.427174        2.688476e-03      2.718540e-03   
     1.473526        2.857026e-03      2.888734e-03   
     1.518601        3.035776e-03      3.069245e-03   
     1.562279        3.223451e-03      3.258786e-03   
     1.604441        3.418902e-03      3.456218e-03   
     1.644973        3.620176e-03      3.659560e-03   
     1.683766        3.824674e-03      3.866167e-03   
     1.720717        4.034261e-03      4.077999e-03   
     1.755724        4.242360e-03      4.288336e-03   
     1.788694        4.450911e-03      4.499158e-03   
     1.819538        4.655012e-03      4.705511e-03   
     1.848172        4.854359e-03      4.907073e-03   
     1.874520        5.045241e-03      5.100103e-03   
     1.898510        5.228520e-03      5.285443e-03   
     1.920078        5.396918e-03      5.455755e-03   
     1.939166        5.553577e-03      5.614191e-03   
     1.955722        5.692925e-03      5.755124e-03   
     1.969702        5.814214e-03      5.877788e-03   
     1.981067        5.914910e-03      5.979630e-03   
     1.989788        5.993514e-03      6.059125e-03   
     1.995841        6.048700e-03      6.114936e-03   
     1.999210        6.079626e-03      6.146212e-03   
     2.003160        6.115940e-03      6.182939e-03   
     2.016638        6.240654e-03      6.309078e-03   
     2.040848        6.469149e-03      6.540202e-03   
     2.075731        6.808773e-03      6.883774e-03   
     2.121193        7.271390e-03      7.351834e-03   
     2.177111        7.871802e-03      7.959412e-03   
     2.243335        8.628118e-03      8.724905e-03   
     2.319686        9.560422e-03      9.668732e-03   
     2.405959        1.068954e-02      1.081209e-02   
     2.501920        1.203476e-02      1.217464e-02   
     2.607312        1.361102e-02      1.377167e-02   
     2.721850        1.542500e-02      1.561009e-02   
     2.845225        1.747084e-02      1.768415e-02   
     2.977105        1.972563e-02      1.997075e-02   
     3.117134        2.214500e-02      2.242500e-02   
     3.264935        2.465938e-02      2.497642e-02   
     3.420109        2.717236e-02      2.752725e-02   
     3.582238        2.956299e-02      2.995473e-02   
     3.750884        3.169202e-02      3.211751e-02   
     3.925594        3.341246e-02      3.386630e-02   
     4.105897        3.458345e-02      3.505799e-02   
     4.291305        3.508645e-02      3.557208e-02   
     4.481320        3.484140e-02      3.532712e-02   
     4.675429        3.382028e-02      3.429450e-02   
     4.873108        3.205497e-02      3.250645e-02   
     5.073826        2.963752e-02      3.005626e-02   
     5.277040        2.671146e-02      2.708953e-02   
     5.482203        2.345541e-02      2.378754e-02   
     5.688763        2.006167e-02      2.034547e-02   
     5.896161        1.671375e-02      1.694960e-02   
     6.103839        1.356708e-02      1.375771e-02   
     6.311237        1.073602e-02      1.088592e-02   
     6.517797        8.288869e-03      8.403583e-03   
     6.722960        6.250181e-03      6.335668e-03   
     6.926174        4.608641e-03      4.670705e-03   
     7.126892        3.327735e-03      3.371651e-03   
     7.324571        2.356650e-03      2.386943e-03   
     7.518680        1.639642e-03      1.660008e-03   
     7.708695        1.122855e-03      1.136190e-03   
     7.894103        7.584892e-04      7.669793e-04   
     8.074406        5.067055e-04      5.119463e-04   
     8.249116        3.358979e-04      3.390196e-04   
     8.417762        2.219803e-04      2.237609e-04   
     8.579891        1.471992e-04      1.481598e-04   
     8.735065        9.883312e-05      9.931337e-05   
     8.882866        6.798579e-05      6.820076e-05   
     9.022895        4.856734e-05      4.864882e-05   
     9.154775        3.648827e-05      3.651385e-05   
     9.278150        2.905057e-05      2.906356e-05   
     9.392688        2.450397e-05      2.452663e-05   
     9.498080        2.173172e-05      2.177385e-05   
     9.594041        2.003333e-05      2.009769e-05   
     9.680314        1.897731e-05      1.906301e-05   
     9.756665        1.830323e-05      1.840766e-05   
     9.822889        1.785764e-05      1.797761e-05   
     9.878807        1.755267e-05      1.768498e-05   
     9.924269        1.734050e-05      1.748222e-05   
     9.959152        1.720558e-05      1.735258e-05   
     9.983362        1.715130e-05      1.729985e-05   
     9.996840        1.714428e-05      1.729295e-05   
