#        q          single-nucleon  

     0.001185        5.372609e+03   
     0.006239        5.372590e+03   
     0.015318        5.372561e+03   
     0.028399        3.602791e+03   
     0.045447        2.271752e+03   
     0.066417        1.549985e+03   
     0.091251        1.053302e+03   
     0.119882        7.599770e+02   
     0.152235        5.441449e+02   
     0.188220        4.014592e+02   
     0.227742        2.977061e+02   
     0.270694        2.230621e+02   
     0.316959        1.699808e+02   
     0.366414        1.260494e+02   
     0.418925        9.580779e+01   
     0.474351        7.542357e+01   
     0.532541        5.814827e+01   
     0.593339        4.372679e+01   
     0.656582        3.463105e+01   
     0.722098        2.932765e+01   
     0.789711        2.243083e+01   
     0.859239        1.849427e+01   
     0.930495        1.504874e+01   
     1.003286        1.206217e+01   
     1.077416        9.502186e+00   
     1.152685        8.373793e+00   
     1.228890        6.392306e+00   
     1.305826        4.755126e+00   
     1.383286        3.428853e+00   
     1.461060        2.873309e+00   
     1.538940        1.950328e+00   
     1.616714        1.254469e+00   
     1.694174        5.633388e-01   
     1.771110        2.915449e-01   
     1.847315        5.663856e-02   
     1.922584        3.132824e-02   
     1.996714        3.183315e-02   
     2.069505        3.207088e-02   
     2.140761        3.205022e-02   
     2.210289        3.179038e-02   
     2.277902        3.131867e-02   
     2.343418        3.066794e-02   
     2.406661        2.987404e-02   
     2.467459        2.897343e-02   
     2.525649        2.800130e-02   
     2.581075        2.699009e-02   
     2.633586        2.596852e-02   
     2.683041        2.496116e-02   
     2.729306        2.398822e-02   
     2.772258        2.306580e-02   
     2.811780        2.220626e-02   
     2.847765        2.141867e-02   
     2.880118        2.070940e-02   
     2.908749        2.008266e-02   
     2.933583        1.954099e-02   
     2.954553        1.908573e-02   
     2.971601        1.871743e-02   
     2.984682        1.843613e-02   
     2.993761        1.824162e-02   
     2.998815        1.813361e-02   
     3.004739        1.800727e-02   
     3.024957        1.757828e-02   
     3.061273        1.681736e-02   
     3.113597        1.574651e-02   
     3.181789        1.440420e-02   
     3.265666        1.284717e-02   
     3.365002        1.115134e-02   
     3.479529        9.406267e-03   
     3.608938        7.703750e-03   
     3.752880        6.124786e-03   
     3.910968        4.728445e-03   
     4.082775        3.546226e-03   
     4.267838        2.583738e-03   
     4.465657        1.827515e-03   
     4.675701        1.252987e-03   
     4.897402        8.308814e-04   
     5.130163        5.313805e-04   
     5.373356        3.266030e-04   
     5.626327        1.920686e-04   
     5.888392        1.074487e-04   
     6.158845        5.673635e-05   
     6.436958        2.797231e-05   
     6.721980        1.268274e-05   
     7.013143        5.184488e-06   
     7.309662        1.883238e-06   
     7.610739        6.490729e-07   
     7.915560        3.123497e-07   
     8.223305        2.896222e-07   
     8.533144        3.272849e-07   
     8.844241        3.394917e-07   
     9.155759        3.143090e-07   
     9.466856        2.648144e-07   
     9.776695        2.070729e-07   
    10.084440        1.525052e-07   
    10.389261        1.069131e-07   
    10.690338        7.190003e-08   
    10.986857        4.665463e-08   
    11.278020        2.933967e-08   
    11.563042        1.794465e-08   
    11.841155        1.070556e-08   
    12.111608        6.247143e-09   
    12.373673        3.577286e-09   
    12.626644        2.019785e-09   
    12.869837        1.133853e-09   
    13.102598        6.424953e-10   
    13.324299        3.770306e-10   
    13.534343        2.375774e-10   
    13.732162        1.665249e-10   
    13.917225        1.315005e-10   
    14.089032        1.148110e-10   
    14.247120        1.070891e-10   
    14.391062        1.035561e-10   
    14.520471        1.018786e-10   
    14.634998        1.009979e-10   
    14.734334        1.004719e-10   
    14.818211        1.001124e-10   
    14.886403        9.982989e-11   
    14.938727        9.959286e-11   
    14.975043        9.943172e-11   
    14.995261        9.937370e-11   
