#        q              proton           neutron      

     0.001185        3.469696e+04      6.028333e+04   
     0.006239        2.070784e+04      3.687394e+04   
     0.015318        1.555524e+04      2.591277e+04   
     0.028399        1.231496e+04      1.996904e+04   
     0.045447        1.040657e+04      1.614408e+04   
     0.066417        8.969889e+03      1.352716e+04   
     0.091251        7.912473e+03      1.151430e+04   
     0.119882        7.176110e+03      9.993611e+03   
     0.152235        6.482638e+03      8.875487e+03   
     0.188220        5.831993e+03      7.840287e+03   
     0.227742        5.422051e+03      7.116671e+03   
     0.270694        5.031241e+03      6.436940e+03   
     0.316959        4.658918e+03      6.007727e+03   
     0.366414        4.304926e+03      5.597221e+03   
     0.418925        3.969295e+03      5.015350e+03   
     0.474351        3.809294e+03      4.650283e+03   
     0.532541        3.501497e+03      4.475251e+03   
     0.593339        3.212271e+03      4.137210e+03   
     0.656582        3.076097e+03      3.816887e+03   
     0.722098        2.814936e+03      3.514248e+03   
     0.789711        2.572122e+03      3.371019e+03   
     0.859239        2.459514e+03      3.095110e+03   
     0.930495        2.139268e+03      2.836768e+03   
     1.003286        1.947500e+03      2.595667e+03   
     1.077416        1.685309e+03      2.371351e+03   
     1.152685        1.380116e+03      2.163107e+03   
     1.228890        3.021132e+02      1.787552e+03   
     1.305826        3.783704e+01      1.466011e+03   
     1.383286        3.763391e+01      7.483048e+02   
     1.461060        3.828362e+01      3.828362e+01   
     1.538940        3.859287e+01      3.859287e+01   
     1.616714        3.851549e+01      3.851549e+01   
     1.694174        3.803249e+01      3.803249e+01   
     1.771110        3.715323e+01      3.715323e+01   
     1.847315        3.591315e+01      3.591315e+01   
     1.922584        3.436891e+01      3.436891e+01   
     1.996714        3.259141e+01      3.259141e+01   
     2.069505        3.065805e+01      3.065805e+01   
     2.140761        2.864536e+01      2.864536e+01   
     2.210289        2.662286e+01      2.662286e+01   
     2.277902        2.464887e+01      2.464887e+01   
     2.343418        2.276828e+01      2.276828e+01   
     2.406661        2.101227e+01      2.101227e+01   
     2.467459        1.939945e+01      1.939945e+01   
     2.525649        1.793795e+01      1.793795e+01   
     2.581075        1.662787e+01      1.662787e+01   
     2.633586        1.546372e+01      1.546372e+01   
     2.683041        1.443656e+01      1.443656e+01   
     2.729306        1.353566e+01      1.353566e+01   
     2.772258        1.274979e+01      1.274979e+01   
     2.811780        1.206806e+01      1.206806e+01   
     2.847765        1.148036e+01      1.148036e+01   
     2.880118        1.097771e+01      1.097771e+01   
     2.908749        1.055227e+01      1.055227e+01   
     2.933583        1.019742e+01      1.019742e+01   
     2.954553        9.907639e+00      9.907639e+00   
     2.971601        9.678478e+00      9.678478e+00   
     2.984682        9.506445e+00      9.506445e+00   
     2.993761        9.388944e+00      9.388944e+00   
     2.998815        9.324194e+00      9.324194e+00   
     3.004739        9.248900e+00      9.248900e+00   
     3.024957        8.996715e+00      8.996715e+00   
     3.061273        8.561629e+00      8.561629e+00   
     3.113597        7.972744e+00      7.972744e+00   
     3.181789        7.266753e+00      7.266753e+00   
     3.265666        6.483276e+00      6.483276e+00   
     3.365002        5.660841e+00      5.660841e+00   
     3.479529        4.834298e+00      4.834298e+00   
     3.608938        4.033696e+00      4.033696e+00   
     3.752880        3.283933e+00      3.283933e+00   
     3.910968        2.604436e+00      2.604436e+00   
     4.082775        2.008667e+00      2.008667e+00   
     4.267838        1.503743e+00      1.503743e+00   
     4.465657        1.090542e+00      1.090542e+00   
     4.675701        7.644378e-01      7.644378e-01   
     4.897402        5.165810e-01      5.165810e-01   
     5.130163        3.354652e-01      3.354652e-01   
     5.373356        2.085043e-01      2.085043e-01   
     5.626327        1.233774e-01      1.233774e-01   
     5.888392        6.900338e-02      6.900338e-02   
     6.158845        3.610675e-02      3.610675e-02   
     6.436958        1.741463e-02      1.741463e-02   
     6.721980        7.571829e-03      7.571829e-03   
     7.013143        2.877344e-03      2.877344e-03   
     7.309662        9.390822e-04      9.390822e-04   
     7.610739        3.219435e-04      3.219435e-04   
     7.915560        2.380949e-04      2.380949e-04   
     8.223305        3.028442e-04      3.028442e-04   
     8.533144        3.599659e-04      3.599659e-04   
     8.844241        3.679803e-04      3.679803e-04   
     9.155759        3.332772e-04      3.332772e-04   
     9.466856        2.753669e-04      2.753669e-04   
     9.776695        2.118147e-04      2.118147e-04   
    10.084440        1.537898e-04      1.537898e-04   
    10.389261        1.064141e-04      1.064141e-04   
    10.690338        7.065824e-05      7.065824e-05   
    10.986857        4.524857e-05      4.524857e-05   
    11.278020        2.804982e-05      2.804982e-05   
    11.563042        1.687715e-05      1.687715e-05   
    11.841155        9.874576e-06      9.874576e-06   
    12.111608        5.624998e-06      5.624998e-06   
    12.373673        3.122438e-06      3.122438e-06   
    12.626644        1.690922e-06      1.690922e-06   
    12.869837        8.958301e-07      8.958301e-07   
    13.102598        4.679272e-07      4.679272e-07   
    13.324299        2.457789e-07      2.457789e-07   
    13.534343        1.354410e-07      1.354410e-07   
    13.732162        8.379616e-08      8.379616e-08   
    13.917225        6.168373e-08      6.168373e-08   
    14.089032        5.361244e-08      5.361244e-08   
    14.247120        5.168273e-08      5.168273e-08   
    14.391062        5.208167e-08      5.208167e-08   
    14.520471        5.311369e-08      5.311369e-08   
    14.634998        5.410635e-08      5.410635e-08   
    14.734334        5.487438e-08      5.487438e-08   
    14.818211        5.541651e-08      5.541651e-08   
    14.886403        5.576647e-08      5.576647e-08   
    14.938727        5.596482e-08      5.596482e-08   
    14.975043        5.606951e-08      5.606951e-08   
    14.995261        5.613471e-08      5.613471e-08   
