#        q                pp                pn                nn        

     0.001185        1.536958e+04      1.346353e+04      1.391264e+04   
     0.006239        7.749603e+03      6.829011e+03      7.056056e+03   
     0.015318        5.044779e+03      4.544507e+03      4.694993e+03   
     0.028399        3.598486e+03      3.214175e+03      3.320036e+03   
     0.045447        2.687570e+03      2.490078e+03      2.571583e+03   
     0.066417        2.141014e+03      1.977265e+03      2.041457e+03   
     0.091251        1.674098e+03      1.621980e+03      1.674098e+03   
     0.119882        1.429575e+03      1.312130e+03      1.353694e+03   
     0.152235        1.210110e+03      1.107772e+03      1.142279e+03   
     0.188220        1.014346e+03      9.258952e+02      9.541145e+02   
     0.227742        8.409268e+02      8.166301e+02      8.409273e+02   
     0.270694        7.370679e+02      7.163802e+02      7.370686e+02   
     0.316959        6.421346e+02      6.247375e+02      6.421355e+02   
     0.366414        5.557241e+02      5.412945e+02      5.557253e+02   
     0.418925        5.156041e+02      4.656454e+02      4.774358e+02   
     0.474351        4.412229e+02      4.308787e+02      4.412244e+02   
     0.532541        3.743605e+02      3.661497e+02      3.743619e+02   
     0.593339        3.436367e+02      3.366011e+02      3.436381e+02   
     0.656582        2.873015e+02      2.819033e+02      2.873025e+02   
     0.722098        2.616173e+02      2.571300e+02      2.616178e+02   
     0.789711        2.149126e+02      2.116281e+02      2.149124e+02   
     0.859239        1.938201e+02      1.912285e+02      1.938191e+02   
     0.930495        1.558473e+02      1.541264e+02      1.558455e+02   
     1.003286        1.231946e+02      1.221889e+02      1.231920e+02   
     1.077416        9.545920e+01      9.504611e+01      9.545600e+01   
     1.152685        7.223764e+01      7.231694e+01      7.223410e+01   
     1.228890        4.498686e+01      4.552482e+01      4.498329e+01   
     1.305826        2.071470e+01      2.160997e+01      2.563550e+01   
     1.383286        3.642704e+00      4.770947e+00      5.247849e+00   
     1.461060        1.052263e-01      1.328656e+00      1.030785e-01   
     1.538940        8.200848e-02      1.323003e+00      8.049510e-02   
     1.616714        5.917579e-02      1.260265e+00      5.820895e-02   
     1.694174        3.936766e-02      1.155315e+00      3.881332e-02   
     1.771110        2.396849e-02      1.026089e+00      2.368925e-02   
     1.847315        1.316808e-02      8.892083e-01      1.305079e-02   
     1.922584        6.343879e-03      7.572121e-01      6.309414e-03   
     1.996714        2.518486e-03      6.377245e-01      2.518516e-03   
     2.069505        7.120450e-04      5.340729e-01      7.204857e-04   
     2.140761        1.284958e-04      4.465862e-01      1.329894e-04   
     2.210289        2.041474e-04      3.739142e-01      1.998961e-04   
     2.277902        5.792653e-04      3.140228e-01      5.653027e-04   
     2.343418        1.044033e-03      2.647942e-01      1.021195e-03   
     2.406661        1.487374e-03      2.243150e-01      1.457240e-03   
     2.467459        1.858464e-03      1.909701e-01      1.822812e-03   
     2.525649        2.141006e-03      1.634400e-01      2.101528e-03   
     2.581075        2.337153e-03      1.406614e-01      2.295318e-03   
     2.633586        2.457873e-03      1.217803e-01      2.414876e-03   
     2.683041        2.517395e-03      1.061102e-01      2.474155e-03   
     2.729306        2.530160e-03      9.309709e-02      2.487344e-03   
     2.772258        2.509291e-03      8.229252e-02      2.467350e-03   
     2.811780        2.465958e-03      7.333235e-02      2.425168e-03   
     2.847765        2.409248e-03      6.592042e-02      2.369746e-03   
     2.880118        2.346297e-03      5.981588e-02      2.308116e-03   
     2.908749        2.282555e-03      5.482328e-02      2.245647e-03   
     2.933583        2.222073e-03      5.078483e-02      2.186334e-03   
     2.954553        2.167790e-03      4.757437e-02      2.133078e-03   
     2.971601        2.121786e-03      4.509261e-02      2.087931e-03   
     2.984682        2.085489e-03      4.326342e-02      2.052302e-03   
     2.993761        2.059841e-03      4.203106e-02      2.027123e-03   
     2.998815        2.045413e-03      4.135791e-02      2.012957e-03   
     3.004739        2.028375e-03      4.058056e-02      1.996227e-03   
     3.024957        1.969291e-03      3.801964e-02      1.938207e-03   
     3.061273        1.860291e-03      3.376050e-02      1.831138e-03   
     3.113597        1.699495e-03      2.833274e-02      1.673135e-03   
     3.181789        1.489327e-03      2.237231e-02      1.466538e-03   
     3.265666        1.239567e-03      1.651397e-02      1.220925e-03   
     3.365002        9.682517e-04      1.129380e-02      9.540114e-04   
     3.479529        6.994582e-04      7.077923e-03      6.894725e-04   
     3.608938        4.582676e-04      4.027710e-03      4.519954e-04   
     3.752880        2.645987e-04      2.105093e-03      2.612076e-04   
     3.910968        1.282852e-04      1.114280e-03      1.268259e-04   
     4.082775        4.738113e-05      7.691184e-04      4.697865e-05   
     4.267838        1.030667e-05      7.693990e-04      1.030556e-05   
     4.465657        7.792281e-07      8.670586e-04      8.022325e-07   
     4.675701        3.359469e-06      9.063263e-04      3.275622e-06   
     4.897402        7.416350e-06      8.304519e-04      7.249900e-06   
     5.130163        8.321089e-06      6.590020e-04      8.149340e-06   
     5.373356        6.107725e-06      4.492343e-04      5.988573e-06   
     5.626327        2.904471e-06      2.585459e-04      2.850190e-06   
     5.888392        6.485762e-07      1.210648e-04      6.369205e-07   
     6.158845        1.528204e-09      4.260257e-05      1.497446e-09   
     6.436958        4.826893e-07      9.348934e-06      4.743799e-07   
     6.721980        1.211704e-06      1.242220e-06      1.191600e-06   
     7.013143        1.569648e-06      2.139223e-06      1.544601e-06   
     7.309662        1.426346e-06      3.554786e-06      1.404641e-06   
     7.610739        9.889893e-07      3.256571e-06      9.748718e-07   
     7.915560        5.305160e-07      1.969527e-06      5.236506e-07   
     8.223305        2.118906e-07      7.922446e-07      2.096125e-07   
     8.533144        5.516161e-08      1.776197e-07      5.482653e-08   
     8.844241        5.860333e-09      1.724020e-08      5.928918e-09   
     9.155759        1.727092e-09      4.284326e-08      1.692128e-09   
     9.466856        5.765031e-09      7.823460e-08      5.634248e-09   
     9.776695        6.219100e-09      7.498869e-08      6.099843e-09   
    10.084440        3.809354e-09      4.923365e-08      3.747317e-09   
    10.389261        1.416079e-09      2.404119e-08      1.398336e-09   
    10.690338        2.418651e-10      8.842797e-09      2.411902e-10   
    10.986857        1.781999e-11      2.416147e-09      1.785216e-11   
    11.278020        1.266283e-10      5.910564e-10      1.236317e-10   
    11.563042        2.059098e-10      3.576554e-10      2.017613e-10   
    11.841155        1.835504e-10      4.167958e-10      1.803133e-10   
    12.111608        1.130534e-10      4.385273e-10      1.113322e-10   
    12.373673        4.976697e-11      4.101322e-10      4.916598e-11   
    12.626644        1.407496e-11      3.603274e-10      1.399048e-11   
    12.869837        1.613408e-12      3.036991e-10      1.640022e-12   
    13.102598        1.054716e-12      2.469832e-10      1.031386e-12   
    13.324299        3.803116e-12      1.949695e-10      3.715134e-12   
    13.534343        5.870222e-12      1.508486e-10      5.752369e-12   
    13.732162        6.384877e-12      1.157369e-10      6.270643e-12   
    13.917225        5.776190e-12      8.892564e-11      5.683171e-12   
    14.089032        4.683209e-12      6.883433e-11      4.615325e-12   
    14.247120        3.552985e-12      5.386939e-11      3.506905e-12   
    14.391062        2.598648e-12      4.275609e-11      2.568837e-12   
    14.520471        1.875133e-12      3.453611e-11      1.856422e-12   
    14.634998        1.360152e-12      2.849382e-11      1.348580e-12   
    14.734334        1.007078e-12      2.409397e-11      9.999157e-13   
    14.818211        7.705023e-13      2.093475e-11      7.659924e-13   
    14.886403        6.148260e-13      1.871462e-11      6.118831e-13   
    14.938727        5.150091e-13      1.721050e-11      5.129750e-13   
    14.975043        4.546953e-13      1.626374e-11      4.531660e-13   
    14.995261        4.257660e-13      1.579993e-11      4.244447e-13   
