#        q                pp                pn                nn        

     0.000790        3.199455e+04      2.392329e+04      2.466696e+04   
     0.004159        1.690220e+04      1.313859e+04      1.354580e+04   
     0.010212        1.126665e+04      9.244741e+03      9.529392e+03   
     0.018933        8.476480e+03      7.057741e+03      7.273414e+03   
     0.030298        6.609270e+03      5.618327e+03      5.788540e+03   
     0.044278        5.404909e+03      4.720166e+03      4.861942e+03   
     0.060834        4.520944e+03      4.075016e+03      4.196298e+03   
     0.079922        3.887584e+03      3.491681e+03      3.594399e+03   
     0.101490        3.453520e+03      3.092957e+03      3.182875e+03   
     0.125480        2.926774e+03      2.725935e+03      2.804040e+03   
     0.151828        2.684810e+03      2.389280e+03      2.456539e+03   
     0.180462        2.347452e+03      2.181239e+03      2.241622e+03   
     0.211306        2.139048e+03      1.985725e+03      2.039627e+03   
     0.244276        1.943363e+03      1.802329e+03      1.850151e+03   
     0.279283        1.759994e+03      1.630644e+03      1.672790e+03   
     0.316234        1.588539e+03      1.549417e+03      1.588549e+03   
     0.355027        1.507176e+03      1.394527e+03      1.428606e+03   
     0.395559        1.352835e+03      1.321477e+03      1.352845e+03   
     0.437721        1.279801e+03      1.182440e+03      1.209412e+03   
     0.481399        1.209443e+03      1.117074e+03      1.141679e+03   
     0.526474        1.076512e+03      1.054164e+03      1.076522e+03   
     0.572826        1.013882e+03      9.936585e+02      1.013891e+03   
     0.620330        9.537288e+02      8.789741e+02      8.959702e+02   
     0.668857        8.960043e+02      8.253869e+02      8.406206e+02   
     0.718277        7.875947e+02      7.740144e+02      7.876005e+02   
     0.768456        7.368567e+02      7.248152e+02      7.368608e+02   
     0.819260        6.883498e+02      6.777487e+02      6.883521e+02   
     0.870551        6.420239e+02      5.892252e+02      5.977751e+02   
     0.922191        5.556579e+02      5.483037e+02      5.556564e+02   
     0.974040        5.155703e+02      5.093466e+02      5.155670e+02   
     1.025960        4.412309e+02      4.365427e+02      4.412260e+02   
     1.077809        4.069251e+02      4.031937e+02      4.069190e+02   
     1.129449        3.437050e+02      3.412180e+02      3.436980e+02   
     1.180740        2.873971e+02      2.859937e+02      2.873897e+02   
     1.231544        2.150163e+02      2.147680e+02      2.375921e+02   
     1.281723        1.389824e+02      1.398099e+02      1.559382e+02   
     1.331143        2.579590e+01      2.789652e+01      6.230066e+01   
     1.379670        1.052750e+00      3.556115e+00      7.446017e+00   
     1.427174        2.673923e-01      2.925619e+00      2.625260e-01   
     1.473526        2.309234e-01      2.992429e+00      2.269542e-01   
     1.518601        1.932143e-01      3.012944e+00      1.900857e-01   
     1.562279        1.566259e-01      2.993121e+00      1.542374e-01   
     1.604441        1.229689e-01      2.940495e+00      1.211987e-01   
     1.644973        9.342213e-02      2.863124e+00      9.214537e-02   
     1.683766        6.856049e-02      2.768763e+00      6.766228e-02   
     1.720717        4.845716e-02      2.664331e+00      4.783963e-02   
     1.755724        3.282019e-02      2.555620e+00      3.240503e-02   
     1.788694        2.113106e-02      2.447213e+00      2.085871e-02   
     1.819538        1.276359e-02      2.342547e+00      1.259059e-02   
     1.848172        7.073397e-03      2.244051e+00      6.969081e-03   
     1.874520        3.456625e-03      2.153328e+00      3.399882e-03   
     1.898510        1.382487e-03      2.071339e+00      1.358994e-03   
     1.920078        4.060187e-04      1.998572e+00      4.061014e-04   
     1.939166        1.678343e-04      1.935188e+00      1.849004e-04   
     1.955722        3.864302e-04      1.881135e+00      4.158935e-04   
     1.969702        8.471674e-04      1.836241e+00      8.857299e-04   
     1.981067        1.390622e-03      1.800280e+00      1.435809e-03   
     1.989788        1.901886e-03      1.773019e+00      1.951749e-03   
     1.995841        2.301640e-03      1.754253e+00      2.354561e-03   
     1.999210        2.539364e-03      1.743821e+00      2.593924e-03   
     2.003160        2.831210e-03      1.732086e+00      2.887651e-03   
     2.016638        3.929136e-03      1.692011e+00      3.991595e-03   
     2.040848        6.249432e-03      1.621572e+00      6.321375e-03   
     2.075731        1.020570e-02      1.524608e+00      1.028886e-02   
     2.121193        1.606191e-02      1.406894e+00      1.615600e-02   
     2.177111        2.372388e-02      1.275715e+00      2.382575e-02   
     2.243335        3.266112e-02      1.138868e+00      3.276377e-02   
     2.319686        4.200079e-02      1.003350e+00      4.209354e-02   
     2.405959        5.073586e-02      8.742698e-01      5.080696e-02   
     2.501920        5.794034e-02      7.545071e-01      5.798084e-02   
     2.607312        6.292309e-02      6.451412e-01      6.292927e-02   
     2.721850        6.531131e-02      5.462357e-01      6.528474e-02   
     2.845225        6.506911e-02      4.574825e-01      6.501515e-02   
     2.977105        6.245361e-02      3.785231e-01      6.237970e-02   
     3.117134        5.792726e-02      3.090272e-01      5.784146e-02   
     3.264935        5.205665e-02      2.486604e-01      5.196651e-02   
     3.420109        4.542165e-02      1.970225e-01      4.533343e-02   
     3.582238        3.854691e-02      1.535992e-01      3.846522e-02   
     3.750884        3.185959e-02      1.177462e-01      3.178736e-02   
     3.925594        2.567134e-02      8.870433e-02      2.561003e-02   
     4.105897        2.017939e-02      6.563728e-02      2.012923e-02   
     4.291305        1.548017e-02      4.767825e-02      1.544053e-02   
     4.481320        1.158975e-02      3.397630e-02      1.155946e-02   
     4.675429        8.466112e-03      2.373456e-02      8.443722e-03   
     4.873108        6.030193e-03      1.623723e-02      6.014190e-03   
     5.073826        4.183685e-03      1.086481e-02      4.172641e-03   
     5.277040        2.822814e-03      7.098976e-03      2.815473e-03   
     5.482203        1.848041e-03      4.519345e-03      1.843358e-03   
     5.688763        1.170115e-03      2.794850e-03      1.167266e-03   
     5.896161        7.131431e-04      1.671962e-03      7.115063e-04   
     6.103839        4.154306e-04      9.617565e-04      4.145576e-04   
     6.311237        2.288041e-04      5.271948e-04      2.283855e-04   
     6.517797        1.170374e-04      2.715323e-04      1.168696e-04   
     6.722960        5.386188e-05      1.283401e-04      5.381816e-05   
     6.926174        2.091062e-05      5.330902e-05      2.091690e-05   
     7.126892        5.816581e-06      1.779016e-05      5.833280e-06   
     7.324571        5.844502e-07      3.888137e-06      5.932676e-07   
     7.518680        2.786887e-07      8.632699e-07      2.735046e-07   
     7.708695        2.019299e-06      2.580238e-06      2.000311e-06   
     7.894103        4.248184e-06      5.758462e-06      4.218334e-06   
     8.074406        6.216376e-06      8.812501e-06      6.179340e-06   
     8.249116        7.641098e-06      1.111065e-05      7.600275e-06   
     8.417762        8.486834e-06      1.251929e-05      8.444935e-06   
     8.579891        8.832686e-06      1.313564e-05      8.791654e-06   
     8.735065        8.797036e-06      1.313986e-05      8.758123e-06   
     8.882866        8.498415e-06      1.271979e-05      8.462323e-06   
     9.022895        8.038048e-06      1.203768e-05      8.005073e-06   
     9.154775        7.494512e-06      1.121966e-05      7.464674e-06   
     9.278150        6.924537e-06      1.035659e-05      6.897681e-06   
     9.392688        6.366444e-06      9.509570e-06      6.342316e-06   
     9.498080        5.844281e-06      8.716719e-06      5.822580e-06   
     9.594041        5.371707e-06      7.999525e-06      5.352117e-06   
     9.680314        4.955232e-06      7.368102e-06      4.937444e-06   
     9.756665        4.596736e-06      6.825257e-06      4.580461e-06   
     9.822889        4.295334e-06      6.369461e-06      4.280304e-06   
     9.878807        4.048683e-06      5.996934e-06      4.034655e-06   
     9.924269        3.853886e-06      5.703057e-06      3.840639e-06   
