#        q                pn        

     0.001185        5.195107e+03   
     0.006239        5.194648e+03   
     0.015318        5.194671e+03   
     0.028399        3.483935e+03   
     0.045447        2.241412e+03   
     0.066417        1.499699e+03   
     0.091251        1.046111e+03   
     0.119882        7.361534e+02   
     0.152235        5.275521e+02   
     0.188220        3.896476e+02   
     0.227742        2.893550e+02   
     0.270694        2.171821e+02   
     0.316959        1.581384e+02   
     0.366414        1.233028e+02   
     0.418925        9.399639e+01   
     0.474351        7.422624e+01   
     0.532541        5.743523e+01   
     0.593339        4.666583e+01   
     0.656582        4.030690e+01   
     0.722098        3.186602e+01   
     0.789711        2.696417e+01   
     0.859239        2.057847e+01   
     0.930495        1.695455e+01   
     1.003286        1.379108e+01   
     1.077416        1.105768e+01   
     1.152685        8.722561e+00   
     1.228890        6.752714e+00   
     1.305826        5.114504e+00   
     1.383286        3.201132e+00   
     1.461060        2.253756e+00   
     1.538940        1.239519e+00   
     1.616714        6.268815e-01   
     1.694174        2.123106e-01   
     1.771110        1.795400e-01   
     1.847315        1.558549e-01   
     1.922584        1.331644e-01   
     1.996714        1.125687e-01   
     2.069505        9.455822e-02   
     2.140761        7.920304e-02   
     2.210289        6.632722e-02   
     2.277902        5.563928e-02   
     2.343418        4.681579e-02   
     2.406661        3.954793e-02   
     2.467459        3.356283e-02   
     2.525649        2.862966e-02   
     2.581075        2.455799e-02   
     2.633586        2.119268e-02   
     2.683041        1.840809e-02   
     2.729306        1.610258e-02   
     2.772258        1.419390e-02   
     2.811780        1.261536e-02   
     2.847765        1.131289e-02   
     2.880118        1.024266e-02   
     2.908749        9.369190e-03   
     2.933583        8.663958e-03   
     2.954553        8.104210e-03   
     2.971601        7.672084e-03   
     2.984682        7.353920e-03   
     2.993761        7.139733e-03   
     2.998815        7.022797e-03   
     3.004739        6.887815e-03   
     3.024957        6.443530e-03   
     3.061273        5.706101e-03   
     3.113597        4.769319e-03   
     3.181789        3.745145e-03   
     3.265666        2.744345e-03   
     3.365002        1.859214e-03   
     3.479529        1.151302e-03   
     3.608938        6.458901e-04   
     3.752880        3.336299e-04   
     3.910968        1.784806e-04   
     4.082775        1.298383e-04   
     4.267838        1.358564e-04   
     4.465657        1.546612e-04   
     4.675701        1.608316e-04   
     4.897402        1.460520e-04   
     5.130163        1.148027e-04   
     5.373356        7.752357e-05   
     5.626327        4.418992e-05   
     5.888392        2.047498e-05   
     6.158845        7.104186e-06   
     6.436958        1.506432e-06   
     6.721980        1.613518e-07   
     7.013143        3.116249e-07   
     7.309662        5.421780e-07   
     7.610739        4.949732e-07   
     7.915560        2.940682e-07   
     8.223305        1.151348e-07   
     8.533144        2.551183e-08   
     8.844241        4.443763e-09   
     9.155759        9.317502e-09   
     9.466856        1.405351e-08   
     9.776695        1.258280e-08   
    10.084440        8.025877e-09   
    10.389261        3.912003e-09   
    10.690338        1.486915e-09   
    10.986857        4.414503e-10   
    11.278020        1.143285e-10   
    11.563042        5.368915e-11   
    11.841155        5.994939e-11   
    12.111608        7.098271e-11   
    12.373673        7.380929e-11   
    12.626644        6.834959e-11   
    12.869837        5.766969e-11   
    13.102598        4.545554e-11   
    13.324299        3.434767e-11   
    13.534343        2.550806e-11   
    13.732162        1.904093e-11   
    13.917225        1.447665e-11   
    14.089032        1.122909e-11   
    14.247120        8.858396e-12   
    14.391062        7.095403e-12   
    14.520471        5.775392e-12   
    14.634998        4.789121e-12   
    14.734334        4.059175e-12   
    14.818211        3.527862e-12   
    14.886403        3.150765e-12   
    14.938727        2.893692e-12   
    14.975043        2.731403e-12   
    14.995261        2.662919e-12   
