#        q              proton           neutron      

     0.000790        2.174475e+04      3.592470e+04   
     0.004159        1.221561e+04      1.902647e+04   
     0.010212        8.726717e+03      1.288463e+04   
     0.018933        6.596925e+03      9.813786e+03   
     0.030298        5.388576e+03      7.741398e+03   
     0.044278        4.501838e+03      6.186136e+03   
     0.060834        3.866556e+03      5.212764e+03   
     0.079922        3.430885e+03      4.511680e+03   
     0.101490        3.029236e+03      3.875984e+03   
     0.125480        2.659358e+03      3.440402e+03   
     0.151828        2.430384e+03      3.038482e+03   
     0.180462        2.214989e+03      2.788744e+03   
     0.211306        2.012146e+03      2.552809e+03   
     0.244276        1.822311e+03      2.224218e+03   
     0.279283        1.732069e+03      2.121136e+03   
     0.316234        1.560091e+03      1.924726e+03   
     0.355027        1.478317e+03      1.740678e+03   
     0.395559        1.323867e+03      1.653253e+03   
     0.437721        1.250763e+03      1.487090e+03   
     0.481399        1.180931e+03      1.408510e+03   
     0.526474        1.113150e+03      1.332645e+03   
     0.572826        9.863127e+02      1.189407e+03   
     0.620330        9.269173e+02      1.121876e+03   
     0.668857        8.700609e+02      1.057275e+03   
     0.718277        8.159418e+02      9.952584e+02   
     0.768456        7.643898e+02      9.359108e+02   
     0.819260        7.150533e+02      8.791759e+02   
     0.870551        6.226239e+02      7.723860e+02   
     0.922191        5.805538e+02      7.229323e+02   
     0.974040        5.013930e+02      6.759584e+02   
     1.025960        4.653927e+02      6.313018e+02   
     1.077809        3.980331e+02      5.472677e+02   
     1.129449        3.381030e+02      5.088104e+02   
     1.180740        2.846412e+02      4.368311e+02   
     1.231544        1.960444e+02      3.724328e+02   
     1.281723        1.026235e+02      3.149500e+02   
     1.331143        1.324795e+01      2.406033e+02   
     1.379670        1.209657e+01      1.723250e+01   
     1.427174        1.213873e+01      1.232298e+01   
     1.473526        1.207016e+01      1.221636e+01   
     1.518601        1.190571e+01      1.201776e+01   
     1.562279        1.166285e+01      1.174562e+01   
     1.604441        1.136011e+01      1.141895e+01   
     1.644973        1.101548e+01      1.105584e+01   
     1.683766        1.064546e+01      1.067252e+01   
     1.720717        1.026509e+01      1.028351e+01   
     1.755724        9.885593e+00      9.899345e+00   
     1.788694        9.517393e+00      9.529706e+00   
     1.819538        9.166957e+00      9.180316e+00   
     1.848172        8.840052e+00      8.856245e+00   
     1.874520        8.539777e+00      8.559985e+00   
     1.898510        8.268909e+00      8.293798e+00   
     1.920078        8.027571e+00      8.057389e+00   
     1.939166        7.817293e+00      7.851963e+00   
     1.955722        7.637258e+00      7.676458e+00   
     1.969702        7.487379e+00      7.530601e+00   
     1.981067        7.366987e+00      7.413594e+00   
     1.989788        7.275551e+00      7.324817e+00   
     1.995841        7.212573e+00      7.263713e+00   
     1.999210        7.177680e+00      7.229872e+00   
     2.003160        7.136908e+00      7.190341e+00   
     2.016638        6.998876e+00      7.056601e+00   
     2.040848        6.755926e+00      6.821531e+00   
     2.075731        6.418118e+00      6.495273e+00   
     2.121193        6.001312e+00      6.093458e+00   
     2.177111        5.526362e+00      5.636166e+00   
     2.243335        5.017295e+00      5.146041e+00   
     2.319686        4.497868e+00      4.644995e+00   
     2.405959        3.988013e+00      4.151009e+00   
     2.501920        3.501430e+00      3.676105e+00   
     2.607312        3.045454e+00      3.226481e+00   
     2.721850        2.622864e+00      2.804424e+00   
     2.845225        2.234310e+00      2.410728e+00   
     2.977105        1.880037e+00      2.046318e+00   
     3.117134        1.560481e+00      1.712703e+00   
     3.264935        1.276129e+00      1.411644e+00   
     3.420109        1.027138e+00      1.144589e+00   
     3.582238        8.129994e-01      9.121996e-01   
     3.750884        6.323637e-01      7.140748e-01   
     3.925594        4.830394e-01      5.487150e-01   
     4.105897        3.621354e-01      4.136613e-01   
     4.291305        2.662882e-01      3.057506e-01   
     4.481320        1.919137e-01      2.214122e-01   
     4.675429        1.354401e-01      1.569519e-01   
     4.873108        9.349621e-02      1.087880e-01   
     5.073826        6.304161e-02      7.362478e-02   
     5.277040        4.144163e-02      4.855989e-02   
     5.482203        2.649345e-02      3.113474e-02   
     5.688763        1.641530e-02      1.933840e-02   
     5.896161        9.810211e-03      1.157918e-02   
     6.103839        5.615450e-03      6.636084e-03   
     6.311237        3.046065e-03      3.600663e-03   
     6.517797        1.539195e-03      1.817294e-03   
     6.722960        7.032364e-04      8.272284e-04   
     6.926174        2.741922e-04      3.196460e-04   
     7.126892        8.001209e-05      9.109056e-05   
     7.324571        1.271371e-05      1.338678e-05   
     7.518680        7.443761e-06      9.315187e-06   
     7.708695        2.733873e-05      3.488302e-05   
     7.894103        5.297795e-05      6.688881e-05   
     8.074406        7.530640e-05      9.452902e-05   
     8.249116        9.106896e-05      1.139559e-04   
     8.417762        9.998997e-05      1.249006e-04   
     8.579891        1.031174e-04      1.286837e-04   
     8.735065        1.019124e-04      1.271174e-04   
     8.882866        9.779370e-05      1.219555e-04   
     9.022895        9.194647e-05      1.146614e-04   
     9.154775        8.527249e-05      1.063489e-04   
     9.278150        7.840974e-05      9.780645e-05   
     9.392688        7.177921e-05      8.955456e-05   
     9.498080        6.563694e-05      8.191020e-05   
     9.594041        6.012119e-05      7.504473e-05   
     9.680314        5.529078e-05      6.903122e-05   
     9.756665        5.115431e-05      6.388059e-05   
     9.822889        4.769147e-05      5.956786e-05   
     9.878807        4.486746e-05      5.605008e-05   
     9.924269        4.223482e-05      5.224485e-05   
     9.959152        3.243210e-05      3.885104e-05   
     9.983362        1.371373e-05      1.593475e-05   
     9.996840        0.000000e+00      0.000000e+00   
