#        q          single-nucleon  

     0.000790        5.373398e+03   
     0.004159        5.373398e+03   
     0.010212        5.373398e+03   
     0.018933        5.135788e+03   
     0.030298        3.421938e+03   
     0.044278        2.411176e+03   
     0.060834        1.733048e+03   
     0.079922        1.255746e+03   
     0.101490        9.491983e+02   
     0.125480        7.179083e+02   
     0.151828        5.449163e+02   
     0.180462        4.314603e+02   
     0.211306        3.349583e+02   
     0.244276        2.646964e+02   
     0.279283        2.142664e+02   
     0.316234        1.627485e+02   
     0.355027        1.334565e+02   
     0.395559        1.079086e+02   
     0.437721        8.584863e+01   
     0.481399        7.143869e+01   
     0.526474        6.278873e+01   
     0.572826        5.116880e+01   
     0.620330        4.427887e+01   
     0.668857        3.803694e+01   
     0.718277        3.241101e+01   
     0.768456        2.736908e+01   
     0.819260        2.505713e+01   
     0.870551        2.083121e+01   
     0.922191        1.710930e+01   
     0.974040        1.542734e+01   
     1.025960        1.240143e+01   
     1.077809        1.104948e+01   
     1.129449        9.799525e+00   
     1.180740        7.589606e+00   
     1.231544        6.621650e+00   
     1.281723        4.939722e+00   
     1.331143        4.217758e+00   
     1.379670        2.991819e+00   
     1.427174        2.479848e+00   
     1.473526        2.029875e+00   
     1.518601        1.299916e+00   
     1.562279        7.699494e-01   
     1.604441        4.079724e-01   
     1.644973        1.819878e-01   
     1.683766        2.799864e-02   
     1.720717        5.917488e-07   
     1.755724        5.547148e-07   
     1.788694        5.203458e-07   
     1.819538        4.889162e-07   
     1.848172        4.605466e-07   
     1.874520        4.352551e-07   
     1.898510        4.129767e-07   
     1.920078        3.936154e-07   
     1.939166        3.770219e-07   
     1.955722        3.630291e-07   
     1.969702        3.515393e-07   
     1.981067        3.424065e-07   
     1.989788        3.355200e-07   
     1.995841        3.308103e-07   
     1.999210        3.282104e-07   
     2.003160        3.251825e-07   
     2.016638        3.150082e-07   
     2.040848        2.973710e-07   
     2.075731        2.733955e-07   
     2.121193        2.446469e-07   
     2.177111        2.129664e-07   
     2.243335        1.802677e-07   
     2.319686        1.483011e-07   
     2.405959        1.184752e-07   
     2.501920        9.177071e-08   
     2.607312        6.874900e-08   
     2.721850        4.961794e-08   
     2.845225        3.431337e-08   
     2.977105        2.257246e-08   
     3.117134        1.399258e-08   
     3.264935        8.080426e-09   
     3.420109        4.297975e-09   
     3.582238        2.107431e-09   
     3.750884        1.012880e-09   
     3.925594        5.936861e-10   
     4.105897        5.251369e-10   
     4.291305        5.840905e-10   
     4.481320        6.404932e-10   
     4.675429        6.384521e-10   
     4.873108        5.722335e-10   
     5.073826        4.626896e-10   
     5.277040        3.383466e-10   
     5.482203        2.232868e-10   
     5.688763        1.318070e-10   
     5.896161        6.826240e-11   
     6.103839        2.983687e-11   
     6.311237        1.014282e-11   
     6.517797        2.235011e-12   
     6.722960        4.291057e-13   
     6.926174        9.529536e-13   
     7.126892        1.797746e-12   
     7.324571        2.201125e-12   
     7.518680        2.091573e-12   
     7.708695        1.667404e-12   
     7.894103        1.152804e-12   
     8.074406        6.981257e-13   
     8.249116        3.674841e-13   
     8.417762        1.637175e-13   
     8.579891        5.937492e-14   
     8.735065        1.974479e-14   
     8.882866        1.520262e-14   
     9.022895        2.531780e-14   
     9.154775        3.830932e-14   
     9.278150        4.870511e-14   
     9.392688        5.487122e-14   
     9.498080        5.711076e-14   
     9.594041        5.645580e-14   
     9.680314        5.402114e-14   
     9.756665        5.072827e-14   
     9.822889        4.723668e-14   
     9.878807        4.396955e-14   
     9.924269        3.949694e-14   
     9.959152        2.584406e-14   
     9.983362        9.389159e-15   
     9.996840        0.000000e+00   
