# vlowk itz =  0 l =  0 s =  1 jt =  1 kvnn =  10  Lambda =  12.00
#  fac=0.17 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k               V11             V12              V21             V22 
   0.000973   -1.385987E+00  -3.714309E-06  -3.714309E-06   3.586833E-12
   0.005125   -1.385899E+00  -1.029540E-04  -1.029540E-04   2.735643E-09
   0.012579   -1.385442E+00  -6.196921E-04  -6.196921E-04   9.917097E-08
   0.023314   -1.384113E+00  -2.122592E-03  -2.122592E-03   1.165525E-06
   0.037292   -1.381207E+00  -5.397925E-03  -5.397925E-03   7.566549E-06
   0.054469   -1.375860E+00  -1.138623E-02  -1.138623E-02   3.390467E-05
   0.074787   -1.367121E+00  -2.106992E-02  -2.106992E-02   1.174479E-04
   0.098178   -1.354053E+00  -3.530773E-02  -3.530773E-02   3.356049E-04
   0.124565   -1.335863E+00  -5.463535E-02  -5.463535E-02   8.235622E-04
   0.153859   -1.312035E+00  -7.907999E-02  -7.907999E-02   1.782663E-03
   0.185965   -1.282416E+00  -1.080544E-01  -1.080544E-01   3.469036E-03
   0.220775   -1.247252E+00  -1.403829E-01  -1.403829E-01   6.157729E-03
   0.258173   -1.207128E+00  -1.744653E-01  -1.744653E-01   1.008896E-02
   0.298036   -1.162859E+00  -2.085304E-01  -2.085304E-01   1.541335E-02
   0.340231   -1.115353E+00  -2.408980E-01  -2.408980E-01   2.215466E-02
   0.384617   -1.065486E+00  -2.701790E-01  -2.701790E-01   3.020069E-02
   0.431047   -1.014027E+00  -2.953790E-01  -2.953790E-01   3.932122E-02
   0.479368   -9.616022E-01  -3.159118E-01  -3.159118E-01   4.920328E-02
   0.529418   -9.086967E-01  -3.315510E-01  -3.315510E-01   5.949206E-02
   0.581031   -8.556803E-01  -3.423520E-01  -3.423520E-01   6.982827E-02
   0.634036   -8.028415E-01  -3.485696E-01  -3.485696E-01   7.987730E-02
   0.688256   -7.504213E-01  -3.505857E-01  -3.505857E-01   8.934916E-02
   0.743512   -6.986395E-01  -3.488530E-01  -3.488530E-01   9.801038E-02
   0.799621   -6.477137E-01  -3.438545E-01  -3.438545E-01   1.056896E-01
   0.856395   -5.978691E-01  -3.360759E-01  -3.360759E-01   1.122790E-01
