#       k             kp                  V           
   0.001580       0.001580         4.066000e-06      
   0.001580       0.008319         2.141175e-05      
   0.001580       0.020424         5.252826e-05      
   0.001580       0.037866         9.713313e-05      
   0.001580       0.060596         1.545547e-04      
   0.001580       0.088555         2.233004e-04      
   0.001580       0.121667         3.008485e-04      
   0.001580       0.159843         3.832247e-04      
   0.001580       0.202979         4.655872e-04      
   0.001580       0.250960         5.423615e-04      
   0.001580       0.303656         6.080058e-04      
   0.001580       0.360925         6.580020e-04      
   0.001580       0.422613         6.896375e-04      
   0.001580       0.488552         7.023291e-04      
   0.001580       0.558567         6.973908e-04      
   0.001580       0.632467         6.774704e-04      
   0.001580       0.710054         6.459760e-04      
   0.001580       0.791119         6.065852e-04      
   0.001580       0.875442         5.627250e-04      
   0.001580       0.962797         5.170631e-04      
   0.001580       1.052948         4.713167e-04      
   0.001580       1.145653         4.264955e-04      
   0.001580       1.240660         3.832068e-04      
   0.001580       1.337714         3.416978e-04      
   0.001580       1.436554         3.018625e-04      
   0.001580       1.536913         2.634954e-04      
   0.001580       1.638520         2.265594e-04      
   0.001580       1.741102         1.912005e-04      
   0.001580       1.844381         1.577059e-04      
   0.001580       1.948080         1.265545e-04      
   0.001580       2.051920         9.837451e-05      
   0.001580       2.155619         7.375802e-05      
   0.001580       2.258898         5.311003e-05      
   0.001580       2.361480         3.657746e-05      
   0.001580       2.463087         2.400711e-05      
   0.001580       2.563446         1.496310e-05      
   0.001580       2.662286         8.823269e-06      
   0.001580       2.759340         4.901873e-06      
   0.001580       2.854347         2.552343e-06      
   0.001580       2.947052         1.235336e-06      
   0.001580       3.037203         5.474007e-07      
   0.001580       3.124558         2.149679e-07      
   0.001580       3.208881         6.846139e-08      
   0.001580       3.289946         1.141742e-08      
   0.001580       3.367533         -6.527579e-09     
   0.001580       3.441433         -9.424528e-09     
   0.001580       3.511448         -7.665685e-09     
   0.001580       3.577387         -5.191987e-09     
   0.001580       3.639075         -3.196464e-09     
   0.001580       3.696344         -1.848832e-09     
   0.001580       3.749040         -1.017522e-09     
   0.001580       3.797021         -5.327748e-10     
   0.001580       3.840157         -2.614801e-10     
   0.001580       3.878333         -1.151403e-10     
   0.001580       3.911445         -3.960657e-11     
   0.001580       3.939404         -3.364184e-12     
   0.001580       3.962134         1.127888e-11      
   0.001580       3.979576         1.389765e-11      
   0.001580       3.991681         9.353831e-12      
   0.001580       3.998420         -2.882039e-13     
   0.001580       4.010268         7.257434e-11      
   0.001580       4.054073         1.524330e-10      
   0.001580       4.132757         1.491265e-10      
   0.001580       4.246126         8.834454e-11      
   0.001580       4.393877         3.046988e-11      
   0.001580       4.575611         3.703628e-12      
   0.001580       4.790838         -8.651122e-13     
   0.001580       5.038980         -1.773539e-13     
   0.001580       5.319366         5.485433e-15      
   0.001580       5.631241         5.860524e-16      
   0.001580       5.973764         -1.701148e-17     
   0.001580       6.346012         5.810332e-20      
   0.001580       6.746981         1.138986e-21      
   0.001580       7.175591         -8.154123e-24     
   0.001580       7.630685         1.596940e-26      
   0.001580       8.111038         -1.070641e-29     
   0.001580       8.615353         3.228272e-33      
   0.001580       9.142272         -5.389666e-37     
   0.001580       9.690374         3.077014e-41      
   0.001580       10.258182        -3.860233e-46     
   0.001580       10.844164        8.605384e-52      
   0.001580       11.446741        -2.908722e-58     
   0.001580       12.064289        1.277778e-65      
   0.001580       12.695143        -6.265244e-74     
   0.001580       13.337602        2.968633e-83      
   0.001580       13.989934        -1.194085e-93     
   0.001580       14.650380        3.657583e-105     
   0.001580       15.317161       -7.855801e-118     
   0.001580       15.988479        1.120921e-131     
   0.001580       16.662523       -1.031052e-146     
   0.001580       17.337477        5.915887e-163     
   0.001580       18.011521       -1.710514e-180     
   0.001580       18.682839       -5.750232e-199     
   0.001580       19.349620        1.590319e-217     
   0.001580       20.010066       -2.610543e-237     
   0.001580       20.662398        6.167282e-258     
   0.001580       21.304857       -3.213352e-279     
   0.001580       21.935711        4.010213e-293     
   0.001580       22.553259        5.922940e-271     
   0.001580       23.155836        1.042899e-248     
   0.001580       23.741818        1.396267e-226     
   0.001580       24.309626        9.000410e-205     
   0.001580       24.857728        1.768059e-183     
   0.001580       25.384647        6.767880e-163     
   0.001580       25.888962        3.320809e-143     
   0.001580       26.369315        1.427936e-124     
   0.001580       26.824409        3.820510e-107     
   0.001580       27.253019        4.791373e-91      
   0.001580       27.653988        2.262324e-76      
   0.001580       28.026236        3.474087e-63      
   0.001580       28.368759        1.639890e-51      
   0.001580       28.680634        2.458456e-41      
   0.001580       28.961020        1.284383e-32      
   0.001580       29.209162        2.609270e-25      
   0.001580       29.424389        2.350845e-19      
   0.001580       29.606123        1.136221e-14      
   0.001580       29.753874        3.760189e-11      
   0.001580       29.867243        1.082252e-08      
   0.001580       29.945927        2.657245e-07      
   0.001580       29.989732        2.093718e-06      
   0.008319       0.001580         2.141175e-05      
   0.008319       0.008319         1.127561e-04      
   0.008319       0.020424         2.766178e-04      
   0.008319       0.037866         5.115073e-04      
   0.008319       0.060596         8.138838e-04      
   0.008319       0.088555         1.175888e-03      
   0.008319       0.121667         1.584241e-03      
   0.008319       0.159843         2.018027e-03      
   0.008319       0.202979         2.451748e-03      
   0.008319       0.250960         2.856049e-03      
   0.008319       0.303656         3.201743e-03      
   0.008319       0.360925         3.465034e-03      
   0.008319       0.422613         3.631633e-03      
   0.008319       0.488552         3.698466e-03      
   0.008319       0.558567         3.672457e-03      
   0.008319       0.632467         3.567553e-03      
   0.008319       0.710054         3.401706e-03      
   0.008319       0.791119         3.194281e-03      
   0.008319       0.875442         2.963320e-03      
   0.008319       0.962797         2.722868e-03      
   0.008319       1.052948         2.481968e-03      
   0.008319       1.145653         2.245941e-03      
   0.008319       1.240660         2.017985e-03      
   0.008319       1.337714         1.799402e-03      
   0.008319       1.436554         1.589631e-03      
   0.008319       1.536913         1.387591e-03      
   0.008319       1.638520         1.193086e-03      
   0.008319       1.741102         1.006885e-03      
   0.008319       1.844381         8.305017e-04      
   0.008319       1.948080         6.664568e-04      
   0.008319       2.051920         5.180583e-04      
   0.008319       2.155619         3.884248e-04      
   0.008319       2.258898         2.796896e-04      
   0.008319       2.361480         1.926263e-04      
   0.008319       2.463087         1.264283e-04      
   0.008319       2.563446         7.880044e-05      
   0.008319       2.662286         4.646640e-05      
   0.008319       2.759340         2.581515e-05      
   0.008319       2.854347         1.344174e-05      
   0.008319       2.947052         6.505877e-06      
   0.008319       3.037203         2.882918e-06      
   0.008319       3.124558         1.132165e-06      
   0.008319       3.208881         3.605800e-07      
