#       k             kp                 V11                    V12                    V21                    V22          
   0.000973       0.000973         -2.367496e+00          -3.742435e-06          -3.742435e-06          0.000000e+00      
   0.000973       0.005125         -2.367454e+00          -1.022047e-04          -3.741917e-06          5.792506e-07      
   0.000973       0.012579         -2.367161e+00          -6.155396e-04          -3.739732e-06          -3.831120e-14     
   0.000973       0.023314         -2.366333e+00          -2.112555e-03          -3.732378e-06          -1.323513e-13     
   0.000973       0.037292         -2.364491e+00          -5.395312e-03          -3.716677e-06          -3.395140e-13     
   0.000973       0.054469         -2.361081e+00          -1.147050e-02          -3.687481e-06          -7.263195e-13     
   0.000973       0.074787         -2.355433e+00          -2.150061e-02          -3.639656e-06          -1.374827e-12     
   0.000973       0.098178         -2.346814e+00          -3.673087e-02          -3.567754e-06          -2.383797e-12     
   0.000973       0.124565         -2.334465e+00          -5.838870e-02          -3.466976e-06          -3.870745e-12     
   0.000973       0.153859         -2.317656e+00          -8.755915e-02          -3.333947e-06          -5.976091e-12     
   0.000973       0.185965         -2.295741e+00          -1.250471e-01          -3.167486e-06          -8.868665e-12     
   0.000973       0.220775         -2.268213e+00          -1.712450e-01          -2.969197e-06          -1.275326e-11     
   0.000973       0.258173         -2.234757e+00          -2.260310e-01          -2.743648e-06          -1.788078e-11     
   0.000973       0.298036         -2.195270e+00          -2.887205e-01          -2.498019e-06          -2.456003e-11     
   0.000973       0.340231         -2.149875e+00          -3.580876e-01          -2.241285e-06          -3.317164e-11     
   0.000973       0.384617         -2.098891e+00          -4.324580e-01          -1.982926e-06          2.924167e-07      
   0.000973       0.431047         -2.042800e+00          -5.098583e-01          -1.731944e-06          3.198395e-07      
   0.000973       0.479368         -1.982188e+00          -5.881939e-01          -1.495715e-06          3.401957e-07      
   0.000973       0.529418         -1.917697e+00          -6.654255e-01          -1.279475e-06          3.530004e-07      
   0.000973       0.581031         -1.849978e+00          -7.397155e-01          -1.086210e-06          3.584444e-07      
   0.000973       0.634036         -1.779663e+00          -8.095292e-01          -9.167813e-07          3.572786e-07      
