#       k             kp                  V           
   0.000790       0.000790         -1.810116e+00     
   0.000790       0.004159         -1.810082e+00     
   0.000790       0.010212         -1.809905e+00     
   0.000790       0.018933         -1.809390e+00     
   0.000790       0.030298         -1.808258e+00     
   0.000790       0.044278         -1.806151e+00     
   0.000790       0.060834         -1.802648e+00     
   0.000790       0.079922         -1.797270e+00     
   0.000790       0.101490         -1.789504e+00     
   0.000790       0.125480         -1.778824e+00     
   0.000790       0.151828         -1.764717e+00     
   0.000790       0.180462         -1.746721e+00     
   0.000790       0.211306         -1.724446e+00     
   0.000790       0.244276         -1.697610e+00     
   0.000790       0.279283         -1.666056e+00     
   0.000790       0.316234         -1.629764e+00     
   0.000790       0.355027         -1.588847e+00     
   0.000790       0.395559         -1.543539e+00     
   0.000790       0.437721         -1.494174e+00     
   0.000790       0.481399         -1.441154e+00     
   0.000790       0.526474         -1.384921e+00     
   0.000790       0.572826         -1.325932e+00     
   0.000790       0.620330         -1.264633e+00     
   0.000790       0.668857         -1.201450e+00     
   0.000790       0.718277         -1.136782e+00     
   0.000790       0.768456         -1.070992e+00     
   0.000790       0.819260         -1.004419e+00     
   0.000790       0.870551         -9.373741e-01     
   0.000790       0.922191         -8.701484e-01     
   0.000790       0.974040         -8.030172e-01     
   0.000790       1.025960         -7.362424e-01     
   0.000790       1.077809         -6.700743e-01     
   0.000790       1.129449         -6.047523e-01     
   0.000790       1.180740         -5.405045e-01     
   0.000790       1.231544         -4.775467e-01     
   0.000790       1.281723         -4.160814e-01     
   0.000790       1.331143         -3.562965e-01     
   0.000790       1.379670         -2.983646e-01     
   0.000790       1.427174         -2.424424e-01     
   0.000790       1.473526         -1.886708e-01     
   0.000790       1.518601         -1.371751e-01     
   0.000790       1.562279         -8.806553e-02     
   0.000790       1.604441         -4.143735e-02     
   0.000790       1.644973         2.628441e-03      
   0.000790       1.683766         4.406516e-02      
   0.000790       1.720717         8.282054e-02      
   0.000790       1.755724         1.188570e-01      
   0.000790       1.788694         1.521520e-01      
   0.000790       1.819538         1.826981e-01      
   0.000790       1.848172         2.105029e-01      
   0.000790       1.874520         2.355881e-01      
   0.000790       1.898510         2.579886e-01      
   0.000790       1.920078         2.777500e-01      
   0.000790       1.939166         2.949261e-01      
   0.000790       1.955722         3.095756e-01      
   0.000790       1.969702         3.217590e-01      
   0.000790       1.981067         3.315343e-01      
   0.000790       1.989788         3.389538e-01      
   0.000790       1.995841         3.440612e-01      
   0.000790       1.999210         3.468893e-01      
   0.000790       2.003160         3.501902e-01      
   0.000790       2.016638         3.613398e-01      
   0.000790       2.040848         3.809052e-01      
   0.000790       2.075731         4.079929e-01      
   0.000790       2.121193         4.411885e-01      
   0.000790       2.177111         4.784287e-01      
   0.000790       2.243335         5.168501e-01      
   0.000790       2.319686         5.526860e-01      
   0.000790       2.405959         5.813620e-01      
   0.000790       2.501920         5.980095e-01      
   0.000790       2.607312         5.984990e-01      
   0.000790       2.721850         5.805261e-01      
   0.000790       2.845225         5.434785e-01      
   0.000790       2.977105         4.865449e-01      
   0.000790       3.117134         3.825707e-01      
   0.000790       3.264935         2.894978e-01      
   0.000790       3.420109         1.953047e-01      
   0.000790       3.582238         1.160308e-01      
   0.000790       3.750884         6.007208e-02      
   0.000790       3.925594         2.667071e-02      
   0.000790       4.105897         9.930540e-03      
   0.000790       4.291305         3.021147e-03      
   0.000790       4.481320         7.302211e-04      
   0.000790       4.675429         1.361706e-04      
