#       k             kp                  V           
   0.000973       0.000973         -1.946004e+00     
   0.000973       0.005125         -1.945952e+00     
   0.000973       0.012579         -1.945682e+00     
   0.000973       0.023314         -1.944896e+00     
   0.000973       0.037292         -1.943169e+00     
   0.000973       0.054469         -1.939966e+00     
   0.000973       0.074787         -1.934658e+00     
   0.000973       0.098178         -1.926549e+00     
   0.000973       0.124565         -1.914914e+00     
   0.000973       0.153859         -1.899043e+00     
   0.000973       0.185965         -1.878293e+00     
   0.000973       0.220775         -1.852140e+00     
   0.000973       0.258173         -1.820223e+00     
   0.000973       0.298036         -1.782377e+00     
   0.000973       0.340231         -1.738642e+00     
   0.000973       0.384617         -1.689251e+00     
   0.000973       0.431047         -1.634599e+00     
   0.000973       0.479368         -1.575199e+00     
   0.000973       0.529418         -1.511632e+00     
   0.000973       0.581031         -1.444505e+00     
   0.000973       0.634036         -1.374413e+00     
   0.000973       0.688256         -1.301925e+00     
   0.000973       0.743512         -1.227572e+00     
   0.000973       0.799621         -1.151847e+00     
   0.000973       0.856395         -1.075219e+00     
   0.000973       0.913645         -9.981314e-01     
   0.000973       0.971183         -9.210197e-01     
   0.000973       1.028817         -8.443107e-01     
   0.000973       1.086355         -7.684265e-01     
   0.000973       1.143605         -6.937828e-01     
   0.000973       1.200379         -6.207845e-01     
   0.000973       1.256488         -5.498199e-01     
   0.000973       1.311744         -4.812540e-01     
   0.000973       1.365964         -4.154211e-01     
   0.000973       1.418969         -3.526189e-01     
   0.000973       1.470582         -2.931033e-01     
   0.000973       1.520632         -2.370846e-01     
   0.000973       1.568953         -1.847252e-01     
   0.000973       1.615383         -1.361383e-01     
   0.000973       1.659769         -9.138816e-02     
   0.000973       1.701964         -5.049129e-02     
   0.000973       1.741827         -1.341846e-02     
   0.000973       1.779225         1.990179e-02      
   0.000973       1.814035         4.957872e-02      
   0.000973       1.846141         7.575371e-02      
   0.000973       1.875435         9.859348e-02      
   0.000973       1.901822         1.182824e-01      
   0.000973       1.925213         1.350141e-01      
   0.000973       1.945531         1.489827e-01      
   0.000973       1.962708         1.603747e-01      
   0.000973       1.976686         1.693604e-01      
   0.000973       1.987421         1.760868e-01      
   0.000973       1.994875         1.806723e-01      
   0.000973       1.999027         1.832018e-01      
   0.000973       2.002615         1.853302e-01      
   0.000973       2.013773         1.918482e-01      
   0.000973       2.033820         2.031384e-01      
   0.000973       2.062716         2.183832e-01      
   0.000973       2.100398         2.363724e-01      
   0.000973       2.146782         2.554856e-01      
   0.000973       2.201763         2.736955e-01      
   0.000973       2.265220         2.886294e-01      
   0.000973       2.337010         2.977403e-01      
   0.000973       2.416974         2.986439e-01      
   0.000973       2.504933         2.896312e-01      
   0.000973       2.600691         2.702388e-01      
   0.000973       2.704034         2.415626e-01      
   0.000973       2.814732         2.059424e-01      
   0.000973       2.932537         1.661023e-01      
   0.000973       3.057188         1.247115e-01      
   0.000973       3.188404         8.507881e-02      
   0.000973       3.325894         5.144389e-02      
   0.000973       3.469352         2.708306e-02      
   0.000973       3.618456         1.226765e-02      
   0.000973       3.772874         4.722678e-03      
   0.000973       3.932262         1.519923e-03      
   0.000973       4.096264         4.008496e-04      
   0.000973       4.264514         8.485265e-05      
   0.000973       4.436636         1.414349e-05      
   0.000973       4.612247         1.820327e-06      
   0.000973       4.790955         1.726841e-07      
   0.000973       4.972360         9.115086e-09      
   0.000973       5.156059         -7.326249e-10     
   0.000973       5.341640         -3.064337e-10     
   0.000973       5.528691         -5.102746e-11     
   0.000973       5.716793         -5.122470e-12     
   0.000973       5.905527         -2.818940e-13     
   0.000973       6.094473         -4.526545e-15     
   0.000973       6.283207         1.403426e-16      
   0.000973       6.471309         -2.745044e-17     
   0.000973       6.658360         -3.985362e-18     
   0.000973       6.843941         -2.079304e-19     
   0.000973       7.027640         -7.109961e-21     
   0.000973       7.209045         -2.157326e-22     
   0.000973       7.387753         -4.973287e-24     
   0.000973       7.563364         -6.593565e-26     
   0.000973       7.735486         -4.639227e-25     
   0.000973       7.903736         -5.409098e-24     
   0.000973       8.067738         -5.037959e-23     
   0.000973       8.227126         -3.568758e-22     
   0.000973       8.381544         -1.561051e-21     
   0.000973       8.530648         2.522991e-21      
   0.000973       8.674106         1.368445e-19      
   0.000973       8.811596         1.703153e-18      
   0.000973       8.942812         1.494906e-17      
   0.000973       9.067463         1.069719e-16      
   0.000973       9.185268         6.607204e-16      
   0.000973       9.295966         3.633856e-15      
   0.000973       9.399309         1.808108e-14      
   0.000973       9.495067         8.164698e-14      
   0.000973       9.583026         3.324942e-13      
   0.000973       9.662990         1.208254e-12      
   0.000973       9.734780         3.877138e-12      
   0.000973       9.798237         1.089689e-11      
   0.000973       9.853218         2.667897e-11      
   0.000973       9.899602         5.671687e-11      
   0.000973       9.937284         1.045194e-10      
   0.000973       9.966180         1.668384e-10      
   0.000973       9.986227         2.306252e-10      
   0.000973       9.997385         2.760918e-10      
   0.005125       0.000973         -1.945952e+00     
   0.005125       0.005125         -1.945900e+00     
   0.005125       0.012579         -1.945631e+00     
   0.005125       0.023314         -1.944844e+00     
   0.005125       0.037292         -1.943118e+00     
   0.005125       0.054469         -1.939915e+00     
   0.005125       0.074787         -1.934608e+00     
   0.005125       0.098178         -1.926500e+00     
   0.005125       0.124565         -1.914866e+00     
   0.005125       0.153859         -1.898996e+00     
   0.005125       0.185965         -1.878248e+00     
   0.005125       0.220775         -1.852097e+00     
   0.005125       0.258173         -1.820183e+00     
   0.005125       0.298036         -1.782340e+00     
   0.005125       0.340231         -1.738608e+00     
   0.005125       0.384617         -1.689220e+00     
   0.005125       0.431047         -1.634572e+00     
   0.005125       0.479368         -1.575175e+00     
   0.005125       0.529418         -1.511611e+00     
   0.005125       0.581031         -1.444486e+00     
   0.005125       0.634036         -1.374396e+00     
   0.005125       0.688256         -1.301910e+00     
   0.005125       0.743512         -1.227558e+00     
   0.005125       0.799621         -1.151836e+00     
   0.005125       0.856395         -1.075208e+00     
   0.005125       0.913645         -9.981224e-01     
   0.005125       0.971183         -9.210119e-01     
   0.005125       1.028817         -8.443040e-01     
   0.005125       1.086355         -7.684209e-01     
   0.005125       1.143605         -6.937780e-01     
   0.005125       1.200379         -6.207806e-01     
   0.005125       1.256488         -5.498168e-01     
   0.005125       1.311744         -4.812516e-01     
   0.005125       1.365964         -4.154194e-01     
   0.005125       1.418969         -3.526177e-01     
   0.005125       1.470582         -2.931026e-01     
   0.005125       1.520632         -2.370843e-01     
   0.005125       1.568953         -1.847252e-01     
   0.005125       1.615383         -1.361386e-01     
   0.005125       1.659769         -9.138874e-02     
   0.005125       1.701964         -5.049205e-02     
   0.005125       1.741827         -1.341937e-02     
   0.005125       1.779225         1.990079e-02      
   0.005125       1.814035         4.957765e-02      
   0.005125       1.846141         7.575259e-02      
   0.005125       1.875435         9.859234e-02      
   0.005125       1.901822         1.182812e-01      
   0.005125       1.925213         1.350129e-01      
   0.005125       1.945531         1.489816e-01      
   0.005125       1.962708         1.603736e-01      
   0.005125       1.976686         1.693593e-01      
   0.005125       1.987421         1.760858e-01      
   0.005125       1.994875         1.806712e-01      
   0.005125       1.999027         1.832007e-01      
   0.005125       2.002615         1.853292e-01      
   0.005125       2.013773         1.918472e-01      
   0.005125       2.033820         2.031374e-01      
   0.005125       2.062716         2.183822e-01      
   0.005125       2.100398         2.363716e-01      
   0.005125       2.146782         2.554849e-01      
   0.005125       2.201763         2.736950e-01      
   0.005125       2.265220         2.886291e-01      
   0.005125       2.337010         2.977403e-01      
   0.005125       2.416974         2.986442e-01      
   0.005125       2.504933         2.896317e-01      
   0.005125       2.600691         2.702396e-01      
   0.005125       2.704034         2.415636e-01      
   0.005125       2.814732         2.059435e-01      
   0.005125       2.932537         1.661033e-01      
   0.005125       3.057188         1.247124e-01      
   0.005125       3.188404         8.507949e-02      
   0.005125       3.325894         5.144436e-02      
   0.005125       3.469352         2.708333e-02      
   0.005125       3.618456         1.226778e-02      
   0.005125       3.772874         4.722734e-03      
   0.005125       3.932262         1.519943e-03      
   0.005125       4.096264         4.008550e-04      
   0.005125       4.264514         8.485383e-05      
   0.005125       4.436636         1.414369e-05      
   0.005125       4.612247         1.820351e-06      
   0.005125       4.790955         1.726865e-07      
   0.005125       4.972360         9.115303e-09      
   0.005125       5.156059         -7.325993e-10     
   0.005125       5.341640         -3.064299e-10     
   0.005125       5.528691         -5.102697e-11     
   0.005125       5.716793         -5.122432e-12     
   0.005125       5.905527         -2.818932e-13     
   0.005125       6.094473         -4.526636e-15     
   0.005125       6.283207         1.403407e-16      
   0.005125       6.471309         -2.744945e-17     
   0.005125       6.658360         -3.985264e-18     
   0.005125       6.843941         -2.079258e-19     
   0.005125       7.027640         -7.109792e-21     
   0.005125       7.209045         -2.157270e-22     
   0.005125       7.387753         -4.973158e-24     
   0.005125       7.563364         -6.593403e-26     
   0.005125       7.735486         -4.639121e-25     
   0.005125       7.903736         -5.408984e-24     
   0.005125       8.067738         -5.037863e-23     
   0.005125       8.227126         -3.568700e-22     
   0.005125       8.381544         -1.561037e-21     
   0.005125       8.530648         2.522787e-21      
   0.005125       8.674106         1.368406e-19      
   0.005125       8.811596         1.703113e-18      
   0.005125       8.942812         1.494874e-17      
   0.005125       9.067463         1.069696e-16      
   0.005125       9.185268         6.607069e-16      
   0.005125       9.295966         3.633782e-15      
   0.005125       9.399309         1.808071e-14      
   0.005125       9.495067         8.164531e-14      
   0.005125       9.583026         3.324874e-13      
   0.005125       9.662990         1.208230e-12      
   0.005125       9.734780         3.877059e-12      
   0.005125       9.798237         1.089666e-11      
   0.005125       9.853218         2.667843e-11      
   0.005125       9.899602         5.671573e-11      
   0.005125       9.937284         1.045173e-10      
   0.005125       9.966180         1.668351e-10      
   0.005125       9.986227         2.306207e-10      
   0.005125       9.997385         2.760863e-10      
   0.012579       0.000973         -1.945682e+00     
   0.012579       0.005125         -1.945631e+00     
   0.012579       0.012579         -1.945361e+00     
   0.012579       0.023314         -1.944575e+00     
   0.012579       0.037292         -1.942850e+00     
   0.012579       0.054469         -1.939649e+00     
   0.012579       0.074787         -1.934345e+00     
   0.012579       0.098178         -1.926241e+00     
   0.012579       0.124565         -1.914614e+00     
   0.012579       0.153859         -1.898752e+00     
   0.012579       0.185965         -1.878015e+00     
   0.012579       0.220775         -1.851876e+00     
   0.012579       0.258173         -1.819977e+00     
   0.012579       0.298036         -1.782149e+00     
   0.012579       0.340231         -1.738434e+00     
   0.012579       0.384617         -1.689062e+00     
   0.012579       0.431047         -1.634429e+00     
   0.012579       0.479368         -1.575048e+00     
   0.012579       0.529418         -1.511498e+00     
   0.012579       0.581031         -1.444386e+00     
   0.012579       0.634036         -1.374308e+00     
   0.012579       0.688256         -1.301832e+00     
   0.012579       0.743512         -1.227489e+00     
   0.012579       0.799621         -1.151775e+00     
   0.012579       0.856395         -1.075155e+00     
   0.012579       0.913645         -9.980756e-01     
   0.012579       0.971183         -9.209713e-01     
   0.012579       1.028817         -8.442691e-01     
   0.012579       1.086355         -7.683912e-01     
   0.012579       1.143605         -6.937532e-01     
   0.012579       1.200379         -6.207602e-01     
   0.012579       1.256488         -5.498006e-01     
   0.012579       1.311744         -4.812391e-01     
   0.012579       1.365964         -4.154101e-01     
   0.012579       1.418969         -3.526114e-01     
   0.012579       1.470582         -2.930988e-01     
   0.012579       1.520632         -2.370827e-01     
   0.012579       1.568953         -1.847255e-01     
   0.012579       1.615383         -1.361404e-01     
   0.012579       1.659769         -9.139178e-02     
   0.012579       1.701964         -5.049606e-02     
   0.012579       1.741827         -1.342410e-02     
   0.012579       1.779225         1.989553e-02      
   0.012579       1.814035         4.957204e-02      
   0.012579       1.846141         7.574677e-02      
   0.012579       1.875435         9.858640e-02      
   0.012579       1.901822         1.182753e-01      
   0.012579       1.925213         1.350070e-01      
   0.012579       1.945531         1.489757e-01      
   0.012579       1.962708         1.603678e-01      
   0.012579       1.976686         1.693536e-01      
   0.012579       1.987421         1.760801e-01      
   0.012579       1.994875         1.806656e-01      
   0.012579       1.999027         1.831952e-01      
   0.012579       2.002615         1.853237e-01      
   0.012579       2.013773         1.918418e-01      
   0.012579       2.033820         2.031322e-01      
   0.012579       2.062716         2.183774e-01      
   0.012579       2.100398         2.363672e-01      
   0.012579       2.146782         2.554813e-01      
   0.012579       2.201763         2.736924e-01      
   0.012579       2.265220         2.886277e-01      
   0.012579       2.337010         2.977403e-01      
   0.012579       2.416974         2.986456e-01      
