#       k             kp                 V11                    V12                    V21                    V22          
   0.001460       0.001460         -1.448074e+00          -8.360819e-06          -8.360819e-06          1.799471e-11      
   0.001460       0.007687         -1.447974e+00          -2.317607e-04          -8.358398e-06          4.994786e-10      
   0.001460       0.018869         -1.447452e+00          -1.395429e-03          -8.345795e-06          3.004838e-09      
   0.001460       0.034971         -1.445934e+00          -4.784004e-03          -8.309160e-06          1.027647e-08      
   0.001460       0.055939         -1.442610e+00          -1.219020e-02          -8.229423e-06          2.604583e-08      
   0.001460       0.081704         -1.436483e+00          -2.580721e-02          -8.084013e-06          5.459723e-08      
   0.001460       0.112180         -1.426435e+00          -4.803880e-02          -7.849917e-06          9.998616e-08      
   0.001460       0.147267         -1.411333e+00          -8.121174e-02          -7.508157e-06          1.649090e-07      
   0.001460       0.186847         -1.390168e+00          -1.272029e-01          -7.049076e-06          2.494227e-07      
   0.001460       0.230789         -1.362199e+00          -1.870351e-01          -6.476949e-06          3.499517e-07      
   0.001460       0.278948         -1.327077e+00          -2.605378e-01          -5.811945e-06          4.591353e-07      
   0.001460       0.331163         -1.284914e+00          -3.461817e-01          -5.087963e-06          5.668673e-07      
   0.001460       0.387260         -1.236251e+00          -4.411667e-01          -4.346445e-06          6.623704e-07      
   0.001460       0.447054         -1.181945e+00          -5.417631e-01          -3.628188e-06          7.365865e-07      
   0.001460       0.510346         -1.122992e+00          -6.438215e-01          -2.966108e-06          7.839738e-07      
   0.001460       0.576925         -1.060345e+00          -7.433139e-01          -2.381202e-06          8.031262e-07      
   0.001460       0.646571         -9.947585e-01          -8.367765e-01          -1.882230e-06          7.962262e-07      
   0.001460       0.719051         -9.267041e-01          -9.215793e-01          -1.468102e-06          7.678076e-07      
   0.001460       0.794126         -8.563468e-01          -9.960140e-01          -1.131353e-06          7.234027e-07      
   0.001460       0.871546         -7.835755e-01          -1.059239e+00          -8.614185e-07          6.684765e-07      
   0.001460       0.951053         -7.080675e-01          -1.111137e+00          -6.470292e-07          6.077844e-07      
   0.001460       1.032384         -6.293699e-01          -1.152135e+00          -4.776569e-07          5.451093e-07      
   0.001460       1.115269         -5.469866e-01          -1.183021e+00          -3.441837e-07          4.832541e-07      
   0.001460       1.199431         -4.604664e-01          -1.204772e+00          -2.390755e-07          4.241653e-07      
   0.001460       1.284592         -3.694889e-01          -1.218392e+00          -1.562866e-07          3.690997e-07      
   0.001460       1.370468         -2.739488e-01          -1.224773e+00          -9.104713e-08          3.187852e-07      
   0.001460       1.456775         -1.740362e-01          -1.224559e+00          -3.962681e-08          2.735526e-07      
   0.001460       1.543225         -7.030854e-02          -1.218038e+00          8.850888e-10           2.334368e-07      
   0.001460       1.629532         3.625112e-02           -1.205042e+00          3.276429e-08           1.982505e-07      
   0.001460       1.715408         1.442018e-01           -1.184912e+00          5.779823e-08           1.676420e-07      
   0.001460       1.800569         2.516486e-01           -1.156516e+00          7.739756e-08           1.411424e-07      
   0.001460       1.884731         3.562986e-01           -1.118368e+00          9.267749e-08           1.182128e-07      
   0.001460       1.967616         4.555776e-01           -1.068855e+00          1.045145e-07           9.829231e-08      
   0.001460       2.048947         5.468136e-01           -1.006587e+00          1.135848e-07           8.084830e-08      
   0.001460       2.128454         6.274775e-01           -9.308164e-01          1.203908e-07           6.542413e-08      
   0.001460       2.205874         6.954557e-01           -8.418695e-01          1.252836e-07           5.167727e-08      
   0.001460       2.280949         7.493081e-01           -7.414682e-01          1.284878e-07           3.939879e-08      
   0.001460       2.353429         7.884578e-01           -6.328250e-01          1.301334e-07           2.850804e-08      
   0.001460       2.423075         8.132612e-01           -5.204184e-01          1.302970e-07           1.902113e-08      
   0.001460       2.489654         8.249308e-01           -4.094458e-01          1.290457e-07           1.100004e-08      
   0.001460       2.552946         8.253277e-01           -3.050581e-01          1.264785e-07           4.495617e-09      
   0.001460       2.612740         8.166750e-01           -2.115723e-01          1.227527e-07           -4.994939e-10     
   0.001460       2.668837         8.012689e-01           -1.318767e-01          1.180906e-07           -4.075360e-09     
   0.001460       2.721052         7.812518e-01           -6.718038e-02          1.127663e-07           -6.402610e-09     
   0.001460       2.769211         7.584832e-01           -1.712996e-02          1.070785e-07           -7.708675e-09     
   0.001460       2.813153         7.345016e-01           1.980021e-02           1.013187e-07           -8.243626e-09     
   0.001460       2.852733         7.105490e-01           4.580271e-02           9.574516e-08           -8.247465e-09     
   0.001460       2.887820         6.876207e-01           6.326651e-02           9.056646e-08           -7.926934e-09     
   0.001460       2.918296         6.665145e-01           7.443265e-02           8.593699e-08           -7.444514e-09     
   0.001460       2.944061         6.478680e-01           8.120046e-02           8.196103e-08           -6.917875e-09     
   0.001460       2.965029         6.321840e-01           8.506005e-02           7.870228e-08           -6.426005e-09     
   0.001460       2.981131         6.198470e-01           8.710690e-02           7.619513e-08           -6.018145e-09     
   0.001460       2.992313         6.111365e-01           8.809565e-02           7.445514e-08           -5.722723e-09     
   0.001460       2.998540         6.062361e-01           8.850169e-02           7.348732e-08           -5.554646e-09     
   0.001460       3.018049         5.906777e-01           8.914861e-02           7.046696e-08           -5.015269e-09     
   0.001460       3.095008         5.265118e-01           8.440424e-02           5.885864e-08           -2.843065e-09     
   0.001460       3.233095         4.054271e-01           6.175017e-02           4.037240e-08           3.175239e-10      
   0.001460       3.431711         2.427698e-01           3.082188e-02           2.094971e-08           2.120244e-09      
   0.001460       3.689953         9.708146e-02           9.682249e-03           7.227055e-09           1.607453e-09      
   0.001460       4.006644         2.105824e-02           1.573367e-03           1.342616e-09           4.880312e-10      
   0.001460       4.380338         1.807781e-03           9.608034e-05           9.760266e-11           5.054818e-11      
   0.001460       4.809332         3.860414e-05           1.393417e-06           1.744990e-12           1.189379e-12      
   0.001460       5.291668         1.064524e-07           2.530985e-09           3.977095e-15           3.402218e-15      
   0.001460       5.825144         1.537266e-11           2.212963e-13           4.663673e-19           4.876666e-19      
   0.001460       6.407328         3.316011e-14           -1.335053e-14          -2.024150e-23          -5.252768e-22     
   0.001460       7.035562         2.884795e-14           -7.352465e-15          2.962453e-23           -2.881000e-22     
   0.001460       7.706980         1.701883e-14           -3.333168e-15          3.079739e-23           -1.302938e-22     
   0.001460       8.418518         7.163239e-15           -1.178481e-15          1.746840e-23           -4.611768e-23     
   0.001460       9.166931         2.102462e-15           -3.054385e-16          6.583531e-24           -1.201341e-23     
   0.001460       9.948802         4.087209e-16           -5.409316e-17          1.639443e-24           -2.148799e-24     
   0.001460       10.760565        4.916674e-17           -6.052321e-18          2.546292e-25           -2.442851e-25     
   0.001460       11.598516        3.381124e-18           -3.927557e-19          2.274378e-26           -1.622260e-26     
   0.001460       12.458831        1.219227e-19           -1.350434e-20          1.064874e-27           -5.753614e-28     
   0.001460       13.337586        2.108982e-21           -2.244528e-22          2.373404e-29           -9.943872e-30     
   0.001460       14.230769        1.605670e-23           -1.651530e-24          2.294799e-31           -7.662810e-32     
   0.001460       15.134307        4.987528e-26           -4.979769e-27          8.869633e-34           -2.432242e-34     
   0.001460       16.044075        5.971081e-29           -5.806590e-30          1.288311e-36           -2.991626e-37     
   0.001460       16.955925        2.679924e-32           -2.544438e-33          6.813161e-40           -1.380537e-40     
   0.001460       17.865693        4.564489e-36           -4.238519e-37          1.324034e-43           -2.409058e-44     
   0.001460       18.769231        3.074919e-40           -2.882584e-41          9.882795e-48           -1.760413e-48     
   0.001460       19.662414        -3.547609e-44          -2.932028e-45          -9.499286e-52          -5.602440e-52     
   0.001460       20.541169        -1.491146e-46          -6.935570e-48          -4.792775e-54          -1.612065e-54     
   0.001460       21.401484        -2.100800e-49          -1.028138e-50          -8.355152e-57          -2.156506e-57     
   0.001460       22.239435        6.565119e-51           -4.837490e-52          9.224442e-58           -8.778226e-59     
   0.001460       23.051198        2.223162e-48           -1.770857e-49          3.348545e-55           -3.320013e-56     
   0.001460       23.833069        5.399358e-46           -2.275470e-47          8.145594e-53           -4.536310e-54     
   0.001460       24.581482        4.409994e-42           2.473721e-43           6.691134e-49           3.882589e-50      
   0.001460       25.293020        5.555187e-38           2.979412e-39           8.428412e-45           4.705989e-46      
   0.001460       25.964438        2.506907e-34           1.255268e-35           3.803591e-41           1.993954e-42      
   0.001460       26.592672        3.750546e-31           1.735260e-32           5.690741e-38           2.775156e-39      
   0.001460       27.174856        1.841513e-28           7.783297e-30           2.794242e-35           1.254949e-36      
   0.001460       27.708332        3.100289e-26           1.182117e-27           4.704337e-33           1.924897e-34      
