#       k             kp                  V           
   0.001947       0.001947         1.161160e-05      
   0.001947       0.010250         6.111394e-05      
   0.001947       0.025159         1.496948e-04      
   0.001947       0.046627         2.757487e-04      
   0.001947       0.074585         4.352479e-04      
   0.001947       0.108938         6.203172e-04      
   0.001947       0.149573         8.181882e-04      
   0.001947       0.196355         1.011390e-03      
   0.001947       0.249129         1.179898e-03      
   0.001947       0.307719         1.305183e-03      
   0.001947       0.371930         1.374869e-03      
   0.001947       0.441550         1.385917e-03      
   0.001947       0.516347         1.344751e-03      
   0.001947       0.596072         1.264429e-03      
   0.001947       0.680461         1.160442e-03      
   0.001947       0.769234         1.047028e-03      
   0.001947       0.862094         9.350551e-04      
   0.001947       0.958735         8.315091e-04      
   0.001947       1.058835         7.400090e-04      
   0.001947       1.162061         6.617354e-04      
   0.001947       1.268071         5.963402e-04      
   0.001947       1.376513         5.426445e-04      
   0.001947       1.487025         4.990893e-04      
   0.001947       1.599241         4.639800e-04      
   0.001947       1.712789         4.355895e-04      
   0.001947       1.827291         4.121893e-04      
   0.001947       1.942367         3.920656e-04      
   0.001947       2.057633         3.735654e-04      
   0.001947       2.172709         3.551968e-04      
   0.001947       2.287211         3.357739e-04      
   0.001947       2.400759         3.145604e-04      
   0.001947       2.512975         2.913401e-04      
   0.001947       2.623487         2.663554e-04      
   0.001947       2.731929         2.401246e-04      
   0.001947       2.837939         2.132412e-04      
   0.001947       2.941165         1.862809e-04      
   0.001947       3.041265         1.523984e-04      
   0.001947       3.137906         1.273891e-04      
   0.001947       3.230766         1.044644e-04      
   0.001947       3.319539         8.417541e-05      
   0.001947       3.403928         6.682839e-05      
   0.001947       3.483653         5.245801e-05      
   0.001947       3.558450         4.087746e-05      
   0.001947       3.628070         3.176010e-05      
   0.001947       3.692281         2.471806e-05      
   0.001947       3.750871         1.936174e-05      
   0.001947       3.803645         1.533691e-05      
   0.001947       3.850427         1.234274e-05      
   0.001947       3.891062         1.013634e-05      
   0.001947       3.925415         8.529278e-06      
   0.001947       3.953373         7.380261e-06      
   0.001947       3.974841         6.586987e-06      
   0.001947       3.989750         6.078665e-06      
   0.001947       3.998053         5.809984e-06      
   0.001947       4.008499         5.486073e-06      
   0.001947       4.044761         4.476286e-06      
   0.001947       4.109915         3.053561e-06      
   0.001947       4.203828         1.691121e-06      
   0.001947       4.326294         7.272700e-07      
   0.001947       4.477040         2.282370e-07      
   0.001947       4.655730         4.810432e-08      
   0.001947       4.861964         6.111536e-09      
   0.001947       5.095283         4.076246e-10      
   0.001947       5.355166         1.198876e-11      
   0.001947       5.641033         1.250774e-13      
   0.001947       5.952247         3.537654e-16      
   0.001947       6.288112         1.952198e-19      
   0.001947       6.647880         1.410765e-23      
   0.001947       7.030747         8.271691e-29      
   0.001947       7.435859         2.225965e-35      
   0.001947       7.862313         4.090434e-38      
   0.001947       8.309157         2.104783e-38      
   0.001947       8.775393         5.141626e-39      
   0.001947       9.259982         -5.633034e-39     
   0.001947       9.761842         -1.167618e-38     
   0.001947       10.279853        -1.435850e-38     
   0.001947       10.812859        -1.538437e-38     
   0.001947       11.359671        -1.751937e-38     
   0.001947       11.919069        -3.071087e-38     
   0.001947       12.489804        -9.889613e-38     
   0.001947       13.070603        -3.843324e-37     
   0.001947       13.660171        -1.302433e-36     
   0.001947       14.257191        -3.412715e-36     
   0.001947       14.860331        -6.604028e-36     
   0.001947       15.468245        -9.295009e-36     
   0.001947       16.079578        -9.676094e-36     
   0.001947       16.692964        -9.174191e-36     
   0.001947       17.307036        -2.095879e-35     
   0.001947       17.920422        -1.264621e-34     
   0.001947       18.531755        -8.590415e-34     
   0.001947       19.139669        -5.549274e-33     
   0.001947       19.742809        -3.349878e-32     
   0.001947       20.339829        -1.877863e-31     
   0.001947       20.929397        -9.732285e-31     
   0.001947       21.510196        -4.646633e-30     
   0.001947       22.080931        -2.036651e-29     
   0.001947       22.640329        -8.157760e-29     
   0.001947       23.187141        -2.964135e-28     
   0.001947       23.720147        -9.638287e-28     
   0.001947       24.238158        -2.726973e-27     
   0.001947       24.740018        -6.258345e-27     
   0.001947       25.224607        -8.863510e-27     
   0.001947       25.690843        1.187835e-26      
   0.001947       26.137687        1.582950e-25      
   0.001947       26.564141        7.990824e-25      
   0.001947       26.969253        3.072084e-24      
   0.001947       27.352120        1.007723e-23      
   0.001947       27.711888        2.936479e-23      
