#       k             kp                 V11                    V12                    V21                    V22          
   0.001947       0.001947         -1.588823e+00          -1.519143e-05          -1.519143e-05          5.746357e-11      
   0.001947       0.010250         -1.588639e+00          -4.210662e-04          -1.518384e-05          1.587120e-09      
   0.001947       0.025159         -1.587681e+00          -2.534051e-03          -1.514438e-05          9.537453e-09      
   0.001947       0.046627         -1.584894e+00          -8.675775e-03          -1.503006e-05          3.251283e-08      
   0.001947       0.074585         -1.578814e+00          -2.204136e-02          -1.478317e-05          8.182694e-08      
   0.001947       0.108938         -1.567680e+00          -4.640943e-02          -1.433969e-05          1.693345e-07      
   0.001947       0.149573         -1.549623e+00          -8.562930e-02          -1.364374e-05          3.037252e-07      
   0.001947       0.196355         -1.522937e+00          -1.428814e-01          -1.266656e-05          4.858364e-07      
   0.001947       0.249129         -1.486395e+00          -2.198267e-01          -1.142390e-05          7.048651e-07      
   0.001947       0.307719         -1.439521e+00          -3.158962e-01          -9.982082e-06          9.381330e-07      
   0.001947       0.371930         -1.382703e+00          -4.280202e-01          -8.446409e-06          1.155958e-06      
   0.001947       0.441550         -1.317093e+00          -5.509800e-01          -6.934254e-06          1.330183e-06      
   0.001947       0.516347         -1.244323e+00          -6.783023e-01          -5.545315e-06          1.442241e-06      
   0.001947       0.596072         -1.166133e+00          -8.033726e-01          -4.342419e-06          1.486884e-06      
   0.001947       0.680461         -1.084078e+00          -9.203877e-01          -3.348448e-06          1.470647e-06      
   0.001947       0.769234         -9.993569e-01          -1.024905e+00          -2.555400e-06          1.407127e-06      
   0.001947       0.862094         -9.128153e-01          -1.113963e+00          -1.937697e-06          1.311952e-06      
   0.001947       0.958735         -8.250420e-01          -1.185893e+00          -1.463611e-06          1.199254e-06      
   0.001947       1.058835         -7.365191e-01          -1.239994e+00          -1.102487e-06          1.080033e-06      
   0.001947       1.162061         -6.477689e-01          -1.276207e+00          -8.281151e-07          9.619145e-07      
   0.001947       1.268071         -5.594673e-01          -1.294849e+00          -6.195914e-07          8.496484e-07      
   0.001947       1.376513         -4.725136e-01          -1.296451e+00          -4.609000e-07          7.458321e-07      
   0.001947       1.487025         -3.880490e-01          -1.281676e+00          -3.400325e-07          6.515946e-07      
   0.001947       1.599241         -3.074282e-01          -1.251312e+00          -2.480627e-07          5.671340e-07      
   0.001947       1.712789         -2.321463e-01          -1.206314e+00          -1.783471e-07          4.920993e-07      
   0.001947       1.827291         -1.637267e-01          -1.147864e+00          -1.258962e-07          4.258416e-07      
   0.001947       1.942367         -1.035821e-01          -1.077441e+00          -8.690380e-08          3.675723e-07      
   0.001947       2.057633         -5.286312e-02          -9.968692e-01          -5.840665e-08          3.164585e-07      
   0.001947       2.172709         -1.231471e-02          -9.083341e-01          -3.804671e-08          2.716803e-07      
   0.001947       2.287211         1.783659e-02           -8.143460e-01          -2.391111e-08          2.324653e-07      
   0.001947       2.400759         3.794199e-02           -7.176545e-01          -1.443009e-08          1.981110e-07      
   0.001947       2.512975         4.892070e-02           -6.211094e-01          -8.316012e-09          1.679985e-07      
   0.001947       2.623487         5.217567e-02           -5.274846e-01          -4.528886e-09          1.416004e-07      
   0.001947       2.731929         4.944374e-02           -4.392868e-01          -2.255614e-09          1.184815e-07      
   0.001947       2.837939         4.260328e-02           -3.585776e-01          -8.925391e-10          9.829156e-08      
   0.001947       2.941165         3.347208e-02           -2.868379e-01          -2.403543e-11          8.075239e-08      
   0.001947       3.041265         2.363057e-02           -2.248968e-01          6.062095e-10           6.563817e-08      
   0.001947       3.137906         1.429911e-02           -1.729355e-01          1.130616e-09           5.275443e-08      
   0.001947       3.230766         6.284500e-03           -1.305635e-01          1.596202e-09           4.191849e-08      
   0.001947       3.319539         -5.415341e-06          -9.694745e-02          2.001075e-09           3.294488e-08      
   0.001947       3.403928         -4.494527e-03          -7.096779e-02          2.324268e-09           2.563794e-08      
   0.001947       3.483653         -7.342205e-03          -5.137592e-02          2.546113e-09           1.979160e-08      
   0.001947       3.558450         -8.842316e-03          -3.692790e-02          2.658770e-09           1.519487e-08      
   0.001947       3.628070         -9.336344e-03          -2.648182e-02          2.668637e-09           1.164051e-08      
   0.001947       3.692281         -9.150877e-03          -1.905513e-02          2.593481e-09           8.934065e-09      
   0.001947       3.750871         -8.561363e-03          -1.384646e-02          2.457312e-09           6.901218e-09      
   0.001947       3.803645         -7.778134e-03          -1.023110e-02          2.285273e-09           5.392310e-09      
   0.001947       3.850427         -6.947917e-03          -7.740392e-03          2.099886e-09           4.283879e-09      
   0.001947       3.891062         -6.163946e-03          -6.034123e-03          1.919042e-09           3.477708e-09      
   0.001947       3.925415         -5.479206e-03          -4.872203e-03          1.755511e-09           2.898220e-09      
   0.001947       3.953373         -4.919305e-03          -4.089486e-03          1.617487e-09           2.489100e-09      
   0.001947       3.974841         -4.493189e-03          -3.575323e-03          1.509630e-09           2.209800e-09      
   0.001947       3.989750         -4.201171e-03          -3.258156e-03          1.434222e-09           2.032432e-09      
   0.001947       3.998053         -4.040366e-03          -3.094641e-03          1.392155e-09           1.939252e-09      
   0.001947       4.008499         -3.840232e-03          -2.901488e-03          1.339244e-09           1.827488e-09      
   0.001947       4.044761         -3.168297e-03          -2.329274e-03          1.156809e-09           1.483678e-09      
   0.001947       4.109915         -2.076521e-03          -1.611038e-03          8.423861e-10           1.014781e-09      
   0.001947       4.203828         -8.320942e-04          -1.039407e-03          4.478152e-10           5.918028e-10      
   0.001947       4.326294         1.609790e-04           -7.000062e-04          8.301469e-11           3.159346e-10      
   0.001947       4.477040         5.704599e-04           -4.745088e-04          -1.218288e-10          1.714246e-10      
   0.001947       4.655730         4.329580e-04           -2.535744e-04          -1.285413e-10          8.542677e-11      
   0.001947       4.861964         1.487741e-04           -7.878975e-05          -4.980829e-11          2.715244e-11      
   0.001947       5.095283         1.901493e-05           -9.887794e-06          -6.745410e-12          3.528808e-12      
   0.001947       5.355166         5.600761e-07           -2.949343e-07          -2.035650e-13          1.071889e-13      
   0.001947       5.641033         1.752726e-09           -9.608919e-10          -6.055282e-16          3.234311e-16      
   0.001947       5.952247         -1.266634e-12          1.087242e-12           -7.729093e-19          5.617344e-19      
   0.001947       6.288112         -2.018905e-16          1.645453e-16           -7.623779e-23          5.438708e-23      
   0.001947       6.647880         8.546954e-24           -6.834488e-24          3.867067e-30           -2.854050e-30     
   0.001947       7.030747         -8.717216e-36          6.868925e-36           -3.567559e-42          2.605099e-42      
   0.001947       7.435859         8.112356e-57           -6.460720e-57          -3.384160e-63          2.803224e-63      
   0.001947       7.862313         -2.200432e-88          1.676810e-88           -1.039131e-94          7.578013e-95      
   0.001947       8.309157        -1.827887e-138          1.406085e-138         -1.408500e-144          1.053694e-144     
   0.001947       8.775393        -5.799969e-216          4.427565e-216         -5.701139e-222          4.263034e-222     
   0.001947       9.259982         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
