# vlowk itz =  0 l =  2 s =  1 jt =  3 kvnn =  **  Lambda =  12.00
#  fac=0.25 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V11             V12              V21             V22 
   0.001185   0.001185    6.809079226476E-13  -2.067109609537E-17  -2.067109609537E-17  -2.841232061609E-23
   0.001185   0.006239    1.888194435257E-11  -1.589571830589E-14  -5.732206561229E-16  -2.184858716955E-20
   0.001185   0.015318    1.136511765505E-10  -5.775468005981E-13  -3.454821347767E-15  -7.938352564220E-19
   0.001185   0.028399    3.884288901912E-10  -6.821450640270E-12  -1.181897486644E-14  -9.307125612063E-18
   0.001185   0.045447    9.831392959502E-10  -4.444211867114E-11  -2.999776172592E-14  -6.009993559181E-17
   0.001185   0.066417    2.053678187659E-09  -2.004134694757E-10  -6.305728768563E-14  -2.671925540639E-16
   0.001185   0.091251    3.737865695061E-09  -7.019640604615E-10  -1.159329458907E-13  -9.114667461001E-16
   0.001185   0.119882    6.103429597320E-09  -2.037752791459E-09  -1.921242051721E-13  -2.536516297110E-15
   0.001185   0.152235    9.091237311471E-09  -5.104093847886E-09  -2.919971198446E-13  -5.962449175330E-15
   0.001185   0.188220    1.248285310134E-08  -1.132409767965E-08  -4.110592089543E-13  -1.206109133193E-14
   0.001185   0.227742    1.593049490600E-08  -2.265000138056E-08  -5.388786878319E-13  -2.113767676325E-14
   0.001185   0.270694    1.907253014616E-08  -4.134352655853E-08  -6.595058663273E-13  -3.194417922603E-14
   0.001185   0.316959    2.173152452575E-08  -6.946937474255E-08  -7.540715545175E-13  -4.076178068077E-14
   0.001185   0.366414    2.409927520128E-08  -1.081550654854E-07  -8.054968808584E-13  -4.146690320348E-14
   0.001185   0.418925    2.676306614024E-08  -1.568423035419E-07  -8.040584802694E-13  -2.754712377243E-14
   0.001185   0.474351    3.045666626144E-08  -2.128917223589E-07  -7.514710863883E-13   3.918547308451E-15
   0.001185   0.532541    3.558239815874E-08  -2.718716996561E-07  -6.610602190836E-13   4.822909805081E-14
   0.001185   0.593339    4.178108763514E-08  -3.285874956325E-07  -5.531183531833E-13   9.247781957848E-14
