# vlowk itz =  0 l =  1 s =  1 jt =  0 kvnn =  **  Lambda =  12.00
#  fac=0.17 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V 
   0.000790   0.000790   -1.508022848497E-06
   0.000790   0.004159   -7.941217385317E-06
   0.000790   0.010212   -1.949388879780E-05
   0.000790   0.018933   -3.610805150404E-05
   0.000790   0.030298   -5.765747336332E-05
   0.000790   0.044278   -8.392431851247E-05
   0.000790   0.060834   -1.145499158876E-04
   0.000790   0.079922   -1.489955679160E-04
   0.000790   0.101490   -1.865132693356E-04
   0.000790   0.125480   -2.261092500434E-04
   0.000790   0.151828   -2.665807411839E-04
   0.000790   0.180462   -3.065712590405E-04
   0.000790   0.211306   -3.446617720441E-04
   0.000790   0.244276   -3.794929689391E-04
   0.000790   0.279283   -4.098926488170E-04
   0.000790   0.316234   -4.349778043279E-04
   0.000790   0.355027   -4.542017498631E-04
   0.000790   0.395559   -4.673325127625E-04
   0.000790   0.437721   -4.743740072630E-04
   0.000790   0.481399   -4.754670992975E-04
   0.000790   0.526474   -4.708182517093E-04
   0.000790   0.572826   -4.606901410007E-04
   0.000790   0.620330   -4.454524004871E-04
   0.000790   0.668857   -4.256512433039E-04
   0.000790   0.718277   -4.020383348147E-04
   0.000790   0.768456   -3.755181901038E-04
   0.000790   0.819260   -3.470218169332E-04
   0.000790   0.870551   -3.173622430091E-04
   0.000790   0.922191   -2.871424761424E-04
   0.000790   0.974040   -2.567563725503E-04
   0.000790   1.025960   -2.264676137224E-04
   0.000790   1.077809   -1.965091319572E-04
   0.000790   1.129449   -1.671425548113E-04
   0.000790   1.180740   -1.386524771123E-04
   0.000790   1.231544   -1.112956011901E-04
   0.000790   1.281723   -8.524882598162E-05
   0.000790   1.331143   -6.059154256587E-05
   0.000790   1.379670   -3.732837863986E-05
   0.000790   1.427174   -1.543262059938E-05
   0.000790   1.473526    5.116797685487E-06
   0.000790   1.518601    2.432107794759E-05
   0.000790   1.562279    4.216937444755E-05
   0.000790   1.604441    5.865654077803E-05
   0.000790   1.644973    7.379768548697E-05
   0.000790   1.683766    8.763266086802E-05
   0.000790   1.720717    1.002210641993E-04
   0.000790   1.755724    1.116326181915E-04
   0.000790   1.788694    1.219380419116E-04
   0.000790   1.819538    1.312033117336E-04
   0.000790   1.848172    1.394876673754E-04
   0.000790   1.874520    1.468441508293E-04
   0.000790   1.898510    1.533211030806E-04
   0.000790   1.920078    1.589634660899E-04
   0.000790   1.939166    1.638133774366E-04
   0.000790   1.955722    1.679100521482E-04
   0.000790   1.969702    1.712891946146E-04
   0.000790   1.981067    1.739822229364E-04
   0.000790   1.989788    1.760155184004E-04
   0.000790   1.995841    1.774098281694E-04
   0.000790   1.999210    1.781800560141E-04
   0.000790   2.002370    1.788983566279E-04
   0.000790   2.012478    1.811711603980E-04
   0.000790   2.030636    1.851565948609E-04
   0.000790   2.056798    1.906804148343E-04
   0.000790   2.090895    1.974970134647E-04
   0.000790   2.132833    2.053030238807E-04
   0.000790   2.182501    2.137564079176E-04
   0.000790   2.239765    2.224911147584E-04
   0.000790   2.304469    2.311102126054E-04
   0.000790   2.376440    2.391615115951E-04
   0.000790   2.455484    2.461483940156E-04
   0.000790   2.541387    2.516214535365E-04
   0.000790   2.633919    2.552610838249E-04
   0.000790   2.732829    2.567962401536E-04
   0.000790   2.837850    2.558864766410E-04
   0.000790   2.948701    2.522730017904E-04
   0.000790   3.065082    2.459552177942E-04
   0.000790   3.186678    2.369663597401E-04
   0.000790   3.313163    2.252914996209E-04
   0.000790   3.444196    2.111880471949E-04
   0.000790   3.579422    1.950161530898E-04
   0.000790   3.718479    1.770365215577E-04
   0.000790   3.860990    1.577521888596E-04
   0.000790   4.006571    1.376746349687E-04
   0.000790   4.154831    1.172131132068E-04
   0.000790   4.305369    9.696067378308E-05
   0.000790   4.457780    7.734136211883E-05
   0.000790   4.611653    5.876002780161E-05
   0.000790   4.766572    4.164055376850E-05
   0.000790   4.922121    2.618116253461E-05
   0.000790   5.077879    1.263941675732E-05
   0.000790   5.233428    1.101318201959E-06
   0.000790   5.388347   -8.430394953961E-06
   0.000790   5.542220   -1.595084190490E-05
   0.000790   5.694631   -2.163291365010E-05
   0.000790   5.845169   -2.559659377397E-05
   0.000790   5.993429   -2.804449753920E-05
