#       k             kp                 V11                    V12                    V21                    V22          
   0.001185       0.001185         -2.897554e-07          3.730585e-12           3.730585e-12           0.000000e+00      
   0.001185       0.006239         -1.525893e-06          5.447716e-10           1.964518e-11           -1.949644e-15     
   0.001185       0.015318         -3.748919e-06          8.062040e-09           4.815046e-11           -2.885264e-14     
   0.001185       0.028399         -6.963279e-06          5.127883e-08           8.884457e-11           -1.825632e-13     
   0.001185       0.045447         -1.118187e-05          2.088796e-07           1.407406e-10           -7.386186e-13     
   0.001185       0.066417         -1.644116e-05          6.447289e-07           2.018423e-10           -2.252725e-12     
   0.001185       0.091251         -2.280600e-05          1.642704e-06           2.687805e-10           -5.622277e-12     
   0.001185       0.119882         -3.039244e-05          3.626709e-06           3.366129e-10           -1.201324e-11     
   0.001185       0.152235         -3.933588e-05          7.147499e-06           3.990237e-10           -2.255060e-11     
   0.001185       0.188220         -4.977005e-05          1.282009e-05           4.491034e-10           -3.772890e-11     
   0.001185       0.227742         -6.177358e-05          2.120726e-05           4.807347e-10           -5.666466e-11     
   0.001185       0.270694         -7.530690e-05          3.266985e-05           4.902853e-10           -7.656340e-11     
   0.001185       0.316959         -9.016165e-05          4.723241e-05           4.779431e-10           -9.296263e-11     
   0.001185       0.366414         -1.059532e-04          6.452826e-05           4.478812e-10           -1.011741e-10     
   0.001185       0.418925         -1.221701e-04          8.386295e-05           4.067883e-10           -9.868375e-11     
   0.001185       0.474351         -1.382648e-04          1.043707e-04           3.612175e-10           -8.726509e-11     
   0.001185       0.532541         -1.537397e-04          1.251696e-04           3.151942e-10           -7.299128e-11     
   0.001185       0.593339         -1.681724e-04          1.454143e-04           2.697060e-10           -6.317917e-11     
   0.001185       0.656582         -1.811690e-04          1.642311e-04           2.244842e-10           -6.164638e-11     
   0.001185       0.722098         -1.922930e-04          1.806559e-04           1.805238e-10           -6.585055e-11     
   0.001185       0.789711         -2.010552e-04          1.937244e-04           1.408759e-10           -6.890676e-11     
   0.001185       0.859239         -2.069979e-04          2.027272e-04           1.087546e-10           -6.545677e-11     
   0.001185       0.930495         -2.098104e-04          2.074314e-04           8.484343e-11           -5.620060e-11     
   0.001185       1.003286         -2.093736e-04          2.080451e-04           6.679699e-11           -4.653200e-11     
   0.001185       1.077416         -2.057041e-04          2.049414e-04           5.161908e-11           -4.068074e-11     
   0.001185       1.152685         -1.988807e-04          1.984188e-04           3.826625e-11           -3.780182e-11     
   0.001185       1.228890         -1.890503e-04          1.887257e-04           2.762039e-11           -3.413055e-11     
   0.001185       1.305826         -1.765002e-04          1.762550e-04           2.031101e-11           -2.798126e-11     
   0.001185       1.383286         -1.616988e-04          1.616233e-04           1.539876e-11           -2.129985e-11     
   0.001185       1.461060         -1.452495e-04          1.455376e-04           1.136789e-11           -1.656391e-11     
   0.001185       1.538940         -1.278097e-04          1.286345e-04           7.678400e-12           -1.379167e-11     
   0.001185       1.616714         -1.100439e-04          1.114684e-04           4.787601e-12           -1.129328e-11     
   0.001185       1.694174         -9.260742e-05          9.459011e-05           3.017482e-12           -8.227141e-12     
   0.001185       1.771110         -7.611125e-05          7.855335e-05           2.009601e-12           -5.291037e-12     
   0.001185       1.847315         -6.105930e-05          6.382906e-05           1.230851e-12           -3.326137e-12     
   0.001185       1.922584         -4.779736e-05          5.073210e-05           5.258910e-13           -2.263132e-12     
   0.001185       1.996714         -3.650109e-05          3.942214e-05           3.148142e-14           -1.524565e-12     
   0.001185       2.069505         -2.719374e-05          2.993984e-05           -1.836719e-13          -8.122074e-13     
   0.001185       2.140761         -1.977394e-05          2.222949e-05           -2.228542e-13          -2.238056e-13     
   0.001185       2.210289         -1.404715e-05          1.614968e-05           -2.179641e-13          1.042142e-13      
   0.001185       2.277902         -9.761974e-06          1.149406e-05           -2.185671e-13          2.053765e-13      
   0.001185       2.343418         -6.647568e-06          8.024765e-06           -2.125262e-13          2.048316e-13      
   0.001185       2.406661         -4.444560e-06          5.504305e-06           -1.864388e-13          1.891247e-13      
   0.001185       2.467459         -2.924665e-06          3.716443e-06           -1.468356e-13          1.775419e-13      
   0.001185       2.525649         -1.899504e-06          2.476149e-06           -1.077112e-13          1.612175e-13      
   0.001185       2.581075         -1.221628e-06          1.632722e-06           -7.723418e-14          1.356853e-13      
   0.001185       2.633586         -7.808006e-07          1.068857e-06           -5.603326e-14          1.057183e-13      
   0.001185       2.683041         -4.978869e-07          6.970385e-07           -4.143608e-14          7.802205e-14      
   0.001185       2.729306         -3.180545e-07          4.544069e-07           -3.089719e-14          5.620325e-14      
   0.001185       2.772258         -2.044314e-07          2.972246e-07           -2.296715e-14          4.055079e-14      
   0.001185       2.811780         -1.328239e-07          1.958324e-07           -1.696624e-14          2.976050e-14      
   0.001185       2.847765         -8.766301e-08          1.305234e-07           -1.251440e-14          2.233124e-14      
   0.001185       2.880118         -5.907832e-08          8.841223e-08           -9.299327e-15          1.712464e-14      
   0.001185       2.908749         -4.088032e-08          6.117857e-08           -7.029920e-15          1.340662e-14      
   0.001185       2.933583         -2.921636e-08          4.350054e-08           -5.453070e-15          1.072535e-14      
   0.001185       2.954553         -2.169973e-08          3.199877e-08           -4.369322e-15          8.795531e-15      
   0.001185       2.971601         -1.685707e-08          2.454113e-08           -3.633613e-15          7.427463e-15      
   0.001185       2.984682         -1.378386e-08          1.979440e-08           -3.146618e-15          6.490652e-15      
   0.001185       2.993761         -1.193340e-08          1.694125e-08           -2.843826e-15          5.896009e-15      
   0.001185       2.998815         -1.099014e-08          1.550613e-08           -2.686224e-15          5.586530e-15      
   0.001185       3.004739         -1.000231e-08          1.382847e-08           -2.517701e-15          5.211561e-15      
   0.001185       3.024957         -7.125840e-09          9.143892e-09           -2.007474e-15          4.095061e-15      
   0.001185       3.061273         -3.606475e-09          3.593993e-09           -1.317562e-15          2.563410e-15      
   0.001185       3.113597         -1.006477e-09          -2.919645e-10          -6.899656e-16          1.171936e-15      
   0.001185       3.181789         1.435869e-10           -1.666906e-09          -2.614680e-16          3.045553e-16      
   0.001185       3.265666         2.976785e-10           -1.358388e-09          -4.935059e-17          -3.516473e-17     
   0.001185       3.365002         1.392879e-10           -6.348850e-10          1.085405e-17           -8.432694e-17     
   0.001185       3.479529         2.637442e-11           -1.784690e-10          1.082849e-17           -4.647326e-17     
   0.001185       3.608938         -3.400321e-12          -2.325959e-11          3.640320e-18           -1.396063e-17     
   0.001185       3.752880         -3.173987e-12          2.165271e-12           5.879992e-19           -2.181188e-18     
   0.001185       3.910968         -7.763650e-13          1.350462e-12           2.294591e-21           -2.487987e-20     
   0.001185       4.082775         -8.699054e-14          1.945492e-13           -1.688363e-20          5.763170e-20      
   0.001185       4.267838         -2.343893e-15          7.017298e-15           -2.814857e-21          1.004269e-20      
