# vlowk itz =  0 l =  1 s =  1 jt =  0 kvnn =  74  Lambda =  12.00
#  fac=0.17 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V 
   0.000790   0.000790   -1.464271975539E-06
   0.000790   0.004159   -7.710457379088E-06
   0.000790   0.010212   -1.892555281292E-05
   0.000790   0.018933   -3.506159761022E-05
   0.000790   0.030298   -5.601931315430E-05
   0.000790   0.044278   -8.162271133264E-05
   0.000790   0.060834   -1.115868181928E-04
   0.000790   0.079922   -1.454836886148E-04
   0.000790   0.101490   -1.827119084698E-04
   0.000790   0.125480   -2.224760390255E-04
   0.000790   0.151828   -2.637830890405E-04
   0.000790   0.180462   -3.054623608154E-04
   0.000790   0.211306   -3.462123759356E-04
   0.000790   0.244276   -3.846740041752E-04
   0.000790   0.279283   -4.195231302550E-04
   0.000790   0.316234   -4.495707236939E-04
   0.000790   0.355027   -4.738549186441E-04
   0.000790   0.395559   -4.917101291219E-04
   0.000790   0.437721   -5.028025762028E-04
   0.000790   0.481399   -5.071286522161E-04
   0.000790   0.526474   -5.049800404191E-04
   0.000790   0.572826   -4.968851768362E-04
   0.000790   0.620330   -4.835391402263E-04
   0.000790   0.668857   -4.657333504628E-04
   0.000790   0.718277   -4.442935363700E-04
   0.000790   0.768456   -4.200306776114E-04
   0.000790   0.819260   -3.937061977837E-04
   0.000790   0.870551   -3.660102425228E-04
   0.000790   0.922191   -3.375505634055E-04
   0.000790   0.974040   -3.088491565317E-04
   0.000790   1.025960   -2.803440499332E-04
   0.000790   1.077809   -2.523941821316E-04
   0.000790   1.129449   -2.252859306672E-04
   0.000790   1.180740   -1.992403926328E-04
   0.000790   1.231544   -1.744209246998E-04
   0.000790   1.281723   -1.509407061252E-04
   0.000790   1.331143   -1.288702138707E-04
   0.000790   1.379670   -1.082445284154E-04
   0.000790   1.427174   -8.907036080320E-05
   0.000790   1.473526   -7.133264266933E-05
   0.000790   1.518601   -5.500048170346E-05
   0.000790   1.562279   -4.003227612454E-05
   0.000790   1.604441   -2.637981309085E-05
   0.000790   1.644973   -1.399124629528E-05
   0.000790   1.683766   -2.812946495991E-06
   0.000790   1.720717    7.209671762942E-06
   0.000790   1.755724    1.613214296938E-05
