#       k             kp                 O11                    O12                    O21                    O22          
   0.001947       0.001947         -7.912408e-24          -5.292993e-17          5.292993e-17           4.845639e-37      
   0.001947       0.010250         1.133735e-12           -1.152375e-14          4.340200e-16           -9.703803e-22     
   0.001947       0.025159         2.147681e-11           -1.886654e-13          1.477982e-15           -1.113309e-19     
   0.001947       0.046627         1.586255e-10           -8.674820e-13          4.085555e-15           -2.828149e-18     
   0.001947       0.074585         7.220567e-10           1.338123e-12           1.074878e-14           -3.274370e-17     
   0.001947       0.108938         2.436992e-09           3.775406e-11           2.683914e-14           -2.316995e-16     
   0.001947       0.149573         6.700095e-09           2.547223e-10           6.150987e-14           -1.161534e-15     
   0.001947       0.196355         1.584401e-08           1.140761e-09           1.271407e-13           -4.485977e-15     
   0.001947       0.249129         3.334737e-08           3.990248e-09           2.364357e-13           -1.405945e-14     
   0.001947       0.307719         6.391980e-08           1.166567e-08           3.975263e-13           -3.703148e-14     
   0.001947       0.371930         1.134055e-07           2.961005e-08           6.092672e-13           -8.411685e-14     
   0.001947       0.441550         1.884784e-07           6.690720e-08           8.596532e-13           -1.682508e-13     
   0.001947       0.516347         2.961223e-07           1.370773e-07           1.128640e-12           -3.017247e-13     
   0.001947       0.596072         4.428803e-07           2.583021e-07           1.393704e-12           -4.929661e-13     
   0.001947       0.680461         6.338337e-07           4.528871e-07           1.634950e-12           -7.443858e-13     
   0.001947       0.769234         8.712667e-07           7.458973e-07           1.837612e-12           -1.051963e-12     
   0.001947       0.862094         1.153036e-06           1.162979e-06           1.991933e-12           -1.406242e-12     
   0.001947       0.958735         1.470803e-06           1.727405e-06           2.091776e-12           -1.793952e-12     
   0.001947       1.058835         1.808465e-06           2.456413e-06           2.133306e-12           -2.199589e-12     
   0.001947       1.162061         2.141334e-06           3.357036e-06           2.114485e-12           -2.606685e-12     
   0.001947       1.268071         2.436723e-06           4.421837e-06           2.035442e-12           -2.998772e-12     
   0.001947       1.376513         2.656530e-06           5.625279e-06           1.899395e-12           -3.360138e-12     
   0.001947       1.487025         2.762077e-06           6.921805e-06           1.713649e-12           -3.676469e-12     
   0.001947       1.599241         2.720774e-06           8.246826e-06           1.490094e-12           -3.935408e-12     
   0.001947       1.712789         2.513309e-06           9.521654e-06           1.244746e-12           -4.127008e-12     
   0.001947       1.827291         2.139348e-06           1.066265e-05           9.960857e-13           -4.244114e-12     
   0.001947       1.942367         1.619616e-06           1.159358e-05           7.623769e-13           -4.282720e-12     
   0.001947       2.057633         9.930266e-07           1.225856e-05           5.585999e-13           -4.242359e-12     
   0.001947       2.172709         3.091694e-07           1.263218e-05           3.939374e-13           -4.126543e-12     
   0.001947       2.287211         -3.816854e-07          1.272321e-05           2.706972e-13           -3.943078e-12     
   0.001947       2.400759         -1.037838e-06          1.257044e-05           1.850515e-13           -3.703950e-12     
   0.001947       2.512975         -1.631760e-06          1.223176e-05           1.292469e-13           -3.424477e-12     
   0.001947       2.623487         -2.150837e-06          1.177019e-05           9.435714e-14           -3.121651e-12     
   0.001947       2.731929         -2.594150e-06          1.124123e-05           7.255225e-14           -2.811963e-12     
   0.001947       2.837939         -2.967563e-06          1.068521e-05           5.826691e-14           -2.509324e-12     
   0.001947       2.941165         -3.279327e-06          1.012534e-05           4.826411e-14           -2.223693e-12     
   0.001947       3.041265         -3.537343e-06          9.570462e-06           4.102687e-14           -1.960753e-12     
   0.001947       3.137906         -3.747918e-06          9.020201e-06           3.598068e-14           -1.722527e-12     
   0.001947       3.230766         -3.915070e-06          8.470156e-06           3.285601e-14           -1.508520e-12     
   0.001947       3.319539         -4.039529e-06          7.915971e-06           3.127457e-14           -1.316938e-12     
   0.001947       3.403928         -4.117435e-06          7.355692e-06           3.054425e-14           -1.145625e-12     
   0.001947       3.483653         -4.139999e-06          6.790580e-06           2.967596e-14           -9.926093e-13     
   0.001947       3.558450         -4.096089e-06          6.224792e-06           2.765528e-14           -8.562880e-13     
   0.001947       3.628070         -3.978007e-06          5.664432e-06           2.387270e-14           -7.353909e-13     
   0.001947       3.692281         -3.787190e-06          5.116394e-06           1.841442e-14           -6.288385e-13     
   0.001947       3.750871         -3.535344e-06          4.587259e-06           1.196399e-14           -5.355926e-13     
   0.001947       3.803645         -3.240345e-06          4.082357e-06           5.413272e-15           -4.545440e-13     
   0.001947       3.850427         -2.920423e-06          3.604994e-06           -4.987214e-16          -3.844478e-13     
   0.001947       3.891062         -2.589943e-06          3.155767e-06           -5.332066e-15          -3.238932e-13     
   0.001947       3.925415         -2.257461e-06          2.731839e-06           -8.908103e-15          -2.712769e-13     
   0.001947       3.953373         -1.924962e-06          2.325810e-06           -1.119281e-14          -2.247338e-13     
   0.001947       3.974841         -1.586632e-06          1.923225e-06           -1.216490e-14          -1.819227e-13     
   0.001947       3.989750         -1.223907e-06          1.495170e-06           -1.165236e-14          -1.393331e-13     
   0.001947       3.998053         -7.801316e-07          9.648357e-07           -8.892431e-15          -8.915598e-14     
   0.001947       4.008499         -1.712226e-06          1.989287e-06           -9.892775e-15          -1.819776e-13     
   0.001947       4.044761         -2.876349e-06          2.862286e-06           1.592875e-14           -2.525501e-13     
   0.001947       4.109915         -4.068236e-06          3.162368e-06           7.679777e-14           -2.609374e-13     
   0.001947       4.203828         -7.314422e-06          2.953777e-06           2.897281e-13           -2.204070e-13     
   0.001947       4.326294         -2.100094e-05          2.283861e-06           1.345381e-12           -1.481642e-13     
   0.001947       4.477040         -1.946761e-06          1.350639e-06           1.387534e-14           -7.184554e-14     
   0.001947       4.655730         -6.395444e-07          5.344060e-07           -1.330211e-14          -2.049050e-14     
   0.001947       4.861964         -1.252934e-07          1.187345e-07           -7.488727e-15          -2.226613e-15     
   0.001947       5.095283         -2.056891e-08          1.640356e-08           -4.585017e-16          -3.302597e-16     
   0.001947       5.355166         -3.201619e-09          1.850969e-09           1.800384e-16           -1.093889e-16     
   0.001947       5.641033         -4.399213e-11          2.439397e-11           3.075033e-18           -1.711208e-18     
   0.001947       5.952247         -9.619731e-15          5.460304e-15           6.702941e-22           -3.805838e-22     
   0.001947       6.288112         -7.183987e-21          4.300601e-21           4.298211e-28           -2.582403e-28     
   0.001947       6.647880         -2.984474e-30          1.899406e-30           1.277236e-37           -8.385366e-38     
   0.001947       7.030747         -1.071331e-44          7.109377e-45           2.997995e-52           -2.178448e-52     
   0.001947       7.435859         -3.606638e-67          2.459997e-67           5.724902e-75           -4.813104e-75     
   0.001947       7.862313        -4.566892e-102          3.172553e-102          2.683604e-110         -3.260659e-110     
   0.001947       8.309157        -6.142190e-156          4.319851e-156         -1.502472e-164         -1.028688e-164     
   0.001947       8.775393        -1.888552e-238          1.339349e-238         -1.780051e-246          5.883761e-247     
   0.001947       9.259982         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       9.761842         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       10.279853        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       10.812859        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       11.359671        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       11.919069        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       12.489804        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       13.070603        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       13.660171        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       14.257191        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       14.860331        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       15.468245        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       16.079578        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       16.692964        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       17.307036        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       17.920422        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       18.531755        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       19.139669        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       19.742809        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       20.339829        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       20.929397        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       21.510196        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       22.080931        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       22.640329        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       23.187141        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       23.720147        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       24.238158        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       24.740018        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       25.224607        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       25.690843        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
