#       k             kp                 V11                    V12                    V21                    V22          
   0.001947       0.001947         1.962867e+00           -1.572251e-05          -1.572251e-05          7.962380e-03      
   0.001947       0.010250         1.955055e+00           -4.357894e-04          -1.571491e-05          1.592008e-09      
   0.001947       0.025159         1.955838e+00           -2.622753e-03          -1.567540e-05          9.566893e-09      
   0.001947       0.046627         1.958113e+00           -8.980413e-03          -1.556093e-05          3.261387e-08      
   0.001947       0.074585         1.963067e+00           -2.282063e-02          -1.531371e-05          8.208501e-08      
   0.001947       0.108938         1.972107e+00           -4.807114e-02          -1.486964e-05          1.698835e-07      
   0.001947       0.149573         1.986680e+00           -8.875977e-02          -1.417272e-05          3.047558e-07      
   0.001947       0.196355         2.008009e+00           -1.482716e-01          -1.319417e-05          4.876042e-07      
   0.001947       0.249129         2.036791e+00           -2.284959e-01          -1.194963e-05          7.076997e-07      
   0.001947       0.307719         2.072943e+00           -3.291137e-01          -1.050544e-05          9.424518e-07      
   0.001947       0.371930         2.115508e+00           -4.473298e-01          -8.966831e-06          1.162284e-06      
   0.001947       0.441550         2.162780e+00           -5.782298e-01          -7.451118e-06          1.339161e-06      
   0.001947       0.516347         2.212622e+00           -7.156834e-01          -6.057878e-06          1.454644e-06      
   0.001947       0.596072         2.262861e+00           -8.534687e-01          -4.849791e-06          1.503593e-06      
   0.001947       0.680461         2.311630e+00           -9.862343e-01          -3.849588e-06          1.492609e-06      
   0.001947       0.769234         2.357558e+00           -1.110055e+00          -3.049148e-06          1.435295e-06      
   0.001947       0.862094         2.399817e+00           -1.222555e+00          -2.422815e-06          1.347218e-06      
   0.001947       0.958735         2.438049e+00           -1.322711e+00          -1.938827e-06          1.242390e-06      
   0.001947       1.058835         2.472242e+00           -1.410519e+00          -1.566524e-06          1.131640e-06      
   0.001947       1.162061         2.502607e+00           -1.486637e+00          -1.279714e-06          1.022396e-06      
   0.001947       1.268071         2.529465e+00           -1.552085e+00          -1.057517e-06          9.191882e-07      
   0.001947       1.376513         2.553163e+00           -1.608024e+00          -8.839507e-07          8.243956e-07      
   0.001947       1.487025         2.574014e+00           -1.655607e+00          -7.470468e-07          7.389374e-07      
   0.001947       1.599241         2.592256e+00           -1.695886e+00          -6.379354e-07          6.628227e-07      
   0.001947       1.712789         2.608021e+00           -1.729763e+00          -5.500563e-07          5.955399e-07      
   0.001947       1.827291         2.621310e+00           -1.757953e+00          -4.785409e-07          5.363145e-07      
   0.001947       1.942367         2.631971e+00           -1.780976e+00          -4.197507e-07          4.842693e-07      
   0.001947       2.057633         2.639677e+00           -1.799142e+00          -3.709410e-07          4.385188e-07      
   0.001947       2.172709         2.643914e+00           -1.812548e+00          -3.300192e-07          3.982205e-07      
   0.001947       2.287211         2.643966e+00           -1.821086e+00          -2.953719e-07          3.626000e-07      
   0.001947       2.400759         2.638921e+00           -1.824446e+00          -2.657418e-07          3.309617e-07      
   0.001947       2.512975         2.627684e+00           -1.822139e+00          -2.401388e-07          3.026905e-07      
   0.001947       2.623487         2.609027e+00           -1.813538e+00          -2.177780e-07          2.772502e-07      
   0.001947       2.731929         2.581652e+00           -1.797930e+00          -1.980341e-07          2.541805e-07      
   0.001947       2.837939         2.544300e+00           -1.774592e+00          -1.804095e-07          2.330938e-07      
   0.001947       2.941165         2.495874e+00           -1.742894e+00          -1.645114e-07          2.136723e-07      
   0.001947       3.041265         2.435595e+00           -1.702401e+00          -1.500347e-07          1.956649e-07      
   0.001947       3.137906         2.363145e+00           -1.652982e+00          -1.367496e-07          1.788838e-07      
   0.001947       3.230766         2.278804e+00           -1.594912e+00          -1.244904e-07          1.631996e-07      
   0.001947       3.319539         2.183530e+00           -1.528926e+00          -1.131454e-07          1.485348e-07      
   0.001947       3.403928         2.078975e+00           -1.456233e+00          -1.026472e-07          1.348546e-07      
   0.001947       3.483653         1.967423e+00           -1.378478e+00          -9.296160e-08          1.221565e-07      
   0.001947       3.558450         1.851645e+00           -1.297640e+00          -8.407752e-08          1.104580e-07      
   0.001947       3.628070         1.734696e+00           -1.215887e+00          -7.599635e-08          9.978491e-08      
   0.001947       3.692281         1.619681e+00           -1.135420e+00          -6.872311e-08          9.016100e-08      
   0.001947       3.750871         1.509533e+00           -1.058312e+00          -6.225954e-08          8.159994e-08      
   0.001947       3.803645         1.406828e+00           -9.863852e-01          -5.659967e-08          7.410080e-08      
   0.001947       3.850427         1.313669e+00           -9.211240e-01          -5.172812e-08          6.764686e-08      
   0.001947       3.891062         1.231644e+00           -8.636498e-01          -4.762074e-08          6.220746e-08      
   0.001947       3.925415         1.161848e+00           -8.147363e-01          -4.424689e-08          5.774196e-08      
   0.001947       3.953373         1.104956e+00           -7.748611e-01          -4.157290e-08          5.420493e-08      
   0.001947       3.974841         1.061323e+00           -7.442771e-01          -3.956574e-08          5.155146e-08      
   0.001947       3.989750         1.031095e+00           -7.230880e-01          -3.819648e-08          4.974213e-08      
   0.001947       3.998053         1.014298e+00           -7.113131e-01          -3.744290e-08          4.874668e-08      
   0.001947       4.008499         9.932125e-01           -6.965316e-01          -3.650415e-08          4.750696e-08      
   0.001947       4.044761         9.205418e-01           -6.455846e-01          -3.332852e-08          4.331622e-08      
   0.001947       4.109915         7.930109e-01           -5.561673e-01          -2.796649e-08          3.625266e-08      
   0.001947       4.203828         6.198767e-01           -4.347596e-01          -2.108215e-08          2.721354e-08      
   0.001947       4.326294         4.218353e-01           -2.958697e-01          -1.372275e-08          1.760263e-08      
