#       k             kp                 V11                    V12                    V21                    V22          
   0.001947       0.001947         1.925582e+00           -1.571989e-05          -1.571989e-05          5.742844e-11      
   0.001947       0.010250         1.925732e+00           -4.357168e-04          -1.571229e-05          1.591996e-09      
   0.001947       0.025159         1.926516e+00           -2.622316e-03          -1.567279e-05          9.566826e-09      
   0.001947       0.046627         1.928794e+00           -8.978913e-03          -1.555831e-05          3.261364e-08      
   0.001947       0.074585         1.933755e+00           -2.281680e-02          -1.531110e-05          8.208443e-08      
   0.001947       0.108938         1.942809e+00           -4.806297e-02          -1.486703e-05          1.698823e-07      
   0.001947       0.149573         1.957404e+00           -8.874435e-02          -1.417012e-05          3.047535e-07      
   0.001947       0.196355         1.978772e+00           -1.482451e-01          -1.319157e-05          4.876004e-07      
   0.001947       0.249129         2.007610e+00           -2.284532e-01          -1.194705e-05          7.076933e-07      
   0.001947       0.307719         2.043846e+00           -3.290486e-01          -1.050285e-05          9.424420e-07      
   0.001947       0.371930         2.086529e+00           -4.472348e-01          -8.964267e-06          1.162270e-06      
   0.001947       0.441550         2.133961e+00           -5.780961e-01          -7.448574e-06          1.339141e-06      
   0.001947       0.516347         2.184013e+00           -7.155010e-01          -6.055361e-06          1.454617e-06      
   0.001947       0.596072         2.234520e+00           -8.532261e-01          -4.847309e-06          1.503556e-06      
   0.001947       0.680461         2.283622e+00           -9.859188e-01          -3.847149e-06          1.492562e-06      
   0.001947       0.769234         2.329955e+00           -1.109653e+00          -3.046761e-06          1.435234e-06      
   0.001947       0.862094         2.372694e+00           -1.222051e+00          -2.420490e-06          1.347143e-06      
   0.001947       0.958735         2.411485e+00           -1.322090e+00          -1.936574e-06          1.242298e-06      
   0.001947       1.058835         2.446317e+00           -1.409763e+00          -1.564352e-06          1.131530e-06      
   0.001947       1.162061         2.477400e+00           -1.485730e+00          -1.277634e-06          1.022265e-06      
   0.001947       1.268071         2.505048e+00           -1.551009e+00          -1.055539e-06          9.190359e-07      
   0.001947       1.376513         2.529598e+00           -1.606758e+00          -8.820833e-07          8.242200e-07      
   0.001947       1.487025         2.551361e+00           -1.654135e+00          -7.452990e-07          7.387390e-07      
   0.001947       1.599241         2.570559e+00           -1.694190e+00          -6.363143e-07          6.626009e-07      
   0.001947       1.712789         2.587309e+00           -1.727825e+00          -5.485677e-07          5.952946e-07      
   0.001947       1.827291         2.601595e+00           -1.755756e+00          -4.771894e-07          5.360458e-07      
   0.001947       1.942367         2.613248e+00           -1.778503e+00          -4.185396e-07          4.839783e-07      
   0.001947       2.057633         2.621923e+00           -1.796381e+00          -3.698718e-07          4.382070e-07      
   0.001947       2.172709         2.627084e+00           -1.809486e+00          -3.290905e-07          3.978891e-07      
   0.001947       2.287211         2.627997e+00           -1.817716e+00          -2.945804e-07          3.622511e-07      
   0.001947       2.400759         2.623727e+00           -1.820761e+00          -2.650805e-07          3.305973e-07      
   0.001947       2.512975         2.613167e+00           -1.818142e+00          -2.395980e-07          3.023133e-07      
   0.001947       2.623487         2.595069e+00           -1.809235e+00          -2.173440e-07          2.768628e-07      
   0.001947       2.731929         2.568134e+00           -1.793335e+00          -1.976899e-07          2.537860e-07      
   0.001947       2.837939         2.531100e+00           -1.769728e+00          -1.801352e-07          2.326954e-07      
   0.001947       2.941165         2.482881e+00           -1.737791e+00          -1.642851e-07          2.132731e-07      
   0.001947       3.041265         2.422720e+00           -1.697098e+00          -1.498342e-07          1.952682e-07      
   0.001947       3.137906         2.350330e+00           -1.647527e+00          -1.365539e-07          1.784927e-07      
   0.001947       3.230766         2.266030e+00           -1.589358e+00          -1.242818e-07          1.628173e-07      
   0.001947       3.319539         2.170815e+00           -1.523329e+00          -1.129110e-07          1.481640e-07      
   0.001947       3.403928         2.066377e+00           -1.450652e+00          -1.023798e-07          1.344979e-07      
   0.001947       3.483653         1.955022e+00           -1.372968e+00          -9.266002e-08          1.218160e-07      
   0.001947       3.558450         1.839534e+00           -1.292249e+00          -8.374520e-08          1.101352e-07      
   0.001947       3.628070         1.722964e+00           -1.210656e+00          -7.564017e-08          9.948088e-08      
   0.001947       3.692281         1.608405e+00           -1.130380e+00          -6.835157e-08          8.987610e-08      
   0.001947       3.750871         1.498759e+00           -1.053481e+00          -6.188102e-08          8.133384e-08      
   0.001947       3.803645         1.396578e+00           -9.817698e-01          -5.622132e-08          7.385262e-08      
   0.001947       3.850427         1.303936e+00           -9.167196e-01          -5.135513e-08          6.741520e-08      
   0.001947       3.891062         1.222393e+00           -8.594432e-01          -4.725606e-08          6.199049e-08      
   0.001947       3.925415         1.153025e+00           -8.107063e-01          -4.389144e-08          5.753759e-08      
   0.001947       3.953373         1.096491e+00           -7.709801e-01          -4.122578e-08          5.401082e-08      
   0.001947       3.974841         1.053135e+00           -7.405138e-01          -3.922463e-08          5.136521e-08      
   0.001947       3.989750         1.023094e+00           -7.194078e-01          -3.785789e-08          4.956123e-08      
   0.001947       3.998053         1.006389e+00           -7.076795e-01          -3.710238e-08          4.856859e-08      
   0.001947       4.008499         9.855416e-01           -6.929574e-01          -3.619374e-08          4.733391e-08      
   0.001947       4.044761         9.135125e-01           -6.422196e-01          -3.307411e-08          4.315832e-08      
   0.001947       4.109915         7.869535e-01           -5.531855e-01          -2.776733e-08          3.611918e-08      
   0.001947       4.203828         6.150779e-01           -4.323332e-01          -2.093368e-08          2.711164e-08      
   0.001947       4.326294         4.184938e-01           -2.941311e-01          -1.362377e-08          1.753556e-08      
   0.001947       4.477040         2.316088e-01           -1.627583e-01          -7.170793e-09          9.147074e-09      
   0.001947       4.655730         9.344523e-02           -6.565153e-02          -2.744085e-09          3.455812e-09      
   0.001947       4.861964         2.305335e-02           -1.619179e-02          -6.422994e-10          7.950194e-10      
   0.001947       5.095283         2.624319e-03           -1.842621e-03          -6.960344e-11          8.425900e-11      
   0.001947       5.355166         8.790903e-05           -6.170269e-05          -2.233878e-12          2.630840e-12      
   0.001947       5.641033         4.232410e-07           -2.969655e-07          -1.040204e-14          1.185396e-14      
   0.001947       5.952247         9.404387e-11           -6.596232e-11          -2.262358e-18          2.482123e-18      
   0.001947       6.288112         1.611011e-16           -1.129570e-16          -3.846295e-24          4.045711e-24      
   0.001947       6.647880         1.297908e-25           -9.097260e-26          -3.121601e-33          3.138839e-33      
   0.001947       7.030747         6.468285e-40           -4.532219e-40          -1.591035e-47          1.527506e-47      
   0.001947       7.435859         2.612166e-62           -1.829698e-62          -6.667515e-70          6.115399e-70      
   0.001947       7.862313         3.662859e-97           -2.564814e-97         -9.832293e-105          8.634417e-105     
   0.001947       8.309157         5.160002e-151         -3.611936e-151         -1.473905e-158          1.243627e-158     
   0.001947       8.775393         1.586813e-233         -1.110362e-233         -4.871822e-241          3.966845e-241     
   0.001947       9.259982         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       9.761842         0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       10.279850        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       10.812860        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       11.359670        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       11.919070        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
   0.001947       12.489800        0.000000e+00           0.000000e+00           0.000000e+00           0.000000e+00      
