#        q              total               1              \delta U         \delta U^2    

     0.000790        5.371804e+03      5.373400e+03     -1.729391e+00      1.331595e-01   
     0.004159        5.371804e+03      5.373400e+03     -1.729489e+00      1.331584e-01   
     0.010212        5.371804e+03      5.373400e+03     -1.729515e+00      1.331531e-01   
     0.018933        5.056576e+03      5.058172e+03     -1.729371e+00      1.331386e-01   
     0.030298        3.361177e+03      3.362772e+03     -1.728283e+00      1.331072e-01   
     0.044278        2.362767e+03      2.364360e+03     -1.726063e+00      1.330495e-01   
     0.060834        1.693923e+03      1.695512e+03     -1.721988e+00      1.329556e-01   
     0.079922        1.254165e+03      1.255748e+03     -1.715578e+00      1.328158e-01   
     0.101490        9.225393e+02      9.241120e+02     -1.705320e+00      1.326166e-01   
     0.125480        7.163498e+02      7.179100e+02     -1.692595e+00      1.323498e-01   
     0.151828        5.433762e+02      5.449180e+02     -1.673816e+00      1.320049e-01   
     0.180462        4.299413e+02      4.314620e+02     -1.652273e+00      1.315773e-01   
     0.211306        3.334680e+02      3.349600e+02     -1.623051e+00      1.310654e-01   
     0.244276        2.632393e+02      2.646980e+02     -1.589140e+00      1.304745e-01   
     0.279283        2.036042e+02      2.050200e+02     -1.545618e+00      1.298118e-01   
     0.316234        1.613800e+02      1.627500e+02     -1.499062e+00      1.291042e-01   
     0.355027        1.321335e+02      1.334580e+02     -1.452842e+00      1.283747e-01   
     0.395559        1.066388e+02      1.079100e+02     -1.398860e+00      1.276631e-01   
     0.437721        8.464146e+01      8.585000e+01     -1.335552e+00      1.270120e-01   
     0.481399        7.028911e+01      7.144000e+01     -1.277359e+00      1.264739e-01   
     0.526474        6.168659e+01      6.279000e+01     -1.229510e+00      1.261029e-01   
     0.572826        5.013906e+01      5.117000e+01     -1.156886e+00      1.259505e-01   
     0.620330        4.330814e+01      4.428000e+01     -1.097922e+00      1.260645e-01   
     0.668857        3.713043e+01      3.803800e+01     -1.034051e+00      1.264849e-01   
     0.718277        3.157393e+01      3.241200e+01     -9.652955e-01      1.272244e-01   
     0.768456        2.660642e+01      2.737000e+01     -8.918698e-01      1.282910e-01   
     0.819260        2.434178e+01      2.505800e+01     -8.458762e-01      1.296597e-01   
     0.870551        2.019647e+01      2.083200e+01     -7.668033e-01      1.312753e-01   
     0.922191        1.655812e+01      1.711000e+01     -6.849289e-01      1.330521e-01   
     0.974040        1.492621e+01      1.542800e+01     -6.367101e-01      1.349214e-01   
     1.025960        1.198508e+01      1.240200e+01     -5.536756e-01      1.367591e-01   
     1.077809        1.068163e+01      1.105000e+01     -5.067989e-01      1.384314e-01   
     1.129449        9.478718e+00      9.800000e+00     -4.611181e-01      1.398358e-01   
     1.180740        7.347895e+00      7.590000e+00     -3.829909e-01      1.408858e-01   
     1.231544        6.421923e+00      6.622000e+00     -3.415394e-01      1.414627e-01   
     1.281723        4.810319e+00      4.940000e+00     -2.711887e-01      1.415077e-01   
     1.331143        4.123237e+00      4.218000e+00     -2.357571e-01      1.409945e-01   
     1.379670        3.506989e+00      3.570000e+00     -2.028915e-01      1.398805e-01   
     1.427174        2.469892e+00      2.480000e+00     -1.483155e-01      1.382076e-01   
     1.473526        2.043086e+00      2.030000e+00     -1.229272e-01      1.360134e-01   
     1.518601        1.351332e+00      1.300000e+00     -8.202438e-02      1.333564e-01   
     1.562279        8.500682e-01      7.700000e-01     -5.025251e-02      1.303207e-01   
     1.604441        6.595951e-01      5.700000e-01     -3.736172e-02      1.269568e-01   
     1.644973        3.845901e-01      2.800000e-01     -1.876548e-02      1.233556e-01   
     1.683766        1.754922e-01      6.000000e-02     -4.127743e-03      1.196199e-01   
     1.720717        1.158284e-01      0.000000e+00      0.000000e+00      1.158284e-01   
     1.755724        1.120603e-01      0.000000e+00      0.000000e+00      1.120603e-01   
     1.788694        1.083527e-01      0.000000e+00      0.000000e+00      1.083527e-01   
     1.819538        1.047849e-01      0.000000e+00      0.000000e+00      1.047849e-01   
     1.848172        1.014006e-01      0.000000e+00      0.000000e+00      1.014006e-01   
     1.874520        9.823722e-02      0.000000e+00      0.000000e+00      9.823722e-02   
     1.898510        9.532564e-02      0.000000e+00      0.000000e+00      9.532564e-02   
     1.920078        9.268790e-02      0.000000e+00      0.000000e+00      9.268790e-02   
     1.939166        9.034467e-02      0.000000e+00      0.000000e+00      9.034467e-02   
     1.955722        8.830861e-02      0.000000e+00      0.000000e+00      8.830861e-02   
     1.969702        8.658955e-02      0.000000e+00      0.000000e+00      8.658955e-02   
     1.981067        8.519080e-02      0.000000e+00      0.000000e+00      8.519080e-02   
     1.989788        8.411779e-02      0.000000e+00      0.000000e+00      8.411779e-02   
