#        q              total               1              \delta U         \delta U^2    

     0.001185        8.321697e+08      8.321811e+08     -1.427441e+04      2.821448e+03   
     0.006239        4.590292e+08      4.590376e+08     -9.189189e+03      7.963312e+02   
     0.015318        2.476760e+08      2.476821e+08     -6.466966e+03      3.958811e+02   
     0.028399        7.501481e+07      7.501801e+07     -3.482288e+03      2.862933e+02   
     0.045447        4.838156e+07      4.838408e+07     -2.760574e+03      2.446763e+02   
     0.066417        3.404846e+07      3.405052e+07     -2.295186e+03      2.303747e+02   
     0.091251        2.498870e+07      2.499043e+07     -1.949992e+03      2.237203e+02   
     0.119882        1.927698e+07      1.927845e+07     -1.695680e+03      2.186278e+02   
     0.152235        1.469731e+07      1.469856e+07     -1.461100e+03      2.129855e+02   
     0.188220        1.106263e+07      1.106366e+07     -1.245205e+03      2.059285e+02   
     0.227742        9.547871e+06      9.548804e+06     -1.129835e+03      1.970255e+02   
     0.270694        7.602143e+06      7.602935e+06     -9.778637e+02      1.860590e+02   
     0.316959        6.498367e+06      6.499064e+06     -8.698813e+02      1.729856e+02   
     0.366414        5.531506e+06      5.532113e+06     -7.651386e+02      1.579434e+02   
     0.418925        4.687621e+06      4.688144e+06     -6.646956e+02      1.412817e+02   
     0.474351        3.953867e+06      3.954313e+06     -5.697655e+02      1.235798e+02   
     0.532541        3.318433e+06      3.318808e+06     -4.816196e+02      1.056429e+02   
     0.593339        2.770482e+06      2.770795e+06     -4.014780e+02      8.846918e+01   
     0.656582        2.526192e+06      2.526465e+06     -3.462347e+02      7.316958e+01   
     0.722098        2.091153e+06      2.091374e+06     -2.823767e+02      6.083435e+01   
     0.789711        1.720424e+06      1.720601e+06     -2.288925e+02      5.235426e+01   
     0.859239        1.556706e+06      1.556853e+06     -1.952272e+02      4.821265e+01   
     0.930495        1.267974e+06      1.268086e+06     -1.597177e+02      4.829083e+01   
     1.003286        1.025322e+06      1.025403e+06     -1.325456e+02      5.175739e+01   
     1.077416        8.226689e+05      8.227238e+05     -1.119846e+02      5.710358e+01   
     1.152685        5.819011e+05      5.819294e+05     -9.070046e+01      6.237771e+01   
     1.228890        4.029617e+05      4.029699e+05     -7.379382e+01      6.560088e+01   
     1.305826        2.067513e+05      2.067381e+05     -5.205295e+01      6.526685e+01   
