#        q              total               1              \delta U         \delta U^2    

     0.001185        1.608558e+04      1.616664e+04     -8.839606e+01      7.342806e+00   
     0.006239        7.924883e+03      8.006010e+03     -8.846923e+01      7.342880e+00   
     0.015318        6.549146e+03      6.630268e+03     -8.846537e+01      7.342880e+00   
     0.028399        5.154915e+03      5.236030e+03     -8.845693e+01      7.342281e+00   
     0.045447        3.818356e+03      3.899470e+03     -8.845475e+01      7.340695e+00   
     0.066417        2.981055e+03      3.062073e+03     -8.835612e+01      7.338141e+00   
     0.091251        2.495440e+03      2.576357e+03     -8.825184e+01      7.334046e+00   
     0.119882        2.167108e+03      2.247872e+03     -8.809243e+01      7.328154e+00   
     0.152235        1.868088e+03      1.948567e+03     -8.779824e+01      7.319611e+00   
     0.188220        1.597005e+03      1.677083e+03     -8.738687e+01      7.309412e+00   
     0.227742        1.352584e+03      1.432064e+03     -8.677610e+01      7.297002e+00   
     0.270694        1.203996e+03      1.282750e+03     -8.603786e+01      7.283492e+00   
     0.316959        1.066406e+03      1.144193e+03     -8.505766e+01      7.270541e+00   
     0.366414        9.394798e+02      1.015991e+03     -8.377171e+01      7.260469e+00   
     0.418925        8.229145e+02      8.977415e+02     -8.208325e+01      7.256232e+00   
     0.474351        7.688920e+02      8.422233e+02     -8.059370e+01      7.262408e+00   
     0.532541        6.674137e+02      7.381486e+02     -7.801784e+01      7.282886e+00   
     0.593339        5.755748e+02      6.430212e+02     -7.476927e+01      7.322877e+00   
     0.656582        5.338434e+02      5.986870e+02     -7.222956e+01      7.385958e+00   
     0.722098        4.559233e+02      5.162265e+02     -6.777866e+01      7.475502e+00   
     0.789711        4.210447e+02      4.779996e+02     -6.454517e+01      7.590293e+00   
     0.859239        3.560938e+02      4.073012e+02     -5.893738e+01      7.729968e+00   
     0.930495        3.274553e+02      3.747292e+02     -5.516189e+01      7.888062e+00   
     1.003286        2.741935e+02      3.148881e+02     -4.874679e+01      8.052160e+00   
     1.077416        2.279244e+02      2.617826e+02     -4.206442e+01      8.206231e+00   
     1.152685        1.879696e+02      2.150106e+02     -3.537628e+01      8.335308e+00   
     1.228890        1.536422e+02      1.741699e+02     -2.894641e+01      8.418750e+00   
     1.305826        9.571385e+01      1.051554e+02     -1.787698e+01      8.435447e+00   
     1.383286        8.370866e+00      0.000000e+00      0.000000e+00      8.370866e+00   
     1.461060        8.217411e+00      0.000000e+00      0.000000e+00      8.217411e+00   
     1.538940        7.970261e+00      0.000000e+00      0.000000e+00      7.970261e+00   
     1.616714        7.633693e+00      0.000000e+00      0.000000e+00      7.633693e+00   
     1.694174        7.217384e+00      0.000000e+00      0.000000e+00      7.217384e+00   
