#        q              total               1              \delta U         \delta U^2    

     0.001185        1.306752e+08      1.306801e+08     -5.656580e+03      8.029830e+02   
     0.006239        3.204591e+07      3.204809e+07     -2.428031e+03      2.453793e+02   
     0.015318        2.197841e+07      2.198023e+07     -1.926502e+03      1.097908e+02   
     0.028399        1.370659e+07      1.370800e+07     -1.488569e+03      7.098606e+01   
     0.045447        7.601898e+06      7.602935e+06     -1.094306e+03      5.702645e+01   
     0.066417        4.687345e+06      4.688144e+06     -8.516410e+02      5.186470e+01   
     0.091251        3.318148e+06      3.318808e+06     -7.106195e+02      4.971240e+01   
     0.119882        2.525900e+06      2.526465e+06     -6.138533e+02      4.831427e+01   
     0.152235        1.897978e+06      1.898456e+06     -5.251010e+02      4.689297e+01   
     0.188220        1.405904e+06      1.406303e+06     -4.439465e+02      4.516873e+01   
     0.227742        1.025076e+06      1.025403e+06     -3.702438e+02      4.302042e+01   
     0.270694        8.224425e+05      8.227238e+05     -3.216731e+02      4.039755e+01   
     0.316959        6.543502e+05      6.545890e+05     -2.760698e+02      3.729957e+01   
     0.366414        5.159190e+05      5.161189e+05     -2.337058e+02      3.377562e+01   
     0.418925        4.028050e+05      4.029699e+05     -1.948761e+02      2.993002e+01   
     0.474351        3.545253e+05      3.546700e+05     -1.706369e+02      2.592504e+01   
     0.532541        2.723157e+05      2.724317e+05     -1.379882e+02      2.197685e+01   
     0.593339        2.066468e+05      2.067381e+05     -1.096655e+02      1.834351e+01   
     0.656582        1.791362e+05      1.792131e+05     -9.221442e+01      1.529994e+01   
     0.722098        1.331867e+05      1.332449e+05     -7.127517e+01      1.309975e+01   
     0.789711        1.141948e+05      1.142418e+05     -5.897991e+01      1.192662e+01   
     0.859239        8.291391e+04      8.294714e+04     -4.506269e+01      1.184148e+01   
     0.930495        7.018613e+04      7.021098e+04     -3.758211e+01      1.273834e+01   
     1.003286        4.956244e+04      4.957726e+04     -2.914468e+01      1.432657e+01   
     1.077416        3.425838e+04      3.426507e+04     -2.285374e+01      1.615673e+01   
     1.152685        2.311440e+04      2.311478e+04     -1.807670e+01      1.769791e+01   
     1.228890        1.517172e+04      1.516758e+04     -1.431666e+01      1.845713e+01   
     1.305826        5.538424e+03      5.528828e+03     -8.512392e+00      1.810852e+01   
     1.383286        1.658614e+01      0.000000e+00      0.000000e+00      1.658614e+01   
     1.461060        1.409960e+01      0.000000e+00      0.000000e+00      1.409960e+01   
     1.538940        1.106184e+01      0.000000e+00      0.000000e+00      1.106184e+01   
     1.616714        7.955354e+00      0.000000e+00      0.000000e+00      7.955354e+00   
     1.694174        5.192908e+00      0.000000e+00      0.000000e+00      5.192908e+00   
     1.771110        3.025940e+00      0.000000e+00      0.000000e+00      3.025940e+00   
     1.847315        1.525209e+00      0.000000e+00      0.000000e+00      1.525209e+00   
     1.922584        6.218525e-01      0.000000e+00      0.000000e+00      6.218525e-01   
     1.996714        1.748549e-01      0.000000e+00      0.000000e+00      1.748549e-01   
     2.069505        3.168916e-02      0.000000e+00      0.000000e+00      3.168916e-02   
     2.140761        6.480636e-02      0.000000e+00      0.000000e+00      6.480636e-02   
     2.210289        1.838108e-01      0.000000e+00      0.000000e+00      1.838108e-01   
     2.277902        3.322813e-01      0.000000e+00      0.000000e+00      3.322813e-01   
     2.343418        4.787760e-01      0.000000e+00      0.000000e+00      4.787760e-01   
     2.406661        6.079273e-01      0.000000e+00      0.000000e+00      6.079273e-01   
     2.467459        7.138241e-01      0.000000e+00      0.000000e+00      7.138241e-01   
     2.525649        7.957469e-01      0.000000e+00      0.000000e+00      7.957469e-01   
